Input Number, Run_Number, Result@ 100, X, XP, Z, YP, Reaction1, Reaction2, Reaction3
INVAR-45, Run: 077, E, 0, 0, 113, 13, 100, 113, 100
INVAR-45, Run: 078, E, 0, 10, 100, 0, 100, 90, 90
INVAR-45, Run: 079, E, 0, 3, 100, 0, 100, 97, 97
INVAR-45, Run: 080, E, 0, 0, 108, 8, 100, 108, 100
INVAR-45, Run: 081, E, 0, 0, 110, 10, 100, 110, 100
INVAR-45, Run: 082, E, 0, 14, 100, 0, 100, 86, 86
INVAR-45, Run: 083, E, 0, 21, 100, 0, 100, 79, 79
INVAR-45, Run: 084, E, 0, 1, 100, 0, 100, 99, 99
INVAR-45, Run: 085, E, 0, 0, 101, 1, 100, 101, 100
INVAR-45, Run: 086, E, 0, 0, 108, 8, 100, 108, 100
INVAR-45, Run: 087, E, 0, 1, 100, 0, 100, 99, 99
INVAR-45, Run: 088, E, 0, 4, 100, 0, 100, 96, 96
INVAR-45, Run: 089, E, 0, 0, 105, 5, 100, 105, 100
INVAR-45, Run: 090, E, 0, 9, 100, 0, 100, 91, 91
INVAR-45, Run: 091, E, 0, 0, 112, 12, 100, 112, 100
INVAR-45, Run: 092, E, 0, 0, 111, 11, 100, 111, 100
INVAR-45, Run: 093, E, 0, 0, 110, 10, 100, 110, 100
INVAR-45, Run: 094, E, 0, 0, 113, 13, 100, 113, 100
INVAR-45, Run: 095, E, 0, 0, 107, 7, 100, 107, 100
INVAR-45, Run: 096, E, 0, 0, 108, 8, 100, 108, 100
INVAR-45, Run: 097, E, 0, 1, 100, 0, 100, 99, 99
INVAR-45, Run: 098, E, 0, 0, 102, 2, 100, 102, 100
INVAR-45, Run: 099, E, 0, 0, 109, 9, 100, 109, 100
INVAR-45, Run: 100, E, 0, 16, 100, 0, 100, 84, 84
INVAR-46, Run: 001, E, 0, 116, 200, 0, 200, 84, 84
INVAR-46, Run: 002, E, 0, 106, 200, 0, 200, 94, 94
INVAR-46, Run: 003, E, 0, 94, 200, 0, 200, 106, 106
INVAR-46, Run: 004, E, 0, 86, 200, 0, 200, 114, 114
INVAR-46, Run: 005, E, 0, 91, 200, 0, 200, 109, 109
INVAR-46, Run: 006, E, 0, 104, 200, 0, 200, 96, 96
INVAR-46, Run: 007, E, 0, 101, 200, 0, 200, 99, 99
INVAR-46, Run: 008, E, 0, 98, 200, 0, 200, 102, 102
INVAR-46, Run: 009, E, 0, 92, 200, 0, 200, 108, 108
INVAR-46, Run: 010, E, 0, 99, 200, 0, 200, 101, 101
INVAR-46, Run: 011, E, 0, 109, 200, 0, 200, 91, 91
INVAR-46, Run: 012, E, 0, 100, 200, 0, 200, 100, 100
INVAR-46, Run: 013, E, 0, 110, 200, 0, 200, 90, 90
INVAR-46, Run: 014, E, 0, 98, 200, 0, 200, 102, 102
INVAR-46, Run: 015, E, 0, 96, 200, 0, 200, 104, 104
INVAR-46, Run: 016, E, 0, 114, 200, 0, 200, 86, 86
INVAR-46, Run: 017, E, 0, 122, 200, 0, 200, 78, 78
INVAR-46, Run: 018, E, 0, 83, 200, 0, 200, 117, 117
INVAR-46, Run: 019, E, 0, 104, 200, 0, 200, 96, 96
INVAR-46, Run: 020, E, 0, 107, 200, 0, 200, 93, 93
INVAR-46, Run: 021, E, 0, 95, 200, 0, 200, 105, 105
INVAR-46, Run: 022, E, 0, 109, 200, 0, 200, 91, 91
INVAR-46, Run: 023, E, 0, 95, 200, 0, 200, 105, 105
INVAR-46, Run: 024, E, 0, 101, 200, 0, 200, 99, 99
INVAR-46, Run: 025, E, 0, 110, 200, 0, 200, 90, 90
INVAR-46, Run: 026, E, 0, 101, 200, 0, 200, 99, 99
INVAR-46, Run: 027, E, 0, 105, 200, 0, 200, 95, 95
INVAR-46, Run: 028, E, 0, 108, 200, 0, 200, 92, 92
INVAR-46, Run: 029, E, 0, 91, 200, 0, 200, 109, 109
INVAR-46, Run: 030, E, 0, 98, 200, 0, 200, 102, 102
INVAR-46, Run: 031, E, 0, 116, 200, 0, 200, 84, 84
