Input Number, Run_Number, Result@ 100, A1, Y, F1P, F1, A2, F2, F2P
16, Run: 044, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 045, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 046, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 047, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 048, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 049, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 050, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 051, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 052, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 053, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 054, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 055, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 056, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 057, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 058, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 059, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 060, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 061, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 062, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 063, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 064, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 065, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 066, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 067, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 068, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 069, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 070, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 071, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 072, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 073, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 074, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 075, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 076, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 077, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 078, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 079, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 080, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 081, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 082, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 083, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 084, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 085, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 086, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 087, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 088, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 089, P, 35, 0, 0, 5, 0, 5, 0
16, Run: 090, P, 35, 0, 0, 5, 0, 5, 0
