Input Number, Run_Number, Result@ 100, X, Y, Z
INVAR-45, Run: 097, F, 101, 0, 100
INVAR-45, Run: 098, F, 88, 0, 100
INVAR-45, Run: 099, F, 101, 0, 100
INVAR-45, Run: 100, F, 104, 0, 100
INVAR-46, Run: 001, F, 104, 0, 200
INVAR-46, Run: 002, F, 86, 0, 200
INVAR-46, Run: 003, F, 112, 0, 200
INVAR-46, Run: 004, F, 101, 0, 200
INVAR-46, Run: 005, F, 104, 0, 200
INVAR-46, Run: 006, F, 119, 0, 200
INVAR-46, Run: 007, F, 103, 0, 200
INVAR-46, Run: 008, F, 88, 0, 200
INVAR-46, Run: 009, F, 98, 0, 200
INVAR-46, Run: 010, F, 103, 0, 200
INVAR-46, Run: 011, F, 104, 0, 200
INVAR-46, Run: 012, F, 91, 0, 200
INVAR-46, Run: 013, F, 93, 0, 200
INVAR-46, Run: 014, F, 87, 0, 200
INVAR-46, Run: 015, F, 97, 0, 200
INVAR-46, Run: 016, F, 101, 0, 200
INVAR-46, Run: 017, F, 104, 0, 200
INVAR-46, Run: 018, F, 101, 0, 200
INVAR-46, Run: 019, F, 105, 0, 200
INVAR-46, Run: 020, F, 103, 0, 200
INVAR-46, Run: 021, F, 105, 0, 200
INVAR-46, Run: 022, F, 105, 0, 200
INVAR-46, Run: 023, F, 96, 0, 200
INVAR-46, Run: 024, F, 75, 0, 200
INVAR-46, Run: 025, F, 92, 0, 200
INVAR-46, Run: 026, F, 120, 0, 200
INVAR-46, Run: 027, F, 108, 0, 200
INVAR-46, Run: 028, F, 94, 0, 200
INVAR-46, Run: 029, F, 98, 0, 200
INVAR-46, Run: 030, F, 77, 0, 200
INVAR-46, Run: 031, F, 94, 0, 200
INVAR-46, Run: 032, F, 99, 0, 200
INVAR-46, Run: 033, F, 86, 0, 200
INVAR-46, Run: 034, F, 93, 0, 200
INVAR-46, Run: 035, F, 104, 0, 200
INVAR-46, Run: 036, F, 90, 0, 200
INVAR-46, Run: 037, F, 101, 0, 200
INVAR-46, Run: 038, F, 89, 0, 200
INVAR-46, Run: 039, F, 90, 0, 200
INVAR-46, Run: 040, F, 94, 0, 200
INVAR-46, Run: 041, F, 99, 0, 200
INVAR-46, Run: 042, F, 95, 0, 200
INVAR-46, Run: 043, F, 105, 0, 200
INVAR-46, Run: 044, F, 100, 0, 200
INVAR-46, Run: 045, F, 83, 0, 200
INVAR-46, Run: 046, F, 108, 0, 200
INVAR-46, Run: 047, F, 105, 0, 200
INVAR-46, Run: 048, F, 109, 0, 200
INVAR-46, Run: 049, F, 109, 0, 200
INVAR-46, Run: 050, F, 92, 0, 200
INVAR-46, Run: 051, F, 106, 0, 200
INVAR-46, Run: 052, F, 87, 0, 200
INVAR-46, Run: 053, F, 111, 0, 200
INVAR-46, Run: 054, F, 89, 0, 200
INVAR-46, Run: 055, F, 104, 0, 200
INVAR-46, Run: 056, F, 113, 0, 200
INVAR-46, Run: 057, F, 99, 0, 200
INVAR-46, Run: 058, F, 98, 0, 200
INVAR-46, Run: 059, F, 119, 0, 200
INVAR-46, Run: 060, F, 100, 0, 200
INVAR-46, Run: 061, F, 95, 0, 200
INVAR-46, Run: 062, F, 91, 0, 200
INVAR-46, Run: 063, F, 115, 0, 200
INVAR-46, Run: 064, F, 98, 0, 200
INVAR-46, Run: 065, F, 107, 0, 200
INVAR-46, Run: 066, F, 87, 0, 200
INVAR-46, Run: 067, F, 107, 0, 200
INVAR-46, Run: 068, F, 84, 0, 200
INVAR-46, Run: 069, F, 104, 0, 200
INVAR-46, Run: 070, F, 85, 0, 200
INVAR-46, Run: 071, F, 96, 0, 200
INVAR-46, Run: 072, F, 105, 0, 200
INVAR-46, Run: 073, F, 113, 0, 200
INVAR-46, Run: 074, F, 81, 0, 200
INVAR-46, Run: 075, F, 94, 0, 200
INVAR-46, Run: 076, F, 115, 0, 200
INVAR-46, Run: 077, F, 100, 0, 200
INVAR-46, Run: 078, F, 90, 0, 200
INVAR-46, Run: 079, F, 97, 0, 200
INVAR-46, Run: 080, F, 107, 0, 200
INVAR-46, Run: 081, F, 101, 0, 200
INVAR-46, Run: 082, F, 116, 0, 200
INVAR-46, Run: 083, F, 84, 0, 200
INVAR-46, Run: 084, F, 97, 0, 200
INVAR-46, Run: 085, F, 100, 0, 200
INVAR-46, Run: 086, F, 95, 0, 200
INVAR-46, Run: 087, F, 87, 0, 200
INVAR-46, Run: 088, F, 103, 0, 200
INVAR-46, Run: 089, F, 115, 0, 200
INVAR-46, Run: 090, F, 104, 0, 200
INVAR-46, Run: 091, F, 93, 0, 200
INVAR-46, Run: 092, F, 101, 0, 200
INVAR-46, Run: 093, F, 112, 0, 200
INVAR-46, Run: 094, F, 108, 0, 200
INVAR-46, Run: 095, F, 105, 0, 200
INVAR-46, Run: 096, F, 88, 0, 200
INVAR-46, Run: 097, F, 103, 0, 200
INVAR-46, Run: 098, F, 111, 0, 200
INVAR-46, Run: 099, F, 104, 0, 200
INVAR-46, Run: 100, F, 105, 0, 200
INVAR-5, Run: 001, F, 107, 0, 63
INVAR-5, Run: 002, F, 99, 0, 63
