Input Number, Run_Number, Result@ 100, X, XP, Z, Y, YP
INVAR-10, Run: 034, P, 0, 42, 4923, 50, 0
INVAR-10, Run: 035, P, 0, 42, 5235, 50, 0
INVAR-10, Run: 036, P, 0, 42, 5004, 50, 0
INVAR-10, Run: 037, P, 0, 42, 5089, 50, 0
INVAR-10, Run: 038, P, 0, 42, 5057, 50, 0
INVAR-10, Run: 039, P, 0, 42, 4984, 50, 0
INVAR-10, Run: 040, P, 0, 42, 4936, 50, 0
INVAR-10, Run: 041, P, 0, 42, 4874, 50, 0
INVAR-10, Run: 042, P, 0, 42, 5098, 50, 0
INVAR-10, Run: 043, P, 0, 42, 5075, 50, 0
INVAR-10, Run: 044, P, 0, 42, 4993, 50, 0
INVAR-10, Run: 045, P, 0, 42, 5036, 50, 0
INVAR-10, Run: 046, P, 0, 42, 5005, 50, 0
INVAR-10, Run: 047, P, 0, 42, 5049, 50, 0
INVAR-10, Run: 048, P, 0, 42, 4976, 50, 0
INVAR-10, Run: 049, P, 0, 42, 5020, 50, 0
INVAR-10, Run: 050, P, 0, 42, 5101, 50, 0
INVAR-10, Run: 051, P, 0, 42, 4947, 50, 0
INVAR-10, Run: 052, P, 0, 42, 4973, 50, 0
INVAR-10, Run: 053, P, 0, 42, 5075, 50, 0
INVAR-10, Run: 054, P, 0, 42, 5042, 50, 0
INVAR-10, Run: 055, P, 0, 42, 5108, 50, 0
INVAR-10, Run: 056, P, 0, 42, 4896, 50, 0
INVAR-10, Run: 057, P, 0, 42, 5152, 50, 0
INVAR-10, Run: 058, P, 0, 42, 5025, 50, 0
INVAR-10, Run: 059, P, 0, 42, 5074, 50, 0
INVAR-10, Run: 060, P, 0, 42, 4978, 50, 0
INVAR-10, Run: 061, P, 0, 42, 4997, 50, 0
INVAR-10, Run: 062, P, 0, 42, 5102, 50, 0
INVAR-10, Run: 063, P, 0, 42, 5037, 50, 0
INVAR-10, Run: 064, P, 0, 42, 5043, 50, 0
INVAR-10, Run: 065, P, 0, 42, 4923, 50, 0
INVAR-10, Run: 066, P, 0, 42, 5038, 50, 0
INVAR-10, Run: 067, P, 0, 42, 5118, 50, 0
INVAR-10, Run: 068, P, 0, 42, 5128, 50, 0
INVAR-10, Run: 069, P, 0, 42, 5177, 50, 0
INVAR-10, Run: 070, P, 0, 42, 5016, 50, 0
INVAR-10, Run: 071, P, 0, 42, 5068, 50, 0
INVAR-10, Run: 072, P, 0, 42, 4978, 50, 0
INVAR-10, Run: 073, P, 0, 42, 5081, 50, 0
INVAR-10, Run: 074, P, 0, 42, 4976, 50, 0
INVAR-10, Run: 075, P, 0, 42, 5125, 50, 0
INVAR-10, Run: 076, P, 0, 42, 4949, 50, 0
INVAR-10, Run: 077, P, 0, 42, 4925, 50, 0
INVAR-10, Run: 078, P, 0, 42, 5024, 50, 0
INVAR-10, Run: 079, P, 0, 42, 4902, 50, 0
INVAR-10, Run: 080, P, 0, 42, 5032, 50, 0
INVAR-10, Run: 081, P, 0, 42, 5029, 50, 0
INVAR-10, Run: 082, P, 0, 42, 5029, 50, 0
INVAR-10, Run: 083, P, 0, 42, 5106, 50, 0
INVAR-10, Run: 084, P, 0, 42, 5166, 50, 0
INVAR-10, Run: 085, P, 0, 42, 5037, 50, 0
