Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F
INVAR-10, Run: 026, F, 438, 41424, 0, 0, 0, 0, 0, 162, 0, 1, 319, 0
INVAR-10, Run: 027, F, 570, 54547, 0, 0, 0, 0, 0, 30, 0, 1, 385, 0
INVAR-10, Run: 028, F, 500, 47347, 0, 0, 0, 0, 0, 100, 0, 1, 350, 0
INVAR-10, Run: 029, F, 564, 53352, 0, 0, 0, 0, 0, 36, 0, 1, 382, 0
INVAR-10, Run: 030, F, 568, 54278, 0, 0, 0, 0, 0, 32, 0, 1, 384, 0
INVAR-10, Run: 031, F, 576, 54385, 0, 0, 0, 0, 0, 24, 0, 1, 388, 0
INVAR-10, Run: 032, F, 578, 54638, 0, 0, 0, 0, 0, 22, 0, 1, 389, 0
INVAR-10, Run: 033, F, 534, 50917, 0, 0, 0, 0, 0, 66, 0, 1, 367, 0
INVAR-10, Run: 034, F, 582, 55571, 0, 0, 0, 0, 0, 18, 0, 1, 391, 0
INVAR-10, Run: 035, F, 572, 54389, 0, 0, 0, 0, 0, 28, 0, 1, 386, 0
INVAR-10, Run: 036, F, 580, 55002, 0, 0, 0, 0, 0, 20, 0, 1, 390, 0
INVAR-10, Run: 037, F, 560, 53173, 0, 0, 0, 0, 0, 40, 0, 1, 380, 0
INVAR-10, Run: 038, F, 574, 54712, 0, 0, 0, 0, 0, 26, 0, 1, 387, 0
INVAR-10, Run: 039, F, 526, 50014, 0, 0, 0, 0, 0, 74, 0, 1, 363, 0
INVAR-10, Run: 040, F, 480, 45247, 0, 0, 0, 0, 0, 120, 0, 1, 340, 0
INVAR-10, Run: 041, F, 418, 40057, 0, 0, 0, 0, 0, 182, 0, 1, 309, 0
INVAR-10, Run: 042, F, 600, 56918, 0, 0, 0, 0, 0, 0, 0, 1, 400, 0
INVAR-10, Run: 043, F, 538, 50844, 0, 0, 0, 0, 0, 62, 0, 1, 369, 0
INVAR-10, Run: 044, F, 456, 43083, 0, 0, 0, 0, 0, 144, 0, 1, 328, 0
INVAR-10, Run: 045, F, 314, 30037, 0, 0, 0, 0, 0, 286, 0, 1, 257, 0
INVAR-10, Run: 046, F, 428, 41139, 0, 0, 0, 0, 0, 172, 0, 1, 314, 0
INVAR-10, Run: 047, F, 442, 42265, 0, 0, 0, 0, 0, 158, 0, 1, 321, 0
INVAR-10, Run: 048, F, 516, 48748, 0, 0, 0, 0, 0, 84, 0, 1, 358, 0
INVAR-10, Run: 049, F, 570, 54521, 0, 0, 0, 0, 0, 30, 0, 1, 385, 0
INVAR-10, Run: 050, F, 582, 55468, 0, 0, 0, 0, 0, 18, 0, 1, 391, 0
INVAR-10, Run: 051, F, 526, 50097, 0, 0, 0, 0, 0, 74, 0, 1, 363, 0
INVAR-10, Run: 052, F, 426, 40447, 0, 0, 0, 0, 0, 174, 0, 1, 313, 0
INVAR-10, Run: 053, F, 554, 52663, 0, 0, 0, 0, 0, 46, 0, 1, 377, 0
INVAR-10, Run: 054, F, 492, 47031, 0, 0, 0, 0, 0, 108, 0, 1, 346, 0
INVAR-10, Run: 055, F, 594, 56569, 0, 0, 0, 0, 0, 6, 0, 1, 397, 0
INVAR-10, Run: 056, F, 462, 43652, 0, 0, 0, 0, 0, 138, 0, 1, 331, 0
INVAR-10, Run: 057, F, 580, 55468, 0, 0, 0, 0, 0, 20, 0, 1, 390, 0
INVAR-10, Run: 058, F, 492, 46401, 0, 0, 0, 0, 0, 108, 0, 1, 346, 0
INVAR-10, Run: 059, F, 408, 39065, 0, 0, 0, 0, 0, 192, 0, 1, 304, 0
INVAR-10, Run: 060, F, 318, 30306, 0, 0, 0, 0, 0, 282, 0, 1, 259, 0
INVAR-10, Run: 061, F, 590, 55935, 0, 0, 0, 0, 0, 10, 0, 1, 395, 0
INVAR-10, Run: 062, F, 578, 54895, 0, 0, 0, 0, 0, 22, 0, 1, 389, 0
INVAR-10, Run: 063, F, 584, 55476, 0, 0, 0, 0, 0, 16, 0, 1, 392, 0
INVAR-10, Run: 064, F, 564, 53555, 0, 0, 0, 0, 0, 36, 0, 1, 382, 0
INVAR-10, Run: 065, F, 568, 53613, 0, 0, 0, 0, 0, 32, 0, 1, 384, 0
INVAR-10, Run: 066, F, 522, 50341, 0, 0, 0, 0, 0, 78, 0, 1, 361, 0
INVAR-10, Run: 067, F, 570, 54113, 0, 0, 0, 0, 0, 30, 0, 1, 385, 0
INVAR-10, Run: 068, F, 430, 40968, 0, 0, 0, 0, 0, 170, 0, 1, 315, 0
INVAR-10, Run: 069, F, 548, 51412, 0, 0, 0, 0, 0, 52, 0, 1, 374, 0
INVAR-10, Run: 070, F, 566, 53306, 0, 0, 0, 0, 0, 34, 0, 1, 383, 0
INVAR-10, Run: 071, F, 588, 56025, 0, 0, 0, 0, 0, 12, 0, 1, 394, 0
INVAR-10, Run: 072, F, 518, 49054, 0, 0, 0, 0, 0, 82, 0, 1, 359, 0
INVAR-10, Run: 073, F, 530, 50309, 0, 0, 0, 0, 0, 70, 0, 1, 365, 0
INVAR-10, Run: 074, F, 518, 49110, 0, 0, 0, 0, 0, 82, 0, 1, 359, 0
INVAR-10, Run: 075, F, 406, 38800, 0, 0, 0, 0, 0, 194, 0, 1, 303, 0
INVAR-10, Run: 076, F, 398, 37911, 0, 0, 0, 0, 0, 202, 0, 1, 299, 0
INVAR-10, Run: 077, F, 560, 52494, 0, 0, 0, 0, 0, 40, 0, 1, 380, 0
INVAR-10, Run: 078, F, 558, 53249, 0, 0, 0, 0, 0, 42, 0, 1, 379, 0
INVAR-10, Run: 079, F, 594, 56061, 0, 0, 0, 0, 0, 6, 0, 1, 397, 0
INVAR-10, Run: 080, F, 500, 47841, 0, 0, 0, 0, 0, 100, 0, 1, 350, 0
INVAR-10, Run: 081, F, 524, 49525, 0, 0, 0, 0, 0, 76, 0, 1, 362, 0
INVAR-10, Run: 082, F, 574, 54491, 0, 0, 0, 0, 0, 26, 0, 1, 387, 0
INVAR-10, Run: 083, F, 460, 43089, 0, 0, 0, 0, 0, 140, 0, 1, 330, 0
INVAR-10, Run: 084, F, 560, 53548, 0, 0, 0, 0, 0, 40, 0, 1, 380, 0
INVAR-10, Run: 085, F, 600, 56947, 0, 0, 0, 0, 0, 0, 0, 1, 400, 0
INVAR-10, Run: 086, F, 452, 42752, 0, 0, 0, 0, 0, 148, 0, 1, 326, 0
INVAR-10, Run: 087, F, 458, 43312, 0, 0, 0, 0, 0, 142, 0, 1, 329, 0
INVAR-10, Run: 088, F, 476, 45474, 0, 0, 0, 0, 0, 124, 0, 1, 338, 0
INVAR-10, Run: 089, F, 526, 50424, 0, 0, 0, 0, 0, 74, 0, 1, 363, 0
INVAR-10, Run: 090, F, 416, 39739, 0, 0, 0, 0, 0, 184, 0, 1, 308, 0
INVAR-10, Run: 091, F, 568, 53955, 0, 0, 0, 0, 0, 32, 0, 1, 384, 0
INVAR-10, Run: 092, F, 546, 51338, 0, 0, 0, 0, 0, 54, 0, 1, 373, 0
INVAR-10, Run: 093, F, 578, 54952, 0, 0, 0, 0, 0, 22, 0, 1, 389, 0
INVAR-10, Run: 094, F, 400, 37956, 0, 0, 0, 0, 0, 200, 0, 1, 300, 0
INVAR-10, Run: 095, F, 482, 46081, 0, 0, 0, 0, 0, 118, 0, 1, 341, 0
INVAR-10, Run: 096, F, 480, 45601, 0, 0, 0, 0, 0, 120, 0, 1, 340, 0
INVAR-10, Run: 097, F, 262, 24860, 0, 0, 0, 0, 0, 338, 0, 1, 231, 0
INVAR-10, Run: 098, F, 514, 48958, 0, 0, 0, 0, 0, 86, 0, 1, 357, 0
INVAR-10, Run: 099, F, 322, 31110, 0, 0, 0, 0, 0, 278, 0, 1, 261, 0
INVAR-10, Run: 100, F, 298, 28323, 0, 0, 0, 0, 0, 302, 0, 1, 249, 0
INVAR-2, Run: 001, F, 110, 10466, 0, 0, 0, 0, 0, 58, 0, 1, 83, 0
