Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y
INVAR-10, Run: 027, P, 14, 1467, 0, 0, 0, 0, 5
INVAR-10, Run: 028, P, 14, 1359, 0, 0, 0, 0, 5
INVAR-10, Run: 029, P, 13, 1316, 0, 0, 0, 0, 5
INVAR-10, Run: 030, P, 13, 1303, 0, 0, 0, 0, 5
INVAR-10, Run: 031, P, 14, 1354, 0, 0, 0, 0, 5
INVAR-10, Run: 032, P, 13, 1305, 0, 0, 0, 0, 5
INVAR-10, Run: 033, P, 13, 1365, 0, 0, 0, 0, 5
INVAR-10, Run: 034, P, 13, 1320, 0, 0, 0, 0, 5
INVAR-10, Run: 035, P, 15, 1516, 0, 0, 0, 0, 5
INVAR-10, Run: 036, P, 13, 1388, 0, 0, 0, 0, 5
INVAR-10, Run: 037, P, 13, 1316, 0, 0, 0, 0, 5
INVAR-10, Run: 038, P, 13, 1378, 0, 0, 0, 0, 5
INVAR-10, Run: 039, P, 15, 1568, 0, 0, 0, 0, 5
INVAR-10, Run: 040, P, 13, 1296, 0, 0, 0, 0, 5
INVAR-10, Run: 041, P, 13, 1273, 0, 0, 0, 0, 5
INVAR-10, Run: 042, P, 13, 1285, 0, 0, 0, 0, 5
INVAR-10, Run: 043, P, 13, 1316, 0, 0, 0, 0, 5
INVAR-10, Run: 044, P, 13, 1306, 0, 0, 0, 0, 5
INVAR-10, Run: 045, P, 13, 1280, 0, 0, 0, 0, 5
INVAR-10, Run: 046, P, 13, 1237, 0, 0, 0, 0, 5
INVAR-10, Run: 047, P, 15, 1468, 0, 0, 0, 0, 5
INVAR-10, Run: 048, P, 13, 1348, 0, 0, 0, 0, 5
INVAR-10, Run: 049, P, 14, 1345, 0, 0, 0, 0, 5
INVAR-10, Run: 050, P, 14, 1366, 0, 0, 0, 0, 5
INVAR-10, Run: 051, P, 14, 1399, 0, 0, 0, 0, 5
INVAR-10, Run: 052, P, 13, 1339, 0, 0, 0, 0, 5
INVAR-10, Run: 053, P, 14, 1412, 0, 0, 0, 0, 5
INVAR-10, Run: 054, P, 13, 1285, 0, 0, 0, 0, 5
INVAR-10, Run: 055, P, 13, 1295, 0, 0, 0, 0, 5
INVAR-10, Run: 056, P, 13, 1343, 0, 0, 0, 0, 5
INVAR-10, Run: 057, P, 13, 1279, 0, 0, 0, 0, 5
INVAR-10, Run: 058, P, 14, 1396, 0, 0, 0, 0, 5
INVAR-10, Run: 059, P, 13, 1297, 0, 0, 0, 0, 5
INVAR-10, Run: 060, P, 13, 1317, 0, 0, 0, 0, 5
INVAR-10, Run: 061, P, 14, 1411, 0, 0, 0, 0, 5
INVAR-10, Run: 062, P, 13, 1280, 0, 0, 0, 0, 5
INVAR-10, Run: 063, P, 14, 1426, 0, 0, 0, 0, 5
INVAR-10, Run: 064, P, 13, 1280, 0, 0, 0, 0, 5
INVAR-10, Run: 065, P, 13, 1319, 0, 0, 0, 0, 5
INVAR-10, Run: 066, P, 14, 1429, 0, 0, 0, 0, 5
INVAR-10, Run: 067, P, 14, 1476, 0, 0, 0, 0, 5
INVAR-10, Run: 068, P, 14, 1432, 0, 0, 0, 0, 5
INVAR-10, Run: 069, P, 13, 1285, 0, 0, 0, 0, 5
INVAR-10, Run: 070, P, 13, 1257, 0, 0, 0, 0, 5
INVAR-10, Run: 071, P, 13, 1293, 0, 0, 0, 0, 5
INVAR-10, Run: 072, P, 13, 1321, 0, 0, 0, 0, 5
INVAR-10, Run: 073, P, 14, 1451, 0, 0, 0, 0, 5
INVAR-10, Run: 074, P, 13, 1293, 0, 0, 0, 0, 5
INVAR-10, Run: 075, P, 13, 1336, 0, 0, 0, 0, 5
INVAR-10, Run: 076, P, 14, 1413, 0, 0, 0, 0, 5
INVAR-10, Run: 077, P, 13, 1270, 0, 0, 0, 0, 5
INVAR-10, Run: 078, P, 14, 1441, 0, 0, 0, 0, 5
INVAR-10, Run: 079, P, 13, 1321, 0, 0, 0, 0, 5
INVAR-10, Run: 080, P, 13, 1303, 0, 0, 0, 0, 5
INVAR-10, Run: 081, P, 13, 1281, 0, 0, 0, 0, 5
INVAR-10, Run: 082, P, 13, 1280, 0, 0, 0, 0, 5
INVAR-10, Run: 083, P, 14, 1429, 0, 0, 0, 0, 5
INVAR-10, Run: 084, P, 14, 1407, 0, 0, 0, 0, 5
INVAR-10, Run: 085, P, 13, 1414, 0, 0, 0, 0, 5
INVAR-10, Run: 086, P, 13, 1261, 0, 0, 0, 0, 5
INVAR-10, Run: 087, P, 14, 1451, 0, 0, 0, 0, 5
INVAR-10, Run: 088, P, 13, 1271, 0, 0, 0, 0, 5
INVAR-10, Run: 089, P, 13, 1299, 0, 0, 0, 0, 5
INVAR-10, Run: 090, P, 13, 1234, 0, 0, 0, 0, 5
INVAR-10, Run: 091, P, 13, 1318, 0, 0, 0, 0, 5
INVAR-10, Run: 092, P, 14, 1402, 0, 0, 0, 0, 5
INVAR-10, Run: 093, P, 13, 1191, 0, 0, 0, 0, 5
INVAR-10, Run: 094, P, 14, 1354, 0, 0, 0, 0, 5
INVAR-10, Run: 095, P, 13, 1318, 0, 0, 0, 0, 5
INVAR-10, Run: 096, P, 13, 1247, 0, 0, 0, 0, 5
INVAR-10, Run: 097, P, 14, 1337, 0, 0, 0, 0, 5
INVAR-10, Run: 098, P, 13, 1252, 0, 0, 0, 0, 5
INVAR-10, Run: 099, P, 14, 1380, 0, 0, 0, 0, 5
INVAR-10, Run: 100, P, 13, 1278, 0, 0, 0, 0, 5
INVAR-11, Run: 001, P, 81, 8250, 0, 0, 0, 0, 5
INVAR-11, Run: 002, P, 81, 8206, 0, 0, 0, 0, 5
INVAR-11, Run: 003, P, 81, 8145, 0, 0, 0, 0, 5
INVAR-11, Run: 004, P, 81, 8281, 0, 0, 0, 0, 5
