Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9, NEW_REACTION
INVAR-1, Run: 018, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 2, 51, 7, 3, 3, 9, 18, 27, 11, 51, 4
INVAR-1, Run: 019, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 4, 74, 7, 3, 3, 9, 18, 27, 13, 74, 4
INVAR-1, Run: 020, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 7, 55, 7, 4, 2, 9, 18, 27, 16, 55, 4
INVAR-1, Run: 021, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 5, 82, 6, 4, 1, 9, 18, 27, 14, 82, 6
INVAR-1, Run: 022, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 10, 143, 7, 4, 2, 9, 18, 27, 19, 143, 4
INVAR-1, Run: 023, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 3, 45, 6, 4, 1, 9, 18, 27, 12, 45, 6
INVAR-1, Run: 024, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 2, 64, 6, 3, 2, 9, 18, 27, 11, 64, 6
INVAR-1, Run: 025, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 2, 30, 6, 4, 1, 9, 18, 27, 11, 30, 6
INVAR-1, Run: 026, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 4, 77, 6, 4, 1, 9, 18, 27, 13, 77, 6
INVAR-1, Run: 027, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 1, 65, 7, 5, 1, 9, 18, 27, 10, 65, 4
INVAR-1, Run: 028, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 8, 41, 7, 5, 1, 9, 18, 27, 17, 41, 4
INVAR-1, Run: 029, F, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 18, 9, 74, 8, 5, 2, 9, 18, 27, 18, 74, 2
INVAR-1, Run: 030, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 1, 58, 7, 5, 1, 9, 18, 27, 10, 58, 4
INVAR-1, Run: 031, F, 0, 0, 0, 0, 3, 3, 0, 0, 1, 54, 0, 18, 5, 163, 6, 5, 0, 9, 18, 27, 14, 163, 6
INVAR-1, Run: 032, F, 0, 0, 0, 1, 0, 54, 4, 54, 0, 0, 0, 18, 4, 14, 6, 4, 2, 9, 18, 27, 9, 68, 5
INVAR-1, Run: 033, F, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 18, 5, 39, 7, 5, 1, 9, 18, 27, 14, 39, 4
