Input Number, Run_Number, Result@ 100, C, F, D, X1, A, B, PO, CO, Y, PE, CE, E
4, Run: 027, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 028, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 029, F, 0, 1, 0, 0, 1, 0, 1, 150, 150, 0, 0, 19
4, Run: 030, F, 0, 0, 0, 0, 1, 0, 1, 135, 135, 0, 0, 19
4, Run: 031, F, 0, 0, 0, 0, 1, 0, 1, 135, 135, 0, 0, 19
4, Run: 032, F, 0, 1, 0, 0, 1, 0, 1, 146, 146, 0, 0, 19
4, Run: 033, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 034, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 035, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 036, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 037, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 038, F, 0, 0, 0, 0, 1, 0, 1, 159, 159, 0, 0, 19
4, Run: 039, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 040, F, 0, 0, 0, 0, 1, 0, 1, 139, 139, 0, 0, 19
4, Run: 041, F, 0, 1, 0, 0, 1, 0, 1, 146, 146, 0, 0, 19
4, Run: 042, F, 0, 0, 0, 0, 1, 0, 1, 159, 159, 0, 0, 19
4, Run: 043, F, 0, 1, 0, 0, 1, 0, 1, 154, 154, 0, 0, 19
4, Run: 044, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 045, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 046, F, 0, 0, 0, 0, 1, 0, 1, 167, 167, 0, 0, 19
4, Run: 047, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 048, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 049, F, 0, 1, 0, 0, 1, 0, 1, 154, 154, 0, 0, 19
4, Run: 050, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 051, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 052, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 053, F, 0, 1, 0, 0, 1, 0, 1, 150, 150, 0, 0, 19
4, Run: 054, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 055, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 056, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 057, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 058, F, 0, 0, 0, 0, 1, 0, 1, 167, 167, 0, 0, 19
4, Run: 059, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 060, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 061, F, 0, 0, 0, 0, 1, 0, 1, 159, 159, 0, 0, 19
4, Run: 062, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 063, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 064, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 065, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 066, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 067, F, 0, 0, 0, 0, 1, 0, 1, 159, 159, 0, 0, 19
4, Run: 068, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 069, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 070, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 071, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 072, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 073, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 074, F, 0, 0, 0, 0, 1, 0, 1, 135, 135, 0, 0, 19
4, Run: 075, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 076, F, 0, 1, 0, 0, 1, 0, 1, 142, 142, 0, 0, 19
4, Run: 077, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 078, F, 0, 0, 0, 0, 1, 0, 1, 139, 139, 0, 0, 19
4, Run: 079, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 080, F, 0, 0, 0, 0, 1, 0, 1, 159, 159, 0, 0, 19
4, Run: 081, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 082, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 083, F, 0, 0, 0, 0, 1, 0, 1, 163, 163, 0, 0, 19
4, Run: 084, F, 0, 1, 0, 0, 1, 0, 1, 150, 150, 0, 0, 19
4, Run: 085, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 086, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 087, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 088, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 089, F, 0, 0, 0, 0, 1, 0, 1, 159, 159, 0, 0, 19
4, Run: 090, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 091, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 092, F, 0, 0, 0, 0, 1, 0, 1, 139, 139, 0, 0, 19
4, Run: 093, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 094, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 095, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 096, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 097, F, 0, 1, 0, 0, 1, 0, 1, 150, 150, 0, 0, 19
4, Run: 098, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 099, F, 0, 0, 0, 0, 1, 0, 1, 139, 139, 0, 0, 19
4, Run: 100, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
5, Run: 001, F, 0, 0, 0, 0, 1, 0, 1, 213, 213, 0, 0, 26
5, Run: 002, F, 0, 1, 0, 0, 1, 0, 1, 208, 208, 0, 0, 26
5, Run: 003, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 004, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 005, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 006, F, 0, 1, 0, 0, 1, 0, 1, 196, 196, 0, 0, 26
5, Run: 007, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 008, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 009, F, 0, 1, 0, 0, 1, 0, 1, 220, 220, 0, 0, 26
5, Run: 010, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 011, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 012, F, 0, 1, 0, 0, 1, 0, 1, 192, 192, 0, 0, 26
5, Run: 013, F, 0, 0, 0, 0, 1, 0, 1, 213, 213, 0, 0, 26
5, Run: 014, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 015, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 016, F, 0, 1, 0, 0, 1, 0, 1, 192, 192, 0, 0, 26
5, Run: 017, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 018, F, 0, 0, 0, 0, 1, 0, 1, 197, 197, 0, 0, 26
5, Run: 019, F, 0, 0, 0, 0, 1, 0, 1, 213, 213, 0, 0, 26
5, Run: 020, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 021, F, 0, 0, 0, 0, 1, 0, 1, 197, 197, 0, 0, 26
5, Run: 022, F, 0, 0, 0, 0, 1, 0, 1, 209, 209, 0, 0, 26
5, Run: 023, F, 0, 0, 0, 0, 1, 0, 1, 217, 217, 0, 0, 26
5, Run: 024, F, 0, 1, 0, 0, 1, 0, 1, 204, 204, 0, 0, 26
5, Run: 025, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 026, F, 0, 1, 0, 0, 1, 0, 1, 204, 204, 0, 0, 26
5, Run: 027, F, 0, 1, 0, 0, 1, 0, 1, 196, 196, 0, 0, 26
5, Run: 028, F, 0, 0, 0, 0, 1, 0, 1, 213, 213, 0, 0, 26
5, Run: 029, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 030, F, 0, 0, 0, 0, 1, 0, 1, 213, 213, 0, 0, 26
5, Run: 031, F, 0, 0, 0, 0, 1, 0, 1, 193, 193, 0, 0, 26
5, Run: 032, F, 0, 0, 0, 0, 1, 0, 1, 193, 193, 0, 0, 26
5, Run: 033, F, 0, 0, 0, 0, 1, 0, 1, 197, 197, 0, 0, 26
5, Run: 034, F, 0, 0, 0, 0, 1, 0, 1, 209, 209, 0, 0, 26
5, Run: 035, F, 0, 0, 0, 0, 1, 0, 1, 213, 213, 0, 0, 26
5, Run: 036, F, 0, 1, 0, 0, 1, 0, 1, 208, 208, 0, 0, 26
5, Run: 037, F, 0, 1, 0, 0, 1, 0, 1, 200, 200, 0, 0, 26
5, Run: 038, F, 0, 0, 0, 0, 1, 0, 1, 209, 209, 0, 0, 26
5, Run: 039, F, 0, 1, 0, 0, 1, 0, 1, 204, 204, 0, 0, 26
5, Run: 040, F, 0, 0, 0, 0, 1, 0, 1, 193, 193, 0, 0, 26
5, Run: 041, F, 0, 0, 0, 0, 1, 0, 1, 209, 209, 0, 0, 26
5, Run: 042, F, 0, 0, 0, 0, 1, 0, 1, 189, 189, 0, 0, 26
5, Run: 043, F, 0, 1, 0, 0, 1, 0, 1, 188, 188, 0, 0, 26
5, Run: 044, F, 0, 0, 0, 0, 1, 0, 1, 221, 221, 0, 0, 26
5, Run: 045, F, 0, 0, 0, 0, 1, 0, 1, 189, 189, 0, 0, 26
5, Run: 046, F, 0, 0, 0, 0, 1, 0, 1, 197, 197, 0, 0, 26
5, Run: 047, F, 0, 0, 0, 0, 1, 0, 1, 193, 193, 0, 0, 26
5, Run: 048, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 049, F, 0, 1, 0, 0, 1, 0, 1, 200, 200, 0, 0, 26
5, Run: 050, F, 0, 0, 0, 0, 1, 0, 1, 197, 197, 0, 0, 26
5, Run: 051, F, 0, 0, 0, 0, 1, 0, 1, 193, 193, 0, 0, 26
5, Run: 052, F, 0, 1, 0, 0, 1, 0, 1, 188, 188, 0, 0, 26
5, Run: 053, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 054, F, 0, 0, 0, 0, 1, 0, 1, 221, 221, 0, 0, 26
5, Run: 055, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
