Input Number, Run_Number, Result@ 100, F, Y, CE, X1, A, B, C, PO, D, CO, PE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 034, P, 0, 0, 4, 0, 0, 0, 0, 0, 58, 0, 1, 9, 4, 18, 49, 12, 12, 49, 9, 6, 2, 9, 7, 18, 76, 36
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 1, 11, 4, 18, 71, 11, 15, 67, 9, 7, 1, 11, 7, 18, 30, 13
INVAR-1, Run: 036, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 119, 8, 10, 117, 9, 6, 2, 10, 7, 18, 46, 21
INVAR-1, Run: 037, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 6, 1, 12, 8, 18, 151, 3, 9, 145, 9, 7, 1, 12, 5, 18, 30, 11
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 131, 3, 11, 123, 9, 7, 1, 13, 5, 18, 30, 11
INVAR-1, Run: 039, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 6, 1, 12, 8, 18, 87, 8, 14, 81, 9, 7, 1, 12, 5, 18, 34, 13
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 1, 12, 6, 18, 113, 8, 14, 107, 9, 3, 5, 12, 6, 18, 36, 15
INVAR-1, Run: 041, P, 0, 0, 2, 0, 0, 0, 0, 0, 56, 2, 1, 10, 4, 18, 70, 13, 15, 68, 9, 7, 1, 10, 7, 18, 60, 28
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 1, 13, 8, 18, 91, 10, 18, 83, 9, 7, 1, 13, 5, 18, 46, 19
INVAR-1, Run: 043, P, 0, 0, 4, 0, 0, 0, 0, 0, 58, 4, 1, 11, 8, 18, 100, 5, 9, 96, 9, 8, 0, 11, 5, 18, 22, 7
INVAR-1, Run: 044, P, 0, 0, 6, 0, 0, 0, 0, 0, 60, 0, 1, 9, 6, 18, 67, 7, 7, 67, 9, 5, 3, 9, 6, 18, 38, 16
INVAR-1, Run: 045, P, 1, 0, 1, 0, 0, 0, 0, 0, 56, 4, 1, 11, 5, 18, 82, 3, 7, 78, 9, 5, 3, 11, 6, 18, 18, 6
