Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 061, P, 169, 0, 0, 0, 0, 0, 89, 0, 1, 54, 0, 80, 18, 40, 153, 9, 4, 4, 9, 18, 27, 129, 153
INVAR-1, Run: 062, P, 207, 0, 0, 0, 0, 0, 108, 0, 1, 54, 0, 99, 18, 34, 173, 9, 6, 2, 9, 18, 27, 142, 173
INVAR-1, Run: 063, P, 230, 1, 0, 0, 0, 0, 119, 0, 1, 54, 0, 111, 18, 10, 107, 9, 8, 0, 9, 18, 27, 129, 107
INVAR-1, Run: 064, P, 219, 2, 0, 0, 0, 0, 113, 0, 1, 54, 0, 106, 18, 22, 176, 9, 6, 2, 9, 18, 27, 135, 176
INVAR-1, Run: 065, P, 189, 0, 0, 0, 0, 0, 99, 0, 1, 54, 0, 90, 18, 19, 32, 9, 3, 5, 9, 18, 27, 118, 32
INVAR-1, Run: 066, P, 231, 0, 0, 0, 0, 0, 120, 0, 1, 54, 0, 111, 18, 46, 107, 9, 5, 3, 9, 18, 27, 166, 107
INVAR-1, Run: 067, P, 223, 2, 0, 0, 0, 0, 115, 0, 1, 54, 0, 108, 18, 61, 91, 9, 6, 2, 9, 18, 27, 176, 91
INVAR-1, Run: 068, P, 204, 1, 0, 0, 0, 0, 106, 0, 1, 54, 0, 98, 18, 31, 152, 9, 5, 3, 9, 18, 27, 137, 152
INVAR-1, Run: 069, P, 198, 1, 0, 0, 0, 0, 103, 0, 1, 54, 0, 95, 18, 24, 75, 9, 7, 1, 9, 18, 27, 127, 75
INVAR-1, Run: 070, P, 169, 0, 0, 0, 0, 0, 89, 0, 1, 54, 0, 80, 18, 17, 76, 9, 6, 2, 9, 18, 27, 106, 76
INVAR-1, Run: 071, P, 199, 0, 0, 0, 0, 0, 104, 0, 1, 54, 0, 95, 18, 21, 110, 9, 5, 3, 9, 18, 27, 125, 110
INVAR-1, Run: 072, P, 207, 2, 0, 0, 0, 0, 107, 0, 1, 54, 0, 100, 18, 18, 62, 9, 6, 2, 9, 18, 27, 125, 62
INVAR-1, Run: 073, P, 211, 2, 0, 0, 0, 0, 109, 0, 1, 54, 0, 102, 18, 20, 139, 9, 5, 3, 9, 18, 27, 129, 139
INVAR-1, Run: 074, P, 225, 2, 0, 0, 0, 0, 116, 0, 1, 54, 0, 109, 18, 46, 156, 9, 4, 4, 9, 18, 27, 162, 156
INVAR-1, Run: 075, P, 213, 4, 0, 0, 0, 0, 109, 0, 1, 54, 0, 104, 18, 20, 111, 9, 6, 2, 9, 18, 27, 129, 111
INVAR-1, Run: 076, P, 190, 1, 0, 0, 0, 0, 99, 0, 1, 54, 0, 91, 18, 36, 146, 9, 6, 2, 9, 18, 27, 135, 146
INVAR-1, Run: 077, P, 205, 0, 0, 0, 0, 0, 107, 0, 1, 54, 0, 98, 18, 14, 114, 9, 6, 2, 9, 18, 27, 121, 114
INVAR-1, Run: 078, P, 191, 0, 0, 0, 0, 0, 100, 0, 1, 54, 0, 91, 18, 40, 76, 9, 3, 5, 9, 18, 27, 140, 76
INVAR-1, Run: 079, P, 195, 2, 0, 0, 0, 0, 101, 0, 1, 54, 0, 94, 18, 30, 85, 9, 8, 0, 9, 18, 27, 131, 85
INVAR-1, Run: 080, P, 197, 0, 0, 0, 0, 0, 103, 0, 1, 54, 0, 94, 18, 46, 91, 9, 5, 3, 9, 18, 27, 149, 91
INVAR-1, Run: 081, P, 203, 2, 0, 0, 0, 0, 105, 0, 1, 54, 0, 98, 18, 32, 64, 9, 3, 5, 9, 18, 27, 137, 64
INVAR-1, Run: 082, P, 191, 0, 0, 0, 0, 0, 100, 0, 1, 54, 0, 91, 18, 34, 106, 9, 5, 3, 9, 18, 27, 134, 106
INVAR-1, Run: 083, P, 220, 1, 0, 0, 0, 0, 114, 0, 1, 54, 0, 106, 18, 22, 60, 9, 7, 1, 9, 18, 27, 136, 60
INVAR-1, Run: 084, P, 214, 1, 0, 0, 0, 0, 111, 0, 1, 54, 0, 103, 18, 21, 73, 9, 4, 4, 9, 18, 27, 132, 73
INVAR-1, Run: 085, P, 197, 2, 0, 0, 0, 0, 102, 0, 1, 54, 0, 95, 18, 33, 74, 9, 5, 3, 9, 18, 27, 135, 74
INVAR-1, Run: 086, P, 209, 2, 0, 0, 0, 0, 108, 0, 1, 54, 0, 101, 18, 24, 62, 9, 6, 2, 9, 18, 27, 132, 62
INVAR-1, Run: 087, P, 226, 1, 0, 0, 0, 0, 117, 0, 1, 54, 0, 109, 18, 21, 91, 9, 5, 3, 9, 18, 27, 138, 91
INVAR-1, Run: 088, P, 215, 0, 0, 0, 0, 0, 112, 0, 1, 54, 0, 103, 18, 32, 162, 9, 6, 2, 9, 18, 27, 144, 162
INVAR-1, Run: 089, P, 184, 1, 0, 0, 0, 0, 96, 0, 1, 54, 0, 88, 18, 42, 147, 9, 4, 4, 9, 18, 27, 138, 147
INVAR-1, Run: 090, P, 202, 1, 0, 0, 0, 0, 105, 0, 1, 54, 0, 97, 18, 26, 123, 9, 5, 3, 9, 18, 27, 131, 123
INVAR-1, Run: 091, P, 168, 1, 0, 0, 0, 0, 88, 0, 1, 54, 0, 80, 18, 43, 121, 9, 3, 5, 9, 18, 27, 131, 121
INVAR-1, Run: 092, P, 214, 3, 0, 0, 0, 0, 110, 0, 1, 54, 0, 104, 18, 15, 75, 9, 3, 5, 9, 18, 27, 125, 75
INVAR-1, Run: 093, P, 207, 0, 0, 0, 0, 0, 108, 0, 1, 54, 0, 99, 18, 41, 118, 9, 5, 3, 9, 18, 27, 149, 118
INVAR-1, Run: 094, P, 206, 3, 0, 0, 0, 0, 106, 0, 1, 54, 0, 100, 18, 23, 107, 9, 6, 2, 9, 18, 27, 129, 107
INVAR-1, Run: 095, P, 218, 1, 0, 0, 0, 0, 113, 0, 1, 54, 0, 105, 18, 15, 111, 9, 6, 2, 9, 18, 27, 128, 111
INVAR-1, Run: 096, P, 221, 2, 0, 0, 0, 0, 114, 0, 1, 54, 0, 107, 18, 28, 130, 9, 5, 3, 9, 18, 27, 142, 130
INVAR-1, Run: 097, P, 208, 1, 0, 0, 0, 0, 108, 0, 1, 54, 0, 100, 18, 45, 150, 9, 4, 4, 9, 18, 27, 153, 150
INVAR-1, Run: 098, P, 182, 1, 0, 0, 0, 0, 95, 0, 1, 54, 0, 87, 18, 43, 110, 9, 7, 1, 9, 18, 27, 138, 110
INVAR-1, Run: 099, P, 203, 0, 0, 0, 0, 0, 106, 0, 1, 54, 0, 97, 18, 13, 56, 9, 3, 5, 9, 18, 27, 119, 56
INVAR-1, Run: 100, P, 208, 1, 0, 0, 0, 0, 108, 0, 1, 54, 0, 100, 18, 50, 145, 9, 4, 4, 9, 18, 27, 158, 145
INVAR-10, Run: 001, P, 293, 1, 0, 0, 0, 0, 196, 0, 1, 600, 0, 97, 200, 877, 5338, 100, 56, 43, 100, 200, 300, 1073, 5338
INVAR-10, Run: 002, P, 308, 2, 0, 0, 0, 0, 203, 0, 1, 600, 0, 105, 200, 777, 4853, 100, 56, 43, 100, 200, 300, 980, 4853
INVAR-10, Run: 003, P, 315, 1, 0, 0, 0, 0, 207, 0, 1, 600, 0, 108, 200, 668, 4650, 100, 56, 43, 100, 200, 300, 875, 4650
