Input Number, Run_Number, Result@ 100, X1, X2, U, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-10, Run: 012, P, 0, 0, 0, 12, 6, 7, 1, 2
INVAR-10, Run: 013, P, 0, 11, 0, 1, 1, 1, 7, 7
INVAR-10, Run: 014, P, 0, 10, 0, 2, 7, 3, 12, 8
INVAR-10, Run: 015, P, 0, 0, 0, 12, 7, 12, 2, 7
INVAR-10, Run: 016, P, 0, 0, 0, 12, 6, 9, 1, 4
INVAR-10, Run: 017, P, 0, 0, 0, 12, 5, 12, 0, 7
INVAR-10, Run: 018, P, 0, 0, 0, 12, 9, 10, 4, 5
INVAR-10, Run: 019, P, 0, 10, 0, 2, 1, 0, 6, 5
INVAR-10, Run: 020, P, 0, 8, 0, 4, 8, 4, 11, 7
INVAR-10, Run: 021, P, 0, 0, 0, 12, 5, 6, 0, 1
INVAR-10, Run: 022, P, 0, 0, 0, 12, 11, 15, 6, 10
INVAR-10, Run: 023, P, 0, 8, 0, 4, 4, 1, 7, 4
INVAR-10, Run: 024, P, 0, 8, 0, 4, 1, 3, 4, 6
INVAR-10, Run: 025, P, 0, 0, 0, 12, 5, 7, 0, 2
INVAR-10, Run: 026, P, 0, 10, 0, 2, 5, 2, 10, 7
INVAR-10, Run: 027, P, 0, 8, 0, 4, 15, 10, 18, 13
INVAR-10, Run: 028, P, 0, 11, 0, 1, 5, 2, 11, 8
INVAR-10, Run: 029, P, 0, 11, 0, 1, 9, 4, 15, 10
INVAR-10, Run: 030, P, 0, 0, 0, 12, 5, 8, 0, 3
INVAR-10, Run: 031, P, 0, 0, 0, 12, 8, 12, 3, 7
INVAR-10, Run: 032, P, 0, 10, 0, 2, 5, 1, 10, 6
INVAR-10, Run: 033, P, 0, 0, 0, 12, 5, 8, 0, 3
INVAR-10, Run: 034, P, 0, 0, 0, 12, 10, 20, 5, 15
INVAR-10, Run: 035, P, 0, 9, 0, 3, 10, 8, 14, 12
INVAR-10, Run: 036, P, 0, 0, 0, 12, 7, 5, 2, 0
INVAR-10, Run: 037, P, 0, 0, 0, 12, 6, 8, 1, 3
INVAR-10, Run: 038, P, 0, 0, 0, 12, 5, 7, 0, 2
INVAR-10, Run: 039, P, 0, 10, 0, 2, 2, 0, 7, 5
INVAR-10, Run: 040, P, 0, 8, 0, 4, 5, 5, 8, 8
INVAR-10, Run: 041, P, 0, 10, 0, 2, 2, 6, 7, 11
INVAR-10, Run: 042, P, 0, 0, 0, 12, 8, 9, 3, 4
INVAR-10, Run: 043, P, 0, 0, 0, 12, 6, 13, 1, 8
INVAR-10, Run: 044, P, 0, 0, 0, 12, 11, 15, 6, 10
INVAR-10, Run: 045, P, 0, 12, 0, 0, 9, 13, 16, 20
INVAR-10, Run: 046, P, 0, 0, 0, 12, 6, 8, 1, 3
INVAR-10, Run: 047, P, 0, 9, 0, 3, 6, 2, 10, 6
INVAR-10, Run: 048, P, 0, 0, 0, 12, 5, 8, 0, 3
INVAR-10, Run: 049, P, 0, 0, 0, 12, 13, 11, 8, 6
INVAR-10, Run: 050, P, 0, 10, 0, 2, 3, 0, 8, 5
