Input Number, Run_Number, Result@ 100, A, F, X1, B, C, PO, D, CO, Y, PE, CE, E
INVAR-10, Run: 071, F, 0, 0, 0, 0, 0, 0, 552, 0, 0, 1, 0, 52
INVAR-10, Run: 072, F, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53
INVAR-10, Run: 073, F, 0, 0, 0, 0, 0, 0, 538, 0, 0, 1, 0, 38
INVAR-10, Run: 074, F, 0, 0, 0, 0, 0, 0, 548, 0, 2, 1, 2, 47
INVAR-10, Run: 075, F, 0, 0, 0, 0, 0, 0, 544, 0, 0, 1, 0, 44
INVAR-10, Run: 076, F, 0, 0, 0, 0, 0, 0, 548, 0, 2, 1, 2, 47
INVAR-10, Run: 077, F, 0, 1, 0, 0, 0, 0, 550, 0, 0, 1, 0, 49
INVAR-10, Run: 078, F, 0, 1, 0, 0, 0, 0, 558, 0, 0, 1, 0, 57
INVAR-10, Run: 079, F, 0, 0, 0, 0, 0, 0, 546, 0, 0, 1, 0, 46
INVAR-10, Run: 080, F, 0, 1, 0, 0, 0, 0, 542, 0, 0, 1, 0, 41
INVAR-10, Run: 081, F, 0, 1, 0, 0, 0, 0, 556, 0, 0, 1, 0, 55
INVAR-10, Run: 082, F, 0, 0, 0, 0, 0, 0, 558, 0, 0, 1, 0, 58
INVAR-10, Run: 083, F, 0, 0, 0, 0, 0, 0, 542, 0, 2, 1, 2, 41
INVAR-10, Run: 084, F, 0, 1, 0, 0, 0, 0, 548, 0, 0, 1, 0, 47
INVAR-10, Run: 085, F, 0, 1, 0, 0, 0, 0, 554, 0, 0, 1, 0, 53
INVAR-10, Run: 086, F, 0, 0, 0, 0, 0, 0, 548, 0, 0, 1, 0, 48
INVAR-10, Run: 087, F, 0, 0, 0, 0, 0, 0, 544, 0, 0, 1, 0, 44
INVAR-10, Run: 088, F, 0, 1, 0, 0, 0, 0, 558, 0, 2, 1, 2, 56
INVAR-10, Run: 089, F, 0, 0, 0, 0, 0, 0, 550, 0, 0, 1, 0, 50
INVAR-10, Run: 090, F, 0, 0, 0, 0, 0, 0, 556, 0, 0, 1, 0, 56
INVAR-10, Run: 091, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51
INVAR-10, Run: 092, F, 0, 1, 0, 0, 0, 0, 550, 0, 0, 1, 0, 49
INVAR-10, Run: 093, F, 0, 0, 0, 0, 0, 0, 550, 0, 0, 1, 0, 50
INVAR-10, Run: 094, F, 0, 1, 0, 0, 0, 0, 542, 0, 0, 1, 0, 41
INVAR-10, Run: 095, F, 0, 0, 0, 0, 0, 0, 550, 0, 0, 1, 0, 50
INVAR-10, Run: 096, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51
INVAR-10, Run: 097, F, 0, 0, 0, 0, 0, 0, 544, 0, 0, 1, 0, 44
INVAR-10, Run: 098, F, 0, 0, 0, 0, 0, 0, 558, 0, 0, 1, 0, 58
INVAR-10, Run: 099, F, 0, 1, 0, 0, 0, 0, 564, 0, 0, 1, 0, 63
INVAR-10, Run: 100, F, 0, 1, 0, 0, 0, 0, 548, 0, 0, 1, 0, 47
INVAR-2, Run: 001, F, 0, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0, 14
INVAR-2, Run: 002, F, 0, 0, 0, 0, 0, 0, 150, 0, 2, 1, 2, 9
INVAR-2, Run: 003, F, 0, 1, 0, 0, 0, 0, 156, 0, 0, 1, 0, 15
INVAR-2, Run: 004, F, 0, 0, 0, 0, 0, 0, 152, 0, 0, 1, 0, 12
INVAR-2, Run: 005, F, 0, 1, 0, 0, 0, 0, 158, 0, 2, 1, 2, 16
INVAR-2, Run: 006, F, 0, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0, 14
INVAR-2, Run: 007, F, 0, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0, 14
INVAR-2, Run: 008, F, 0, 1, 0, 0, 0, 0, 158, 0, 0, 1, 0, 17
INVAR-2, Run: 009, F, 0, 0, 0, 0, 0, 0, 150, 0, 2, 1, 2, 9
INVAR-2, Run: 010, F, 0, 1, 0, 0, 0, 0, 152, 0, 0, 1, 0, 11
INVAR-2, Run: 011, F, 0, 1, 0, 0, 0, 0, 152, 0, 0, 1, 0, 11
INVAR-2, Run: 012, F, 0, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0, 14
INVAR-2, Run: 013, F, 0, 0, 0, 0, 0, 0, 156, 0, 0, 1, 0, 16
INVAR-2, Run: 014, F, 0, 1, 0, 0, 0, 0, 156, 0, 0, 1, 0, 15
INVAR-2, Run: 015, F, 0, 0, 0, 0, 0, 0, 152, 0, 0, 1, 0, 12
INVAR-2, Run: 016, F, 0, 1, 0, 0, 0, 0, 154, 0, 0, 1, 0, 13
INVAR-2, Run: 017, F, 0, 1, 0, 0, 0, 0, 156, 0, 0, 1, 0, 15
INVAR-2, Run: 018, F, 0, 0, 0, 0, 0, 0, 156, 0, 0, 1, 0, 16
INVAR-2, Run: 019, F, 0, 1, 0, 0, 0, 0, 156, 0, 0, 1, 0, 15
INVAR-2, Run: 020, F, 0, 1, 0, 0, 0, 0, 158, 0, 0, 1, 0, 17
INVAR-2, Run: 021, F, 0, 0, 0, 0, 0, 0, 158, 0, 0, 1, 0, 18
INVAR-2, Run: 022, F, 0, 0, 0, 0, 0, 0, 152, 0, 0, 1, 0, 12
INVAR-2, Run: 023, F, 0, 0, 0, 0, 0, 0, 156, 0, 0, 1, 0, 16
