Input Number, Run_Number, Result@ 100, X, XP, Z, YP
INVAR-1, Run: 052, E, 0, 0, 97, 73
INVAR-1, Run: 053, E, 0, 0, 104, 80
INVAR-1, Run: 054, E, 0, 0, 102, 78
INVAR-1, Run: 055, E, 0, 0, 93, 69
INVAR-1, Run: 056, E, 0, 0, 96, 72
INVAR-1, Run: 057, E, 0, 0, 95, 71
INVAR-1, Run: 058, E, 0, 0, 91, 67
INVAR-1, Run: 059, E, 0, 0, 110, 86
INVAR-1, Run: 060, E, 0, 0, 110, 86
INVAR-1, Run: 061, E, 0, 0, 89, 65
INVAR-1, Run: 062, E, 0, 0, 107, 83
INVAR-1, Run: 063, E, 0, 0, 106, 82
INVAR-1, Run: 064, E, 0, 0, 95, 71
INVAR-1, Run: 065, E, 0, 0, 99, 75
INVAR-1, Run: 066, E, 0, 0, 91, 67
INVAR-1, Run: 067, E, 0, 0, 103, 79
INVAR-1, Run: 068, E, 0, 0, 105, 81
INVAR-1, Run: 069, E, 0, 0, 106, 82
INVAR-1, Run: 070, E, 0, 0, 95, 71
INVAR-1, Run: 071, E, 0, 0, 98, 74
INVAR-1, Run: 072, E, 0, 0, 98, 74
INVAR-1, Run: 073, E, 0, 0, 129, 105
INVAR-1, Run: 074, E, 0, 0, 97, 73
INVAR-1, Run: 075, E, 0, 0, 96, 72
INVAR-1, Run: 076, E, 0, 0, 110, 86
INVAR-1, Run: 077, E, 0, 0, 91, 67
INVAR-1, Run: 078, E, 0, 0, 87, 63
INVAR-1, Run: 079, E, 0, 0, 93, 69
INVAR-1, Run: 080, E, 0, 0, 112, 88
INVAR-1, Run: 081, E, 0, 0, 96, 72
INVAR-1, Run: 082, E, 0, 0, 91, 67
INVAR-1, Run: 083, E, 0, 0, 99, 75
INVAR-1, Run: 084, E, 0, 0, 89, 65
INVAR-1, Run: 085, E, 0, 0, 92, 68
INVAR-1, Run: 086, E, 0, 0, 99, 75
INVAR-1, Run: 087, E, 0, 0, 95, 71
INVAR-1, Run: 088, E, 0, 0, 116, 92
INVAR-1, Run: 089, E, 0, 0, 112, 88
INVAR-1, Run: 090, E, 0, 0, 108, 84
INVAR-1, Run: 091, E, 0, 0, 93, 69
INVAR-1, Run: 092, E, 0, 0, 113, 89
INVAR-1, Run: 093, E, 0, 0, 100, 76
INVAR-1, Run: 094, E, 0, 0, 107, 83
INVAR-1, Run: 095, E, 0, 0, 94, 70
INVAR-1, Run: 096, E, 0, 0, 101, 77
INVAR-1, Run: 097, E, 0, 0, 121, 97
INVAR-1, Run: 098, E, 0, 0, 81, 57
INVAR-1, Run: 099, E, 0, 0, 101, 77
INVAR-1, Run: 100, E, 0, 0, 98, 74
INVAR-10, Run: 001, E, 0, 0, 100, 58
INVAR-10, Run: 002, E, 0, 0, 97, 55
INVAR-10, Run: 003, E, 0, 0, 111, 69
INVAR-10, Run: 004, E, 0, 0, 103, 61
INVAR-10, Run: 005, E, 0, 0, 104, 62
INVAR-10, Run: 006, E, 0, 0, 110, 68
INVAR-10, Run: 007, E, 0, 0, 89, 47
INVAR-10, Run: 008, E, 0, 0, 99, 57
INVAR-10, Run: 009, E, 0, 0, 101, 59
INVAR-10, Run: 010, E, 0, 0, 112, 70
INVAR-10, Run: 011, E, 0, 0, 107, 65
INVAR-10, Run: 012, E, 0, 0, 107, 65
INVAR-10, Run: 013, E, 0, 0, 101, 59
INVAR-10, Run: 014, E, 0, 0, 98, 56
INVAR-10, Run: 015, E, 0, 0, 104, 62
INVAR-10, Run: 016, E, 0, 0, 92, 50
INVAR-10, Run: 017, E, 0, 0, 86, 44
INVAR-10, Run: 018, E, 0, 0, 86, 44
INVAR-10, Run: 019, E, 0, 0, 84, 42
INVAR-10, Run: 020, E, 0, 0, 98, 56
INVAR-10, Run: 021, E, 0, 0, 106, 64
INVAR-10, Run: 022, E, 0, 0, 110, 68
