Input Number, Run_Number, Result@ 100, X, Y, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-11, Run: 050, F, 1, 1, 3, 99, 25, 39, 81, 58, 84
INVAR-11, Run: 051, F, 1, 1, 1, 91, 23, 37, 79, 59, 79
INVAR-11, Run: 052, F, 1, 1, 1, 98, 26, 40, 77, 78, 64
INVAR-11, Run: 053, F, 0, 0, 3, 104, 24, 38, 90, 87, 62
INVAR-11, Run: 054, F, 1, 1, 0, 102, 24, 38, 87, 71, 78
INVAR-11, Run: 055, F, 0, 0, 4, 111, 25, 39, 94, 68, 86
INVAR-11, Run: 056, F, 1, 1, 2, 93, 21, 35, 87, 65, 76
INVAR-11, Run: 057, F, 0, 0, 1, 88, 22, 36, 80, 92, 45
INVAR-11, Run: 058, F, 1, 1, 0, 85, 24, 38, 70, 72, 60
INVAR-11, Run: 059, F, 0, 0, 3, 97, 23, 37, 86, 75, 68
INVAR-11, Run: 060, F, 1, 1, 2, 102, 25, 39, 84, 66, 80
INVAR-11, Run: 061, F, 1, 1, 1, 113, 28, 42, 86, 76, 79
INVAR-11, Run: 062, F, 0, 0, 2, 118, 29, 43, 89, 75, 84
INVAR-11, Run: 063, F, 1, 1, 1, 99, 24, 38, 84, 71, 74
INVAR-11, Run: 064, F, 0, 0, 2, 122, 26, 40, 102, 92, 74
INVAR-11, Run: 065, F, 2, 2, 0, 89, 22, 36, 79, 54, 83
INVAR-11, Run: 066, F, 1, 1, 1, 91, 20, 34, 88, 95, 46
INVAR-11, Run: 067, F, 1, 1, 0, 100, 25, 39, 82, 75, 71
INVAR-11, Run: 068, F, 0, 0, 1, 107, 24, 38, 93, 77, 77
INVAR-11, Run: 069, F, 0, 0, 2, 115, 23, 37, 104, 69, 93
INVAR-11, Run: 070, F, 1, 1, 0, 88, 21, 35, 82, 74, 64
INVAR-11, Run: 071, F, 0, 0, 1, 119, 28, 42, 93, 67, 95
INVAR-11, Run: 072, F, 0, 0, 1, 98, 23, 37, 87, 70, 76
INVAR-11, Run: 073, F, 0, 0, 1, 91, 22, 36, 83, 77, 63
INVAR-11, Run: 074, F, 1, 1, 1, 102, 22, 36, 93, 78, 72
INVAR-11, Run: 075, F, 0, 0, 2, 96, 26, 40, 76, 74, 66
INVAR-11, Run: 076, F, 0, 0, 2, 88, 21, 35, 83, 75, 62
INVAR-11, Run: 077, F, 0, 0, 2, 113, 29, 43, 84, 86, 68
INVAR-11, Run: 078, F, 0, 0, 1, 107, 23, 37, 96, 78, 77
INVAR-11, Run: 079, F, 0, 0, 2, 97, 26, 40, 77, 54, 87
INVAR-11, Run: 080, F, 0, 0, 1, 90, 23, 37, 79, 66, 72
INVAR-11, Run: 081, F, 1, 1, 2, 105, 26, 40, 84, 71, 77
INVAR-11, Run: 082, F, 2, 2, 0, 99, 27, 41, 74, 68, 74
INVAR-11, Run: 083, F, 2, 2, 0, 110, 23, 37, 97, 80, 77
INVAR-11, Run: 084, F, 0, 0, 3, 95, 25, 39, 78, 64, 75
INVAR-11, Run: 085, F, 1, 1, 1, 103, 21, 35, 97, 82, 70
INVAR-11, Run: 086, F, 1, 1, 0, 98, 23, 37, 86, 71, 75
INVAR-11, Run: 087, F, 1, 1, 2, 92, 23, 37, 80, 70, 68
INVAR-11, Run: 088, F, 1, 1, 1, 99, 22, 36, 90, 75, 72
INVAR-11, Run: 089, F, 0, 0, 1, 108, 24, 38, 94, 79, 76
INVAR-11, Run: 090, F, 2, 2, 0, 82, 24, 38, 66, 65, 63
INVAR-11, Run: 091, F, 1, 1, 1, 118, 24, 38, 103, 92, 72
INVAR-11, Run: 092, F, 0, 0, 2, 89, 22, 36, 81, 50, 87
INVAR-11, Run: 093, F, 0, 0, 1, 99, 25, 39, 82, 80, 65
INVAR-11, Run: 094, F, 0, 0, 2, 102, 24, 38, 88, 73, 75
INVAR-11, Run: 095, F, 2, 2, 2, 98, 24, 38, 82, 77, 65
INVAR-11, Run: 096, F, 1, 1, 0, 95, 26, 40, 74, 63, 77
INVAR-11, Run: 097, F, 1, 1, 0, 119, 28, 42, 92, 85, 77
INVAR-11, Run: 098, F, 0, 0, 1, 118, 28, 42, 92, 84, 77
INVAR-11, Run: 099, F, 0, 0, 3, 86, 22, 36, 78, 65, 68
INVAR-11, Run: 100, F, 1, 1, 2, 111, 24, 38, 96, 76, 80
INVAR-12, Run: 001, F, 0, 1, 0, 92, 54, 77, 60, 43, 148
INVAR-12, Run: 002, F, 0, 1, 0, 103, 57, 80, 62, 114, 85
INVAR-12, Run: 003, F, 2, 0, 0, 106, 54, 78, 72, 78, 126
INVAR-12, Run: 004, F, 0, 1, 1, 105, 58, 81, 61, 111, 88
INVAR-12, Run: 005, F, 0, 1, 1, 114, 54, 77, 82, 97, 115
INVAR-12, Run: 006, F, 1, 2, 1, 99, 54, 77, 66, 83, 113
INVAR-12, Run: 007, F, 0, 1, 1, 93, 55, 78, 58, 77, 113
INVAR-12, Run: 008, F, 1, 2, 0, 111, 56, 79, 72, 58, 149
INVAR-12, Run: 009, F, 0, 1, 1, 115, 57, 80, 74, 131, 79
INVAR-12, Run: 010, F, 2, 0, 0, 89, 52, 76, 61, 88, 101
INVAR-12, Run: 011, F, 1, 2, 1, 102, 56, 79, 63, 58, 139
INVAR-12, Run: 012, F, 0, 1, 1, 108, 57, 80, 67, 92, 111
INVAR-12, Run: 013, F, 0, 1, 0, 108, 54, 77, 76, 78, 129
INVAR-12, Run: 014, F, 2, 0, 0, 106, 55, 79, 69, 55, 148
INVAR-12, Run: 015, F, 1, 2, 0, 103, 53, 76, 73, 120, 82
INVAR-12, Run: 016, F, 0, 1, 2, 106, 55, 78, 71, 56, 146
INVAR-12, Run: 017, F, 2, 0, 0, 96, 56, 80, 56, 95, 97
INVAR-12, Run: 018, F, 0, 1, 0, 91, 54, 77, 59, 81, 109
INVAR-12, Run: 019, F, 1, 2, 0, 107, 58, 81, 62, 110, 91
INVAR-12, Run: 020, F, 0, 1, 1, 99, 54, 77, 67, 60, 137
INVAR-12, Run: 021, F, 1, 2, 0, 108, 57, 80, 66, 63, 140
INVAR-12, Run: 022, F, 1, 2, 2, 97, 49, 72, 79, 52, 146
INVAR-12, Run: 023, F, 0, 1, 0, 100, 53, 76, 71, 98, 102
INVAR-12, Run: 024, F, 1, 2, 1, 108, 54, 77, 75, 119, 86
INVAR-12, Run: 025, F, 1, 2, 1, 86, 54, 77, 53, 38, 145
INVAR-12, Run: 026, F, 0, 1, 0, 77, 51, 74, 54, 52, 127
INVAR-12, Run: 027, F, 0, 1, 2, 101, 54, 77, 69, 77, 121
INVAR-12, Run: 028, F, 0, 1, 0, 103, 57, 80, 62, 66, 133
