Input Number, Run_Number, Result@ 100, Y, X1, X2, NEW_REACTION, Reaction1, Reaction2
INVAR-10, Run: 074, P, 8, 0, 0, 780, 50, 42
INVAR-10, Run: 075, P, 8, 0, 0, 808, 50, 42
INVAR-10, Run: 076, P, 8, 0, 0, 768, 50, 42
INVAR-10, Run: 077, P, 8, 0, 0, 786, 50, 42
INVAR-10, Run: 078, P, 8, 0, 0, 764, 50, 42
INVAR-10, Run: 079, P, 8, 0, 0, 789, 50, 42
INVAR-10, Run: 080, P, 8, 0, 0, 787, 50, 42
INVAR-10, Run: 081, P, 8, 0, 0, 805, 50, 42
INVAR-10, Run: 082, P, 8, 0, 0, 810, 50, 42
INVAR-10, Run: 083, P, 8, 0, 0, 754, 50, 42
INVAR-10, Run: 084, P, 8, 0, 0, 771, 50, 42
INVAR-10, Run: 085, P, 8, 0, 0, 802, 50, 42
INVAR-10, Run: 086, P, 8, 0, 0, 746, 50, 42
INVAR-10, Run: 087, P, 8, 0, 0, 811, 50, 42
INVAR-10, Run: 088, P, 8, 0, 0, 821, 50, 42
INVAR-10, Run: 089, P, 8, 0, 0, 776, 50, 42
INVAR-10, Run: 090, P, 8, 0, 0, 775, 50, 42
INVAR-10, Run: 091, P, 8, 0, 0, 800, 50, 42
INVAR-10, Run: 092, P, 8, 0, 0, 814, 50, 42
INVAR-10, Run: 093, P, 8, 0, 0, 808, 50, 42
INVAR-10, Run: 094, P, 8, 0, 0, 809, 50, 42
INVAR-10, Run: 095, P, 8, 0, 0, 787, 50, 42
INVAR-10, Run: 096, P, 8, 0, 0, 805, 50, 42
INVAR-10, Run: 097, P, 8, 0, 0, 802, 50, 42
INVAR-10, Run: 098, P, 8, 0, 0, 818, 50, 42
INVAR-10, Run: 099, P, 8, 0, 0, 783, 50, 42
INVAR-10, Run: 100, P, 8, 0, 0, 816, 50, 42
INVAR-11, Run: 001, P, 42, 0, 0, 4187, 100, 58
INVAR-11, Run: 002, P, 42, 0, 0, 4222, 100, 58
INVAR-11, Run: 003, P, 42, 0, 0, 4086, 100, 58
INVAR-11, Run: 004, P, 42, 0, 0, 4118, 100, 58
INVAR-11, Run: 005, P, 42, 0, 0, 4156, 100, 58
INVAR-11, Run: 006, P, 42, 0, 0, 4133, 100, 58
INVAR-11, Run: 007, P, 42, 0, 0, 4193, 100, 58
INVAR-11, Run: 008, P, 42, 0, 0, 4145, 100, 58
INVAR-11, Run: 009, P, 42, 0, 0, 4185, 100, 58
INVAR-11, Run: 010, P, 42, 0, 0, 4074, 100, 58
INVAR-11, Run: 011, P, 42, 0, 0, 4165, 100, 58
INVAR-11, Run: 012, P, 42, 0, 0, 4107, 100, 58
INVAR-11, Run: 013, P, 42, 0, 0, 4090, 100, 58
INVAR-11, Run: 014, P, 42, 0, 0, 4135, 100, 58
INVAR-11, Run: 015, P, 42, 0, 0, 4129, 100, 58
INVAR-11, Run: 016, P, 42, 0, 0, 4022, 100, 58
INVAR-11, Run: 017, P, 42, 0, 0, 4104, 100, 58
INVAR-11, Run: 018, P, 42, 0, 0, 4146, 100, 58
INVAR-11, Run: 019, P, 42, 0, 0, 4085, 100, 58
INVAR-11, Run: 020, P, 42, 0, 0, 4264, 100, 58
INVAR-11, Run: 021, P, 42, 0, 0, 4182, 100, 58
INVAR-11, Run: 022, P, 42, 0, 0, 4211, 100, 58
INVAR-11, Run: 023, P, 42, 0, 0, 4137, 100, 58
INVAR-11, Run: 024, P, 42, 0, 0, 4221, 100, 58
INVAR-11, Run: 025, P, 42, 0, 0, 4120, 100, 58
INVAR-11, Run: 026, P, 42, 0, 0, 4078, 100, 58
INVAR-11, Run: 027, P, 42, 0, 0, 4077, 100, 58
INVAR-11, Run: 028, P, 42, 0, 0, 4135, 100, 58
INVAR-11, Run: 029, P, 42, 0, 0, 4089, 100, 58
