Input Number, Run_Number, Result@ 100, U, X1, X2, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 099, P, 0, 38, 0, 2, 14, 24, 0, 12
INVAR-1, Run: 100, P, 0, 38, 0, 0, 20, 29, 6, 15
INVAR-10, Run: 001, P, 0, 12, 0, 1, 5, 8, 0, 4
INVAR-10, Run: 002, P, 0, 12, 0, 0, 6, 6, 1, 1
INVAR-10, Run: 003, P, 0, 12, 0, 2, 7, 14, 2, 11
INVAR-10, Run: 004, P, 0, 12, 0, 3, 5, 8, 0, 6
INVAR-10, Run: 005, P, 0, 0, 12, 0, 7, 9, 14, 16
INVAR-10, Run: 006, P, 0, 12, 0, 0, 6, 6, 1, 1
INVAR-10, Run: 007, P, 0, 12, 0, 0, 6, 7, 1, 2
INVAR-10, Run: 008, P, 0, 12, 0, 0, 12, 15, 7, 10
INVAR-10, Run: 009, P, 0, 0, 12, 1, 11, 6, 18, 14
INVAR-10, Run: 010, P, 0, 12, 0, 1, 8, 8, 3, 4
INVAR-10, Run: 011, P, 0, 0, 12, 1, 4, 0, 11, 8
INVAR-10, Run: 012, P, 0, 12, 0, 2, 9, 8, 4, 5
INVAR-10, Run: 013, P, 0, 12, 0, 1, 5, 14, 0, 10
INVAR-10, Run: 014, P, 0, 12, 0, 1, 6, 8, 1, 4
INVAR-10, Run: 015, P, 0, 12, 0, 0, 6, 6, 1, 1
INVAR-10, Run: 016, P, 0, 12, 0, 3, 6, 4, 1, 2
INVAR-10, Run: 017, P, 0, 12, 0, 0, 7, 8, 2, 3
INVAR-10, Run: 018, P, 0, 0, 12, 0, 4, 1, 11, 8
INVAR-10, Run: 019, P, 0, 12, 0, 0, 9, 8, 4, 3
INVAR-10, Run: 020, P, 0, 12, 0, 1, 8, 10, 3, 6
INVAR-10, Run: 021, P, 0, 12, 0, 0, 5, 5, 0, 0
INVAR-10, Run: 022, P, 0, 12, 0, 2, 10, 13, 5, 10
INVAR-10, Run: 023, P, 0, 12, 0, 3, 5, 5, 0, 3
INVAR-10, Run: 024, P, 0, 12, 0, 2, 5, 8, 0, 5
INVAR-10, Run: 025, P, 0, 12, 0, 2, 6, 8, 1, 5
INVAR-10, Run: 026, P, 0, 0, 12, 2, 5, 1, 12, 10
INVAR-10, Run: 027, P, 0, 0, 12, 0, 11, 3, 18, 10
INVAR-10, Run: 028, P, 0, 12, 0, 1, 5, 7, 0, 3
INVAR-10, Run: 029, P, 0, 12, 0, 2, 5, 8, 0, 5
INVAR-10, Run: 030, P, 0, 12, 0, 3, 5, 8, 0, 6
INVAR-10, Run: 031, P, 0, 0, 12, 3, 6, 2, 13, 12
INVAR-10, Run: 032, P, 0, 12, 0, 2, 5, 5, 0, 2
INVAR-10, Run: 033, P, 0, 0, 12, 3, 13, 5, 20, 15
INVAR-10, Run: 034, P, 0, 12, 0, 1, 5, 6, 0, 2
INVAR-10, Run: 035, P, 0, 0, 12, 1, 7, 4, 14, 12
INVAR-10, Run: 036, P, 0, 12, 0, 1, 5, 5, 0, 1
INVAR-10, Run: 037, P, 0, 12, 0, 2, 7, 16, 2, 13
INVAR-10, Run: 038, P, 0, 12, 0, 0, 5, 9, 0, 4
INVAR-10, Run: 039, P, 0, 12, 0, 5, 7, 9, 2, 9
INVAR-10, Run: 040, P, 0, 12, 0, 1, 6, 7, 1, 3
INVAR-10, Run: 041, P, 0, 12, 0, 3, 7, 8, 2, 6
INVAR-10, Run: 042, P, 0, 0, 12, 1, 2, 2, 9, 10
INVAR-10, Run: 043, P, 0, 12, 0, 0, 8, 7, 3, 2
INVAR-10, Run: 044, P, 0, 12, 0, 4, 13, 16, 8, 15
INVAR-10, Run: 045, P, 0, 0, 12, 2, 6, 3, 13, 12
INVAR-10, Run: 046, P, 0, 0, 12, 1, 6, 3, 13, 11
INVAR-10, Run: 047, P, 0, 12, 0, 5, 15, 10, 10, 10
INVAR-10, Run: 048, P, 0, 12, 0, 3, 5, 4, 0, 2
INVAR-10, Run: 049, P, 0, 12, 0, 1, 7, 12, 2, 8
INVAR-10, Run: 050, P, 0, 0, 12, 3, 8, 1, 15, 11
INVAR-10, Run: 051, P, 0, 12, 0, 2, 8, 7, 3, 4
INVAR-10, Run: 052, P, 0, 0, 12, 2, 14, 5, 21, 14
INVAR-10, Run: 053, P, 0, 12, 0, 2, 7, 10, 2, 7
INVAR-10, Run: 054, P, 0, 12, 0, 0, 5, 6, 0, 1
INVAR-10, Run: 055, P, 0, 0, 12, 1, 5, 3, 12, 11
INVAR-10, Run: 056, P, 0, 0, 12, 0, 2, 0, 9, 7
INVAR-10, Run: 057, P, 0, 12, 0, 1, 6, 7, 1, 3
