Input Number, Run_Number, Result@ 100, F1P, F2P, A1, F1, A2, F2, Y
1, Run: 043, F, 5, 0, 24, 0, 34, 0, 0
1, Run: 044, P, 3, 0, 22, 0, 34, 0, 2
1, Run: 045, P, 1, 0, 21, 0, 33, 0, 4
1, Run: 046, P, 3, 0, 23, 0, 33, 0, 2
1, Run: 047, P, 2, 0, 22, 0, 33, 0, 3
1, Run: 048, P, 3, 0, 22, 0, 33, 0, 2
1, Run: 049, P, 3, 0, 23, 0, 33, 0, 2
1, Run: 050, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 051, P, 4, 0, 23, 0, 33, 0, 1
1, Run: 052, P, 3, 0, 22, 0, 34, 0, 2
1, Run: 053, P, 0, 0, 19, 0, 33, 0, 5
1, Run: 054, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 055, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 056, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 057, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 058, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 059, P, 3, 0, 22, 0, 33, 0, 2
1, Run: 060, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 061, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 062, P, 4, 0, 24, 0, 33, 0, 1
1, Run: 063, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 064, P, 2, 0, 22, 0, 33, 0, 3
1, Run: 065, P, 3, 0, 22, 0, 34, 0, 2
1, Run: 066, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 067, P, 4, 0, 23, 0, 34, 0, 1
1, Run: 068, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 069, P, 3, 0, 23, 0, 33, 0, 2
1, Run: 070, P, 2, 0, 23, 0, 34, 0, 3
1, Run: 071, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 072, P, 1, 0, 22, 0, 33, 0, 4
1, Run: 073, P, 3, 0, 22, 0, 33, 0, 2
1, Run: 074, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 075, P, 4, 0, 23, 0, 34, 0, 1
1, Run: 076, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 077, P, 3, 0, 23, 0, 33, 0, 2
1, Run: 078, P, 4, 0, 23, 0, 33, 0, 1
1, Run: 079, F, 5, 0, 24, 0, 33, 0, 0
1, Run: 080, P, 3, 0, 22, 0, 33, 0, 2
1, Run: 081, P, 3, 0, 22, 0, 33, 0, 2
1, Run: 082, P, 3, 0, 23, 0, 33, 0, 2
1, Run: 083, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 084, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 085, P, 3, 0, 22, 0, 33, 0, 2
1, Run: 086, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 087, P, 1, 0, 20, 0, 33, 0, 4
1, Run: 088, P, 4, 0, 23, 0, 33, 0, 1
1, Run: 089, P, 0, 0, 19, 0, 33, 0, 5
1, Run: 090, P, 3, 0, 23, 0, 33, 0, 2
1, Run: 091, P, 1, 0, 20, 0, 34, 0, 4
1, Run: 092, P, 2, 0, 22, 0, 33, 0, 3
1, Run: 093, P, 3, 0, 22, 0, 33, 0, 2
1, Run: 094, P, 2, 0, 22, 0, 33, 0, 3
1, Run: 095, P, 3, 0, 22, 0, 33, 0, 2
1, Run: 096, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 097, P, 3, 0, 22, 0, 33, 0, 2
1, Run: 098, P, 2, 0, 22, 0, 33, 0, 3
1, Run: 099, P, 2, 0, 21, 0, 33, 0, 3
1, Run: 100, P, 2, 0, 21, 0, 33, 0, 3
10, Run: 001, P, 1, 0, 2, 0, 13, 0, 4
10, Run: 002, P, 2, 0, 3, 0, 13, 0, 3
10, Run: 003, P, 2, 0, 4, 0, 13, 0, 3
10, Run: 004, P, 4, 0, 5, 0, 13, 0, 1
10, Run: 005, P, 3, 0, 4, 0, 14, 0, 2
10, Run: 006, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 007, P, 1, 0, 2, 0, 13, 0, 4
10, Run: 008, P, 3, 0, 4, 0, 14, 0, 2
10, Run: 009, P, 3, 0, 4, 0, 14, 0, 2
10, Run: 010, P, 4, 0, 5, 0, 15, 0, 1
10, Run: 011, P, 2, 0, 5, 0, 13, 0, 3
10, Run: 012, P, 3, 0, 4, 0, 15, 0, 2
10, Run: 013, P, 4, 0, 4, 0, 13, 0, 1
10, Run: 014, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 015, P, 1, 0, 2, 0, 14, 0, 4
10, Run: 016, P, 1, 0, 1, 0, 13, 0, 4
10, Run: 017, P, 3, 0, 3, 0, 14, 0, 2
10, Run: 018, P, 2, 0, 3, 0, 13, 0, 3
10, Run: 019, P, 0, 0, 1, 0, 13, 0, 5
10, Run: 020, P, 3, 0, 3, 0, 14, 0, 2
10, Run: 021, P, 4, 0, 5, 0, 14, 0, 1
10, Run: 022, P, 2, 0, 3, 0, 14, 0, 3
10, Run: 023, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 024, P, 4, 0, 5, 0, 13, 0, 1
10, Run: 025, P, 2, 0, 2, 0, 14, 0, 3
10, Run: 026, P, 2, 0, 3, 0, 13, 0, 3
10, Run: 027, P, 3, 0, 5, 0, 13, 0, 2
10, Run: 028, P, 3, 0, 5, 0, 13, 0, 2
10, Run: 029, P, 2, 0, 4, 0, 13, 0, 3
10, Run: 030, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 031, P, 3, 0, 5, 0, 14, 0, 2
10, Run: 032, P, 1, 0, 2, 0, 14, 0, 4
10, Run: 033, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 034, P, 2, 0, 2, 0, 13, 0, 3
10, Run: 035, P, 2, 0, 4, 0, 14, 0, 3
10, Run: 036, P, 0, 0, 0, 0, 13, 0, 5
10, Run: 037, P, 2, 0, 4, 0, 13, 0, 3
10, Run: 038, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 039, P, 0, 0, 3, 0, 15, 0, 5
10, Run: 040, P, 1, 0, 2, 0, 13, 0, 4
10, Run: 041, P, 3, 0, 5, 0, 13, 0, 2
10, Run: 042, P, 2, 0, 3, 0, 13, 0, 3
10, Run: 043, P, 3, 0, 3, 0, 14, 0, 2
10, Run: 044, P, 1, 0, 3, 0, 13, 0, 4
10, Run: 045, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 046, P, 1, 0, 3, 0, 13, 0, 4
10, Run: 047, P, 4, 0, 6, 0, 14, 0, 1
10, Run: 048, P, 2, 0, 3, 0, 13, 0, 3
10, Run: 049, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 050, P, 2, 0, 2, 0, 13, 0, 3
10, Run: 051, F, 5, 0, 5, 0, 13, 0, 0
10, Run: 052, P, 1, 0, 2, 0, 13, 0, 4
10, Run: 053, P, 2, 0, 3, 0, 13, 0, 3
10, Run: 054, P, 2, 0, 4, 0, 14, 0, 3
10, Run: 055, P, 3, 0, 5, 0, 14, 0, 2
10, Run: 056, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 057, P, 2, 0, 3, 0, 15, 0, 3
10, Run: 058, P, 4, 0, 4, 0, 13, 0, 1
10, Run: 059, P, 3, 0, 3, 0, 13, 0, 2
10, Run: 060, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 061, P, 4, 0, 6, 0, 14, 0, 1
10, Run: 062, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 063, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 064, P, 4, 0, 5, 0, 13, 0, 1
10, Run: 065, P, 2, 0, 4, 0, 13, 0, 3
10, Run: 066, P, 3, 0, 5, 0, 13, 0, 2
10, Run: 067, P, 4, 0, 6, 0, 13, 0, 1
10, Run: 068, P, 2, 0, 4, 0, 13, 0, 3
10, Run: 069, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 070, P, 3, 0, 6, 0, 14, 0, 2
10, Run: 071, P, 2, 0, 6, 0, 13, 0, 3
10, Run: 072, P, 3, 0, 3, 0, 13, 0, 2
10, Run: 073, P, 1, 0, 3, 0, 14, 0, 4
10, Run: 074, P, 4, 0, 5, 0, 14, 0, 1
10, Run: 075, P, 2, 0, 3, 0, 14, 0, 3
10, Run: 076, P, 1, 0, 1, 0, 14, 0, 4
10, Run: 077, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 078, P, 2, 0, 3, 0, 14, 0, 3
10, Run: 079, P, 2, 0, 3, 0, 13, 0, 3
10, Run: 080, P, 3, 0, 3, 0, 13, 0, 2
10, Run: 081, P, 2, 0, 4, 0, 13, 0, 3
10, Run: 082, P, 2, 0, 2, 0, 13, 0, 3
10, Run: 083, F, 5, 0, 6, 0, 14, 0, 0
10, Run: 084, P, 1, 0, 4, 0, 13, 0, 4
10, Run: 085, P, 2, 0, 4, 0, 13, 0, 3
10, Run: 086, P, 3, 0, 4, 0, 14, 0, 2
10, Run: 087, P, 2, 0, 2, 0, 13, 0, 3
10, Run: 088, P, 3, 0, 4, 0, 13, 0, 2
10, Run: 089, P, 2, 0, 2, 0, 14, 0, 3
10, Run: 090, P, 2, 0, 2, 0, 13, 0, 3
10, Run: 091, P, 2, 0, 2, 0, 13, 0, 3
10, Run: 092, P, 3, 0, 5, 0, 13, 0, 2
10, Run: 093, P, 4, 0, 5, 0, 13, 0, 1
10, Run: 094, P, 2, 0, 2, 0, 13, 0, 3
10, Run: 095, P, 1, 0, 2, 0, 13, 0, 4
10, Run: 096, P, 4, 0, 4, 0, 13, 0, 1
10, Run: 097, P, 2, 0, 2, 0, 14, 0, 3
10, Run: 098, P, 2, 0, 4, 0, 15, 0, 3
10, Run: 099, P, 1, 0, 1, 0, 13, 0, 4
10, Run: 100, P, 2, 0, 4, 0, 13, 0, 3
11, Run: 001, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 002, P, 1, 0, 89, 0, 81, 0, 4
11, Run: 003, P, 4, 0, 92, 0, 81, 0, 1
11, Run: 004, P, 2, 0, 91, 0, 81, 0, 3
11, Run: 005, P, 1, 0, 89, 0, 81, 0, 4
11, Run: 006, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 007, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 008, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 009, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 010, P, 1, 0, 89, 0, 81, 0, 4
11, Run: 011, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 012, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 013, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 014, P, 1, 0, 89, 0, 81, 0, 4
11, Run: 015, P, 4, 0, 92, 0, 81, 0, 1
11, Run: 016, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 017, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 018, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 019, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 020, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 021, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 022, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 023, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 024, P, 1, 0, 90, 0, 81, 0, 4
11, Run: 025, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 026, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 027, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 028, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 029, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 030, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 031, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 032, P, 1, 0, 89, 0, 81, 0, 4
11, Run: 033, P, 4, 0, 92, 0, 81, 0, 1
11, Run: 034, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 035, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 036, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 037, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 038, F, 5, 0, 93, 0, 81, 0, 0
11, Run: 039, P, 2, 0, 90, 0, 82, 0, 3
11, Run: 040, P, 4, 0, 92, 0, 82, 0, 1
11, Run: 041, P, 2, 0, 91, 0, 81, 0, 3
11, Run: 042, P, 4, 0, 93, 0, 81, 0, 1
11, Run: 043, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 044, P, 2, 0, 90, 0, 82, 0, 3
11, Run: 045, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 046, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 047, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 048, P, 1, 0, 89, 0, 81, 0, 4
11, Run: 049, P, 1, 0, 89, 0, 82, 0, 4
11, Run: 050, P, 3, 0, 91, 0, 82, 0, 2
11, Run: 051, P, 4, 0, 92, 0, 81, 0, 1
11, Run: 052, P, 1, 0, 89, 0, 81, 0, 4
11, Run: 053, P, 1, 0, 89, 0, 81, 0, 4
11, Run: 054, P, 2, 0, 91, 0, 81, 0, 3
11, Run: 055, P, 1, 0, 89, 0, 81, 0, 4
11, Run: 056, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 057, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 058, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 059, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 060, P, 1, 0, 89, 0, 81, 0, 4
11, Run: 061, P, 3, 0, 91, 0, 82, 0, 2
11, Run: 062, P, 4, 0, 92, 0, 82, 0, 1
11, Run: 063, P, 4, 0, 92, 0, 81, 0, 1
11, Run: 064, P, 1, 0, 89, 0, 82, 0, 4
11, Run: 065, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 066, P, 2, 0, 91, 0, 81, 0, 3
11, Run: 067, P, 0, 0, 88, 0, 81, 0, 5
11, Run: 068, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 069, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 070, P, 1, 0, 89, 0, 81, 0, 4
11, Run: 071, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 072, P, 3, 0, 92, 0, 81, 0, 2
11, Run: 073, P, 1, 0, 89, 0, 81, 0, 4
11, Run: 074, P, 3, 0, 91, 0, 82, 0, 2
11, Run: 075, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 076, P, 3, 0, 91, 0, 82, 0, 2
11, Run: 077, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 078, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 079, P, 4, 0, 92, 0, 81, 0, 1
11, Run: 080, P, 4, 0, 92, 0, 81, 0, 1
11, Run: 081, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 082, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 083, P, 4, 0, 93, 0, 81, 0, 1
11, Run: 084, P, 3, 0, 91, 0, 82, 0, 2
11, Run: 085, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 086, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 087, P, 3, 0, 91, 0, 82, 0, 2
11, Run: 088, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 089, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 090, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 091, P, 0, 0, 88, 0, 81, 0, 5
11, Run: 092, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 093, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 094, P, 3, 0, 92, 0, 81, 0, 2
11, Run: 095, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 096, P, 4, 0, 92, 0, 81, 0, 1
11, Run: 097, P, 2, 0, 90, 0, 81, 0, 3
11, Run: 098, P, 4, 0, 92, 0, 81, 0, 1
11, Run: 099, P, 3, 0, 91, 0, 81, 0, 2
11, Run: 100, P, 3, 0, 91, 0, 81, 0, 2
12, Run: 001, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 002, P, 2, 0, 171, 0, 157, 0, 3
12, Run: 003, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 004, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 005, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 006, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 007, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 008, F, 5, 0, 173, 0, 157, 0, 0
12, Run: 009, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 010, P, 4, 0, 172, 0, 158, 0, 1
12, Run: 011, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 012, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 013, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 014, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 015, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 016, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 017, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 018, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 019, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 020, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 021, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 022, P, 3, 0, 172, 0, 157, 0, 2
12, Run: 023, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 024, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 025, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 026, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 027, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 028, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 029, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 030, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 031, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 032, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 033, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 034, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 035, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 036, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 037, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 038, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 039, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 040, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 041, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 042, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 043, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 044, P, 1, 0, 170, 0, 157, 0, 4
12, Run: 045, F, 5, 0, 173, 0, 157, 0, 0
12, Run: 046, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 047, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 048, P, 3, 0, 171, 0, 158, 0, 2
12, Run: 049, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 050, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 051, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 052, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 053, F, 5, 0, 173, 0, 157, 0, 0
12, Run: 054, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 055, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 056, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 057, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 058, P, 4, 0, 172, 0, 158, 0, 1
12, Run: 059, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 060, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 061, P, 3, 0, 171, 0, 158, 0, 2
12, Run: 062, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 063, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 064, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 065, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 066, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 067, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 068, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 069, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 070, P, 3, 0, 173, 0, 157, 0, 2
12, Run: 071, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 072, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 073, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 074, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 075, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 076, P, 3, 0, 172, 0, 157, 0, 2
12, Run: 077, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 078, P, 0, 0, 168, 0, 157, 0, 5
12, Run: 079, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 080, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 081, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 082, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 083, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 084, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 085, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 086, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 087, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 088, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 089, P, 3, 0, 171, 0, 157, 0, 2
12, Run: 090, P, 0, 0, 168, 0, 157, 0, 5
12, Run: 091, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 092, P, 1, 0, 169, 0, 157, 0, 4
12, Run: 093, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 094, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 095, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 096, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 097, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 098, P, 4, 0, 172, 0, 157, 0, 1
12, Run: 099, P, 2, 0, 170, 0, 157, 0, 3
12, Run: 100, P, 1, 0, 169, 0, 158, 0, 4
13, Run: 001, P, 4, 0, 14, 0, 11, 0, 1
13, Run: 002, P, 2, 0, 13, 0, 11, 0, 3
13, Run: 003, P, 3, 0, 13, 0, 11, 0, 2
13, Run: 004, P, 2, 0, 12, 0, 11, 0, 3
13, Run: 005, P, 4, 0, 14, 0, 10, 0, 1
13, Run: 006, P, 3, 0, 13, 0, 11, 0, 2
13, Run: 007, P, 3, 0, 14, 0, 11, 0, 2
13, Run: 008, P, 3, 0, 14, 0, 10, 0, 2
13, Run: 009, P, 1, 0, 11, 0, 10, 0, 4
13, Run: 010, P, 2, 0, 13, 0, 12, 0, 3
13, Run: 011, P, 1, 0, 13, 0, 10, 0, 4
13, Run: 012, P, 2, 0, 13, 0, 10, 0, 3
13, Run: 013, P, 3, 0, 13, 0, 10, 0, 2
13, Run: 014, P, 3, 0, 14, 0, 10, 0, 2
13, Run: 015, P, 1, 0, 12, 0, 11, 0, 4
13, Run: 016, P, 1, 0, 12, 0, 10, 0, 4
13, Run: 017, P, 0, 0, 10, 0, 11, 0, 5
13, Run: 018, P, 2, 0, 14, 0, 10, 0, 3
13, Run: 019, P, 1, 0, 11, 0, 11, 0, 4
13, Run: 020, P, 3, 0, 13, 0, 10, 0, 2
13, Run: 021, P, 3, 0, 13, 0, 10, 0, 2
13, Run: 022, P, 2, 0, 12, 0, 10, 0, 3
13, Run: 023, P, 1, 0, 11, 0, 11, 0, 4
13, Run: 024, P, 3, 0, 13, 0, 10, 0, 2
13, Run: 025, P, 2, 0, 12, 0, 11, 0, 3
13, Run: 026, P, 3, 0, 13, 0, 11, 0, 2
13, Run: 027, P, 2, 0, 12, 0, 11, 0, 3
13, Run: 028, P, 4, 0, 14, 0, 11, 0, 1
13, Run: 029, P, 3, 0, 14, 0, 10, 0, 2
13, Run: 030, P, 2, 0, 12, 0, 11, 0, 3
13, Run: 031, P, 2, 0, 15, 0, 11, 0, 3
13, Run: 032, P, 2, 0, 14, 0, 10, 0, 3
13, Run: 033, P, 2, 0, 12, 0, 10, 0, 3
13, Run: 034, P, 3, 0, 13, 0, 11, 0, 2
13, Run: 035, P, 1, 0, 11, 0, 11, 0, 4
13, Run: 036, P, 2, 0, 12, 0, 10, 0, 3
13, Run: 037, P, 2, 0, 13, 0, 10, 0, 3
13, Run: 038, P, 3, 0, 14, 0, 11, 0, 2
13, Run: 039, P, 3, 0, 13, 0, 12, 0, 2
13, Run: 040, P, 4, 0, 15, 0, 10, 0, 1
13, Run: 041, P, 1, 0, 11, 0, 13, 0, 4
13, Run: 042, P, 2, 0, 13, 0, 11, 0, 3
13, Run: 043, P, 3, 0, 13, 0, 11, 0, 2
13, Run: 044, P, 3, 0, 13, 0, 11, 0, 2
13, Run: 045, P, 0, 0, 11, 0, 10, 0, 5
13, Run: 046, P, 2, 0, 13, 0, 10, 0, 3
13, Run: 047, P, 3, 0, 14, 0, 10, 0, 2
13, Run: 048, P, 1, 0, 11, 0, 10, 0, 4
