Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 008, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3344, 112, 112, 3344, 100, 62, 37, 200, 100, 200, 3566, 1783
INVAR-10, Run: 009, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 1849, 131, 131, 1849, 100, 63, 36, 200, 100, 200, 1826, 913
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2329, 130, 130, 2329, 100, 59, 40, 200, 100, 200, 4388, 2194
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2402, 123, 123, 2402, 100, 62, 37, 200, 100, 200, 2632, 1316
INVAR-10, Run: 012, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2690, 106, 106, 2690, 100, 54, 45, 200, 100, 200, 2308, 1154
INVAR-10, Run: 013, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3573, 100, 100, 3573, 100, 67, 32, 200, 100, 200, 2194, 1097
INVAR-10, Run: 014, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3170, 73, 73, 3170, 100, 62, 37, 200, 100, 200, 2516, 1258
INVAR-10, Run: 015, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2505, 90, 90, 2505, 100, 61, 38, 200, 100, 200, 1880, 940
INVAR-10, Run: 016, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2021, 79, 79, 2021, 100, 60, 39, 200, 100, 200, 3208, 1604
INVAR-10, Run: 017, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2575, 114, 114, 2575, 100, 60, 39, 200, 100, 200, 2094, 1047
INVAR-10, Run: 018, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2223, 114, 114, 2223, 100, 67, 32, 200, 100, 200, 1450, 725
INVAR-10, Run: 019, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 1742, 77, 77, 1742, 100, 57, 42, 200, 100, 200, 5072, 2536
INVAR-10, Run: 020, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2072, 115, 115, 2072, 100, 60, 39, 200, 100, 200, 2554, 1277
INVAR-10, Run: 021, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 1497, 142, 142, 1497, 100, 74, 25, 200, 100, 200, 2452, 1226
INVAR-10, Run: 022, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3040, 89, 89, 3040, 100, 61, 38, 200, 100, 200, 3520, 1760
INVAR-10, Run: 023, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2716, 88, 88, 2716, 100, 67, 32, 200, 100, 200, 1874, 937
INVAR-10, Run: 024, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2508, 72, 72, 2508, 100, 60, 39, 200, 100, 200, 2144, 1072
INVAR-10, Run: 025, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2923, 67, 67, 2923, 100, 66, 33, 200, 100, 200, 2712, 1356
INVAR-10, Run: 026, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2211, 130, 130, 2211, 100, 62, 37, 200, 100, 200, 2904, 1452
INVAR-10, Run: 027, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3836, 78, 78, 3836, 100, 68, 31, 200, 100, 200, 2648, 1324
INVAR-10, Run: 028, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3498, 111, 111, 3498, 100, 56, 43, 200, 100, 200, 4390, 2195
INVAR-10, Run: 029, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2533, 84, 84, 2533, 100, 61, 38, 200, 100, 200, 4138, 2069
INVAR-10, Run: 030, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2946, 82, 82, 2946, 100, 68, 31, 200, 100, 200, 2608, 1304
INVAR-10, Run: 031, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 1839, 79, 79, 1839, 100, 56, 43, 200, 100, 200, 2696, 1348
INVAR-10, Run: 032, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2538, 93, 93, 2538, 100, 61, 38, 200, 100, 200, 1518, 759
INVAR-10, Run: 033, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2046, 66, 66, 2046, 100, 60, 39, 200, 100, 200, 1900, 950
INVAR-10, Run: 034, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2055, 125, 125, 2055, 100, 70, 29, 200, 100, 200, 5998, 2999
INVAR-10, Run: 035, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2851, 79, 79, 2851, 100, 64, 35, 200, 100, 200, 2514, 1257
INVAR-10, Run: 036, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2811, 108, 108, 2811, 100, 69, 30, 200, 100, 200, 2466, 1233
INVAR-10, Run: 037, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3196, 56, 56, 3196, 100, 66, 33, 200, 100, 200, 2384, 1192
INVAR-10, Run: 038, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2148, 116, 116, 2148, 100, 63, 36, 200, 100, 200, 2502, 1251
INVAR-10, Run: 039, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2548, 100, 100, 2548, 100, 55, 44, 200, 100, 200, 2656, 1328
INVAR-10, Run: 040, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3109, 91, 91, 3109, 100, 64, 35, 200, 100, 200, 2730, 1365
INVAR-10, Run: 041, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3298, 111, 111, 3298, 100, 57, 42, 200, 100, 200, 3040, 1520
INVAR-10, Run: 042, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2477, 108, 108, 2477, 100, 61, 38, 200, 100, 200, 2384, 1192
INVAR-10, Run: 043, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2812, 90, 90, 2812, 100, 64, 35, 200, 100, 200, 2686, 1343
INVAR-10, Run: 044, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2445, 82, 82, 2445, 100, 67, 32, 200, 100, 200, 2130, 1065
INVAR-10, Run: 045, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2331, 88, 88, 2331, 100, 67, 32, 200, 100, 200, 1842, 921
INVAR-10, Run: 046, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2400, 69, 69, 2400, 100, 69, 30, 200, 100, 200, 3082, 1541
INVAR-10, Run: 047, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2440, 73, 73, 2440, 100, 61, 38, 200, 100, 200, 3598, 1799
INVAR-10, Run: 048, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2324, 116, 116, 2324, 100, 61, 38, 200, 100, 200, 2236, 1118
INVAR-10, Run: 049, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2692, 92, 92, 2692, 100, 66, 33, 200, 100, 200, 2452, 1226
INVAR-10, Run: 050, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2620, 117, 117, 2620, 100, 52, 47, 200, 100, 200, 2228, 1114
INVAR-10, Run: 051, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2333, 102, 102, 2333, 100, 65, 34, 200, 100, 200, 3534, 1767
INVAR-10, Run: 052, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2474, 139, 139, 2474, 100, 70, 29, 200, 100, 200, 2042, 1021
INVAR-10, Run: 053, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3382, 79, 79, 3382, 100, 71, 28, 200, 100, 200, 3278, 1639
INVAR-10, Run: 054, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2180, 114, 114, 2180, 100, 68, 31, 200, 100, 200, 3034, 1517
INVAR-10, Run: 055, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2293, 142, 142, 2293, 100, 65, 34, 200, 100, 200, 2292, 1146
INVAR-10, Run: 056, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2270, 136, 136, 2270, 100, 60, 39, 200, 100, 200, 2422, 1211
INVAR-10, Run: 057, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2452, 87, 87, 2452, 100, 58, 41, 200, 100, 200, 1816, 908
INVAR-10, Run: 058, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2748, 79, 79, 2748, 100, 70, 29, 200, 100, 200, 4416, 2208
INVAR-10, Run: 059, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2857, 87, 87, 2857, 100, 61, 38, 200, 100, 200, 2378, 1189
INVAR-10, Run: 060, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2653, 81, 81, 2653, 100, 52, 47, 200, 100, 200, 3276, 1638
INVAR-10, Run: 061, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2170, 85, 85, 2170, 100, 66, 33, 200, 100, 200, 3486, 1743
INVAR-10, Run: 062, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2001, 126, 126, 2001, 100, 67, 32, 200, 100, 200, 1908, 954
INVAR-10, Run: 063, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3326, 91, 91, 3326, 100, 67, 32, 200, 100, 200, 3322, 1661
INVAR-10, Run: 064, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2922, 115, 115, 2922, 100, 65, 34, 200, 100, 200, 3058, 1529
INVAR-10, Run: 065, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2590, 87, 87, 2590, 100, 62, 37, 200, 100, 200, 2376, 1188
INVAR-10, Run: 066, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2398, 79, 79, 2398, 100, 63, 36, 200, 100, 200, 2410, 1205
INVAR-10, Run: 067, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3120, 93, 93, 3120, 100, 56, 43, 200, 100, 200, 2076, 1038
INVAR-10, Run: 068, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2096, 142, 142, 2096, 100, 59, 40, 200, 100, 200, 2048, 1024
INVAR-10, Run: 069, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2314, 59, 59, 2314, 100, 66, 33, 200, 100, 200, 2272, 1136
INVAR-10, Run: 070, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2267, 97, 97, 2267, 100, 56, 43, 200, 100, 200, 2362, 1181
INVAR-10, Run: 071, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2269, 104, 104, 2269, 100, 63, 36, 200, 100, 200, 2364, 1182
INVAR-10, Run: 072, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3320, 126, 126, 3320, 100, 63, 36, 200, 100, 200, 3922, 1961
INVAR-10, Run: 073, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 1996, 97, 97, 1996, 100, 51, 48, 200, 100, 200, 2362, 1181
INVAR-10, Run: 074, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2830, 89, 89, 2830, 100, 60, 39, 200, 100, 200, 2890, 1445
INVAR-10, Run: 075, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2515, 109, 109, 2515, 100, 60, 39, 200, 100, 200, 4058, 2029
INVAR-10, Run: 076, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2120, 157, 157, 2120, 100, 67, 32, 200, 100, 200, 2488, 1244
INVAR-10, Run: 077, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3485, 110, 110, 3485, 100, 59, 40, 200, 100, 200, 1506, 753
INVAR-10, Run: 078, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2037, 100, 100, 2037, 100, 60, 39, 200, 100, 200, 4558, 2279
INVAR-10, Run: 079, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 1998, 102, 102, 1998, 100, 68, 31, 200, 100, 200, 2198, 1099
INVAR-10, Run: 080, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2373, 79, 79, 2373, 100, 62, 37, 200, 100, 200, 2802, 1401
INVAR-10, Run: 081, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2792, 113, 113, 2792, 100, 61, 38, 200, 100, 200, 4048, 2024
INVAR-10, Run: 082, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3477, 102, 102, 3477, 100, 54, 45, 200, 100, 200, 2434, 1217
INVAR-10, Run: 083, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2988, 60, 60, 2988, 100, 59, 40, 200, 100, 200, 2384, 1192
INVAR-10, Run: 084, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2176, 82, 82, 2176, 100, 67, 32, 200, 100, 200, 2690, 1345
INVAR-10, Run: 085, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2229, 120, 120, 2229, 100, 70, 29, 200, 100, 200, 3176, 1588
INVAR-10, Run: 086, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 1650, 155, 155, 1650, 100, 60, 39, 200, 100, 200, 1794, 897
INVAR-10, Run: 087, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2727, 112, 112, 2727, 100, 55, 44, 200, 100, 200, 2504, 1252
INVAR-10, Run: 088, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 1758, 88, 88, 1758, 100, 54, 45, 200, 100, 200, 3130, 1565
INVAR-10, Run: 089, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2135, 143, 143, 2135, 100, 66, 33, 200, 100, 200, 2840, 1420
INVAR-10, Run: 090, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2820, 86, 86, 2820, 100, 67, 32, 200, 100, 200, 2270, 1135
INVAR-10, Run: 091, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2678, 97, 97, 2678, 100, 58, 41, 200, 100, 200, 3546, 1773
INVAR-10, Run: 092, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 1895, 96, 96, 1895, 100, 64, 35, 200, 100, 200, 2718, 1359
INVAR-10, Run: 093, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 1718, 109, 109, 1718, 100, 62, 37, 200, 100, 200, 2196, 1098
INVAR-10, Run: 094, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 3188, 120, 120, 3188, 100, 56, 43, 200, 100, 200, 2150, 1075
INVAR-10, Run: 095, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2949, 96, 96, 2949, 100, 66, 33, 200, 100, 200, 2966, 1483
INVAR-10, Run: 096, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2344, 92, 92, 2344, 100, 60, 39, 200, 100, 200, 3066, 1533
INVAR-10, Run: 097, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2379, 82, 82, 2379, 100, 66, 33, 200, 100, 200, 2456, 1228
INVAR-10, Run: 098, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2482, 95, 95, 2482, 100, 63, 36, 200, 100, 200, 7830, 3915
INVAR-10, Run: 099, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 2537, 128, 128, 2537, 100, 62, 37, 200, 100, 200, 2964, 1482
INVAR-10, Run: 100, P, 0, 0, 0, 0, 0, 400, 0, 0, 1, 0, 200, 0, 200, 1803, 129, 129, 1803, 100, 54, 45, 200, 100, 200, 1972, 986
INVAR-2, Run: 001, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 610, 14, 14, 610, 28, 14, 13, 56, 28, 56, 252, 126
INVAR-2, Run: 002, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 396, 21, 21, 396, 28, 17, 10, 56, 28, 56, 746, 373
INVAR-2, Run: 003, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 313, 16, 16, 313, 28, 14, 13, 56, 28, 56, 618, 309
INVAR-2, Run: 004, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 423, 20, 20, 423, 28, 21, 6, 56, 28, 56, 1002, 501
INVAR-2, Run: 005, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 550, 30, 30, 550, 28, 14, 13, 56, 28, 56, 326, 163
INVAR-2, Run: 006, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 196, 15, 15, 196, 28, 16, 11, 56, 28, 56, 376, 188
INVAR-2, Run: 007, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 409, 12, 12, 409, 28, 13, 14, 56, 28, 56, 288, 144
INVAR-2, Run: 008, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 377, 22, 22, 377, 28, 17, 10, 56, 28, 56, 724, 362
INVAR-2, Run: 009, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 421, 13, 13, 421, 28, 17, 10, 56, 28, 56, 686, 343
INVAR-2, Run: 010, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 239, 36, 36, 239, 28, 14, 13, 56, 28, 56, 446, 223
