Input Number, Run_Number, Result@ 100, H, CO, M, X1, PO, CE, Y, D, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 095, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 7, 86, 9, 6, 2, 6, 24, 36, 13, 80
INVAR-1, Run: 096, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0, 6, 18, 25, 128, 9, 5, 3, 6, 24, 36, 31, 122
INVAR-1, Run: 097, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 6, 105, 9, 7, 1, 7, 22, 33, 13, 101
INVAR-1, Run: 098, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0, 4, 18, 26, 84, 9, 7, 1, 7, 22, 33, 33, 80
INVAR-1, Run: 099, F, 0, 0, 0, 0, 0, 8, 6, 0, 1, 62, 0, 2, 18, 26, 77, 9, 6, 2, 8, 20, 30, 34, 75
INVAR-1, Run: 100, F, 0, 6, 0, 0, 0, 4, 0, 0, 1, 88, 0, 10, 18, 11, 142, 9, 6, 2, 4, 28, 42, 15, 138
INVAR-10, Run: 001, F, 0, 0, 0, 0, 0, 86, 58, 0, 1, 712, 0, 28, 200, 613, 4828, 100, 67, 32, 86, 228, 342, 699, 4800
INVAR-10, Run: 002, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0, 14, 200, 755, 5754, 100, 63, 36, 93, 214, 321, 848, 5740
INVAR-10, Run: 003, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0, 22, 200, 890, 5899, 100, 53, 46, 89, 222, 333, 979, 5877
INVAR-10, Run: 004, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0, 22, 200, 684, 5677, 100, 53, 46, 89, 222, 333, 773, 5655
INVAR-10, Run: 005, F, 0, 0, 0, 0, 0, 88, 64, 0, 1, 696, 0, 24, 200, 763, 5798, 100, 68, 31, 88, 224, 336, 851, 5774
INVAR-10, Run: 006, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0, 16, 200, 705, 4967, 100, 60, 39, 92, 216, 324, 797, 4951
INVAR-10, Run: 007, F, 0, 0, 0, 0, 0, 88, 64, 0, 1, 696, 0, 24, 200, 853, 6093, 100, 61, 38, 88, 224, 336, 941, 6069
INVAR-10, Run: 008, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0, 22, 200, 680, 6309, 100, 57, 42, 89, 222, 333, 769, 6287
INVAR-10, Run: 009, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 695, 4535, 100, 57, 42, 91, 218, 327, 786, 4517
INVAR-10, Run: 010, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 678, 5641, 100, 69, 30, 91, 218, 327, 769, 5623
INVAR-10, Run: 011, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0, 14, 200, 874, 4474, 100, 68, 31, 93, 214, 321, 967, 4460
INVAR-10, Run: 012, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0, 16, 200, 700, 4209, 100, 63, 36, 92, 216, 324, 792, 4193
INVAR-10, Run: 013, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 570, 4455, 100, 64, 35, 91, 218, 327, 661, 4437
INVAR-10, Run: 014, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0, 22, 200, 929, 5819, 100, 72, 27, 89, 222, 333, 1018, 5797
INVAR-10, Run: 015, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0, 22, 200, 694, 5571, 100, 71, 28, 89, 222, 333, 783, 5549
INVAR-10, Run: 016, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 473, 4631, 100, 70, 29, 91, 218, 327, 564, 4613
INVAR-10, Run: 017, F, 0, 0, 0, 0, 0, 88, 64, 0, 1, 696, 0, 24, 200, 777, 6246, 100, 68, 31, 88, 224, 336, 865, 6222
INVAR-10, Run: 018, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0, 14, 200, 612, 5481, 100, 59, 40, 93, 214, 321, 705, 5467
