Input Number, Run_Number, Result@ 100, A1, F1, F1P, A2, F2, F2P, Y
INVAR-14, Run: 049, F, 77, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 050, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 051, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 052, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 053, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 054, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 055, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 056, F, 77, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 057, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 058, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 059, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 060, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 061, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 062, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 063, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 064, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 065, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 066, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 067, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 068, F, 77, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 069, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 070, F, 77, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 071, F, 77, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 072, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 073, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 074, F, 77, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 075, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 076, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 077, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 078, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 079, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 080, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 081, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 082, F, 77, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 083, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 084, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 085, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 086, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 087, F, 77, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 088, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 089, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 090, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 091, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 092, F, 77, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 093, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 094, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 095, F, 76, 0, 10, 60, 0, 0, 0
INVAR-14, Run: 096, F, 76, 0, 10, 60, 0, 0, 0
