Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532
INVAR-1, Run: 060, P, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 0, 1
INVAR-1, Run: 061, P, 1, 2, 0, 0, 1, 1, 3, 3, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 062, P, 1, 5, 0, 1, 1, 1, 2, 1, 2, 0, 0, 4, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 063, P, 1, 3, 1, 0, 0, 1, 2, 1, 1, 0, 0, 3, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0
INVAR-1, Run: 064, P, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1
INVAR-1, Run: 065, P, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 5, 1, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 1
INVAR-1, Run: 066, P, 1, 3, 0, 2, 1, 1, 0, 0, 2, 0, 0, 3, 2, 1, 0, 0, 0, 0, 1, 2, 2, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 067, P, 1, 2, 0, 1, 0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1
INVAR-1, Run: 068, P, 1, 5, 1, 1, 2, 1, 0, 1, 3, 1, 1, 3, 2, 1, 0, 0, 0, 1, 1, 2, 3, 1, 2, 0, 0, 0, 0
INVAR-1, Run: 069, P, 1, 0, 1, 2, 3, 1, 3, 2, 0, 2, 1, 1, 1, 0, 2, 0, 1, 1, 1, 1, 2, 1, 0, 0, 0, 1, 0
INVAR-1, Run: 070, P, 1, 6, 0, 1, 0, 1, 2, 3, 1, 1, 0, 4, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 071, P, 1, 2, 1, 0, 1, 1, 0, 0, 3, 0, 0, 4, 0, 0, 1, 1, 1, 1, 1, 1, 0, 2, 1, 0, 0, 0, 0
INVAR-1, Run: 072, P, 1, 3, 1, 1, 0, 1, 0, 0, 3, 3, 0, 6, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0
INVAR-1, Run: 073, P, 1, 3, 0, 2, 0, 1, 2, 0, 2, 0, 0, 4, 0, 1, 0, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1
