Input Number, Run_Number, Result@ 100, CE, X1, H, M, PO, Y, D, CO, PE, A, B
INVAR-1, Run: 026, F, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 027, F, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
INVAR-1, Run: 028, F, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 029, F, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 030, F, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 031, F, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 032, F, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 033, F, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 034, F, 0, 0, 1, 0, 1, 59, 8, 58, 0, 0, 1
INVAR-1, Run: 035, F, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 036, F, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 037, F, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 038, F, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 039, F, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 040, F, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 041, F, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 042, F, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
INVAR-1, Run: 043, F, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 044, F, 0, 0, 1, 0, 1, 67, 7, 64, 0, 0, 1
INVAR-1, Run: 045, F, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 046, F, 0, 0, 1, 0, 1, 91, 4, 82, 0, 0, 1
INVAR-1, Run: 047, F, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 048, F, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0
INVAR-1, Run: 049, F, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0
INVAR-1, Run: 050, F, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 051, F, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 052, F, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0
INVAR-1, Run: 053, F, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 054, F, 5, 0, 0, 0, 0, 13, 0, 0, 1, 78, 0
INVAR-1, Run: 055, P, 9, 0, 0, 0, 0, 9, 0, 0, 1, 54, 0
INVAR-1, Run: 056, F, 0, 0, 1, 0, 1, 107, 2, 94, 0, 0, 1
INVAR-1, Run: 057, F, 0, 0, 1, 0, 1, 75, 6, 70, 0, 0, 1
INVAR-1, Run: 058, F, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 059, F, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 060, F, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0
INVAR-1, Run: 061, F, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 062, F, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0
INVAR-1, Run: 063, F, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0
INVAR-1, Run: 064, F, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
INVAR-1, Run: 065, F, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
INVAR-1, Run: 066, F, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0
INVAR-1, Run: 067, F, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1
