Input Number, Run_Number, Result@ 100, E, PE, B, X1, A, C, PO, D, CO, Y, CE, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 027, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 342, 6, 6, 255, 14, 2, 1, 14, 20, 29, 358, 179
INVAR-1, Run: 028, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 234, 5, 5, 159, 12, 3, 2, 12, 16, 25, 290, 145
INVAR-1, Run: 029, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 255, 2, 2, 180, 12, 5, 0, 12, 16, 25, 258, 129
INVAR-1, Run: 030, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 195, 8, 8, 120, 12, 4, 1, 12, 16, 25, 160, 80
INVAR-1, Run: 031, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 135, 2, 2, 66, 11, 6, 0, 11, 14, 23, 204, 102
INVAR-1, Run: 032, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 264, 6, 6, 183, 13, 2, 2, 13, 18, 27, 238, 119
INVAR-1, Run: 033, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 369, 4, 4, 282, 14, 2, 1, 14, 20, 29, 446, 223
INVAR-1, Run: 034, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 204, 6, 6, 129, 12, 2, 3, 12, 16, 25, 260, 130
INVAR-1, Run: 035, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 257, 3, 3, 176, 13, 4, 0, 13, 18, 27, 414, 207
INVAR-1, Run: 036, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 217, 1, 1, 148, 11, 6, 0, 11, 14, 23, 154, 77
INVAR-1, Run: 037, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 159, 3, 3, 72, 14, 2, 1, 14, 20, 29, 152, 76
INVAR-1, Run: 038, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 296, 3, 3, 209, 14, 3, 0, 14, 20, 29, 436, 218
INVAR-1, Run: 039, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 210, 8, 8, 129, 13, 1, 3, 13, 18, 27, 392, 196
INVAR-1, Run: 040, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 316, 1, 1, 241, 12, 4, 1, 12, 16, 25, 216, 108
INVAR-1, Run: 041, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 204, 6, 6, 123, 13, 4, 0, 13, 18, 27, 214, 107
INVAR-1, Run: 042, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 267, 4, 4, 180, 14, 2, 1, 14, 20, 29, 286, 143
INVAR-1, Run: 043, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 188, 2, 2, 113, 12, 5, 0, 12, 16, 25, 228, 114
INVAR-1, Run: 044, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 208, 4, 4, 133, 12, 5, 0, 12, 16, 25, 106, 53
INVAR-1, Run: 045, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 273, 6, 6, 198, 12, 2, 3, 12, 16, 25, 218, 109
INVAR-1, Run: 046, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 207, 4, 4, 132, 12, 3, 2, 12, 16, 25, 248, 124
INVAR-1, Run: 047, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 209, 7, 7, 134, 12, 3, 2, 12, 16, 25, 212, 106
INVAR-1, Run: 048, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 346, 5, 5, 259, 14, 2, 1, 14, 20, 29, 404, 202
INVAR-1, Run: 049, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 193, 4, 4, 118, 12, 4, 1, 12, 16, 25, 218, 109
INVAR-1, Run: 050, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 249, 5, 5, 168, 13, 3, 1, 13, 18, 27, 274, 137
INVAR-1, Run: 051, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 260, 6, 6, 173, 14, 2, 1, 14, 20, 29, 514, 257
INVAR-1, Run: 052, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 251, 7, 7, 170, 13, 3, 1, 13, 18, 27, 220, 110
INVAR-1, Run: 053, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 283, 5, 5, 208, 12, 4, 1, 12, 16, 25, 266, 133
INVAR-1, Run: 054, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 300, 4, 4, 219, 13, 4, 0, 13, 18, 27, 284, 142
INVAR-1, Run: 055, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 189, 2, 2, 114, 12, 5, 0, 12, 16, 25, 170, 85
INVAR-1, Run: 056, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 214, 0, 0, 133, 13, 4, 0, 13, 18, 27, 276, 138
INVAR-1, Run: 057, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 171, 3, 3, 96, 12, 2, 3, 12, 16, 25, 254, 127
INVAR-1, Run: 058, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 237, 2, 2, 156, 13, 4, 0, 13, 18, 27, 304, 152
INVAR-1, Run: 059, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 308, 6, 6, 227, 13, 3, 1, 13, 18, 27, 358, 179
INVAR-1, Run: 060, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 153, 5, 5, 84, 11, 5, 1, 11, 14, 23, 206, 103
INVAR-1, Run: 061, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 347, 7, 7, 260, 14, 3, 0, 14, 20, 29, 400, 200
INVAR-1, Run: 062, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 271, 6, 6, 184, 14, 3, 0, 14, 20, 29, 372, 186
INVAR-1, Run: 063, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 345, 8, 8, 258, 14, 2, 1, 14, 20, 29, 438, 219
INVAR-1, Run: 064, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 232, 6, 6, 157, 12, 5, 0, 12, 16, 25, 386, 193
INVAR-1, Run: 065, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 345, 8, 8, 258, 14, 2, 1, 14, 20, 29, 404, 202
INVAR-1, Run: 066, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 277, 7, 7, 202, 12, 4, 1, 12, 16, 25, 338, 169
INVAR-1, Run: 067, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 213, 4, 4, 144, 11, 5, 1, 11, 14, 23, 212, 106
INVAR-1, Run: 068, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 166, 1, 1, 91, 12, 4, 1, 12, 16, 25, 136, 68
INVAR-1, Run: 069, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 236, 6, 6, 155, 13, 3, 1, 13, 18, 27, 366, 183
INVAR-1, Run: 070, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 180, 3, 3, 105, 12, 4, 1, 12, 16, 25, 252, 126
INVAR-1, Run: 071, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 286, 2, 2, 205, 13, 3, 1, 13, 18, 27, 340, 170
INVAR-1, Run: 072, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 196, 5, 5, 127, 11, 5, 1, 11, 14, 23, 96, 48
INVAR-1, Run: 073, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 213, 9, 9, 138, 12, 3, 2, 12, 16, 25, 448, 224
INVAR-1, Run: 074, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 229, 8, 8, 148, 13, 3, 1, 13, 18, 27, 454, 227
INVAR-1, Run: 075, P, 2, 0, 0, 0, 1, 0, 1, 0, 93, 93, 0, 0, 13, 31, 435, 5, 5, 342, 15, 2, 0, 15, 22, 31, 382, 191
INVAR-1, Run: 076, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 239, 4, 4, 164, 12, 5, 0, 12, 16, 25, 180, 90
INVAR-1, Run: 077, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 128, 0, 0, 59, 11, 5, 1, 11, 14, 23, 258, 129
INVAR-1, Run: 078, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 237, 2, 2, 162, 12, 4, 1, 12, 16, 25, 442, 221
INVAR-1, Run: 079, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 163, 7, 7, 76, 14, 1, 2, 14, 20, 29, 224, 112
INVAR-1, Run: 080, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 274, 8, 8, 187, 14, 3, 0, 14, 20, 29, 508, 254
INVAR-1, Run: 081, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 221, 6, 6, 146, 12, 3, 2, 12, 16, 25, 354, 177
INVAR-1, Run: 082, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 233, 6, 6, 158, 12, 3, 2, 12, 16, 25, 246, 123
INVAR-1, Run: 083, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 318, 6, 6, 231, 14, 1, 2, 14, 20, 29, 328, 164
INVAR-1, Run: 084, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 268, 5, 5, 187, 13, 3, 1, 13, 18, 27, 334, 167
INVAR-1, Run: 085, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 233, 3, 3, 152, 13, 4, 0, 13, 18, 27, 268, 134
INVAR-1, Run: 086, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 307, 2, 2, 226, 13, 3, 1, 13, 18, 27, 334, 167
INVAR-1, Run: 087, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 237, 7, 7, 156, 13, 3, 1, 13, 18, 27, 326, 163
INVAR-1, Run: 088, P, 3, 0, 0, 0, 1, 0, 1, 0, 87, 87, 0, 0, 11, 29, 258, 9, 9, 171, 14, 2, 1, 14, 20, 29, 292, 146
INVAR-1, Run: 089, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 180, 6, 6, 111, 11, 4, 2, 11, 14, 23, 198, 99
INVAR-1, Run: 090, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 131, 11, 11, 62, 11, 3, 3, 11, 14, 23, 236, 118
INVAR-1, Run: 091, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 169, 2, 2, 94, 12, 2, 3, 12, 16, 25, 218, 109
INVAR-1, Run: 092, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 300, 5, 5, 219, 13, 4, 0, 13, 18, 27, 262, 131
INVAR-1, Run: 093, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 133, 4, 4, 64, 11, 5, 1, 11, 14, 23, 112, 56
INVAR-1, Run: 094, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 260, 2, 2, 185, 12, 5, 0, 12, 16, 25, 160, 80
INVAR-1, Run: 095, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 185, 7, 7, 116, 11, 6, 0, 11, 14, 23, 174, 87
INVAR-1, Run: 096, P, 4, 0, 0, 0, 1, 0, 1, 0, 81, 81, 0, 0, 9, 27, 326, 4, 4, 245, 13, 3, 1, 13, 18, 27, 426, 213
INVAR-1, Run: 097, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 185, 2, 2, 116, 11, 6, 0, 11, 14, 23, 136, 68
INVAR-1, Run: 098, P, 3, 0, 1, 0, 1, 0, 1, 0, 88, 88, 0, 1, 11, 29, 320, 3, 3, 232, 14, 1, 2, 14, 19, 29, 447, 223
INVAR-1, Run: 099, P, 5, 0, 0, 0, 1, 0, 1, 0, 75, 75, 0, 0, 7, 25, 183, 6, 6, 108, 12, 4, 1, 12, 16, 25, 138, 69
INVAR-1, Run: 100, P, 6, 0, 0, 0, 1, 0, 1, 0, 69, 69, 0, 0, 5, 23, 139, 4, 4, 70, 11, 5, 1, 11, 14, 23, 160, 80
INVAR-10, Run: 001, P, 31, 0, 0, 0, 1, 0, 1, 0, 1011, 1011, 0, 0, 137, 337, 14124, 39, 39, 13113, 168, 27, 4, 168, 237, 337, 17504, 8752
INVAR-10, Run: 002, P, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0, 131, 331, 13357, 49, 49, 12364, 165, 29, 5, 165, 231, 331, 17288, 8644
INVAR-10, Run: 003, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0, 127, 327, 12756, 35, 35, 11775, 163, 31, 5, 163, 227, 327, 17890, 8945
INVAR-10, Run: 004, P, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0, 131, 331, 14054, 34, 34, 13061, 165, 28, 6, 165, 231, 331, 15696, 7848
INVAR-10, Run: 005, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0, 127, 327, 14659, 32, 32, 13678, 163, 27, 9, 163, 227, 327, 16918, 8459
INVAR-10, Run: 006, P, 43, 0, 0, 0, 1, 0, 1, 0, 939, 939, 0, 0, 113, 313, 12046, 35, 35, 11107, 156, 40, 3, 156, 213, 313, 15132, 7566
INVAR-10, Run: 007, P, 44, 0, 0, 0, 1, 0, 1, 0, 933, 933, 0, 0, 111, 311, 11333, 47, 47, 10400, 155, 35, 9, 155, 211, 311, 15786, 7893
INVAR-10, Run: 008, P, 33, 0, 0, 0, 1, 0, 1, 0, 999, 999, 0, 0, 133, 333, 15266, 32, 32, 14267, 166, 29, 4, 166, 233, 333, 18748, 9374
INVAR-10, Run: 009, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0, 117, 317, 12392, 39, 39, 11441, 158, 28, 13, 158, 217, 317, 14552, 7276
INVAR-10, Run: 010, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0, 125, 325, 15212, 35, 35, 14237, 162, 31, 6, 162, 225, 325, 16958, 8479
INVAR-10, Run: 011, P, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0, 121, 321, 12336, 33, 33, 11373, 160, 28, 11, 160, 221, 321, 15036, 7518
INVAR-10, Run: 012, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0, 125, 325, 14873, 32, 32, 13898, 162, 27, 10, 162, 225, 325, 17266, 8633
INVAR-10, Run: 013, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0, 123, 323, 14603, 41, 41, 13634, 161, 30, 8, 161, 223, 323, 19278, 9639
INVAR-10, Run: 014, P, 33, 0, 0, 0, 1, 0, 1, 0, 999, 999, 0, 0, 133, 333, 14779, 41, 41, 13780, 166, 28, 5, 166, 233, 333, 15542, 7771
INVAR-10, Run: 015, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0, 127, 327, 13559, 42, 42, 12578, 163, 25, 11, 163, 227, 327, 17548, 8774
INVAR-10, Run: 016, P, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0, 121, 321, 12492, 22, 22, 11529, 160, 31, 8, 160, 221, 321, 19114, 9557
INVAR-10, Run: 017, P, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0, 129, 329, 15370, 21, 21, 14383, 164, 32, 3, 164, 229, 329, 18908, 9454
INVAR-10, Run: 018, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0, 123, 323, 13377, 32, 32, 12408, 161, 29, 9, 161, 223, 323, 16912, 8456
INVAR-10, Run: 019, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0, 117, 317, 13858, 26, 26, 12907, 158, 35, 6, 158, 217, 317, 17072, 8536
INVAR-10, Run: 020, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0, 127, 327, 13598, 45, 45, 12617, 163, 30, 6, 163, 227, 327, 20486, 10243
INVAR-10, Run: 021, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0, 123, 323, 11385, 36, 36, 10416, 161, 30, 8, 161, 223, 323, 15506, 7753
INVAR-10, Run: 022, P, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0, 115, 315, 12036, 36, 36, 11091, 157, 33, 9, 157, 215, 315, 10972, 5486
INVAR-10, Run: 023, P, 44, 0, 0, 0, 1, 0, 1, 0, 933, 933, 0, 0, 111, 311, 12574, 26, 26, 11641, 155, 33, 11, 155, 211, 311, 17046, 8523
INVAR-10, Run: 024, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0, 119, 319, 12681, 37, 37, 11724, 159, 34, 6, 159, 219, 319, 16656, 8328
INVAR-10, Run: 025, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0, 123, 323, 13394, 41, 41, 12425, 161, 32, 6, 161, 223, 323, 13624, 6812
INVAR-10, Run: 026, P, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0, 131, 331, 15785, 22, 22, 14792, 165, 27, 7, 165, 231, 331, 17688, 8844
INVAR-10, Run: 027, P, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0, 115, 315, 13427, 38, 38, 12482, 157, 37, 5, 157, 215, 315, 15584, 7792
INVAR-10, Run: 028, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0, 125, 325, 13106, 32, 32, 12131, 162, 34, 3, 162, 225, 325, 14788, 7394
INVAR-10, Run: 029, P, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0, 117, 317, 13337, 31, 31, 12386, 158, 33, 8, 158, 217, 317, 15880, 7940
INVAR-10, Run: 030, P, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0, 121, 321, 12172, 42, 42, 11209, 160, 32, 7, 160, 221, 321, 14518, 7259
INVAR-10, Run: 031, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0, 119, 319, 14688, 31, 31, 13731, 159, 31, 9, 159, 219, 319, 15092, 7546
INVAR-10, Run: 032, P, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0, 123, 323, 12878, 35, 35, 11909, 161, 32, 6, 161, 223, 323, 15900, 7950
INVAR-10, Run: 033, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0, 125, 325, 12302, 30, 30, 11327, 162, 31, 6, 162, 225, 325, 16540, 8270
INVAR-10, Run: 034, P, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0, 125, 325, 14335, 36, 36, 13360, 162, 28, 9, 162, 225, 325, 16252, 8126
INVAR-10, Run: 035, P, 44, 0, 0, 0, 1, 0, 1, 0, 933, 933, 0, 0, 111, 311, 11189, 39, 39, 10256, 155, 40, 4, 155, 211, 311, 14154, 7077
INVAR-10, Run: 036, P, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0, 115, 315, 14203, 35, 35, 13258, 157, 32, 10, 157, 215, 315, 18360, 9180
INVAR-10, Run: 037, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0, 127, 327, 13654, 38, 38, 12673, 163, 30, 6, 163, 227, 327, 15268, 7634
INVAR-10, Run: 038, P, 33, 0, 0, 0, 1, 0, 1, 0, 999, 999, 0, 0, 133, 333, 14381, 32, 32, 13382, 166, 25, 8, 166, 233, 333, 19220, 9610
INVAR-10, Run: 039, P, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0, 119, 319, 13281, 39, 39, 12324, 159, 34, 6, 159, 219, 319, 16738, 8369
INVAR-10, Run: 040, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0, 127, 327, 12436, 38, 38, 11455, 163, 24, 12, 163, 227, 327, 16494, 8247
INVAR-10, Run: 041, P, 35, 0, 0, 0, 1, 0, 1, 0, 987, 987, 0, 0, 129, 329, 13990, 31, 31, 13003, 164, 29, 6, 164, 229, 329, 19024, 9512
INVAR-10, Run: 042, P, 33, 0, 0, 0, 1, 0, 1, 0, 999, 999, 0, 0, 133, 333, 13814, 25, 25, 12815, 166, 27, 6, 166, 233, 333, 18568, 9284
INVAR-10, Run: 043, P, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0, 127, 327, 13312, 32, 32, 12331, 163, 24, 12, 163, 227, 327, 17456, 8728
INVAR-10, Run: 044, P, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0, 115, 315, 12210, 48, 48, 11265, 157, 34, 8, 157, 215, 315, 16254, 8127
INVAR-10, Run: 045, P, 43, 0, 0, 0, 1, 0, 1, 0, 939, 939, 0, 0, 113, 313, 11271, 33, 33, 10332, 156, 38, 5, 156, 213, 313, 13566, 6783
