Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 045, F, 0, 0, 0, 0, 0, 15, 40, 40, 0, 0, 9, 1, 18, 40, 0, 0, 0, 9, 0, 0, 9, 13, 18, 37, 18
INVAR-1, Run: 046, F, 0, 0, 0, 0, 0, 14, 41, 41, 0, 0, 9, 1, 18, 41, 0, 0, 0, 9, 0, 0, 9, 13, 18, 51, 25
INVAR-1, Run: 047, F, 0, 0, 0, 0, 0, 24, 31, 31, 0, 0, 9, 1, 18, 31, 0, 0, 0, 9, 0, 0, 9, 13, 18, 41, 20
INVAR-1, Run: 048, F, 0, 0, 0, 0, 0, 13, 42, 42, 0, 0, 9, 1, 18, 42, 0, 0, 0, 9, 0, 0, 9, 13, 18, 75, 37
INVAR-1, Run: 049, F, 0, 0, 0, 0, 0, 11, 44, 44, 0, 0, 9, 1, 18, 44, 0, 0, 0, 9, 0, 0, 9, 13, 18, 49, 24
INVAR-1, Run: 050, F, 0, 0, 0, 0, 0, 42, 13, 13, 0, 0, 9, 1, 18, 13, 0, 0, 0, 9, 0, 0, 9, 13, 18, 47, 23
INVAR-1, Run: 051, F, 0, 0, 0, 0, 0, 28, 27, 27, 0, 0, 9, 1, 18, 27, 0, 0, 0, 9, 0, 0, 9, 13, 18, 67, 33
INVAR-1, Run: 052, F, 0, 0, 0, 0, 0, 5, 50, 50, 0, 0, 9, 1, 18, 50, 0, 0, 0, 9, 0, 0, 9, 13, 18, 73, 36
INVAR-1, Run: 053, F, 0, 0, 0, 0, 0, 11, 44, 44, 0, 0, 9, 1, 18, 44, 0, 0, 0, 9, 0, 0, 9, 13, 18, 35, 17
INVAR-1, Run: 054, F, 0, 0, 0, 0, 0, 4, 51, 51, 0, 0, 9, 1, 18, 51, 0, 0, 0, 9, 0, 0, 9, 13, 18, 63, 31
INVAR-1, Run: 055, F, 0, 0, 0, 0, 0, 8, 47, 47, 0, 0, 9, 1, 18, 47, 0, 0, 0, 9, 0, 0, 9, 13, 18, 17, 8
INVAR-1, Run: 056, F, 0, 0, 0, 0, 0, 7, 48, 48, 0, 0, 9, 1, 18, 48, 0, 0, 0, 9, 0, 0, 9, 13, 18, 61, 30
INVAR-1, Run: 057, F, 0, 0, 0, 0, 0, 5, 50, 50, 0, 0, 9, 1, 18, 50, 0, 0, 0, 9, 0, 0, 9, 13, 18, 75, 37
INVAR-1, Run: 058, F, 0, 0, 0, 0, 0, 34, 21, 21, 0, 0, 9, 1, 18, 21, 0, 0, 0, 9, 0, 0, 9, 13, 18, 23, 11
INVAR-1, Run: 059, F, 0, 0, 0, 0, 0, 3, 52, 52, 0, 0, 9, 1, 18, 52, 0, 0, 0, 9, 0, 0, 9, 13, 18, 39, 19
INVAR-1, Run: 060, F, 0, 0, 0, 0, 0, 18, 37, 37, 0, 0, 9, 1, 18, 37, 0, 0, 0, 9, 0, 0, 9, 13, 18, 35, 17
INVAR-1, Run: 061, F, 0, 0, 0, 0, 0, 17, 38, 38, 0, 0, 9, 1, 18, 38, 0, 0, 0, 9, 0, 0, 9, 13, 18, 71, 35
INVAR-1, Run: 062, F, 0, 0, 0, 0, 0, 29, 26, 26, 0, 0, 9, 1, 18, 26, 0, 0, 0, 9, 0, 0, 9, 13, 18, 21, 10
INVAR-1, Run: 063, F, 0, 0, 0, 0, 0, 16, 39, 39, 0, 0, 9, 1, 18, 39, 0, 0, 0, 9, 0, 0, 9, 13, 18, 51, 25
INVAR-1, Run: 064, F, 0, 0, 0, 0, 0, 12, 43, 43, 0, 0, 9, 1, 18, 43, 0, 0, 0, 9, 0, 0, 9, 13, 18, 79, 39
INVAR-1, Run: 065, F, 0, 0, 0, 0, 0, 23, 32, 32, 0, 0, 9, 1, 18, 32, 0, 0, 0, 9, 0, 0, 9, 13, 18, 49, 24
INVAR-1, Run: 066, F, 0, 0, 0, 0, 0, 31, 24, 24, 0, 0, 9, 1, 18, 24, 0, 0, 0, 9, 0, 0, 9, 13, 18, 29, 14
INVAR-1, Run: 067, F, 0, 0, 0, 0, 0, 31, 24, 24, 0, 0, 9, 1, 18, 24, 0, 0, 0, 9, 0, 0, 9, 13, 18, 31, 15
INVAR-1, Run: 068, F, 0, 0, 0, 0, 0, 16, 39, 39, 0, 0, 9, 1, 18, 39, 0, 0, 0, 9, 0, 0, 9, 13, 18, 59, 29
INVAR-1, Run: 069, F, 0, 0, 0, 0, 0, 8, 47, 47, 0, 0, 9, 1, 18, 47, 0, 0, 0, 9, 0, 0, 9, 13, 18, 57, 28
INVAR-1, Run: 070, F, 0, 0, 0, 0, 0, 4, 51, 51, 0, 0, 9, 1, 18, 51, 0, 0, 0, 9, 0, 0, 9, 13, 18, 31, 15
INVAR-1, Run: 071, F, 0, 0, 0, 0, 0, 16, 39, 39, 0, 0, 9, 1, 18, 39, 0, 0, 0, 9, 0, 0, 9, 13, 18, 55, 27
