Input Number, Run_Number, Result@ 100, E, X1, F, A, B, C, PO, D, CO, Y, PE, CE
4, Run: 039, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 040, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 041, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 042, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 043, F, 3, 0, 1, 0, 0, 0, 0, 74, 0, 0, 1, 0
4, Run: 044, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 045, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 046, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 047, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 048, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 049, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 050, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 051, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 052, F, 2, 0, 1, 0, 0, 0, 0, 74, 0, 2, 1, 2
4, Run: 053, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 054, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 055, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 056, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 057, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 058, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 059, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 060, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 061, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
