Input Number, Run_Number, Result@ 100, A2, F2P, F2, A1, F1, F1P, Y
10, Run: 100, P, 0, 0, 1, 1, 0, 1, 4
11, Run: 001, P, 4, 0, 0, 88, 0, 0, 5
11, Run: 002, P, 5, 0, 0, 88, 0, 0, 5
11, Run: 003, P, 0, 0, 1, 88, 0, 1, 4
11, Run: 004, P, 28, 0, 0, 88, 0, 0, 5
11, Run: 005, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 006, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 007, P, 2, 0, 0, 88, 0, 0, 5
11, Run: 008, P, 17, 0, 0, 89, 0, 0, 5
11, Run: 009, P, 5, 0, 0, 88, 0, 0, 5
11, Run: 010, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 011, P, 2, 0, 0, 88, 0, 0, 5
11, Run: 012, P, 14, 0, 0, 88, 0, 0, 5
11, Run: 013, P, 3, 0, 0, 88, 0, 0, 5
11, Run: 014, P, 9, 0, 0, 88, 0, 0, 5
11, Run: 015, P, 3, 0, 0, 88, 0, 0, 5
11, Run: 016, P, 8, 0, 0, 88, 0, 0, 5
11, Run: 017, P, 0, 0, 1, 88, 0, 1, 4
11, Run: 018, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 019, P, 5, 0, 0, 88, 0, 0, 5
11, Run: 020, P, 8, 0, 0, 88, 0, 0, 5
11, Run: 021, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 022, P, 0, 0, 1, 88, 0, 1, 4
11, Run: 023, P, 7, 0, 0, 89, 0, 0, 5
11, Run: 024, P, 6, 0, 0, 88, 0, 0, 5
11, Run: 025, P, 1, 0, 0, 88, 0, 0, 5
11, Run: 026, P, 31, 0, 0, 88, 0, 0, 5
11, Run: 027, P, 5, 0, 0, 88, 0, 0, 5
11, Run: 028, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 029, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 030, P, 7, 0, 0, 88, 0, 0, 5
11, Run: 031, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 032, P, 4, 0, 0, 88, 0, 0, 5
11, Run: 033, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 034, P, 11, 0, 0, 88, 0, 0, 5
11, Run: 035, P, 0, 0, 1, 89, 0, 1, 4
