Input Number, Run_Number, Result@ 100, Y, B, X1, A, C, PO, D, CO, PE, CE, E, F
10, Run: 019, P, 0, 0, 0, 0, 0, 0, 438, 162, 1, 2, 99, 0
10, Run: 020, P, 0, 0, 0, 0, 0, 0, 482, 118, 1, 2, 99, 0
10, Run: 021, P, 0, 0, 0, 0, 0, 0, 30, 570, 1, 2, 99, 0
10, Run: 022, P, 0, 0, 0, 0, 0, 0, 26, 574, 1, 0, 100, 0
10, Run: 023, P, 0, 0, 0, 0, 0, 0, 562, 38, 1, 2, 99, 0
10, Run: 024, P, 0, 0, 0, 0, 0, 0, 324, 277, 1, 0, 100, 1
10, Run: 025, P, 0, 0, 0, 0, 0, 0, 170, 431, 1, 0, 100, 1
10, Run: 026, P, 0, 0, 0, 0, 0, 0, 362, 239, 1, 2, 99, 1
10, Run: 027, P, 0, 0, 0, 0, 0, 0, 444, 157, 1, 2, 99, 1
10, Run: 028, P, 0, 0, 0, 0, 0, 0, 522, 78, 1, 0, 100, 0
10, Run: 029, P, 0, 0, 0, 0, 0, 0, 304, 296, 1, 0, 100, 0
10, Run: 030, P, 0, 0, 0, 0, 0, 0, 322, 278, 1, 0, 100, 0
10, Run: 031, P, 0, 0, 0, 0, 0, 0, 382, 218, 1, 2, 99, 0
10, Run: 032, P, 0, 0, 0, 0, 0, 0, 440, 160, 1, 0, 100, 0
10, Run: 033, P, 0, 0, 0, 0, 0, 0, 520, 80, 1, 0, 100, 0
10, Run: 034, P, 0, 0, 0, 0, 0, 0, 108, 492, 1, 0, 100, 0
10, Run: 035, P, 0, 0, 0, 0, 0, 0, 522, 78, 1, 2, 99, 0
10, Run: 036, P, 0, 0, 0, 0, 0, 0, 272, 329, 1, 2, 99, 1
10, Run: 037, P, 0, 0, 0, 0, 0, 0, 168, 432, 1, 0, 100, 0
10, Run: 038, P, 0, 0, 0, 0, 0, 0, 496, 104, 1, 0, 100, 0
10, Run: 039, P, 0, 0, 0, 0, 0, 0, 370, 230, 1, 0, 100, 0
10, Run: 040, P, 0, 0, 0, 0, 0, 0, 378, 222, 1, 0, 100, 0
10, Run: 041, P, 0, 0, 0, 0, 0, 0, 382, 218, 1, 0, 100, 0
10, Run: 042, P, 0, 0, 0, 0, 0, 0, 308, 293, 1, 0, 100, 1
10, Run: 043, P, 0, 0, 0, 0, 0, 0, 374, 226, 1, 0, 100, 0
10, Run: 044, P, 0, 0, 0, 0, 0, 0, 526, 75, 1, 0, 100, 1
10, Run: 045, P, 0, 0, 0, 0, 0, 0, 208, 393, 1, 0, 100, 1
10, Run: 046, P, 0, 0, 0, 0, 0, 0, 268, 332, 1, 0, 100, 0
10, Run: 047, P, 0, 0, 0, 0, 0, 0, 364, 237, 1, 0, 100, 1
10, Run: 048, P, 0, 0, 0, 0, 0, 0, 496, 104, 1, 2, 99, 0
10, Run: 049, P, 0, 0, 0, 0, 0, 0, 528, 72, 1, 2, 99, 0
10, Run: 050, P, 0, 0, 0, 0, 0, 0, 440, 161, 1, 2, 99, 1
10, Run: 051, P, 0, 0, 0, 0, 0, 0, 156, 445, 1, 0, 100, 1
10, Run: 052, P, 0, 0, 0, 0, 0, 0, 476, 125, 1, 0, 100, 1
10, Run: 053, P, 0, 0, 0, 0, 0, 0, 536, 65, 1, 0, 100, 1
10, Run: 054, P, 0, 0, 0, 0, 0, 0, 544, 56, 1, 0, 100, 0
10, Run: 055, P, 0, 0, 0, 0, 0, 0, 418, 183, 1, 0, 100, 1
10, Run: 056, P, 0, 0, 0, 0, 0, 0, 462, 139, 1, 0, 100, 1
10, Run: 057, P, 0, 0, 0, 0, 0, 0, 336, 264, 1, 0, 100, 0
10, Run: 058, P, 0, 0, 0, 0, 0, 0, 550, 50, 1, 2, 99, 0
10, Run: 059, P, 0, 0, 0, 0, 0, 0, 502, 99, 1, 0, 100, 1
10, Run: 060, P, 0, 0, 0, 0, 0, 0, 20, 581, 1, 0, 100, 1
10, Run: 061, P, 0, 0, 0, 0, 0, 0, 444, 156, 1, 0, 100, 0
10, Run: 062, P, 0, 0, 0, 0, 0, 0, 528, 72, 1, 2, 99, 0
10, Run: 063, P, 0, 0, 0, 0, 0, 0, 412, 188, 1, 2, 99, 0
10, Run: 064, P, 0, 0, 0, 0, 0, 0, 410, 190, 1, 0, 100, 0
10, Run: 065, P, 0, 0, 0, 0, 0, 0, 428, 172, 1, 0, 100, 0
