Input Number, Run_Number, Result@ 100, PE, Y, M, X1, H, PO, CE, D, CO, A, B
INVAR-6, Run: 030, F, 0, 703, 0, 0, 1, 1, 0, 87, 792, 0, 0
INVAR-6, Run: 031, F, 0, 675, 0, 0, 1, 1, 0, 87, 750, 0, 0
INVAR-6, Run: 032, F, 0, 774, 0, 0, 1, 1, 0, 87, 898, 0, 1
INVAR-6, Run: 033, F, 0, 679, 0, 0, 1, 1, 0, 87, 756, 0, 0
INVAR-6, Run: 034, F, 0, 706, 0, 0, 1, 1, 0, 87, 796, 0, 1
INVAR-6, Run: 035, F, 0, 695, 0, 0, 1, 1, 0, 87, 780, 0, 0
INVAR-6, Run: 036, F, 0, 703, 0, 0, 1, 1, 0, 87, 792, 0, 0
INVAR-6, Run: 037, F, 0, 702, 0, 0, 1, 1, 0, 87, 790, 0, 1
INVAR-6, Run: 038, F, 0, 699, 0, 0, 1, 1, 0, 87, 786, 0, 0
INVAR-6, Run: 039, F, 0, 694, 0, 0, 1, 1, 0, 87, 778, 0, 1
INVAR-6, Run: 040, F, 0, 715, 0, 0, 1, 1, 0, 87, 810, 0, 0
INVAR-6, Run: 041, F, 0, 699, 0, 0, 1, 1, 0, 87, 786, 0, 0
INVAR-6, Run: 042, F, 0, 751, 0, 0, 1, 1, 0, 87, 864, 0, 0
INVAR-6, Run: 043, F, 0, 735, 0, 0, 1, 1, 0, 87, 840, 0, 0
INVAR-6, Run: 044, F, 0, 726, 0, 0, 1, 1, 0, 87, 826, 0, 1
INVAR-6, Run: 045, F, 0, 706, 0, 0, 1, 1, 0, 87, 796, 0, 1
INVAR-6, Run: 046, F, 0, 719, 0, 0, 1, 1, 0, 87, 816, 0, 0
INVAR-6, Run: 047, F, 0, 715, 0, 0, 1, 1, 0, 87, 810, 0, 0
INVAR-6, Run: 048, F, 0, 735, 0, 0, 1, 1, 0, 87, 840, 0, 0
INVAR-6, Run: 049, F, 0, 691, 0, 0, 1, 1, 0, 87, 774, 0, 0
INVAR-6, Run: 050, F, 0, 714, 0, 0, 1, 1, 0, 87, 808, 0, 1
INVAR-6, Run: 051, F, 0, 691, 0, 0, 1, 1, 0, 87, 774, 0, 0
INVAR-6, Run: 052, F, 0, 711, 0, 0, 1, 1, 0, 87, 804, 0, 0
INVAR-6, Run: 053, F, 0, 723, 0, 0, 1, 1, 0, 87, 822, 0, 0
INVAR-6, Run: 054, F, 0, 775, 0, 0, 1, 1, 0, 87, 900, 0, 0
INVAR-6, Run: 055, F, 0, 735, 0, 0, 1, 1, 0, 87, 840, 0, 0
INVAR-6, Run: 056, F, 0, 707, 0, 0, 1, 1, 0, 87, 798, 0, 0
INVAR-6, Run: 057, F, 0, 735, 0, 0, 1, 1, 0, 87, 840, 0, 0
INVAR-6, Run: 058, F, 0, 678, 0, 0, 1, 1, 0, 87, 754, 0, 1
INVAR-6, Run: 059, F, 0, 695, 0, 0, 1, 1, 0, 87, 780, 0, 0
INVAR-6, Run: 060, F, 0, 723, 0, 0, 1, 1, 0, 87, 822, 0, 0
INVAR-6, Run: 061, F, 0, 694, 0, 0, 1, 1, 0, 87, 778, 0, 1
INVAR-6, Run: 062, F, 0, 703, 0, 0, 1, 1, 0, 87, 792, 0, 0
INVAR-6, Run: 063, F, 0, 722, 0, 0, 1, 1, 0, 87, 820, 0, 1
INVAR-6, Run: 064, F, 0, 723, 0, 0, 1, 1, 0, 87, 822, 0, 0
INVAR-6, Run: 065, F, 0, 711, 0, 0, 1, 1, 0, 87, 804, 0, 0
INVAR-6, Run: 066, F, 0, 702, 0, 0, 1, 1, 0, 87, 790, 0, 1
INVAR-6, Run: 067, F, 0, 695, 0, 0, 1, 1, 0, 87, 780, 0, 0
INVAR-6, Run: 068, F, 0, 739, 0, 0, 1, 1, 0, 87, 846, 0, 0
INVAR-6, Run: 069, F, 0, 730, 0, 0, 1, 1, 0, 87, 832, 0, 1
INVAR-6, Run: 070, F, 0, 695, 0, 0, 1, 1, 0, 87, 780, 0, 0
INVAR-6, Run: 071, F, 0, 706, 0, 0, 1, 1, 0, 87, 796, 0, 1
INVAR-6, Run: 072, F, 0, 703, 0, 0, 1, 1, 0, 87, 792, 0, 0
INVAR-6, Run: 073, F, 0, 686, 0, 0, 1, 1, 0, 87, 766, 0, 1
INVAR-6, Run: 074, F, 0, 710, 0, 0, 1, 1, 0, 87, 802, 0, 1
INVAR-6, Run: 075, F, 0, 706, 0, 0, 1, 1, 0, 87, 796, 0, 1
INVAR-6, Run: 076, F, 0, 734, 0, 0, 1, 1, 0, 87, 838, 0, 1
INVAR-6, Run: 077, F, 0, 702, 0, 0, 1, 1, 0, 87, 790, 0, 1
INVAR-6, Run: 078, F, 0, 707, 0, 0, 1, 1, 0, 87, 798, 0, 0
INVAR-6, Run: 079, F, 0, 751, 0, 0, 1, 1, 0, 87, 864, 0, 0
INVAR-6, Run: 080, F, 0, 746, 0, 0, 1, 1, 0, 87, 856, 0, 1
INVAR-6, Run: 081, F, 0, 698, 0, 0, 1, 1, 0, 87, 784, 0, 1
INVAR-6, Run: 082, F, 0, 714, 0, 0, 1, 1, 0, 87, 808, 0, 1
INVAR-6, Run: 083, F, 0, 734, 0, 0, 1, 1, 0, 87, 838, 0, 1
INVAR-6, Run: 084, F, 0, 738, 0, 0, 1, 1, 0, 87, 844, 0, 1
INVAR-6, Run: 085, F, 0, 759, 0, 0, 1, 1, 0, 87, 876, 0, 0
INVAR-6, Run: 086, F, 0, 670, 0, 0, 1, 1, 0, 87, 742, 0, 1
INVAR-6, Run: 087, F, 0, 751, 0, 0, 1, 1, 0, 87, 864, 0, 0
INVAR-6, Run: 088, F, 0, 691, 0, 0, 1, 1, 0, 87, 774, 0, 0
INVAR-6, Run: 089, F, 0, 706, 0, 0, 1, 1, 0, 87, 796, 0, 1
INVAR-6, Run: 090, F, 0, 711, 0, 0, 1, 1, 0, 87, 804, 0, 0
INVAR-6, Run: 091, F, 0, 739, 0, 0, 1, 1, 0, 87, 846, 0, 0
INVAR-6, Run: 092, F, 0, 710, 0, 0, 1, 1, 0, 87, 802, 0, 1
INVAR-6, Run: 093, F, 0, 686, 0, 0, 1, 1, 0, 87, 766, 0, 1
INVAR-6, Run: 094, F, 0, 718, 0, 0, 1, 1, 0, 87, 814, 0, 1
INVAR-6, Run: 095, F, 0, 682, 0, 0, 1, 1, 0, 87, 760, 0, 1
INVAR-6, Run: 096, F, 0, 739, 0, 0, 1, 1, 0, 87, 846, 0, 0
INVAR-6, Run: 097, F, 0, 695, 0, 0, 1, 1, 0, 87, 780, 0, 0
INVAR-6, Run: 098, F, 0, 718, 0, 0, 1, 1, 0, 87, 814, 0, 1
INVAR-6, Run: 099, F, 0, 706, 0, 0, 1, 1, 0, 87, 796, 0, 1
