Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 048, P, 208, 1, 0, 0, 0, 0, 108, 0, 1, 54, 0, 100, 18, 25, 73, 9, 4, 4, 9, 18, 27, 133, 73
INVAR-1, Run: 049, P, 219, 2, 0, 0, 0, 0, 113, 0, 1, 54, 0, 106, 18, 21, 68, 9, 4, 4, 9, 18, 27, 134, 68
INVAR-1, Run: 050, P, 209, 2, 0, 0, 0, 0, 108, 0, 1, 54, 0, 101, 18, 33, 152, 9, 4, 4, 9, 18, 27, 141, 152
INVAR-1, Run: 051, P, 206, 1, 0, 0, 0, 0, 107, 0, 1, 54, 0, 99, 18, 27, 56, 9, 3, 5, 9, 18, 27, 134, 56
INVAR-1, Run: 052, P, 221, 2, 0, 0, 0, 0, 114, 0, 1, 54, 0, 107, 18, 58, 147, 9, 6, 2, 9, 18, 27, 172, 147
INVAR-1, Run: 053, P, 192, 1, 0, 0, 0, 0, 100, 0, 1, 54, 0, 92, 18, 36, 129, 9, 4, 4, 9, 18, 27, 136, 129
INVAR-1, Run: 054, P, 218, 1, 0, 0, 0, 0, 113, 0, 1, 54, 0, 105, 18, 27, 96, 9, 7, 1, 9, 18, 27, 140, 96
INVAR-1, Run: 055, P, 214, 1, 0, 0, 0, 0, 111, 0, 1, 54, 0, 103, 18, 28, 61, 9, 6, 2, 9, 18, 27, 139, 61
INVAR-1, Run: 056, P, 206, 1, 0, 0, 0, 0, 107, 0, 1, 54, 0, 99, 18, 27, 91, 9, 4, 4, 9, 18, 27, 134, 91
INVAR-1, Run: 057, P, 221, 0, 0, 0, 0, 0, 115, 0, 1, 54, 0, 106, 18, 29, 126, 9, 5, 3, 9, 18, 27, 144, 126
INVAR-1, Run: 058, P, 212, 1, 0, 0, 0, 0, 110, 0, 1, 54, 0, 102, 18, 24, 92, 9, 5, 3, 9, 18, 27, 134, 92
INVAR-1, Run: 059, P, 198, 1, 0, 0, 0, 0, 103, 0, 1, 54, 0, 95, 18, 10, 52, 9, 3, 5, 9, 18, 27, 113, 52
INVAR-1, Run: 060, P, 172, 1, 0, 0, 0, 0, 90, 0, 1, 54, 0, 82, 18, 29, 101, 9, 6, 2, 9, 18, 27, 119, 101
INVAR-1, Run: 061, P, 244, 1, 0, 0, 0, 0, 126, 0, 1, 54, 0, 118, 18, 25, 74, 9, 5, 3, 9, 18, 27, 151, 74
INVAR-1, Run: 062, P, 222, 1, 0, 0, 0, 0, 115, 0, 1, 54, 0, 107, 18, 47, 149, 9, 3, 5, 9, 18, 27, 162, 149
INVAR-1, Run: 063, P, 223, 0, 0, 0, 0, 0, 116, 0, 1, 54, 0, 107, 18, 13, 100, 9, 7, 1, 9, 18, 27, 129, 100
INVAR-1, Run: 064, P, 235, 6, 0, 0, 0, 0, 119, 0, 1, 54, 0, 116, 18, 30, 177, 9, 6, 2, 9, 18, 27, 149, 177
INVAR-1, Run: 065, P, 215, 2, 0, 0, 0, 0, 111, 0, 1, 54, 0, 104, 18, 42, 165, 9, 6, 2, 9, 18, 27, 153, 165
INVAR-1, Run: 066, P, 232, 3, 0, 0, 0, 0, 119, 0, 1, 54, 0, 113, 18, 26, 109, 9, 6, 2, 9, 18, 27, 145, 109
INVAR-1, Run: 067, P, 217, 0, 0, 0, 0, 0, 113, 0, 1, 54, 0, 104, 18, 34, 91, 9, 5, 3, 9, 18, 27, 147, 91
INVAR-1, Run: 068, P, 226, 1, 0, 0, 0, 0, 117, 0, 1, 54, 0, 109, 18, 31, 70, 9, 5, 3, 9, 18, 27, 148, 70
INVAR-1, Run: 069, P, 170, 1, 0, 0, 0, 0, 89, 0, 1, 54, 0, 81, 18, 7, 60, 9, 7, 1, 9, 18, 27, 96, 60
INVAR-1, Run: 070, P, 211, 4, 0, 0, 0, 0, 108, 0, 1, 54, 0, 103, 18, 21, 57, 9, 7, 1, 9, 18, 27, 129, 57
INVAR-1, Run: 071, P, 220, 1, 0, 0, 0, 0, 114, 0, 1, 54, 0, 106, 18, 30, 95, 9, 6, 2, 9, 18, 27, 144, 95
INVAR-1, Run: 072, P, 208, 3, 0, 0, 0, 0, 107, 0, 1, 54, 0, 101, 18, 55, 172, 9, 7, 1, 9, 18, 27, 162, 172
INVAR-1, Run: 073, P, 252, 1, 0, 0, 0, 0, 130, 0, 1, 54, 0, 122, 18, 49, 149, 9, 8, 0, 9, 18, 27, 179, 149
INVAR-1, Run: 074, P, 189, 0, 0, 0, 0, 0, 99, 0, 1, 54, 0, 90, 18, 11, 26, 9, 8, 0, 9, 18, 27, 110, 26
INVAR-1, Run: 075, P, 242, 3, 0, 0, 0, 0, 124, 0, 1, 54, 0, 118, 18, 28, 73, 9, 6, 2, 9, 18, 27, 152, 73
INVAR-1, Run: 076, P, 220, 1, 0, 0, 0, 0, 114, 0, 1, 54, 0, 106, 18, 14, 115, 9, 7, 1, 9, 18, 27, 128, 115
INVAR-1, Run: 077, P, 211, 0, 0, 0, 0, 0, 110, 0, 1, 54, 0, 101, 18, 15, 56, 9, 7, 1, 9, 18, 27, 125, 56
INVAR-1, Run: 078, P, 178, 1, 0, 0, 0, 0, 93, 0, 1, 54, 0, 85, 18, 13, 71, 9, 5, 3, 9, 18, 27, 106, 71
INVAR-1, Run: 079, P, 199, 2, 0, 0, 0, 0, 103, 0, 1, 54, 0, 96, 18, 27, 75, 9, 5, 3, 9, 18, 27, 130, 75
INVAR-1, Run: 080, P, 225, 0, 0, 0, 0, 0, 117, 0, 1, 54, 0, 108, 18, 27, 96, 9, 2, 6, 9, 18, 27, 144, 96
INVAR-1, Run: 081, P, 185, 0, 0, 0, 0, 0, 97, 0, 1, 54, 0, 88, 18, 18, 72, 9, 6, 2, 9, 18, 27, 115, 72
INVAR-1, Run: 082, P, 213, 4, 0, 0, 0, 0, 109, 0, 1, 54, 0, 104, 18, 19, 93, 9, 5, 3, 9, 18, 27, 128, 93
INVAR-1, Run: 083, P, 210, 3, 0, 0, 0, 0, 108, 0, 1, 54, 0, 102, 18, 22, 132, 9, 6, 2, 9, 18, 27, 130, 132
INVAR-1, Run: 084, P, 227, 0, 0, 0, 0, 0, 118, 0, 1, 54, 0, 109, 18, 32, 110, 9, 4, 4, 9, 18, 27, 150, 110
INVAR-1, Run: 085, P, 252, 1, 0, 0, 0, 0, 130, 0, 1, 54, 0, 122, 18, 26, 91, 9, 6, 2, 9, 18, 27, 156, 91
INVAR-1, Run: 086, P, 181, 2, 0, 0, 0, 0, 94, 0, 1, 54, 0, 87, 18, 6, 84, 9, 5, 3, 9, 18, 27, 100, 84
INVAR-1, Run: 087, P, 206, 1, 0, 0, 0, 0, 107, 0, 1, 54, 0, 99, 18, 18, 71, 9, 7, 1, 9, 18, 27, 125, 71
INVAR-1, Run: 088, P, 204, 1, 0, 0, 0, 0, 106, 0, 1, 54, 0, 98, 18, 11, 61, 9, 5, 3, 9, 18, 27, 117, 61
INVAR-1, Run: 089, P, 210, 1, 0, 0, 0, 0, 109, 0, 1, 54, 0, 101, 18, 35, 65, 9, 1, 7, 9, 18, 27, 144, 65
INVAR-1, Run: 090, P, 252, 1, 0, 0, 0, 0, 130, 0, 1, 54, 0, 122, 18, 43, 135, 9, 7, 1, 9, 18, 27, 173, 135
INVAR-1, Run: 091, P, 220, 1, 0, 0, 0, 0, 114, 0, 1, 54, 0, 106, 18, 44, 139, 9, 7, 1, 9, 18, 27, 158, 139
INVAR-1, Run: 092, P, 214, 1, 0, 0, 0, 0, 111, 0, 1, 54, 0, 103, 18, 12, 85, 9, 6, 2, 9, 18, 27, 123, 85
INVAR-1, Run: 093, P, 213, 2, 0, 0, 0, 0, 110, 0, 1, 54, 0, 103, 18, 17, 45, 9, 4, 4, 9, 18, 27, 127, 45
INVAR-1, Run: 094, P, 216, 1, 0, 0, 0, 0, 112, 0, 1, 54, 0, 104, 18, 39, 104, 9, 2, 6, 9, 18, 27, 151, 104
INVAR-1, Run: 095, P, 176, 3, 0, 0, 0, 0, 91, 0, 1, 54, 0, 85, 18, 14, 94, 9, 7, 1, 9, 18, 27, 105, 94
INVAR-1, Run: 096, P, 202, 1, 0, 0, 0, 0, 105, 0, 1, 54, 0, 97, 18, 29, 106, 9, 6, 2, 9, 18, 27, 134, 106
INVAR-1, Run: 097, P, 236, 1, 0, 0, 0, 0, 122, 0, 1, 54, 0, 114, 18, 35, 83, 9, 5, 3, 9, 18, 27, 157, 83
INVAR-1, Run: 098, P, 186, 1, 0, 0, 0, 0, 97, 0, 1, 54, 0, 89, 18, 18, 44, 9, 5, 3, 9, 18, 27, 115, 44
INVAR-1, Run: 099, P, 191, 0, 0, 0, 0, 0, 100, 0, 1, 54, 0, 91, 18, 19, 85, 9, 6, 2, 9, 18, 27, 119, 85
INVAR-1, Run: 100, P, 221, 2, 0, 0, 0, 0, 114, 0, 1, 54, 0, 107, 18, 22, 142, 9, 8, 0, 9, 18, 27, 136, 142
INVAR-10, Run: 001, P, 267, 1, 0, 0, 0, 0, 183, 0, 1, 600, 0, 84, 200, 869, 5683, 100, 59, 40, 100, 200, 300, 1052, 5683
INVAR-10, Run: 002, P, 308, 0, 0, 0, 0, 0, 204, 0, 1, 600, 0, 104, 200, 998, 5347, 100, 68, 31, 100, 200, 300, 1202, 5347
INVAR-10, Run: 003, P, 321, 1, 0, 0, 0, 0, 210, 0, 1, 600, 0, 111, 200, 845, 4980, 100, 65, 34, 100, 200, 300, 1055, 4980
INVAR-10, Run: 004, P, 328, 0, 0, 0, 0, 0, 214, 0, 1, 600, 0, 114, 200, 862, 5656, 100, 69, 30, 100, 200, 300, 1076, 5656
INVAR-10, Run: 005, P, 291, 1, 0, 0, 0, 0, 195, 0, 1, 600, 0, 96, 200, 812, 4685, 100, 68, 31, 100, 200, 300, 1007, 4685
INVAR-10, Run: 006, P, 301, 1, 0, 0, 0, 0, 200, 0, 1, 600, 0, 101, 200, 853, 5289, 100, 62, 37, 100, 200, 300, 1053, 5289
