Input Number, Run_Number, Result@ 100, E, PE, B, X1, A, C, PO, D, CO, Y, CE, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 029, F, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0, 117, 317, 12601, 42, 42, 11650, 158, 32, 9, 158, 217, 317, 16022, 8011
INVAR-10, Run: 030, F, 41, 0, 1, 0, 1, 0, 1, 0, 952, 952, 0, 1, 117, 317, 13219, 32, 32, 12267, 158, 34, 7, 158, 216, 317, 18051, 9025
INVAR-10, Run: 031, F, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0, 117, 317, 12057, 32, 32, 11106, 158, 35, 6, 158, 217, 317, 15788, 7894
INVAR-10, Run: 032, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0, 125, 325, 14268, 42, 42, 13293, 162, 27, 10, 162, 225, 325, 18208, 9104
INVAR-10, Run: 033, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0, 121, 321, 13473, 31, 31, 12510, 160, 31, 8, 160, 221, 321, 16322, 8161
INVAR-10, Run: 034, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0, 119, 319, 12844, 25, 25, 11887, 159, 33, 7, 159, 219, 319, 17568, 8784
INVAR-10, Run: 035, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0, 121, 321, 14046, 37, 37, 13083, 160, 33, 6, 160, 221, 321, 15024, 7512
INVAR-10, Run: 036, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0, 123, 323, 13699, 22, 22, 12730, 161, 32, 6, 161, 223, 323, 14644, 7322
INVAR-10, Run: 037, F, 32, 0, 0, 0, 1, 0, 1, 0, 1005, 1005, 0, 0, 135, 335, 14095, 25, 25, 13090, 167, 27, 5, 167, 235, 335, 16728, 8364
INVAR-10, Run: 038, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0, 119, 319, 13747, 34, 34, 12790, 159, 32, 8, 159, 219, 319, 16894, 8447
INVAR-10, Run: 039, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0, 121, 321, 14983, 31, 31, 14020, 160, 29, 10, 160, 221, 321, 16940, 8470
INVAR-10, Run: 040, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0, 125, 325, 13898, 28, 28, 12923, 162, 28, 9, 162, 225, 325, 15504, 7752
INVAR-10, Run: 041, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0, 119, 319, 12791, 36, 36, 11834, 159, 34, 6, 159, 219, 319, 14856, 7428
INVAR-10, Run: 042, F, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0, 115, 315, 12420, 27, 27, 11475, 157, 27, 15, 157, 215, 315, 16768, 8384
INVAR-10, Run: 043, F, 43, 0, 0, 0, 1, 0, 1, 0, 939, 939, 0, 0, 113, 313, 12197, 38, 38, 11258, 156, 34, 9, 156, 213, 313, 15704, 7852
INVAR-10, Run: 044, F, 43, 0, 0, 0, 1, 0, 1, 0, 939, 939, 0, 0, 113, 313, 12524, 33, 33, 11585, 156, 35, 8, 156, 213, 313, 17074, 8537
