Input Number, Run_Number, Result@ 100, prey_H1, predator_g532, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, H1, H2, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 011, F, 0, 17, 1, 4, 7, 21, 24, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 23, 108, 311, 1155, 1140, 1116, 88, 88, 77, 11, 69, 34, 104, 27, 66, 33, 33, 5, 78, 22, 21, 21, 99, 78, 101, 101, 93, 93, 90, 89, 93, 59, 69, 15, 71, 14, 29, 12, 34, 36, 36, 40, 40, 81, 74, 865, 305, 298
INVAR-1, Run: 012, F, 0, 27, 1, 2, 1, 23, 13, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 3, 0, 27, 118, 115, 1349, 1315, 1302, 96, 95, 85, 13, 123, 15, 116, 14, 72, 64, 25, 6, 84, 12, 12, 15, 98, 119, 113, 111, 111, 111, 111, 111, 84, 44, 48, 24, 117, 24, 22, 29, 40, 59, 56, 26, 26, 126, 119, 1257, 123, 122
INVAR-1, Run: 013, F, 1, 14, 1, 1, 7, 9, 12, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 0, 0, 1, 1, 3, 0, 0, 0, 1, 20, 100, 294, 918, 850, 838, 97, 97, 99, 22, 82, 28, 99, 21, 77, 49, 26, 12, 82, 12, 12, 18, 99, 117, 104, 104, 113, 112, 114, 110, 110, 78, 85, 16, 110, 15, 49, 11, 32, 33, 33, 36, 35, 101, 89, 633, 283, 276
INVAR-1, Run: 014, F, 0, 17, 1, 1, 6, 25, 23, 1, 0, 0, 0, 0, 1, 0, 0, 1, 2, 3, 0, 0, 1, 1, 1, 1, 0, 0, 1, 22, 95, 455, 1390, 1400, 1377, 102, 102, 84, 8, 105, 25, 94, 19, 76, 52, 27, 6, 72, 26, 26, 19, 89, 86, 99, 99, 115, 114, 127, 123, 136, 83, 81, 39, 80, 36, 46, 28, 52, 53, 53, 35, 34, 100, 94, 960, 382, 376
INVAR-1, Run: 015, F, 0, 8, 1, 0, 2, 8, 7, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 9, 83, 92, 588, 575, 568, 96, 96, 117, 30, 52, 14, 83, 12, 87, 26, 27, 11, 97, 6, 6, 2, 97, 71, 92, 91, 92, 91, 101, 100, 95, 53, 57, 10, 68, 9, 28, 16, 42, 26, 26, 29, 29, 71, 60, 504, 93, 91
INVAR-1, Run: 016, F, 0, 37, 1, 1, 6, 46, 44, 1, 0, 0, 2, 2, 0, 4, 0, 1, 5, 1, 0, 3, 1, 1, 0, 0, 0, 0, 0, 42, 117, 251, 1740, 1757, 1713, 102, 102, 89, 10, 135, 20, 116, 14, 79, 56, 20, 6, 70, 18, 18, 16, 81, 100, 109, 106, 85, 84, 78, 77, 93, 51, 48, 35, 90, 34, 22, 34, 42, 77, 77, 26, 26, 130, 122, 1535, 269, 263
INVAR-1, Run: 017, F, 0, 21, 1, 1, 3, 22, 19, 1, 1, 1, 1, 0, 0, 2, 0, 0, 1, 0, 1, 2, 1, 1, 0, 0, 0, 2, 0, 23, 98, 138, 988, 972, 953, 81, 80, 106, 21, 113, 20, 97, 17, 84, 67, 30, 18, 91, 20, 19, 12, 102, 108, 104, 102, 98, 97, 97, 96, 80, 41, 58, 22, 103, 21, 25, 20, 39, 46, 44, 33, 33, 123, 104, 872, 133, 130
INVAR-1, Run: 018, F, 0, 19, 1, 1, 5, 20, 23, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 23, 92, 438, 1303, 1314, 1291, 99, 99, 106, 24, 66, 38, 91, 33, 82, 26, 36, 11, 84, 7, 7, 4, 88, 101, 92, 92, 100, 99, 100, 98, 114, 82, 78, 13, 94, 12, 36, 16, 32, 40, 40, 42, 41, 91, 79, 885, 411, 406
INVAR-1, Run: 019, F, 1, 15, 1, 2, 0, 11, 10, 1, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 14, 103, 77, 643, 670, 660, 107, 107, 118, 39, 79, 21, 101, 21, 79, 46, 31, 19, 85, 19, 18, 15, 99, 110, 112, 110, 91, 90, 82, 81, 101, 72, 65, 25, 107, 24, 34, 17, 29, 33, 33, 31, 31, 106, 87, 577, 83, 83
INVAR-1, Run: 020, F, 0, 14, 1, 0, 1, 12, 9, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 14, 90, 57, 645, 659, 650, 96, 95, 90, 20, 71, 15, 90, 14, 70, 42, 30, 13, 101, 10, 10, 5, 106, 66, 106, 106, 117, 117, 97, 96, 115, 63, 64, 9, 65, 8, 32, 12, 52, 29, 27, 32, 32, 76, 63, 600, 68, 67
INVAR-1, Run: 021, F, 0, 26, 1, 0, 3, 34, 27, 1, 1, 0, 1, 0, 2, 0, 0, 1, 2, 0, 0, 4, 1, 2, 2, 0, 0, 0, 0, 28, 108, 161, 1205, 1194, 1167, 80, 79, 64, 14, 110, 11, 108, 8, 50, 57, 21, 7, 80, 20, 20, 20, 98, 103, 85, 81, 94, 92, 92, 90, 82, 58, 66, 20, 100, 20, 40, 25, 24, 53, 53, 26, 26, 111, 103, 1078, 128, 125
INVAR-1, Run: 022, F, 0, 16, 1, 1, 4, 12, 11, 1, 2, 0, 0, 0, 2, 0, 0, 1, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 19, 101, 105, 973, 941, 930, 107, 105, 95, 9, 62, 20, 100, 16, 86, 30, 32, 4, 81, 9, 9, 15, 94, 95, 105, 104, 110, 109, 109, 109, 104, 58, 74, 18, 91, 18, 36, 13, 46, 32, 32, 38, 38, 64, 60, 880, 113, 109
