Input Number, Run_Number, Result@ 100, prey_H1, predator_g532, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, H1, H2, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 052, F, 0, 28, 1, 2, 7, 39, 31, 1, 1, 0, 2, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 2, 2, 0, 0, 0, 0, 34, 103, 174, 1813, 1747, 1716, 106, 105, 112, 24, 97, 20, 101, 13, 88, 39, 22, 8, 77, 8, 8, 12, 88, 113, 93, 92, 104, 102, 120, 117, 121, 63, 56, 22, 106, 21, 27, 22, 58, 57, 57, 29, 29, 102, 92, 1678, 190, 183
INVAR-1, Run: 053, F, 0, 11, 1, 0, 1, 13, 13, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 11, 83, 32, 548, 551, 538, 90, 90, 73, 22, 52, 4, 83, 3, 51, 26, 26, 7, 97, 8, 8, 6, 102, 59, 86, 85, 99, 98, 101, 101, 88, 60, 48, 9, 58, 9, 21, 15, 28, 26, 26, 27, 27, 68, 61, 529, 20, 19
INVAR-1, Run: 054, F, 0, 11, 1, 1, 2, 8, 10, 1, 2, 0, 2, 2, 1, 0, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 12, 109, 227, 731, 718, 708, 85, 83, 131, 55, 78, 27, 108, 25, 76, 41, 30, 23, 82, 9, 9, 11, 92, 115, 85, 83, 108, 107, 99, 99, 106, 69, 68, 18, 113, 18, 35, 23, 37, 35, 35, 33, 33, 101, 76, 512, 200, 198
INVAR-1, Run: 055, F, 1, 14, 1, 2, 0, 9, 10, 1, 3, 0, 2, 2, 0, 2, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 13, 91, 20, 497, 458, 448, 124, 121, 106, 39, 74, 6, 89, 6, 67, 32, 19, 15, 114, 8, 8, 6, 119, 99, 141, 141, 95, 93, 85, 85, 86, 40, 48, 14, 97, 14, 29, 25, 46, 40, 39, 19, 19, 94, 77, 486, 24, 24
INVAR-1, Run: 056, F, 0, 23, 1, 0, 3, 27, 25, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 25, 103, 91, 1225, 1171, 1146, 95, 94, 100, 32, 88, 13, 103, 9, 68, 40, 25, 19, 78, 14, 14, 8, 85, 99, 80, 80, 95, 94, 90, 89, 83, 58, 50, 20, 95, 20, 19, 23, 24, 48, 48, 30, 29, 114, 95, 1161, 92, 89
INVAR-1, Run: 057, F, 1, 20, 1, 1, 2, 23, 19, 1, 2, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 2, 1, 0, 1, 0, 0, 1, 0, 21, 88, 185, 1227, 1254, 1235, 114, 112, 98, 14, 104, 14, 87, 10, 84, 52, 34, 14, 80, 10, 10, 10, 89, 93, 75, 73, 102, 102, 96, 95, 89, 61, 65, 15, 88, 15, 27, 29, 28, 52, 51, 38, 38, 98, 84, 1065, 189, 187
INVAR-1, Run: 058, F, 0, 6, 1, 0, 4, 11, 7, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 9, 86, 84, 335, 312, 305, 94, 94, 96, 44, 49, 27, 86, 23, 52, 28, 34, 13, 102, 10, 10, 9, 110, 91, 119, 118, 99, 98, 102, 101, 127, 70, 74, 6, 87, 6, 36, 12, 57, 21, 21, 38, 38, 81, 68, 262, 84, 80
INVAR-1, Run: 059, F, 0, 21, 1, 2, 3, 19, 17, 1, 0, 0, 2, 1, 0, 1, 0, 1, 2, 1, 0, 2, 1, 1, 1, 5, 1, 4, 0, 23, 98, 140, 1055, 1111, 1094, 97, 97, 129, 24, 89, 21, 96, 18, 105, 42, 25, 15, 95, 10, 10, 4, 97, 76, 82, 80, 99, 98, 96, 94, 94, 60, 56, 10, 72, 9, 27, 18, 29, 46, 42, 28, 28, 85, 68, 934, 145, 142
INVAR-1, Run: 060, F, 0, 9, 1, 1, 1, 8, 6, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 9, 87, 60, 431, 432, 426, 102, 102, 116, 44, 45, 25, 86, 24, 72, 26, 28, 18, 92, 9, 9, 4, 96, 73, 89, 89, 121, 121, 111, 111, 98, 61, 58, 8, 70, 8, 29, 10, 37, 19, 19, 29, 29, 78, 60, 379, 83, 82
INVAR-1, Run: 061, F, 0, 31, 1, 0, 4, 41, 39, 1, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 4, 1, 1, 0, 1, 0, 0, 1, 34, 98, 202, 1645, 1640, 1601, 98, 97, 77, 8, 119, 23, 98, 19, 69, 57, 32, 10, 86, 6, 6, 10, 96, 93, 79, 75, 91, 90, 87, 87, 85, 66, 67, 9, 89, 9, 28, 28, 18, 62, 62, 39, 38, 114, 104, 1484, 194, 190
INVAR-1, Run: 062, F, 0, 12, 1, 1, 3, 14, 19, 1, 0, 0, 2, 2, 0, 1, 0, 1, 2, 0, 0, 2, 1, 0, 2, 0, 0, 1, 0, 14, 100, 63, 553, 542, 523, 108, 108, 110, 34, 81, 13, 99, 10, 76, 49, 19, 18, 104, 6, 6, 2, 104, 83, 99, 97, 96, 96, 100, 98, 91, 51, 67, 3, 79, 3, 45, 15, 40, 30, 29, 22, 22, 108, 88, 504, 69, 66
INVAR-1, Run: 063, F, 0, 13, 1, 0, 1, 14, 13, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 13, 109, 86, 615, 631, 618, 94, 94, 89, 32, 80, 26, 109, 25, 57, 41, 34, 15, 82, 11, 11, 12, 94, 122, 72, 72, 119, 118, 124, 124, 97, 69, 64, 15, 121, 15, 28, 26, 27, 39, 39, 35, 35, 117, 102, 543, 83, 82
INVAR-1, Run: 064, F, 0, 23, 1, 1, 5, 21, 27, 1, 1, 0, 1, 0, 0, 2, 0, 1, 2, 0, 0, 3, 1, 0, 0, 0, 0, 1, 0, 27, 88, 292, 1607, 1544, 1517, 99, 98, 89, 11, 84, 27, 87, 22, 78, 40, 24, 5, 95, 15, 15, 13, 106, 97, 97, 94, 91, 91, 71, 71, 95, 59, 62, 14, 90, 14, 33, 16, 36, 44, 43, 29, 29, 92, 86, 1336, 319, 314
INVAR-1, Run: 065, F, 0, 22, 1, 2, 4, 26, 17, 1, 2, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 25, 88, 269, 1535, 1550, 1533, 98, 96, 100, 20, 91, 24, 86, 20, 80, 43, 44, 13, 85, 14, 14, 18, 102, 82, 102, 102, 115, 113, 128, 126, 114, 67, 88, 35, 77, 35, 40, 23, 47, 48, 48, 48, 48, 105, 92, 1292, 292, 288
INVAR-1, Run: 066, F, 1, 31, 1, 3, 5, 42, 47, 1, 1, 0, 0, 3, 0, 1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 0, 35, 124, 294, 1991, 1956, 1909, 95, 94, 112, 10, 143, 24, 121, 19, 102, 72, 16, 11, 65, 24, 23, 22, 86, 127, 102, 101, 108, 106, 106, 103, 117, 65, 55, 40, 121, 38, 34, 29, 51, 68, 67, 21, 21, 147, 136, 1739, 271, 266
INVAR-1, Run: 067, F, 0, 22, 1, 0, 4, 25, 17, 1, 0, 0, 3, 3, 0, 2, 1, 1, 3, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 25, 119, 278, 1122, 1167, 1150, 86, 86, 92, 12, 124, 34, 119, 29, 80, 62, 27, 18, 96, 15, 15, 16, 109, 141, 105, 104, 104, 104, 89, 89, 95, 51, 58, 21, 134, 21, 26, 32, 44, 59, 57, 32, 32, 163, 142, 869, 322, 318
INVAR-1, Run: 068, F, 0, 17, 1, 0, 2, 12, 20, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 18, 90, 42, 610, 589, 569, 106, 105, 124, 52, 57, 20, 90, 18, 72, 25, 34, 13, 93, 11, 11, 5, 98, 88, 93, 93, 97, 96, 95, 94, 106, 75, 75, 10, 85, 10, 38, 14, 30, 32, 32, 37, 36, 69, 56, 580, 45, 43
INVAR-1, Run: 069, F, 0, 27, 1, 0, 2, 29, 33, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 28, 98, 77, 1398, 1346, 1313, 99, 98, 86, 18, 103, 13, 98, 11, 68, 54, 44, 9, 72, 19, 18, 36, 107, 69, 90, 89, 114, 113, 146, 145, 167, 107, 100, 36, 67, 35, 53, 19, 60, 49, 48, 47, 47, 94, 85, 1350, 88, 86
INVAR-1, Run: 070, F, 0, 16, 1, 1, 3, 17, 18, 1, 1, 0, 2, 4, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 3, 0, 18, 96, 121, 747, 768, 750, 94, 93, 108, 29, 65, 22, 95, 19, 79, 26, 29, 15, 90, 6, 6, 15, 104, 87, 86, 85, 86, 85, 72, 72, 87, 62, 55, 8, 83, 8, 23, 14, 25, 35, 32, 32, 32, 94, 77, 643, 122, 119
INVAR-1, Run: 071, F, 0, 15, 1, 1, 8, 20, 22, 1, 0, 0, 2, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 22, 104, 284, 1253, 1262, 1240, 95, 95, 102, 17, 96, 30, 103, 22, 85, 52, 23, 17, 75, 17, 17, 15, 89, 140, 88, 87, 113, 112, 106, 105, 95, 59, 69, 20, 132, 19, 38, 20, 36, 43, 43, 31, 31, 111, 92, 989, 291, 283
INVAR-1, Run: 072, F, 1, 14, 1, 3, 5, 21, 22, 1, 0, 0, 3, 5, 0, 2, 0, 1, 1, 0, 0, 3, 1, 1, 2, 0, 0, 0, 0, 18, 90, 125, 820, 796, 774, 97, 97, 84, 14, 97, 21, 87, 16, 70, 46, 32, 11, 93, 5, 5, 2, 94, 79, 120, 117, 101, 100, 85, 83, 95, 63, 65, 13, 72, 13, 28, 27, 32, 46, 46, 37, 37, 95, 81, 716, 103, 98
INVAR-1, Run: 073, F, 1, 24, 1, 4, 3, 31, 33, 1, 1, 0, 6, 3, 0, 2, 0, 0, 0, 2, 1, 0, 1, 1, 1, 2, 0, 4, 0, 26, 114, 175, 1303, 1234, 1201, 112, 111, 82, 11, 100, 24, 110, 21, 71, 50, 23, 12, 85, 9, 8, 5, 90, 114, 73, 73, 103, 102, 108, 104, 95, 62, 58, 19, 109, 16, 32, 13, 31, 47, 43, 26, 26, 126, 108, 1159, 219, 216
INVAR-1, Run: 074, F, 0, 8, 1, 2, 5, 15, 9, 1, 0, 0, 1, 1, 0, 3, 1, 1, 3, 0, 0, 1, 1, 0, 2, 0, 0, 2, 0, 12, 108, 183, 653, 691, 682, 98, 98, 86, 15, 77, 44, 106, 38, 71, 38, 30, 7, 73, 23, 23, 35, 105, 126, 119, 118, 105, 105, 103, 101, 106, 55, 58, 40, 117, 40, 22, 24, 51, 38, 36, 36, 36, 102, 94, 485, 210, 205
INVAR-1, Run: 075, F, 0, 24, 1, 0, 3, 32, 26, 1, 6, 1, 4, 4, 0, 1, 0, 1, 1, 0, 0, 4, 1, 1, 0, 0, 0, 2, 0, 26, 90, 114, 1103, 1131, 1105, 87, 81, 60, 9, 93, 8, 90, 5, 50, 44, 33, 6, 108, 5, 5, 4, 111, 105, 120, 116, 102, 101, 104, 104, 95, 56, 58, 5, 101, 5, 22, 17, 39, 45, 43, 36, 36, 110, 100, 1021, 122, 119
INVAR-1, Run: 076, F, 0, 15, 1, 1, 3, 19, 18, 1, 1, 0, 2, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 17, 109, 73, 799, 796, 778, 103, 102, 117, 26, 94, 12, 108, 9, 91, 49, 22, 11, 87, 8, 8, 8, 94, 113, 114, 113, 99, 97, 102, 101, 98, 58, 56, 9, 109, 9, 30, 28, 40, 45, 45, 26, 26, 108, 95, 745, 77, 74
INVAR-1, Run: 077, F, 0, 10, 1, 2, 4, 19, 8, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 2, 1, 0, 0, 2, 13, 90, 85, 767, 759, 751, 104, 103, 97, 31, 54, 13, 88, 9, 66, 27, 22, 12, 88, 8, 8, 6, 93, 84, 92, 90, 86, 86, 87, 85, 93, 53, 55, 13, 80, 13, 26, 14, 39, 27, 27, 29, 27, 77, 65, 701, 72, 68
INVAR-1, Run: 078, F, 2, 13, 1, 0, 1, 17, 13, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 2, 0, 0, 0, 2, 13, 79, 52, 652, 711, 698, 95, 94, 93, 13, 92, 9, 79, 8, 80, 51, 24, 13, 97, 10, 10, 5, 101, 69, 87, 86, 92, 91, 66, 63, 89, 63, 70, 9, 67, 8, 43, 25, 26, 41, 41, 27, 25, 78, 65, 617, 50, 49
INVAR-1, Run: 079, F, 0, 14, 1, 1, 5, 16, 17, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 18, 86, 111, 1000, 1000, 983, 102, 101, 82, 15, 76, 12, 85, 7, 67, 35, 24, 11, 97, 2, 2, 4, 100, 83, 115, 115, 107, 107, 98, 98, 94, 64, 58, 7, 76, 7, 29, 23, 30, 41, 41, 29, 29, 85, 74, 905, 113, 108
INVAR-1, Run: 080, F, 0, 9, 1, 1, 2, 7, 9, 1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0, 1, 1, 2, 0, 1, 1, 0, 0, 10, 82, 73, 547, 594, 585, 103, 103, 101, 13, 46, 24, 81, 22, 88, 19, 30, 5, 85, 8, 8, 11, 95, 93, 103, 102, 109, 107, 120, 120, 119, 73, 64, 12, 89, 12, 30, 17, 45, 27, 27, 33, 33, 65, 60, 481, 44, 42
INVAR-1, Run: 081, F, 0, 23, 1, 1, 3, 22, 23, 1, 0, 0, 0, 0, 3, 0, 0, 1, 3, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 25, 104, 113, 1187, 1141, 1118, 107, 107, 93, 25, 72, 11, 103, 8, 68, 32, 11, 8, 85, 9, 9, 15, 97, 94, 115, 114, 95, 95, 92, 91, 74, 36, 33, 8, 91, 8, 16, 15, 37, 40, 40, 17, 17, 92, 84, 1096, 129, 126
INVAR-1, Run: 082, F, 0, 22, 1, 0, 3, 29, 28, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 24, 91, 125, 1375, 1443, 1415, 89, 89, 98, 7, 97, 11, 91, 8, 91, 45, 30, 10, 94, 15, 14, 18, 110, 100, 103, 103, 98, 98, 95, 92, 112, 70, 63, 16, 97, 15, 30, 27, 41, 52, 52, 33, 33, 107, 97, 1279, 128, 125
INVAR-1, Run: 083, F, 0, 25, 1, 1, 0, 36, 29, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 3, 1, 1, 2, 0, 0, 1, 0, 24, 97, 45, 1212, 1207, 1178, 114, 113, 104, 16, 92, 7, 96, 7, 88, 45, 19, 13, 95, 2, 2, 2, 96, 98, 104, 101, 95, 94, 79, 77, 99, 60, 47, 9, 98, 9, 28, 21, 39, 46, 45, 19, 19, 108, 94, 1203, 49, 49
INVAR-1, Run: 084, F, 1, 18, 1, 4, 1, 14, 15, 1, 2, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 18, 99, 86, 1001, 1000, 985, 102, 100, 83, 11, 74, 19, 95, 18, 72, 39, 25, 8, 91, 14, 14, 12, 103, 79, 106, 105, 94, 94, 108, 108, 74, 49, 48, 22, 76, 22, 22, 16, 25, 35, 35, 26, 26, 79, 71, 929, 119, 118
INVAR-1, Run: 085, F, 0, 28, 1, 0, 4, 38, 36, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 1, 1, 2, 0, 0, 0, 0, 31, 107, 329, 1877, 1979, 1943, 83, 83, 101, 14, 112, 25, 107, 21, 87, 64, 29, 10, 92, 18, 18, 13, 105, 108, 151, 149, 104, 103, 120, 117, 100, 45, 67, 31, 104, 30, 34, 16, 55, 48, 48, 33, 33, 121, 111, 1586, 274, 270
INVAR-1, Run: 086, F, 0, 15, 1, 2, 2, 12, 16, 1, 2, 0, 1, 1, 1, 3, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 16, 103, 81, 682, 655, 639, 92, 90, 58, 14, 91, 13, 101, 11, 44, 51, 17, 15, 94, 19, 19, 11, 105, 86, 95, 95, 87, 85, 86, 86, 70, 42, 42, 45, 81, 45, 22, 23, 27, 39, 39, 20, 20, 96, 80, 613, 108, 106
INVAR-1, Run: 087, F, 0, 28, 1, 1, 2, 41, 29, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 29, 108, 140, 1411, 1404, 1375, 94, 94, 74, 15, 130, 16, 107, 14, 59, 79, 12, 10, 88, 12, 12, 9, 97, 127, 109, 109, 97, 97, 95, 95, 78, 43, 35, 21, 125, 21, 20, 21, 35, 51, 50, 15, 15, 123, 112, 1312, 154, 152
INVAR-1, Run: 088, F, 0, 22, 1, 0, 4, 31, 34, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 2, 3, 0, 0, 0, 1, 25, 108, 204, 1264, 1332, 1298, 94, 94, 87, 9, 122, 21, 108, 17, 78, 64, 25, 8, 86, 20, 20, 19, 105, 127, 97, 96, 115, 113, 128, 125, 110, 84, 59, 32, 122, 32, 28, 33, 26, 58, 58, 31, 30, 121, 113, 1091, 211, 207
INVAR-1, Run: 089, F, 2, 16, 1, 3, 3, 12, 11, 1, 1, 0, 2, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 3, 0, 18, 105, 109, 835, 836, 825, 103, 102, 74, 15, 101, 13, 102, 10, 59, 60, 22, 6, 83, 22, 22, 22, 104, 90, 91, 90, 95, 94, 95, 93, 96, 69, 69, 28, 86, 27, 43, 16, 27, 40, 37, 25, 25, 108, 100, 738, 97, 94
INVAR-1, Run: 090, F, 0, 15, 1, 0, 5, 19, 19, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 2, 2, 1, 0, 0, 0, 19, 78, 219, 1051, 1034, 1015, 100, 100, 109, 24, 68, 27, 78, 22, 85, 31, 29, 10, 107, 5, 5, 3, 110, 88, 105, 105, 95, 93, 94, 92, 105, 57, 55, 13, 82, 13, 21, 18, 47, 37, 37, 34, 34, 78, 68, 851, 206, 201
INVAR-1, Run: 091, F, 0, 20, 1, 1, 2, 25, 27, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 1, 0, 0, 21, 84, 137, 1133, 1135, 1108, 106, 104, 116, 14, 77, 11, 83, 9, 102, 40, 15, 10, 79, 19, 18, 23, 102, 76, 109, 109, 96, 96, 107, 106, 97, 45, 41, 26, 74, 25, 23, 15, 50, 37, 37, 17, 17, 86, 74, 1021, 126, 124
INVAR-1, Run: 092, F, 0, 30, 1, 2, 2, 24, 29, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 31, 110, 209, 1316, 1301, 1272, 127, 127, 118, 24, 110, 16, 108, 14, 94, 51, 25, 12, 69, 20, 20, 36, 104, 90, 102, 101, 107, 107, 122, 122, 115, 63, 67, 31, 88, 31, 38, 28, 51, 59, 59, 28, 27, 112, 100, 1131, 205, 203
INVAR-1, Run: 093, F, 0, 9, 1, 0, 3, 19, 14, 1, 1, 0, 3, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 11, 91, 146, 651, 628, 614, 91, 90, 117, 24, 84, 15, 91, 12, 93, 51, 19, 19, 100, 8, 8, 7, 105, 91, 98, 98, 85, 85, 81, 80, 91, 63, 50, 10, 88, 10, 27, 21, 28, 32, 32, 22, 22, 96, 74, 524, 137, 134
INVAR-1, Run: 094, F, 1, 24, 1, 1, 2, 15, 22, 1, 2, 0, 1, 0, 0, 2, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 25, 94, 142, 1504, 1501, 1479, 99, 97, 111, 9, 92, 12, 93, 10, 102, 39, 17, 11, 104, 13, 13, 19, 122, 81, 108, 106, 91, 91, 91, 91, 80, 47, 39, 12, 77, 12, 20, 26, 33, 53, 52, 19, 19, 77, 65, 1377, 150, 148
INVAR-1, Run: 095, F, 1, 15, 1, 2, 2, 18, 14, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, 16, 106, 62, 919, 984, 970, 91, 91, 80, 13, 77, 11, 104, 9, 67, 39, 22, 8, 79, 19, 19, 18, 96, 105, 100, 99, 90, 89, 105, 102, 94, 61, 50, 17, 103, 15, 26, 19, 33, 38, 38, 24, 24, 90, 82, 875, 73, 71
INVAR-1, Run: 096, F, 1, 11, 1, 0, 3, 14, 9, 1, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 13, 95, 181, 756, 793, 784, 97, 96, 92, 27, 69, 33, 95, 30, 65, 41, 52, 16, 73, 17, 17, 19, 92, 98, 83, 83, 108, 107, 99, 99, 137, 97, 121, 15, 93, 15, 66, 13, 40, 27, 27, 55, 55, 100, 83, 589, 211, 208
INVAR-1, Run: 097, F, 0, 13, 1, 0, 2, 12, 19, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 14, 93, 76, 678, 649, 630, 113, 113, 109, 21, 55, 16, 93, 14, 88, 23, 21, 15, 94, 8, 8, 8, 102, 96, 98, 98, 86, 86, 61, 61, 78, 37, 48, 14, 94, 14, 24, 17, 41, 32, 31, 24, 24, 75, 60, 614, 68, 66
INVAR-1, Run: 098, F, 0, 24, 1, 0, 7, 28, 29, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 5, 0, 0, 0, 0, 30, 102, 331, 1180, 1200, 1171, 98, 97, 105, 30, 109, 28, 102, 21, 75, 57, 30, 17, 114, 18, 18, 11, 125, 110, 110, 110, 112, 111, 113, 108, 116, 73, 76, 22, 103, 22, 38, 22, 43, 52, 52, 38, 38, 130, 113, 877, 312, 305
INVAR-1, Run: 099, F, 0, 27, 1, 0, 1, 33, 33, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 27, 101, 85, 1363, 1418, 1385, 97, 97, 92, 12, 90, 18, 101, 17, 80, 39, 25, 12, 99, 18, 18, 23, 121, 80, 106, 105, 97, 97, 88, 88, 106, 66, 61, 23, 79, 23, 35, 23, 40, 51, 50, 26, 26, 95, 83, 1311, 81, 80
INVAR-1, Run: 100, F, 1, 11, 1, 2, 2, 16, 15, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 12, 100, 40, 427, 370, 355, 95, 94, 89, 41, 55, 14, 98, 12, 48, 30, 26, 16, 93, 9, 9, 12, 104, 95, 108, 108, 93, 93, 98, 98, 94, 58, 57, 24, 91, 24, 29, 11, 36, 25, 24, 28, 28, 90, 74, 403, 47, 45
