Input Number, Run_Number, Result@ 100, F1P, A1, F1, A2, F2, F2P, Y
18, Run: 063, P, 5, 610, 0, 0, 5, 0, 0
18, Run: 064, P, 5, 629, 0, 0, 5, 0, 0
18, Run: 065, P, 5, 630, 0, 0, 5, 0, 0
18, Run: 066, P, 5, 671, 0, 0, 5, 0, 0
18, Run: 067, P, 5, 653, 0, 0, 5, 0, 0
18, Run: 068, P, 5, 656, 0, 0, 5, 0, 0
18, Run: 069, P, 5, 652, 0, 0, 5, 0, 0
18, Run: 070, P, 5, 616, 0, 0, 5, 0, 0
18, Run: 071, P, 5, 645, 0, 0, 5, 0, 0
18, Run: 072, P, 5, 585, 0, 0, 5, 0, 0
18, Run: 073, P, 5, 652, 0, 0, 5, 0, 0
18, Run: 074, P, 5, 606, 0, 0, 5, 0, 0
18, Run: 075, P, 5, 633, 0, 0, 5, 0, 0
18, Run: 076, P, 5, 646, 0, 0, 5, 0, 0
18, Run: 077, P, 5, 632, 0, 0, 5, 0, 0
18, Run: 078, P, 5, 637, 0, 0, 5, 0, 0
18, Run: 079, P, 5, 610, 0, 0, 5, 0, 0
18, Run: 080, P, 5, 645, 0, 0, 5, 0, 0
18, Run: 081, P, 5, 654, 0, 0, 5, 0, 0
18, Run: 082, P, 5, 639, 0, 0, 5, 0, 0
18, Run: 083, P, 5, 618, 0, 0, 5, 0, 0
18, Run: 084, P, 5, 610, 0, 0, 5, 0, 0
18, Run: 085, P, 5, 610, 0, 0, 5, 0, 0
18, Run: 086, P, 5, 622, 0, 0, 5, 0, 0
18, Run: 087, P, 5, 616, 0, 0, 5, 0, 0
18, Run: 088, P, 5, 638, 0, 0, 5, 0, 0
18, Run: 089, P, 5, 636, 0, 0, 5, 0, 0
18, Run: 090, P, 5, 606, 0, 0, 5, 0, 0
18, Run: 091, P, 5, 627, 0, 0, 5, 0, 0
18, Run: 092, P, 5, 625, 0, 0, 5, 0, 0
18, Run: 093, P, 5, 562, 0, 0, 5, 0, 0
18, Run: 094, P, 5, 680, 0, 0, 5, 0, 0
18, Run: 095, P, 5, 647, 0, 0, 5, 0, 0
18, Run: 096, P, 5, 632, 0, 0, 5, 0, 0
18, Run: 097, P, 5, 593, 0, 0, 5, 0, 0
18, Run: 098, P, 5, 622, 0, 0, 5, 0, 0
18, Run: 099, P, 5, 587, 0, 0, 5, 0, 0
18, Run: 100, P, 5, 655, 0, 0, 5, 0, 0
7, Run: 001, P, 5, 514, 0, 0, 5, 0, 0
7, Run: 002, P, 5, 523, 0, 0, 5, 0, 0
7, Run: 003, P, 5, 531, 0, 0, 5, 0, 0
7, Run: 004, P, 5, 505, 0, 0, 5, 0, 0
7, Run: 005, P, 5, 520, 0, 0, 5, 0, 0
7, Run: 006, P, 5, 488, 0, 0, 5, 0, 0
7, Run: 007, P, 5, 503, 0, 0, 5, 0, 0
7, Run: 008, P, 5, 510, 0, 0, 5, 0, 0
7, Run: 009, P, 5, 480, 0, 0, 5, 0, 0
7, Run: 010, P, 5, 507, 0, 0, 5, 0, 0
7, Run: 011, P, 5, 501, 0, 0, 5, 0, 0
7, Run: 012, P, 5, 544, 0, 0, 5, 0, 0
7, Run: 013, P, 5, 504, 0, 0, 5, 0, 0
7, Run: 014, P, 5, 540, 0, 0, 5, 0, 0
7, Run: 015, P, 5, 535, 0, 0, 5, 0, 0
7, Run: 016, P, 5, 509, 0, 0, 5, 0, 0
7, Run: 017, P, 5, 556, 0, 0, 5, 0, 0
7, Run: 018, P, 5, 469, 0, 0, 5, 0, 0
7, Run: 019, P, 5, 529, 0, 0, 5, 0, 0
7, Run: 020, P, 5, 535, 0, 0, 5, 0, 0
7, Run: 021, P, 5, 505, 0, 0, 5, 0, 0
7, Run: 022, P, 5, 488, 0, 0, 5, 0, 0
7, Run: 023, P, 5, 495, 0, 0, 5, 0, 0
7, Run: 024, P, 5, 554, 0, 0, 5, 0, 0
7, Run: 025, P, 5, 505, 0, 0, 5, 0, 0
7, Run: 026, P, 5, 514, 0, 0, 5, 0, 0
7, Run: 027, P, 5, 515, 0, 0, 5, 0, 0
7, Run: 028, P, 5, 508, 0, 0, 5, 0, 0
7, Run: 029, P, 5, 522, 0, 0, 5, 0, 0
7, Run: 030, P, 5, 445, 0, 0, 5, 0, 0
7, Run: 031, P, 5, 502, 0, 0, 5, 0, 0
7, Run: 032, P, 5, 494, 0, 0, 5, 0, 0
7, Run: 033, P, 5, 526, 0, 0, 5, 0, 0
7, Run: 034, P, 5, 476, 0, 0, 5, 0, 0
7, Run: 035, P, 5, 515, 0, 0, 5, 0, 0
7, Run: 036, P, 5, 541, 0, 0, 5, 0, 0
7, Run: 037, P, 5, 497, 0, 0, 5, 0, 0
7, Run: 038, P, 5, 524, 0, 0, 5, 0, 0
7, Run: 039, P, 5, 525, 0, 0, 5, 0, 0
7, Run: 040, P, 5, 491, 0, 0, 5, 0, 0
7, Run: 041, P, 5, 481, 0, 0, 5, 0, 0
7, Run: 042, P, 5, 502, 0, 0, 5, 0, 0
7, Run: 043, P, 5, 571, 0, 0, 5, 0, 0
7, Run: 044, P, 5, 530, 0, 0, 5, 0, 0
7, Run: 045, P, 5, 515, 0, 0, 5, 0, 0
7, Run: 046, P, 5, 482, 0, 0, 5, 0, 0
7, Run: 047, P, 5, 496, 0, 0, 5, 0, 0
7, Run: 048, P, 5, 478, 0, 0, 5, 0, 0
7, Run: 049, P, 5, 489, 0, 0, 5, 0, 0
7, Run: 050, P, 5, 508, 0, 0, 5, 0, 0
7, Run: 051, P, 5, 495, 0, 0, 5, 0, 0
7, Run: 052, P, 5, 487, 0, 0, 5, 0, 0
7, Run: 053, P, 5, 525, 0, 0, 5, 0, 0
7, Run: 054, P, 5, 519, 0, 0, 5, 0, 0
7, Run: 055, P, 5, 511, 0, 0, 5, 0, 0
7, Run: 056, P, 5, 520, 0, 0, 5, 0, 0
7, Run: 057, P, 5, 516, 0, 0, 5, 0, 0
7, Run: 058, P, 5, 480, 0, 0, 5, 0, 0
7, Run: 059, P, 5, 506, 0, 0, 5, 0, 0
7, Run: 060, P, 5, 509, 0, 0, 5, 0, 0
7, Run: 061, P, 5, 458, 0, 0, 5, 0, 0
7, Run: 062, P, 5, 521, 0, 0, 5, 0, 0
7, Run: 063, P, 5, 471, 0, 0, 5, 0, 0
7, Run: 064, P, 5, 494, 0, 0, 5, 0, 0
7, Run: 065, P, 5, 510, 0, 0, 5, 0, 0
7, Run: 066, P, 5, 532, 0, 0, 5, 0, 0
7, Run: 067, P, 5, 490, 0, 0, 5, 0, 0
7, Run: 068, P, 5, 530, 0, 0, 5, 0, 0
7, Run: 069, P, 5, 522, 0, 0, 5, 0, 0
7, Run: 070, P, 5, 486, 0, 0, 5, 0, 0
7, Run: 071, P, 5, 513, 0, 0, 5, 0, 0
7, Run: 072, P, 5, 468, 0, 0, 5, 0, 0
7, Run: 073, P, 5, 537, 0, 0, 5, 0, 0
7, Run: 074, P, 5, 499, 0, 0, 5, 0, 0
7, Run: 075, P, 5, 495, 0, 0, 5, 0, 0
7, Run: 076, P, 5, 466, 0, 0, 5, 0, 0
7, Run: 077, P, 5, 546, 0, 0, 5, 0, 0
7, Run: 078, P, 5, 506, 0, 0, 5, 0, 0
7, Run: 079, P, 5, 491, 0, 0, 5, 0, 0
7, Run: 080, P, 5, 523, 0, 0, 5, 0, 0
7, Run: 081, P, 5, 524, 0, 0, 5, 0, 0
7, Run: 082, P, 5, 497, 0, 0, 5, 0, 0
7, Run: 083, P, 5, 526, 0, 0, 5, 0, 0
7, Run: 084, P, 5, 510, 0, 0, 5, 0, 0
7, Run: 085, P, 5, 553, 0, 0, 5, 0, 0
7, Run: 086, P, 5, 492, 0, 0, 5, 0, 0
7, Run: 087, P, 5, 567, 0, 0, 5, 0, 0
7, Run: 088, P, 5, 478, 0, 0, 5, 0, 0
7, Run: 089, P, 5, 459, 0, 0, 5, 0, 0
7, Run: 090, P, 5, 497, 0, 0, 5, 0, 0
7, Run: 091, P, 5, 481, 0, 0, 5, 0, 0
7, Run: 092, P, 5, 499, 0, 0, 5, 0, 0
7, Run: 093, P, 5, 512, 0, 0, 5, 0, 0
7, Run: 094, P, 5, 457, 0, 0, 5, 0, 0
7, Run: 095, P, 5, 509, 0, 0, 5, 0, 0
7, Run: 096, P, 5, 515, 0, 0, 5, 0, 0
7, Run: 097, P, 5, 504, 0, 0, 5, 0, 0
7, Run: 098, P, 5, 501, 0, 0, 5, 0, 0
7, Run: 099, P, 5, 523, 0, 0, 5, 0, 0
7, Run: 100, P, 5, 527, 0, 0, 5, 0, 0
8, Run: 001, P, 5, 605, 0, 0, 5, 0, 0
8, Run: 002, P, 5, 587, 0, 0, 5, 0, 0
8, Run: 003, P, 5, 636, 0, 0, 5, 0, 0
8, Run: 004, P, 5, 596, 0, 0, 5, 0, 0
8, Run: 005, P, 5, 592, 0, 0, 5, 0, 0
8, Run: 006, P, 5, 548, 0, 0, 5, 0, 0
8, Run: 007, P, 5, 588, 0, 0, 5, 0, 0
8, Run: 008, P, 5, 578, 0, 0, 5, 0, 0
8, Run: 009, P, 5, 631, 0, 0, 5, 0, 0
8, Run: 010, P, 5, 608, 0, 0, 5, 0, 0
