Input Number, Run_Number, Result@ 100, E, X1, F, A, B, C, PO, D, CO, Y, PE, CE, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 028, P, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1380, 35, 33, 1380, 67, 41, 25, 66, 100, 134, 1748, 907
INVAR-10, Run: 029, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1972, 32, 32, 1632, 67, 48, 19, 67, 100, 135, 1341, 703
INVAR-10, Run: 030, P, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1163, 48, 46, 1163, 67, 39, 27, 66, 100, 134, 2428, 1247
INVAR-10, Run: 031, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 2315, 52, 52, 1975, 67, 43, 24, 67, 100, 135, 1485, 775
INVAR-10, Run: 032, P, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1170, 44, 42, 1170, 67, 42, 24, 66, 100, 134, 1582, 824
INVAR-10, Run: 033, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1916, 51, 51, 1576, 67, 41, 26, 67, 100, 135, 2039, 1052
INVAR-10, Run: 034, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1676, 54, 54, 1676, 67, 38, 28, 67, 100, 134, 1334, 700
INVAR-10, Run: 035, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 2068, 44, 44, 1728, 67, 40, 27, 67, 100, 135, 1375, 720
INVAR-10, Run: 036, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1710, 39, 39, 1370, 67, 34, 33, 67, 100, 135, 1767, 916
INVAR-10, Run: 037, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1334, 49, 49, 1334, 67, 41, 25, 67, 100, 134, 1922, 994
INVAR-10, Run: 038, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1799, 50, 50, 1799, 67, 42, 24, 67, 100, 134, 1668, 867
INVAR-10, Run: 039, P, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1258, 47, 45, 1258, 67, 46, 20, 66, 100, 134, 1978, 1022
INVAR-10, Run: 040, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 2146, 48, 48, 1806, 67, 35, 32, 67, 100, 135, 1181, 623
INVAR-10, Run: 041, P, 2, 0, 0, 1, 0, 0, 1, 0, 340, 340, 0, 0, 65, 135, 1667, 24, 24, 1327, 67, 45, 22, 67, 100, 135, 1667, 866
INVAR-10, Run: 042, P, 0, 0, 0, 0, 0, 0, 0, 336, 0, 2, 1, 2, 66, 134, 1538, 37, 35, 1538, 67, 38, 28, 66, 100, 134, 2118, 1092
INVAR-10, Run: 043, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1482, 43, 43, 1482, 67, 37, 29, 67, 100, 134, 1328, 697
INVAR-10, Run: 044, P, 1, 0, 0, 0, 0, 0, 0, 336, 0, 0, 1, 0, 66, 134, 1402, 53, 53, 1402, 67, 51, 15, 67, 100, 134, 3284, 1675
