Input Number, Run_Number, Result@ 100, B, F, X1, A, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 044, F, 0, 0, 0, 0, 0, 0, 57, 0, 2, 1, 2, 8, 3, 18, 59, 4, 2, 59, 9, 4, 4, 8, 6, 18, 127, 62
INVAR-1, Run: 045, F, 0, 0, 0, 0, 0, 0, 59, 0, 2, 1, 2, 8, 5, 18, 96, 9, 7, 96, 9, 4, 4, 8, 4, 18, 27, 11
INVAR-1, Run: 046, F, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8, 2, 18, 98, 9, 7, 98, 9, 7, 1, 8, 7, 18, 74, 36
INVAR-1, Run: 047, F, 0, 0, 0, 0, 0, 0, 55, 0, 2, 1, 2, 8, 1, 18, 107, 11, 9, 107, 9, 4, 4, 8, 8, 18, 119, 59
INVAR-1, Run: 048, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 103, 2, 2, 103, 9, 7, 1, 9, 6, 18, 97, 47
INVAR-1, Run: 049, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 177, 10, 10, 177, 9, 5, 3, 9, 6, 18, 71, 34
INVAR-1, Run: 050, F, 0, 0, 0, 0, 0, 0, 58, 0, 2, 1, 2, 8, 4, 18, 67, 6, 4, 67, 9, 5, 3, 8, 5, 18, 58, 27
INVAR-1, Run: 051, F, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 88, 2, 2, 88, 9, 4, 4, 9, 8, 18, 47, 23
INVAR-1, Run: 052, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 149, 5, 5, 149, 9, 8, 0, 9, 6, 18, 45, 21
INVAR-1, Run: 053, F, 0, 0, 0, 0, 0, 0, 55, 0, 2, 1, 2, 8, 1, 18, 128, 3, 1, 128, 9, 6, 2, 8, 8, 18, 97, 48
INVAR-1, Run: 054, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 179, 6, 6, 179, 9, 5, 3, 9, 7, 18, 46, 22
INVAR-1, Run: 055, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 80, 10, 10, 80, 9, 6, 2, 9, 6, 18, 97, 47
INVAR-1, Run: 056, F, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8, 2, 18, 45, 3, 1, 45, 9, 6, 2, 8, 7, 18, 104, 51
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9, 0, 18, 88, 7, 7, 88, 9, 5, 3, 9, 9, 18, 66, 33
INVAR-1, Run: 058, F, 0, 0, 0, 0, 0, 0, 55, 0, 2, 1, 2, 8, 1, 18, 65, 6, 4, 65, 9, 3, 5, 8, 8, 18, 113, 56
INVAR-1, Run: 059, F, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 138, 5, 5, 138, 9, 4, 4, 9, 8, 18, 203, 101
INVAR-1, Run: 060, F, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 123, 3, 3, 123, 9, 8, 0, 9, 8, 18, 65, 32
INVAR-1, Run: 061, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 105, 7, 7, 105, 9, 3, 5, 9, 7, 18, 32, 15
INVAR-1, Run: 062, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 135, 7, 7, 135, 9, 8, 0, 9, 7, 18, 194, 96
INVAR-1, Run: 063, F, 0, 0, 0, 0, 0, 0, 59, 0, 0, 1, 0, 9, 5, 18, 156, 6, 6, 156, 9, 4, 4, 9, 4, 18, 73, 34
INVAR-1, Run: 064, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 134, 4, 4, 134, 9, 2, 6, 9, 6, 18, 53, 25
INVAR-1, Run: 065, F, 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 0, 9, 4, 18, 96, 1, 1, 96, 9, 7, 1, 9, 5, 18, 92, 44
INVAR-1, Run: 066, F, 0, 0, 0, 0, 0, 0, 57, 0, 2, 1, 2, 8, 3, 18, 67, 4, 2, 67, 9, 5, 3, 8, 6, 18, 87, 42
INVAR-1, Run: 067, F, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 89, 4, 4, 89, 9, 5, 3, 9, 8, 18, 47, 23
INVAR-1, Run: 068, F, 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 0, 9, 4, 18, 141, 7, 7, 141, 9, 4, 4, 9, 5, 18, 54, 25
INVAR-1, Run: 069, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 140, 7, 7, 140, 9, 8, 0, 9, 7, 18, 66, 32
INVAR-1, Run: 070, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 103, 3, 3, 103, 9, 6, 2, 9, 6, 18, 85, 41
INVAR-1, Run: 071, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 147, 11, 11, 147, 9, 5, 3, 9, 7, 18, 114, 56
INVAR-1, Run: 072, F, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8, 2, 18, 42, 4, 2, 42, 9, 5, 3, 8, 7, 18, 46, 22
INVAR-1, Run: 073, F, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 151, 6, 6, 151, 9, 5, 3, 9, 8, 18, 63, 31
INVAR-1, Run: 074, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 100, 6, 6, 100, 9, 5, 3, 9, 6, 18, 79, 38
INVAR-1, Run: 075, F, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 103, 4, 4, 103, 9, 5, 3, 9, 8, 18, 43, 21
INVAR-1, Run: 076, F, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8, 2, 18, 73, 7, 5, 73, 9, 3, 5, 8, 7, 18, 44, 21
