Input Number, Run_Number, Result@ 100, an, Leaderag, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderah, ao, ar, X1uABab, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 011, P, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 14, 7, 2, 0, 9, 0, 0, 13, 3, 16, 4, 4, 1, 17, 1, 0, 30, 10, 32, 11, 1, 1, 0, 9, 0, 0, 72, 17, 76, 21, 4, 0, 0, 7, 0, 15, 1, 16, 2, 1, 16, 0, 0, 1, 7, 1, 2, 2, 1, 1, 1, 1, 1, 0, 0, 12, 0, 26, 1, 0, 0, 0, 0, 0, 0, 0, 8, 8, 0, 10, 0, 0, 0, 0, 0, 22, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 012, P, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 16, 8, 1, 0, 8, 1, 0, 9, 3, 12, 4, 1, 1, 18, 0, 0, 3, 1, 4, 2, 1, 1, 1, 9, 0, 0, 63, 15, 66, 18, 3, 0, 0, 12, 0, 13, 1, 14, 2, 1, 15, 2, 1, 35, 4, 5, 39, 7, 1, 1, 1, 1, 1, 0, 0, 15, 0, 29, 1, 0, 0, 0, 0, 0, 0, 0, 6, 8, 5, 10, 6, 1, 0, 0, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 013, P, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 17, 9, 0, 0, 9, 0, 0, 3, 2, 4, 3, 1, 1, 16, 1, 1, 7, 2, 10, 4, 1, 1, 0, 9, 0, 0, 65, 12, 72, 19, 7, 0, 0, 5, 0, 25, 9, 26, 10, 1, 17, 1, 0, 4, 1, 1, 6, 2, 1, 1, 1, 1, 1, 0, 0, 7, 0, 31, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 3, 2, 1, 0, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 014, P, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 16, 8, 1, 0, 7, 1, 1, 7, 2, 11, 4, 1, 1, 17, 1, 0, 10, 6, 12, 7, 1, 1, 1, 8, 1, 0, 35, 7, 41, 12, 5, 0, 0, 5, 0, 12, 4, 13, 5, 1, 16, 2, 0, 4, 2, 3, 7, 4, 1, 1, 1, 1, 1, 0, 0, 8, 0, 25, 3, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 7, 2, 1, 0, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 015, P, 0, 5, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 17, 8, 0, 1, 9, 0, 0, 22, 4, 24, 6, 1, 1, 13, 2, 0, 1, 0, 4, 1, 1, 1, 0, 7, 0, 0, 19, 6, 22, 9, 3, 0, 1, 19, 0, 4, 2, 6, 3, 1, 14, 1, 0, 5, 1, 2, 7, 3, 1, 1, 1, 1, 1, 0, 0, 21, 0, 21, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5, 0, 9, 1, 1, 0, 0, 0, 22, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 016, P, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 17, 8, 1, 0, 8, 1, 0, 13, 7, 16, 8, 1, 1, 17, 1, 0, 2, 0, 4, 1, 1, 1, 0, 9, 0, 0, 9, 3, 10, 4, 1, 0, 0, 4, 0, 0, 0, 1, 1, 1, 15, 3, 0, 22, 0, 4, 26, 5, 1, 1, 1, 1, 1, 0, 0, 6, 0, 22, 2, 0, 0, 0, 0, 0, 0, 0, 1, 15, 3, 18, 4, 1, 0, 0, 0, 31, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 017, P, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 17, 8, 1, 0, 7, 2, 0, 16, 7, 20, 8, 1, 1, 16, 1, 1, 5, 0, 8, 2, 1, 1, 0, 8, 1, 0, 13, 6, 17, 9, 3, 0, 0, 2, 0, 1, 0, 2, 1, 1, 16, 2, 0, 7, 2, 2, 10, 3, 1, 1, 1, 1, 1, 0, 0, 4, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46, 11, 47, 12, 1, 0, 0, 0, 38, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 018, P, 0, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 8, 17, 9, 0, 0, 8, 0, 0, 11, 2, 12, 3, 0, 1, 14, 3, 0, 1, 0, 5, 1, 1, 1, 0, 8, 0, 0, 49, 19, 50, 20, 1, 0, 1, 1, 0, 6, 1, 8, 2, 1, 15, 1, 1, 11, 0, 1, 14, 3, 1, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 26, 0, 0, 0, 0, 0, 21, 6, 22, 1, 7, 1
INVAR-1, Run: 019, P, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 17, 9, 0, 0, 9, 0, 0, 13, 2, 14, 3, 1, 1, 16, 2, 0, 7, 2, 10, 3, 1, 1, 0, 9, 0, 0, 42, 16, 45, 19, 3, 0, 0, 2, 0, 9, 3, 10, 4, 1, 14, 3, 0, 3, 0, 0, 7, 1, 1, 1, 1, 1, 1, 0, 0, 4, 0, 22, 2, 0, 0, 0, 0, 0, 0, 0, 1, 10, 1, 13, 2, 1, 0, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 020, P, 0, 8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 54, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 7, 1, 1, 8, 1, 0, 14, 7, 18, 9, 2, 1, 15, 3, 0, 20, 8, 24, 9, 1, 1, 0, 8, 1, 0, 9, 3, 12, 5, 2, 0, 0, 22, 0, 1, 0, 2, 1, 1, 17, 1, 0, 11, 2, 6, 13, 7, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 021, P, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 4, 0, 0, 1, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 9, 0, 0, 8, 1, 0, 0, 1, 2, 2, 1, 1, 15, 2, 1, 8, 0, 12, 2, 1, 1, 0, 9, 0, 0, 92, 21, 97, 26, 5, 0, 0, 25, 0, 37, 4, 38, 5, 1, 16, 2, 0, 32, 7, 12, 34, 12, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 022, P, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 16, 9, 0, 0, 6, 3, 0, 26, 0, 30, 1, 2, 1, 16, 2, 0, 15, 4, 18, 5, 1, 1, 0, 8, 1, 0, 73, 13, 78, 17, 4, 0, 0, 13, 0, 11, 4, 12, 5, 1, 17, 1, 0, 5, 3, 1, 7, 2, 1, 1, 1, 1, 1, 0, 0, 16, 0, 23, 3, 0, 0, 0, 0, 0, 0, 0, 4, 20, 7, 24, 8, 1, 0, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 023, P, 0, 9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 9, 0, 0, 9, 0, 0, 9, 1, 10, 2, 2, 1, 16, 2, 0, 48, 14, 51, 15, 1, 1, 0, 9, 0, 0, 56, 17, 57, 18, 1, 0, 0, 6, 0, 0, 0, 1, 1, 1, 17, 1, 0, 7, 1, 4, 8, 4, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 024, P, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 7, 2, 0, 9, 0, 0, 36, 5, 39, 6, 2, 1, 16, 2, 0, 4, 0, 7, 1, 1, 1, 0, 8, 1, 0, 68, 13, 75, 19, 6, 0, 0, 43, 0, 20, 7, 21, 8, 1, 16, 2, 0, 11, 7, 2, 14, 3, 1, 1, 1, 1, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 025, P, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 18, 7, 2, 0, 8, 1, 0, 3, 1, 7, 2, 0, 1, 16, 2, 0, 8, 1, 11, 2, 1, 1, 0, 8, 1, 0, 77, 26, 86, 34, 8, 0, 0, 1, 0, 35, 2, 36, 3, 1, 17, 1, 0, 15, 0, 11, 17, 12, 1, 1, 1, 1, 1, 0, 0, 2, 0, 28, 1, 0, 0, 0, 0, 0, 0, 0, 1, 12, 9, 14, 10, 1, 0, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 026, P, 0, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8, 15, 8, 1, 0, 8, 1, 0, 14, 2, 17, 3, 3, 1, 17, 0, 0, 2, 0, 3, 1, 1, 1, 0, 7, 1, 0, 45, 11, 50, 15, 4, 1, 0, 7, 0, 13, 3, 14, 4, 1, 12, 3, 0, 0, 0, 0, 4, 1, 1, 1, 1, 1, 1, 0, 0, 11, 0, 23, 1, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 7, 1, 1, 0, 0, 0, 22, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 027, P, 0, 8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 8, 1, 0, 8, 1, 0, 41, 7, 44, 8, 0, 1, 14, 3, 1, 19, 9, 24, 11, 1, 1, 0, 8, 1, 0, 26, 5, 29, 7, 2, 0, 0, 28, 0, 1, 0, 2, 1, 1, 16, 2, 0, 4, 4, 0, 7, 1, 1, 1, 1, 1, 1, 0, 0, 29, 0, 22, 1, 0, 0, 0, 0, 0, 0, 0, 5, 15, 2, 16, 2, 0, 0, 0, 0, 32, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
