Input Number, Run_Number, Result@ 100, X, XP, Z, YP
1, Run: 047, E, 0, 0, 90, 66
1, Run: 048, E, 0, 0, 100, 76
1, Run: 049, E, 0, 0, 90, 66
1, Run: 050, E, 0, 0, 104, 80
1, Run: 051, E, 0, 0, 92, 68
1, Run: 052, E, 0, 0, 82, 58
1, Run: 053, E, 0, 0, 118, 94
1, Run: 054, E, 0, 0, 85, 61
1, Run: 055, E, 0, 0, 102, 78
1, Run: 056, E, 0, 0, 82, 58
1, Run: 057, E, 0, 0, 85, 61
1, Run: 058, E, 0, 0, 111, 87
1, Run: 059, E, 0, 0, 97, 73
1, Run: 060, E, 0, 0, 111, 87
1, Run: 061, E, 0, 0, 106, 82
1, Run: 062, E, 0, 0, 101, 77
1, Run: 063, E, 0, 0, 114, 90
1, Run: 064, E, 0, 0, 87, 63
1, Run: 065, E, 0, 0, 90, 66
1, Run: 066, E, 0, 0, 114, 90
1, Run: 067, E, 0, 0, 106, 82
1, Run: 068, E, 0, 0, 105, 81
1, Run: 069, E, 0, 0, 104, 80
1, Run: 070, E, 0, 0, 101, 77
1, Run: 071, E, 0, 0, 85, 61
1, Run: 072, E, 0, 0, 131, 107
1, Run: 073, E, 0, 0, 93, 69
1, Run: 074, E, 0, 0, 98, 74
1, Run: 075, E, 0, 0, 92, 68
1, Run: 076, E, 0, 0, 99, 75
1, Run: 077, E, 0, 0, 107, 83
1, Run: 078, E, 0, 0, 91, 67
1, Run: 079, E, 0, 0, 108, 84
1, Run: 080, E, 0, 0, 84, 60
1, Run: 081, E, 0, 0, 96, 72
1, Run: 082, E, 0, 0, 104, 80
1, Run: 083, E, 0, 0, 94, 70
1, Run: 084, E, 0, 0, 111, 87
1, Run: 085, E, 0, 0, 81, 57
1, Run: 086, E, 0, 0, 84, 60
1, Run: 087, E, 0, 0, 109, 85
1, Run: 088, E, 0, 0, 95, 71
1, Run: 089, E, 0, 0, 97, 73
1, Run: 090, E, 0, 0, 91, 67
1, Run: 091, E, 0, 0, 93, 69
1, Run: 092, E, 0, 0, 123, 99
1, Run: 093, E, 0, 0, 101, 77
1, Run: 094, E, 0, 0, 111, 87
1, Run: 095, E, 0, 0, 88, 64
1, Run: 096, E, 0, 0, 90, 66
1, Run: 097, E, 0, 0, 117, 93
1, Run: 098, E, 0, 0, 110, 86
1, Run: 099, E, 0, 0, 100, 76
1, Run: 100, E, 0, 0, 105, 81
10, Run: 001, E, 0, 0, 89, 47
10, Run: 002, E, 0, 0, 110, 68
10, Run: 003, E, 0, 0, 106, 64
10, Run: 004, E, 0, 0, 98, 56
10, Run: 005, E, 0, 0, 85, 43
10, Run: 006, E, 0, 0, 103, 61
10, Run: 007, E, 0, 0, 78, 36
10, Run: 008, E, 0, 0, 105, 63
10, Run: 009, E, 0, 0, 97, 55
10, Run: 010, E, 0, 0, 105, 63
10, Run: 011, E, 0, 0, 91, 49
10, Run: 012, E, 0, 0, 102, 60
10, Run: 013, E, 0, 0, 97, 55
10, Run: 014, E, 0, 0, 115, 73
10, Run: 015, E, 0, 0, 104, 62
10, Run: 016, E, 0, 0, 92, 50
10, Run: 017, E, 0, 0, 84, 42
10, Run: 018, E, 0, 0, 114, 72
10, Run: 019, E, 0, 0, 84, 42
