Input Number, Run_Number, Result@ 100, predator_Q2b_H2, prey_H1, predator_g555, prey_Q2a, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_H2, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 055, F, 0, 0, 7, 0, 1, 1, 0, 1, 4, 7, 1, 0, 0, 0, 1, 0, 3, 1, 1, 3, 1, 1, 2, 0, 0, 0, 1, 6, 103, 19, 93, 92, 88, 501, 494, 441, 260, 50, 39, 102, 33, 180, 21, 53, 63, 89, 27, 26, 18, 104, 116, 110, 107, 126, 125, 132, 128, 120, 84, 96, 36, 109, 34, 37, 21, 42, 29, 29, 59, 59, 121, 58, 75, 27, 27
INVAR-1, Run: 056, F, 0, 0, 4, 0, 1, 1, 0, 0, 0, 7, 7, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 3, 110, 14, 95, 97, 97, 194, 187, 243, 148, 78, 7, 109, 4, 88, 39, 14, 49, 73, 19, 19, 23, 95, 112, 109, 108, 88, 88, 77, 77, 70, 48, 50, 25, 109, 25, 32, 36, 25, 39, 39, 18, 17, 121, 72, 81, 8, 8
INVAR-1, Run: 057, F, 0, 0, 4, 1, 1, 1, 0, 1, 1, 7, 4, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 3, 3, 0, 0, 1, 1, 3, 81, 5, 101, 97, 96, 141, 134, 146, 86, 54, 13, 80, 10, 56, 33, 22, 31, 91, 9, 9, 11, 101, 69, 103, 103, 96, 93, 107, 104, 95, 65, 50, 9, 64, 9, 24, 18, 32, 21, 21, 26, 25, 89, 58, 97, 7, 7
INVAR-1, Run: 058, F, 0, 0, 6, 1, 1, 0, 0, 3, 2, 1, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 1, 0, 0, 2, 1, 5, 79, 21, 90, 103, 101, 215, 214, 198, 124, 60, 35, 79, 30, 73, 28, 31, 30, 60, 26, 26, 19, 77, 72, 82, 82, 92, 90, 113, 112, 84, 59, 77, 37, 67, 37, 39, 27, 29, 32, 32, 38, 36, 76, 46, 72, 24, 24
INVAR-1, Run: 059, F, 0, 0, 4, 0, 1, 0, 0, 1, 0, 6, 3, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 3, 98, 24, 110, 112, 112, 252, 246, 233, 130, 71, 18, 98, 15, 100, 36, 23, 36, 88, 12, 12, 14, 101, 93, 110, 110, 100, 99, 88, 88, 87, 66, 68, 17, 89, 17, 41, 32, 24, 35, 35, 27, 26, 102, 66, 87, 10, 10
INVAR-1, Run: 060, F, 0, 0, 4, 0, 1, 1, 0, 1, 1, 1, 4, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 91, 6, 89, 90, 89, 199, 198, 203, 110, 54, 13, 90, 10, 89, 22, 18, 32, 78, 15, 15, 17, 95, 100, 79, 79, 89, 89, 91, 91, 65, 39, 43, 22, 96, 22, 22, 29, 29, 32, 32, 21, 21, 93, 60, 84, 8, 8
INVAR-1, Run: 061, P, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 7, 93, 83, 82, 81, 80, 92, 71, 54, 15, 100, 14, 21, 25, 29, 22, 86, 17, 16, 10, 96, 88, 86, 86, 106, 106, 102, 101, 93, 58, 56, 11, 87, 10, 26, 28, 35, 29, 29, 30, 30, 79, 57, 86, 8, 7
INVAR-1, Run: 062, F, 1, 0, 5, 0, 1, 2, 0, 2, 2, 3, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 4, 97, 21, 95, 65, 63, 296, 293, 255, 175, 43, 45, 95, 40, 79, 20, 29, 49, 75, 14, 14, 12, 87, 96, 78, 78, 100, 99, 106, 106, 92, 80, 63, 17, 90, 17, 28, 19, 16, 23, 23, 35, 35, 82, 33, 76, 24, 24
INVAR-1, Run: 063, F, 0, 0, 4, 0, 1, 2, 0, 0, 0, 4, 3, 1, 0, 0, 2, 1, 3, 0, 0, 4, 1, 0, 0, 0, 1, 0, 1, 3, 106, 21, 97, 98, 98, 322, 318, 275, 180, 54, 17, 104, 14, 92, 26, 20, 65, 92, 11, 11, 4, 93, 107, 103, 99, 109, 109, 97, 97, 92, 52, 50, 17, 102, 17, 27, 24, 43, 28, 27, 23, 23, 124, 58, 76, 16, 16
INVAR-1, Run: 064, F, 0, 0, 3, 0, 1, 1, 1, 1, 1, 3, 0, 1, 0, 0, 1, 1, 2, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0, 2, 114, 11, 94, 87, 86, 186, 183, 172, 118, 84, 13, 113, 10, 54, 41, 18, 56, 107, 16, 16, 27, 132, 150, 111, 109, 108, 108, 95, 93, 103, 64, 40, 34, 146, 34, 19, 41, 41, 43, 43, 21, 21, 171, 114, 84, 11, 10
INVAR-1, Run: 065, F, 0, 0, 3, 1, 1, 0, 0, 1, 4, 3, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 3, 0, 0, 2, 1, 2, 102, 10, 85, 74, 70, 178, 175, 174, 106, 57, 11, 102, 9, 67, 34, 23, 31, 78, 11, 11, 14, 91, 110, 66, 65, 100, 99, 121, 118, 109, 87, 54, 20, 107, 20, 27, 21, 23, 23, 23, 27, 25, 97, 66, 76, 12, 12
INVAR-1, Run: 066, F, 0, 0, 3, 1, 1, 2, 0, 1, 0, 6, 4, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 2, 100, 25, 92, 90, 90, 225, 219, 224, 122, 39, 32, 98, 30, 98, 19, 44, 49, 84, 13, 13, 10, 93, 92, 81, 81, 91, 90, 94, 93, 99, 60, 74, 11, 89, 11, 28, 17, 40, 19, 19, 46, 46, 85, 34, 68, 29, 29
INVAR-1, Run: 067, F, 0, 0, 6, 0, 1, 0, 0, 2, 1, 5, 3, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 5, 102, 29, 103, 107, 106, 357, 352, 349, 217, 48, 37, 102, 32, 129, 22, 44, 42, 79, 20, 20, 11, 88, 108, 91, 90, 119, 119, 76, 76, 117, 76, 81, 18, 103, 18, 32, 21, 46, 26, 26, 49, 49, 89, 47, 76, 38, 38
INVAR-1, Run: 068, F, 0, 0, 6, 0, 1, 1, 0, 1, 0, 4, 4, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 1, 6, 0, 0, 1, 1, 5, 84, 9, 99, 102, 102, 315, 311, 317, 185, 49, 17, 83, 12, 128, 27, 17, 57, 82, 17, 17, 15, 96, 101, 102, 100, 88, 87, 95, 89, 95, 56, 53, 20, 96, 20, 30, 17, 44, 22, 22, 23, 22, 107, 50, 91, 13, 13
INVAR-1, Run: 069, F, 0, 0, 7, 1, 1, 1, 1, 1, 2, 8, 3, 0, 0, 2, 2, 1, 2, 1, 0, 2, 1, 1, 1, 0, 0, 3, 0, 6, 87, 5, 99, 102, 100, 320, 312, 321, 168, 70, 20, 86, 13, 150, 33, 27, 53, 73, 24, 24, 33, 104, 104, 139, 137, 102, 101, 125, 123, 126, 73, 76, 39, 95, 38, 37, 30, 58, 37, 37, 39, 36, 117, 64, 95, 12, 11
INVAR-1, Run: 070, F, 0, 0, 4, 2, 1, 1, 0, 1, 0, 6, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4, 3, 0, 0, 1, 1, 3, 97, 7, 98, 85, 85, 235, 229, 215, 137, 46, 21, 96, 18, 76, 23, 33, 43, 82, 18, 17, 15, 97, 94, 94, 94, 108, 104, 128, 124, 119, 78, 77, 25, 91, 24, 40, 19, 42, 23, 23, 37, 36, 94, 51, 92, 17, 17
INVAR-1, Run: 071, F, 0, 0, 5, 0, 1, 2, 0, 1, 2, 4, 0, 2, 1, 0, 1, 0, 1, 0, 1, 2, 1, 3, 1, 0, 0, 0, 1, 4, 93, 32, 101, 124, 122, 268, 264, 212, 119, 52, 37, 91, 33, 93, 31, 38, 37, 74, 16, 15, 25, 98, 103, 89, 87, 100, 97, 94, 92, 107, 63, 74, 26, 98, 25, 32, 15, 48, 20, 20, 42, 42, 90, 51, 70, 24, 24
INVAR-1, Run: 072, F, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 107, 18, 107, 125, 125, 175, 175, 181, 104, 52, 18, 106, 16, 77, 34, 27, 42, 78, 22, 22, 12, 89, 88, 88, 87, 90, 90, 89, 88, 79, 56, 60, 22, 86, 21, 31, 16, 24, 18, 18, 29, 29, 90, 48, 89, 10, 9
INVAR-1, Run: 073, F, 0, 0, 6, 0, 1, 0, 1, 1, 0, 6, 6, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 5, 92, 13, 94, 81, 81, 272, 266, 265, 191, 38, 21, 92, 15, 68, 15, 35, 47, 78, 15, 15, 14, 92, 96, 74, 74, 84, 82, 96, 95, 86, 62, 82, 17, 90, 17, 40, 18, 29, 23, 23, 41, 41, 82, 35, 82, 16, 15
INVAR-1, Run: 074, F, 0, 0, 3, 1, 1, 1, 0, 2, 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 2, 1, 2, 92, 12, 101, 96, 95, 156, 155, 184, 107, 46, 24, 91, 22, 76, 25, 26, 28, 84, 8, 8, 5, 88, 88, 98, 97, 102, 100, 83, 83, 98, 51, 57, 11, 85, 11, 27, 19, 48, 21, 21, 30, 28, 92, 62, 91, 18, 18
INVAR-1, Run: 075, F, 0, 1, 4, 0, 1, 0, 0, 1, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 3, 94, 2, 79, 86, 83, 250, 247, 263, 170, 52, 23, 94, 20, 92, 31, 31, 52, 95, 3, 2, 0, 95, 81, 114, 114, 103, 103, 86, 85, 97, 52, 71, 6, 78, 5, 37, 16, 48, 21, 21, 34, 34, 93, 41, 78, 12, 12
INVAR-1, Run: 076, F, 0, 0, 6, 1, 1, 2, 1, 0, 0, 6, 1, 0, 0, 0, 0, 1, 2, 0, 0, 2, 1, 1, 2, 0, 0, 0, 0, 5, 107, 8, 97, 75, 75, 407, 401, 407, 291, 65, 19, 105, 13, 115, 33, 36, 64, 83, 21, 21, 21, 102, 105, 106, 104, 118, 117, 129, 127, 118, 76, 82, 36, 99, 36, 40, 27, 46, 32, 32, 42, 42, 117, 53, 89, 15, 14
INVAR-1, Run: 077, F, 0, 0, 4, 1, 1, 2, 0, 0, 0, 4, 1, 1, 0, 0, 1, 1, 3, 0, 0, 1, 1, 1, 2, 1, 0, 0, 1, 3, 94, 21, 96, 109, 109, 289, 285, 301, 180, 52, 18, 92, 15, 120, 29, 31, 50, 94, 17, 17, 11, 102, 111, 94, 93, 99, 98, 109, 107, 108, 75, 63, 23, 107, 23, 28, 20, 35, 23, 23, 34, 34, 105, 54, 75, 15, 15
INVAR-1, Run: 078, F, 0, 1, 2, 2, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 3, 0, 1, 1, 1, 112, 3, 86, 78, 77, 103, 101, 97, 62, 82, 18, 112, 17, 35, 43, 19, 34, 78, 28, 27, 25, 102, 102, 126, 125, 93, 91, 90, 87, 79, 50, 41, 39, 101, 38, 17, 36, 28, 39, 39, 21, 20, 101, 67, 84, 7, 7
INVAR-1, Run: 079, F, 0, 0, 7, 0, 1, 1, 0, 1, 0, 5, 5, 2, 2, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 2, 0, 1, 6, 107, 20, 97, 87, 87, 472, 467, 426, 282, 43, 38, 106, 32, 139, 20, 44, 58, 83, 6, 6, 7, 90, 94, 70, 69, 113, 113, 100, 98, 117, 100, 88, 7, 88, 6, 38, 12, 23, 21, 19, 50, 50, 102, 42, 78, 22, 22
INVAR-1, Run: 080, F, 0, 1, 3, 2, 1, 3, 1, 0, 0, 4, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 1, 3, 0, 2, 0, 0, 0, 2, 120, 0, 107, 121, 121, 292, 288, 293, 151, 50, 9, 117, 6, 141, 20, 14, 59, 82, 10, 9, 18, 100, 135, 129, 127, 88, 85, 65, 64, 71, 38, 35, 18, 132, 17, 16, 26, 33, 30, 30, 17, 17, 130, 70, 107, 2, 1
INVAR-1, Run: 081, F, 0, 0, 2, 0, 1, 1, 1, 0, 0, 1, 1, 2, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 76, 5, 105, 116, 116, 119, 118, 116, 65, 60, 18, 75, 16, 50, 35, 33, 22, 54, 34, 34, 52, 106, 80, 113, 112, 113, 112, 139, 139, 131, 81, 75, 38, 78, 38, 39, 23, 51, 24, 24, 36, 36, 96, 72, 100, 12, 11
INVAR-1, Run: 082, F, 0, 0, 4, 1, 1, 1, 0, 0, 1, 2, 3, 0, 0, 0, 4, 1, 2, 0, 0, 2, 1, 2, 1, 0, 0, 0, 1, 3, 100, 11, 77, 83, 82, 201, 199, 167, 121, 49, 25, 99, 22, 43, 22, 47, 29, 66, 13, 13, 28, 92, 93, 96, 94, 117, 115, 116, 115, 103, 72, 91, 12, 86, 12, 41, 24, 33, 27, 27, 50, 50, 91, 62, 66, 15, 15
INVAR-1, Run: 083, F, 0, 0, 4, 0, 1, 0, 0, 2, 1, 0, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 3, 89, 14, 92, 79, 78, 184, 184, 178, 117, 35, 22, 89, 19, 59, 17, 39, 41, 74, 8, 8, 3, 76, 95, 102, 102, 105, 104, 101, 100, 124, 81, 77, 17, 91, 17, 35, 15, 46, 18, 18, 42, 42, 76, 35, 80, 18, 18
INVAR-1, Run: 084, F, 0, 0, 3, 0, 1, 2, 0, 0, 0, 3, 4, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 84, 6, 99, 106, 106, 133, 130, 133, 80, 57, 16, 82, 14, 49, 30, 23, 34, 90, 8, 8, 6, 95, 90, 95, 94, 97, 97, 93, 93, 95, 65, 60, 18, 88, 18, 35, 24, 32, 26, 26, 25, 25, 92, 57, 93, 11, 11
INVAR-1, Run: 085, F, 0, 0, 3, 4, 1, 1, 0, 1, 2, 1, 0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 2, 96, 6, 116, 137, 135, 251, 250, 252, 142, 41, 11, 95, 9, 110, 18, 13, 41, 95, 6, 6, 7, 101, 109, 126, 125, 105, 103, 106, 106, 87, 38, 33, 9, 105, 9, 18, 21, 47, 23, 23, 15, 15, 81, 39, 111, 6, 6
INVAR-1, Run: 086, F, 0, 0, 5, 0, 1, 0, 0, 0, 0, 4, 3, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 4, 100, 8, 101, 63, 63, 351, 347, 280, 190, 37, 13, 100, 9, 87, 20, 24, 51, 96, 3, 3, 3, 98, 93, 104, 104, 101, 99, 84, 83, 98, 64, 54, 5, 88, 5, 26, 13, 38, 17, 17, 28, 28, 97, 46, 93, 9, 9
INVAR-1, Run: 087, F, 2, 0, 3, 1, 1, 0, 0, 0, 0, 8, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 113, 13, 93, 111, 111, 238, 230, 246, 169, 52, 24, 113, 20, 72, 24, 15, 46, 84, 5, 4, 5, 89, 101, 108, 108, 109, 108, 89, 87, 79, 48, 37, 3, 97, 2, 16, 24, 32, 28, 27, 20, 19, 96, 50, 80, 19, 19
INVAR-1, Run: 088, F, 1, 0, 10, 0, 1, 3, 0, 1, 6, 11, 2, 0, 1, 0, 3, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 9, 100, 28, 93, 89, 83, 729, 718, 735, 525, 37, 44, 97, 34, 208, 13, 34, 74, 85, 16, 16, 19, 104, 117, 104, 103, 105, 105, 126, 125, 124, 84, 85, 18, 104, 18, 41, 14, 49, 23, 23, 44, 44, 109, 35, 66, 35, 35
INVAR-1, Run: 089, F, 0, 0, 3, 2, 1, 0, 0, 0, 0, 5, 2, 0, 0, 0, 0, 1, 3, 0, 0, 3, 1, 2, 1, 1, 0, 1, 1, 2, 84, 2, 96, 93, 93, 212, 207, 224, 126, 27, 5, 84, 3, 96, 14, 23, 46, 106, 10, 10, 15, 118, 64, 99, 96, 89, 87, 81, 80, 66, 50, 43, 9, 62, 9, 16, 11, 16, 13, 13, 26, 25, 71, 25, 94, 3, 3
INVAR-1, Run: 090, F, 0, 0, 4, 0, 1, 0, 0, 3, 1, 2, 4, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 3, 98, 23, 109, 133, 132, 293, 291, 285, 144, 42, 44, 98, 41, 137, 21, 43, 46, 72, 10, 10, 8, 79, 110, 72, 71, 105, 105, 98, 97, 111, 81, 89, 20, 106, 20, 43, 18, 33, 21, 21, 46, 46, 102, 56, 89, 24, 24
INVAR-1, Run: 091, F, 0, 1, 7, 1, 1, 1, 0, 0, 0, 9, 7, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 6, 107, 15, 96, 103, 103, 397, 388, 381, 224, 38, 27, 106, 21, 150, 15, 37, 73, 84, 7, 7, 11, 94, 90, 93, 92, 97, 96, 118, 117, 98, 73, 73, 12, 84, 12, 30, 16, 30, 23, 23, 43, 43, 115, 42, 81, 14, 14
INVAR-1, Run: 092, F, 1, 0, 6, 0, 1, 1, 0, 1, 1, 5, 7, 1, 0, 0, 2, 1, 2, 0, 0, 1, 1, 1, 3, 0, 0, 0, 1, 5, 92, 24, 105, 126, 125, 271, 266, 281, 141, 45, 35, 91, 29, 133, 28, 36, 35, 106, 3, 3, 2, 106, 95, 101, 100, 108, 107, 105, 102, 115, 77, 85, 13, 87, 13, 43, 12, 43, 17, 17, 42, 42, 88, 52, 82, 19, 19
INVAR-1, Run: 093, P, 0, 0, 1, 3, 1, 1, 1, 0, 1, 2, 1, 0, 1, 3, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 2, 0, 0, 89, 4, 99, 84, 83, 87, 85, 82, 55, 75, 8, 88, 7, 26, 37, 30, 28, 64, 26, 25, 17, 80, 88, 76, 76, 79, 79, 92, 89, 96, 62, 63, 47, 87, 45, 26, 35, 31, 37, 37, 36, 34, 97, 69, 95, 5, 4
INVAR-1, Run: 094, F, 0, 0, 9, 0, 1, 2, 0, 1, 0, 5, 5, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 8, 94, 27, 92, 84, 84, 506, 501, 459, 318, 37, 46, 92, 38, 136, 16, 34, 70, 90, 4, 4, 4, 93, 108, 88, 86, 95, 95, 107, 107, 106, 78, 81, 12, 100, 12, 39, 13, 36, 21, 21, 42, 42, 99, 29, 66, 22, 22
INVAR-1, Run: 095, F, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 1, 0, 2, 1, 2, 3, 0, 0, 0, 1, 1, 95, 15, 96, 86, 86, 186, 185, 152, 93, 51, 26, 95, 25, 59, 31, 30, 28, 82, 7, 7, 9, 91, 90, 95, 93, 93, 91, 78, 74, 95, 67, 61, 18, 87, 17, 30, 18, 29, 20, 20, 31, 31, 88, 60, 81, 15, 15
INVAR-1, Run: 096, F, 1, 0, 3, 0, 1, 1, 1, 1, 1, 4, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 117, 11, 109, 106, 105, 293, 289, 344, 209, 45, 28, 116, 24, 134, 22, 31, 44, 83, 29, 29, 25, 108, 117, 86, 86, 120, 120, 116, 116, 105, 62, 72, 23, 112, 23, 37, 20, 45, 23, 22, 35, 35, 96, 52, 99, 17, 16
INVAR-1, Run: 097, F, 0, 0, 4, 1, 1, 2, 0, 2, 0, 3, 0, 4, 0, 0, 2, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 3, 95, 6, 94, 93, 93, 182, 179, 188, 113, 32, 10, 93, 7, 75, 8, 15, 39, 86, 11, 11, 8, 94, 116, 102, 101, 106, 106, 88, 87, 65, 37, 34, 15, 111, 15, 16, 21, 30, 24, 24, 18, 18, 98, 55, 90, 5, 5
INVAR-1, Run: 098, F, 0, 1, 7, 0, 1, 3, 0, 3, 3, 5, 2, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 1, 0, 0, 1, 6, 101, 19, 91, 95, 92, 267, 262, 285, 169, 51, 28, 98, 22, 114, 27, 31, 47, 82, 7, 7, 8, 90, 130, 94, 92, 104, 104, 107, 106, 117, 59, 77, 8, 124, 8, 38, 17, 64, 24, 24, 38, 38, 113, 66, 75, 18, 18
INVAR-1, Run: 099, F, 0, 0, 5, 0, 1, 1, 0, 2, 2, 6, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 4, 97, 13, 115, 87, 85, 244, 238, 195, 112, 46, 23, 96, 19, 82, 21, 25, 30, 71, 25, 24, 20, 90, 90, 82, 82, 99, 99, 138, 137, 105, 75, 65, 41, 86, 40, 36, 20, 34, 25, 25, 29, 29, 78, 48, 104, 15, 15
INVAR-1, Run: 100, F, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 102, 23, 92, 105, 105, 104, 104, 107, 57, 47, 13, 101, 12, 47, 23, 23, 22, 85, 14, 14, 18, 103, 93, 100, 99, 82, 81, 63, 63, 79, 57, 53, 5, 92, 5, 29, 23, 23, 24, 24, 24, 24, 86, 64, 69, 12, 12
