Input Number, Run_Number, Result@ 100, predator_mrna533, prey_g616, prey_Q2a, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_mrna617, prey_Q1b, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 055, P, 0, 0, 0, 1, 1, 0, 0, 1, 2, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 94, 0, 89, 81, 81, 102, 100, 109, 73, 62, 0, 93, 0, 36, 30, 1, 18, 86, 0, 0, 0, 86, 89, 62, 62, 1, 1, 0, 0, 0, 1, 1, 0, 89, 0, 0, 32, 0, 32, 32, 1, 1, 88, 68, 90, 0, 0
INVAR-1, Run: 056, P, 1, 0, 0, 1, 1, 0, 4, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 109, 3, 102, 103, 99, 117, 116, 105, 66, 77, 9, 108, 9, 39, 43, 2, 26, 111, 0, 0, 0, 110, 109, 111, 109, 3, 3, 2, 2, 3, 4, 4, 0, 107, 0, 2, 34, 0, 34, 34, 2, 2, 104, 78, 101, 4, 4
INVAR-1, Run: 057, P, 3, 0, 0, 1, 2, 0, 0, 1, 1, 0, 1, 2, 0, 1, 0, 1, 1, 0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 116, 0, 103, 78, 78, 107, 106, 115, 88, 75, 0, 114, 0, 27, 38, 2, 38, 107, 0, 0, 0, 106, 111, 116, 114, 1, 1, 0, 0, 0, 0, 2, 0, 110, 0, 0, 33, 1, 35, 34, 2, 2, 102, 63, 107, 0, 0
INVAR-1, Run: 058, P, 4, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 109, 2, 103, 89, 88, 87, 86, 104, 71, 78, 8, 109, 8, 33, 35, 4, 28, 105, 0, 0, 0, 105, 90, 116, 112, 2, 2, 4, 4, 8, 5, 11, 0, 90, 0, 7, 43, 4, 43, 43, 4, 4, 92, 64, 106, 3, 3
INVAR-1, Run: 059, P, 2, 0, 0, 1, 2, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 93, 0, 102, 135, 133, 105, 105, 106, 61, 84, 0, 91, 0, 45, 41, 0, 25, 90, 0, 0, 0, 88, 95, 98, 97, 1, 1, 2, 2, 0, 0, 0, 0, 95, 0, 0, 43, 1, 43, 43, 0, 0, 117, 91, 105, 0, 0
INVAR-1, Run: 060, P, 1, 0, 0, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 1, 106, 0, 102, 111, 110, 112, 111, 110, 68, 72, 0, 104, 0, 41, 36, 0, 32, 84, 0, 0, 0, 83, 95, 102, 101, 0, 0, 0, 0, 0, 1, 0, 0, 94, 0, 0, 34, 0, 36, 34, 0, 0, 107, 75, 104, 0, 0
INVAR-1, Run: 061, P, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 1, 107, 0, 107, 103, 103, 117, 116, 109, 66, 89, 0, 107, 0, 43, 39, 0, 37, 101, 0, 0, 0, 101, 119, 84, 82, 0, 0, 0, 0, 0, 1, 0, 0, 119, 0, 0, 49, 0, 50, 50, 0, 0, 121, 84, 108, 0, 0
INVAR-1, Run: 062, P, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 90, 0, 104, 122, 122, 96, 95, 116, 68, 52, 0, 89, 0, 47, 29, 2, 23, 102, 0, 0, 0, 101, 95, 112, 111, 3, 3, 4, 4, 5, 5, 2, 0, 94, 0, 0, 23, 1, 23, 23, 2, 2, 106, 83, 106, 0, 0
INVAR-1, Run: 063, P, 3, 0, 0, 1, 2, 0, 2, 1, 2, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 101, 0, 102, 93, 91, 117, 115, 108, 76, 35, 1, 99, 1, 31, 17, 7, 24, 108, 1, 1, 0, 106, 85, 126, 125, 10, 10, 15, 15, 9, 6, 11, 2, 85, 2, 4, 18, 4, 18, 18, 7, 7, 69, 45, 106, 0, 0
INVAR-1, Run: 064, P, 1, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 107, 0, 96, 116, 114, 102, 101, 97, 49, 76, 0, 107, 0, 48, 39, 0, 12, 107, 2, 2, 1, 105, 119, 114, 113, 6, 6, 3, 3, 5, 2, 2, 1, 119, 1, 2, 37, 4, 37, 37, 0, 0, 103, 91, 98, 0, 0
INVAR-1, Run: 065, P, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 101, 0, 95, 116, 115, 88, 88, 72, 42, 104, 0, 101, 0, 30, 45, 1, 30, 102, 0, 0, 0, 100, 97, 102, 100, 4, 4, 2, 2, 5, 6, 3, 2, 96, 2, 2, 59, 0, 59, 59, 1, 1, 104, 74, 97, 0, 0
INVAR-1, Run: 066, P, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 106, 0, 96, 105, 103, 98, 97, 99, 63, 102, 2, 106, 2, 36, 39, 4, 25, 99, 2, 2, 6, 105, 137, 113, 112, 3, 3, 4, 4, 10, 10, 9, 3, 136, 3, 5, 61, 1, 62, 62, 4, 4, 127, 102, 97, 1, 1
INVAR-1, Run: 067, P, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 91, 0, 93, 86, 86, 97, 97, 100, 59, 57, 0, 90, 0, 41, 17, 0, 23, 96, 0, 0, 0, 96, 84, 89, 89, 0, 0, 0, 0, 0, 1, 0, 0, 84, 0, 0, 40, 0, 40, 40, 0, 0, 80, 57, 95, 0, 0
INVAR-1, Run: 068, P, 3, 0, 0, 1, 0, 0, 4, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 100, 0, 80, 69, 65, 104, 103, 108, 76, 60, 0, 100, 0, 32, 29, 1, 31, 87, 0, 0, 0, 86, 88, 81, 79, 0, 0, 0, 0, 0, 1, 4, 0, 88, 0, 3, 31, 0, 31, 31, 1, 1, 93, 62, 84, 0, 0
INVAR-1, Run: 069, P, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 102, 0, 103, 106, 106, 107, 106, 99, 64, 72, 0, 102, 0, 34, 36, 0, 27, 108, 0, 0, 0, 106, 111, 123, 123, 1, 1, 2, 2, 0, 1, 0, 0, 110, 0, 0, 35, 0, 36, 35, 0, 0, 93, 66, 105, 0, 0
INVAR-1, Run: 070, P, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 112, 0, 103, 87, 86, 94, 93, 85, 55, 77, 0, 111, 0, 29, 31, 0, 29, 112, 0, 0, 0, 109, 83, 128, 126, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 45, 1, 45, 45, 0, 0, 98, 68, 105, 0, 0
INVAR-1, Run: 071, P, 0, 0, 0, 1, 0, 0, 1, 1, 3, 3, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 101, 0, 96, 79, 78, 92, 89, 95, 55, 48, 0, 101, 0, 37, 24, 0, 16, 117, 0, 0, 0, 116, 95, 133, 132, 0, 0, 0, 0, 0, 1, 0, 0, 94, 0, 0, 24, 0, 24, 24, 0, 0, 74, 58, 97, 0, 0
INVAR-1, Run: 072, P, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 1, 3, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 95, 0, 102, 111, 111, 91, 89, 85, 55, 95, 0, 95, 0, 29, 43, 3, 23, 107, 0, 0, 0, 106, 88, 87, 86, 2, 2, 4, 4, 5, 3, 3, 0, 88, 0, 0, 49, 3, 49, 49, 3, 3, 108, 84, 103, 0, 0
INVAR-1, Run: 073, P, 1, 0, 0, 1, 3, 0, 1, 1, 0, 0, 3, 2, 0, 1, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 1, 100, 0, 100, 92, 91, 98, 98, 116, 66, 77, 0, 97, 0, 50, 40, 0, 35, 111, 0, 0, 0, 110, 114, 117, 115, 0, 0, 0, 0, 0, 1, 0, 0, 113, 0, 0, 34, 0, 35, 34, 0, 0, 109, 71, 102, 0, 0
INVAR-1, Run: 074, P, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 6, 0, 0, 0, 0, 1, 0, 1, 1, 127, 0, 87, 88, 88, 100, 100, 91, 49, 74, 0, 125, 0, 42, 29, 0, 40, 100, 0, 0, 0, 99, 134, 124, 118, 0, 0, 0, 0, 0, 1, 2, 0, 133, 0, 2, 44, 0, 45, 44, 0, 0, 118, 78, 88, 0, 0
INVAR-1, Run: 075, P, 1, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 107, 0, 107, 101, 99, 96, 95, 92, 48, 91, 0, 107, 0, 44, 42, 1, 34, 90, 0, 0, 0, 90, 105, 84, 84, 4, 4, 6, 6, 3, 3, 5, 0, 104, 0, 4, 46, 1, 48, 48, 1, 1, 115, 81, 109, 0, 0
INVAR-1, Run: 076, P, 2, 0, 0, 1, 1, 0, 3, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 106, 10, 90, 99, 96, 110, 109, 99, 65, 77, 6, 105, 6, 34, 42, 1, 28, 96, 0, 0, 0, 95, 108, 96, 94, 0, 0, 0, 0, 0, 1, 1, 0, 107, 0, 0, 35, 0, 35, 35, 1, 1, 103, 75, 83, 7, 7
INVAR-1, Run: 077, P, 2, 0, 0, 1, 2, 0, 2, 1, 3, 5, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 95, 0, 78, 86, 84, 109, 106, 124, 79, 39, 0, 93, 0, 40, 23, 0, 25, 97, 0, 0, 0, 97, 91, 98, 98, 0, 0, 0, 0, 0, 1, 0, 0, 89, 0, 0, 16, 0, 16, 16, 0, 0, 73, 48, 81, 0, 0
INVAR-1, Run: 078, P, 1, 0, 0, 1, 3, 0, 1, 1, 0, 0, 1, 2, 0, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 111, 0, 102, 84, 83, 97, 97, 106, 59, 53, 0, 108, 0, 47, 25, 0, 26, 95, 0, 0, 0, 94, 133, 118, 118, 1, 1, 1, 1, 0, 0, 0, 0, 129, 0, 0, 26, 1, 26, 26, 0, 0, 100, 73, 104, 0, 0
INVAR-1, Run: 079, P, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 111, 0, 89, 82, 82, 96, 96, 96, 70, 94, 0, 110, 0, 26, 38, 0, 47, 113, 0, 0, 0, 113, 118, 131, 131, 0, 0, 0, 0, 0, 1, 1, 0, 117, 0, 1, 56, 0, 56, 56, 0, 0, 114, 67, 90, 0, 0
INVAR-1, Run: 080, P, 2, 0, 0, 1, 1, 0, 1, 1, 1, 1, 2, 1, 0, 4, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 106, 21, 95, 86, 85, 101, 100, 86, 58, 111, 8, 105, 8, 27, 55, 3, 39, 92, 0, 0, 0, 91, 106, 91, 90, 8, 8, 24, 24, 14, 6, 5, 0, 102, 0, 2, 55, 9, 55, 55, 3, 3, 113, 72, 77, 10, 10
INVAR-1, Run: 081, P, 1, 0, 0, 1, 2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 100, 0, 107, 94, 93, 92, 92, 110, 50, 49, 0, 98, 0, 59, 26, 0, 18, 97, 0, 0, 0, 95, 108, 82, 82, 4, 4, 0, 0, 1, 2, 0, 0, 108, 0, 0, 23, 0, 23, 23, 0, 0, 78, 60, 109, 0, 0
INVAR-1, Run: 082, P, 1, 0, 0, 1, 2, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 104, 0, 99, 95, 93, 109, 109, 104, 63, 70, 0, 102, 0, 41, 37, 0, 27, 112, 0, 0, 0, 111, 118, 113, 111, 3, 3, 2, 2, 2, 1, 0, 0, 117, 0, 0, 33, 2, 33, 33, 0, 0, 103, 76, 101, 0, 0
INVAR-1, Run: 083, P, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 84, 4, 94, 88, 88, 99, 98, 117, 77, 62, 6, 83, 6, 40, 35, 3, 17, 94, 0, 0, 0, 92, 62, 105, 104, 2, 2, 5, 5, 2, 1, 4, 0, 62, 0, 1, 27, 2, 27, 27, 3, 3, 71, 53, 92, 4, 4
INVAR-1, Run: 084, P, 1, 0, 0, 1, 1, 0, 3, 1, 0, 0, 1, 0, 0, 2, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 94, 0, 91, 71, 68, 93, 93, 98, 57, 43, 0, 93, 0, 41, 20, 0, 20, 83, 0, 0, 0, 81, 89, 88, 87, 1, 1, 0, 0, 0, 1, 0, 0, 87, 0, 0, 23, 0, 23, 23, 0, 0, 77, 56, 93, 0, 0
INVAR-1, Run: 085, P, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 101, 0, 81, 72, 71, 95, 94, 82, 61, 51, 2, 101, 2, 21, 19, 1, 20, 103, 1, 1, 0, 102, 76, 106, 105, 1, 1, 1, 1, 5, 6, 1, 1, 76, 1, 0, 32, 0, 32, 32, 1, 1, 80, 60, 82, 1, 1
INVAR-1, Run: 086, P, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 103, 0, 84, 100, 100, 102, 101, 102, 57, 77, 0, 102, 0, 44, 32, 0, 24, 106, 0, 0, 0, 105, 100, 93, 88, 3, 3, 3, 3, 2, 0, 0, 0, 100, 0, 0, 45, 3, 45, 45, 0, 0, 116, 92, 85, 0, 0
INVAR-1, Run: 087, P, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 101, 0, 103, 111, 111, 110, 110, 96, 59, 63, 0, 100, 0, 37, 32, 0, 17, 117, 0, 0, 0, 115, 89, 113, 113, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 30, 1, 31, 30, 0, 0, 80, 62, 105, 0, 0
INVAR-1, Run: 088, P, 1, 0, 0, 1, 3, 0, 2, 1, 2, 0, 2, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 1, 101, 0, 102, 124, 122, 107, 105, 104, 65, 91, 0, 98, 0, 39, 47, 0, 33, 73, 0, 0, 0, 73, 108, 53, 52, 0, 0, 0, 0, 0, 1, 0, 0, 106, 0, 0, 41, 0, 44, 42, 0, 0, 114, 79, 104, 0, 0
INVAR-1, Run: 089, P, 1, 0, 0, 1, 2, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 106, 0, 106, 137, 136, 83, 83, 63, 31, 103, 0, 104, 0, 32, 48, 1, 24, 111, 0, 0, 0, 108, 116, 84, 82, 0, 0, 0, 0, 0, 1, 1, 0, 116, 0, 0, 55, 0, 55, 55, 1, 1, 133, 108, 108, 0, 0
INVAR-1, Run: 090, P, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 98, 0, 95, 86, 86, 101, 101, 96, 66, 88, 0, 97, 0, 30, 49, 1, 24, 103, 0, 0, 0, 102, 104, 93, 93, 4, 4, 7, 7, 7, 2, 2, 2, 102, 2, 1, 38, 6, 39, 38, 1, 1, 101, 77, 96, 0, 0
INVAR-1, Run: 091, P, 3, 0, 0, 1, 2, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 116, 0, 111, 99, 98, 97, 97, 91, 53, 70, 1, 114, 1, 38, 39, 2, 30, 90, 0, 0, 0, 90, 103, 102, 102, 3, 3, 8, 8, 6, 2, 2, 0, 102, 0, 0, 30, 5, 31, 31, 2, 2, 106, 75, 115, 0, 0
INVAR-1, Run: 092, P, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 93, 0, 106, 85, 85, 108, 106, 101, 70, 49, 0, 93, 0, 30, 21, 0, 29, 80, 0, 0, 0, 78, 95, 106, 105, 2, 2, 1, 1, 0, 0, 2, 0, 95, 0, 2, 28, 1, 28, 28, 0, 0, 89, 60, 107, 0, 0
INVAR-1, Run: 093, P, 1, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 103, 0, 96, 92, 90, 101, 100, 120, 84, 57, 0, 102, 0, 36, 30, 3, 25, 104, 0, 0, 0, 100, 78, 117, 117, 4, 4, 2, 2, 4, 5, 6, 0, 77, 0, 3, 27, 0, 27, 27, 3, 3, 90, 65, 98, 0, 0
INVAR-1, Run: 094, P, 2, 0, 0, 1, 1, 0, 1, 1, 1, 2, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 88, 0, 102, 110, 109, 86, 85, 93, 60, 50, 0, 87, 0, 31, 23, 0, 22, 94, 0, 0, 0, 94, 93, 104, 104, 0, 0, 0, 0, 0, 1, 0, 0, 92, 0, 0, 26, 0, 27, 26, 0, 0, 84, 61, 105, 0, 0
INVAR-1, Run: 095, P, 0, 0, 0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 93, 7, 108, 85, 85, 114, 113, 93, 59, 51, 7, 91, 7, 34, 26, 1, 28, 92, 0, 0, 0, 90, 74, 92, 90, 1, 1, 0, 0, 0, 0, 1, 0, 74, 0, 0, 25, 1, 25, 25, 1, 1, 68, 40, 102, 7, 7
INVAR-1, Run: 096, P, 2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 96, 6, 89, 94, 94, 104, 103, 93, 61, 71, 1, 96, 1, 32, 29, 2, 18, 99, 0, 0, 0, 99, 83, 88, 87, 6, 6, 7, 7, 5, 4, 5, 0, 82, 0, 3, 42, 2, 42, 42, 2, 2, 72, 52, 86, 1, 1
INVAR-1, Run: 097, P, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 97, 0, 90, 119, 119, 95, 94, 81, 49, 77, 0, 97, 0, 31, 40, 0, 19, 85, 0, 0, 0, 85, 83, 76, 75, 0, 0, 0, 0, 0, 1, 0, 0, 83, 0, 0, 37, 0, 37, 37, 0, 0, 87, 68, 91, 0, 0
INVAR-1, Run: 098, P, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 2, 1, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 1, 103, 12, 93, 86, 86, 107, 105, 92, 57, 75, 5, 103, 5, 35, 31, 1, 31, 101, 0, 0, 0, 101, 96, 73, 72, 0, 0, 0, 0, 0, 1, 1, 0, 94, 0, 0, 41, 0, 43, 43, 1, 1, 109, 76, 82, 11, 11
INVAR-1, Run: 099, P, 2, 0, 0, 1, 3, 0, 1, 1, 3, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 81, 0, 86, 77, 76, 116, 113, 119, 83, 60, 0, 78, 0, 34, 38, 0, 29, 94, 0, 0, 0, 94, 71, 107, 107, 1, 1, 0, 0, 0, 1, 0, 0, 70, 0, 0, 22, 0, 22, 22, 0, 0, 83, 54, 89, 0, 0
INVAR-1, Run: 100, P, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 102, 0, 90, 92, 91, 95, 95, 73, 37, 98, 0, 100, 0, 36, 40, 0, 21, 100, 0, 0, 0, 98, 121, 113, 112, 3, 3, 2, 2, 6, 4, 1, 0, 121, 0, 1, 56, 3, 58, 57, 0, 0, 121, 100, 91, 0, 0
