Input Number, Run_Number, Result@ 100, au, ACuAEX1, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 011, P, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 46, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 7, 1, 0, 8, 0, 0, 20, 5, 21, 6, 1, 1, 15, 1, 0, 14, 1, 16, 2, 1, 1, 0, 6, 2, 0, 10, 1, 13, 2, 1, 0, 0, 0, 0, 8, 2, 9, 3, 1, 15, 0, 0, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 9, 0, 0, 1, 0, 0, 0, 55, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 1, 0, 9, 0, 0, 2, 1, 4, 2, 2, 1, 15, 3, 0, 48, 15, 52, 16, 1, 1, 0, 9, 0, 0, 3, 1, 4, 2, 1, 0, 0, 1, 0, 15, 3, 15, 3, 0, 15, 3, 0, 10, 0, 2, 14, 3, 1, 1, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 013, P, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 9, 1, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 5, 2, 0, 7, 0, 0, 0, 0, 3, 1, 1, 1, 15, 3, 0, 25, 4, 29, 5, 1, 1, 0, 9, 0, 0, 7, 3, 8, 3, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 18, 0, 0, 6, 8, 0, 7, 1, 1, 1, 1, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 55, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 7, 1, 1, 7, 1, 1, 12, 2, 16, 5, 2, 1, 16, 2, 0, 12, 2, 15, 3, 1, 1, 0, 9, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 10, 1, 11, 2, 1, 18, 0, 0, 30, 1, 9, 31, 10, 1, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 1, 0, 8, 1, 0, 9, 1, 12, 2, 1, 1, 14, 4, 0, 6, 1, 11, 2, 1, 1, 0, 8, 1, 0, 20, 4, 22, 5, 1, 0, 0, 2, 0, 24, 3, 25, 4, 1, 14, 4, 0, 11, 0, 2, 16, 3, 1, 1, 1, 1, 1, 7, 0, 4, 0, 24, 1, 0, 0, 0, 0, 0, 0, 0, 1, 18, 1, 19, 1, 0, 2, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 55, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 9, 0, 0, 9, 0, 0, 20, 3, 20, 4, 1, 1, 16, 2, 0, 4, 2, 7, 3, 1, 1, 1, 9, 0, 0, 2, 1, 3, 2, 1, 0, 0, 3, 0, 12, 1, 13, 2, 1, 15, 1, 2, 0, 0, 0, 4, 3, 1, 1, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 55, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 8, 1, 0, 9, 0, 0, 14, 3, 15, 4, 2, 1, 17, 1, 0, 7, 1, 9, 2, 1, 1, 0, 9, 0, 0, 10, 2, 11, 3, 1, 0, 0, 12, 0, 12, 4, 13, 5, 1, 17, 0, 1, 4, 1, 2, 6, 4, 1, 1, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 17, 9, 0, 0, 9, 0, 0, 16, 4, 17, 5, 1, 1, 16, 2, 0, 10, 2, 13, 3, 1, 1, 0, 9, 0, 0, 0, 0, 1, 1, 1, 0, 0, 3, 0, 14, 4, 15, 5, 1, 14, 3, 1, 5, 1, 0, 10, 2, 1, 1, 1, 1, 1, 3, 1, 5, 0, 26, 2, 0, 0, 0, 0, 0, 0, 0, 2, 16, 3, 20, 4, 1, 5, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 55, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 9, 0, 0, 8, 1, 0, 27, 7, 28, 8, 1, 1, 16, 2, 0, 17, 3, 20, 4, 1, 1, 0, 9, 0, 0, 8, 0, 9, 1, 1, 0, 0, 10, 0, 5, 2, 6, 3, 1, 16, 2, 0, 3, 0, 1, 6, 2, 1, 1, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 55, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 9, 0, 0, 8, 1, 0, 1, 0, 2, 1, 1, 1, 14, 3, 1, 14, 4, 19, 6, 1, 1, 0, 9, 0, 0, 3, 1, 4, 2, 1, 0, 0, 20, 0, 10, 0, 11, 1, 1, 15, 3, 0, 16, 3, 4, 20, 5, 1, 1, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16, 8, 1, 0, 8, 1, 0, 9, 6, 12, 7, 2, 1, 16, 2, 0, 1, 0, 4, 1, 1, 1, 0, 9, 0, 0, 3, 0, 4, 1, 1, 0, 0, 9, 0, 38, 6, 39, 7, 1, 16, 2, 0, 13, 0, 3, 16, 4, 1, 1, 1, 1, 1, 5, 0, 12, 0, 22, 4, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 6, 3, 1, 4, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 55, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 9, 0, 0, 8, 1, 0, 6, 0, 7, 1, 0, 1, 16, 2, 0, 3, 0, 6, 1, 1, 1, 0, 8, 1, 0, 12, 1, 14, 2, 1, 0, 0, 0, 0, 25, 6, 26, 7, 1, 17, 0, 1, 11, 0, 4, 13, 6, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 55, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 8, 1, 0, 7, 1, 1, 13, 1, 16, 3, 2, 1, 16, 2, 0, 5, 1, 8, 2, 1, 1, 0, 9, 0, 0, 27, 6, 28, 7, 1, 0, 0, 2, 0, 27, 7, 28, 8, 1, 17, 1, 0, 12, 1, 2, 14, 3, 1, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 0, 0, 0, 0, 0, 1, 54, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 1, 0, 8, 1, 0, 15, 2, 18, 3, 1, 1, 18, 0, 0, 12, 1, 13, 2, 1, 1, 0, 9, 0, 0, 2, 0, 3, 1, 1, 0, 0, 3, 0, 15, 1, 16, 2, 1, 18, 0, 0, 55, 2, 7, 56, 7, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 17, 9, 0, 0, 8, 1, 0, 27, 7, 29, 8, 1, 1, 16, 1, 1, 32, 4, 35, 6, 1, 1, 0, 9, 0, 0, 12, 2, 13, 3, 1, 0, 0, 14, 0, 1, 1, 2, 2, 1, 18, 0, 0, 2, 1, 0, 3, 1, 1, 1, 1, 1, 1, 7, 1, 16, 0, 26, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3, 2, 6, 3, 0, 1, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 16, 9, 0, 0, 9, 0, 0, 1, 3, 2, 4, 2, 1, 16, 1, 1, 2, 0, 5, 2, 1, 1, 0, 9, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 3, 1, 1, 17, 1, 0, 13, 0, 2, 15, 3, 1, 1, 1, 1, 1, 7, 0, 3, 0, 31, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 4, 1, 1, 2, 0, 0, 22, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 55, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 9, 0, 0, 8, 1, 0, 7, 2, 8, 3, 1, 1, 14, 4, 0, 8, 0, 13, 1, 1, 1, 0, 8, 1, 0, 10, 4, 12, 5, 1, 0, 0, 15, 0, 4, 0, 5, 1, 1, 16, 2, 0, 32, 5, 4, 35, 5, 1, 1, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
