Input Number, Run_Number, Result@ 100, X, XP, Z, Y, YP, Reaction1, Reaction2, Reaction3
INVAR-10, Run: 037, P, 0, 42, 4973, 50, 0, 42, 4931, 0
INVAR-10, Run: 038, P, 0, 42, 5077, 50, 0, 42, 5035, 0
INVAR-10, Run: 039, P, 0, 42, 5064, 50, 0, 42, 5022, 0
INVAR-10, Run: 040, P, 0, 42, 5030, 50, 0, 42, 4988, 0
INVAR-10, Run: 041, P, 0, 42, 5077, 50, 0, 42, 5035, 0
INVAR-10, Run: 042, P, 0, 42, 4964, 50, 0, 42, 4922, 0
INVAR-10, Run: 043, P, 0, 42, 4955, 50, 0, 42, 4913, 0
INVAR-10, Run: 044, P, 0, 42, 5015, 50, 0, 42, 4973, 0
INVAR-10, Run: 045, P, 0, 42, 5083, 50, 0, 42, 5041, 0
INVAR-10, Run: 046, P, 0, 42, 4995, 50, 0, 42, 4953, 0
INVAR-10, Run: 047, P, 0, 42, 4898, 50, 0, 42, 4856, 0
INVAR-10, Run: 048, P, 0, 42, 4998, 50, 0, 42, 4956, 0
INVAR-10, Run: 049, P, 0, 42, 5053, 50, 0, 42, 5011, 0
INVAR-10, Run: 050, P, 0, 42, 4992, 50, 0, 42, 4950, 0
INVAR-10, Run: 051, P, 0, 42, 5111, 50, 0, 42, 5069, 0
INVAR-10, Run: 052, P, 0, 42, 5027, 50, 0, 42, 4985, 0
INVAR-10, Run: 053, P, 0, 42, 5010, 50, 0, 42, 4968, 0
INVAR-10, Run: 054, P, 0, 42, 5081, 50, 0, 42, 5039, 0
INVAR-10, Run: 055, P, 0, 42, 5137, 50, 0, 42, 5095, 0
INVAR-10, Run: 056, P, 0, 42, 5158, 50, 0, 42, 5116, 0
INVAR-10, Run: 057, P, 0, 42, 4941, 50, 0, 42, 4899, 0
INVAR-10, Run: 058, P, 0, 42, 4956, 50, 0, 42, 4914, 0
INVAR-10, Run: 059, P, 0, 42, 4936, 50, 0, 42, 4894, 0
INVAR-10, Run: 060, P, 0, 42, 5008, 50, 0, 42, 4966, 0
INVAR-10, Run: 061, P, 0, 42, 5092, 50, 0, 42, 5050, 0
INVAR-10, Run: 062, P, 0, 42, 5029, 50, 0, 42, 4987, 0
INVAR-10, Run: 063, P, 0, 42, 4954, 50, 0, 42, 4912, 0
INVAR-10, Run: 064, P, 0, 42, 5008, 50, 0, 42, 4966, 0
INVAR-10, Run: 065, P, 0, 42, 5104, 50, 0, 42, 5062, 0
INVAR-10, Run: 066, P, 0, 42, 5000, 50, 0, 42, 4958, 0
INVAR-10, Run: 067, P, 0, 42, 5001, 50, 0, 42, 4959, 0
INVAR-10, Run: 068, P, 0, 42, 4985, 50, 0, 42, 4943, 0
INVAR-10, Run: 069, P, 0, 42, 5030, 50, 0, 42, 4988, 0
INVAR-10, Run: 070, P, 0, 42, 5182, 50, 0, 42, 5140, 0
