Input Number, Run_Number, Result@ 100, CE, X1, H, M, PO, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 092, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 19, 198, 11, 9, 1, 11, 22, 33, 30, 198
INVAR-1, Run: 093, P, 6, 0, 0, 0, 0, 12, 0, 0, 1, 72, 0, 6, 24, 26, 343, 12, 4, 7, 12, 24, 36, 38, 343
INVAR-1, Run: 094, P, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1, 7, 25, 9, 305, 12, 8, 4, 12, 25, 37, 16, 381
INVAR-1, Run: 095, P, 4, 0, 0, 0, 0, 14, 0, 0, 1, 84, 0, 10, 28, 22, 455, 14, 10, 3, 14, 28, 42, 36, 455
INVAR-1, Run: 096, P, 0, 0, 1, 0, 1, 83, 5, 76, 0, 0, 1, 7, 25, 10, 171, 12, 9, 3, 12, 25, 37, 17, 247
INVAR-1, Run: 097, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 10, 185, 11, 9, 1, 11, 22, 33, 21, 185
INVAR-1, Run: 098, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 16, 70, 10, 5, 4, 10, 20, 30, 26, 70
INVAR-1, Run: 099, P, 8, 0, 0, 0, 0, 10, 0, 0, 1, 60, 0, 2, 20, 15, 141, 10, 6, 3, 10, 20, 30, 25, 141
INVAR-1, Run: 100, P, 7, 0, 0, 0, 0, 11, 0, 0, 1, 66, 0, 4, 22, 16, 216, 11, 9, 1, 11, 22, 33, 27, 216
INVAR-10, Run: 001, P, 57, 0, 0, 0, 0, 143, 0, 0, 1, 858, 0, 86, 286, 491, 12443, 143, 97, 45, 143, 286, 429, 634, 12443
INVAR-10, Run: 002, P, 0, 0, 1, 0, 1, 1013, 48, 910, 0, 0, 1, 103, 303, 530, 11631, 151, 106, 45, 151, 303, 454, 633, 12541
INVAR-10, Run: 003, P, 32, 0, 0, 0, 0, 168, 0, 0, 1, 1008, 0, 136, 336, 819, 23716, 168, 110, 57, 168, 336, 504, 987, 23716
INVAR-10, Run: 004, P, 27, 0, 0, 0, 0, 173, 0, 0, 1, 1038, 0, 146, 346, 837, 29708, 173, 108, 64, 173, 346, 519, 1010, 29708
INVAR-10, Run: 005, P, 0, 0, 1, 0, 1, 1061, 42, 946, 0, 0, 1, 115, 315, 582, 15424, 157, 89, 68, 157, 315, 472, 697, 16370
INVAR-10, Run: 006, P, 49, 0, 0, 0, 0, 151, 0, 0, 1, 906, 0, 102, 302, 534, 14601, 151, 99, 51, 151, 302, 453, 685, 14601
