Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 015, F, 24, 0, 0, 0, 0, 0, 0, 388, 676, 1, 0, 288, 200, 1831, 637, 100, 61, 38, 100, 200, 300, 2219, 925
INVAR-10, Run: 016, F, 18, 0, 0, 0, 0, 0, 0, 391, 682, 1, 0, 291, 200, 1787, 867, 100, 57, 42, 100, 200, 300, 2178, 1158
INVAR-10, Run: 017, F, 80, 0, 0, 0, 0, 0, 0, 360, 620, 1, 0, 260, 200, 2619, 812, 100, 59, 40, 100, 200, 300, 2979, 1072
INVAR-10, Run: 018, F, 42, 0, 0, 0, 0, 0, 0, 379, 658, 1, 0, 279, 200, 2002, 752, 100, 69, 30, 100, 200, 300, 2381, 1031
INVAR-10, Run: 019, F, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0, 298, 200, 2073, 723, 100, 51, 48, 100, 200, 300, 2471, 1021
INVAR-10, Run: 020, F, 32, 0, 0, 0, 0, 0, 0, 384, 668, 1, 0, 284, 200, 2054, 772, 100, 57, 42, 100, 200, 300, 2438, 1056
INVAR-10, Run: 021, F, 12, 0, 0, 0, 0, 0, 0, 394, 688, 1, 0, 294, 200, 2332, 823, 100, 67, 32, 100, 200, 300, 2726, 1117
INVAR-10, Run: 022, F, 8, 0, 0, 0, 0, 0, 0, 396, 692, 1, 0, 296, 200, 2414, 808, 100, 69, 30, 100, 200, 300, 2810, 1104
INVAR-10, Run: 023, F, 16, 0, 0, 0, 0, 0, 0, 392, 684, 1, 0, 292, 200, 2200, 834, 100, 66, 33, 100, 200, 300, 2592, 1126
INVAR-10, Run: 024, F, 14, 0, 0, 0, 0, 0, 0, 393, 686, 1, 0, 293, 200, 2204, 707, 100, 69, 30, 100, 200, 300, 2597, 1000
INVAR-10, Run: 025, F, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0, 298, 200, 2465, 882, 100, 69, 30, 100, 200, 300, 2863, 1180
INVAR-10, Run: 026, F, 16, 0, 0, 0, 0, 0, 0, 392, 684, 1, 0, 292, 200, 2165, 859, 100, 65, 34, 100, 200, 300, 2557, 1151
INVAR-10, Run: 027, F, 8, 0, 0, 0, 0, 0, 0, 396, 692, 1, 0, 296, 200, 2223, 881, 100, 67, 32, 100, 200, 300, 2619, 1177
INVAR-10, Run: 028, F, 30, 0, 0, 0, 0, 0, 0, 385, 670, 1, 0, 285, 200, 2306, 872, 100, 58, 41, 100, 200, 300, 2691, 1157
INVAR-10, Run: 029, F, 16, 0, 0, 0, 0, 0, 0, 392, 684, 1, 0, 292, 200, 2175, 855, 100, 59, 40, 100, 200, 300, 2567, 1147
INVAR-10, Run: 030, F, 22, 0, 0, 0, 0, 0, 0, 389, 678, 1, 0, 289, 200, 1787, 700, 100, 66, 33, 100, 200, 300, 2176, 989
INVAR-10, Run: 031, F, 16, 0, 0, 0, 0, 0, 0, 392, 684, 1, 0, 292, 200, 2310, 936, 100, 73, 26, 100, 200, 300, 2702, 1228
INVAR-10, Run: 032, F, 8, 0, 0, 0, 0, 0, 0, 396, 692, 1, 0, 296, 200, 3520, 1004, 100, 62, 37, 100, 200, 300, 3916, 1300
INVAR-10, Run: 033, F, 14, 0, 0, 0, 0, 0, 0, 393, 686, 1, 0, 293, 200, 2508, 948, 100, 63, 36, 100, 200, 300, 2901, 1241
INVAR-10, Run: 034, F, 98, 0, 0, 0, 0, 0, 0, 351, 602, 1, 0, 251, 200, 2322, 819, 100, 46, 53, 100, 200, 300, 2673, 1070
INVAR-10, Run: 035, F, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0, 295, 200, 3915, 940, 100, 64, 35, 100, 200, 300, 4310, 1235
INVAR-10, Run: 036, F, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0, 298, 200, 3309, 1056, 100, 58, 41, 100, 200, 300, 3707, 1354
INVAR-10, Run: 037, F, 84, 0, 0, 0, 0, 0, 0, 358, 616, 1, 0, 258, 200, 1958, 839, 100, 73, 26, 100, 200, 300, 2316, 1097
INVAR-10, Run: 038, F, 64, 0, 0, 0, 0, 0, 0, 368, 636, 1, 0, 268, 200, 1760, 734, 100, 69, 30, 100, 200, 300, 2128, 1002
INVAR-10, Run: 039, F, 26, 0, 0, 0, 0, 0, 0, 387, 674, 1, 0, 287, 200, 2079, 768, 100, 67, 32, 100, 200, 300, 2466, 1055
INVAR-10, Run: 040, F, 122, 0, 0, 0, 0, 0, 0, 339, 578, 1, 0, 239, 200, 1868, 786, 100, 63, 36, 100, 200, 300, 2207, 1025
INVAR-10, Run: 041, F, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0, 298, 200, 2724, 887, 100, 60, 39, 100, 200, 300, 3122, 1185
INVAR-10, Run: 042, F, 64, 0, 0, 0, 0, 0, 0, 368, 636, 1, 0, 268, 200, 2881, 990, 100, 65, 34, 100, 200, 300, 3249, 1258
