Input Number, Run_Number, Result@ 100, U, X2, X1, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-1, Run: 098, F, 0, 38, 0, 212, 159, 236, 395
INVAR-1, Run: 099, F, 0, 0, 38, 93, 417, 79, 496
INVAR-1, Run: 100, F, 0, 38, 0, 116, 28, 140, 168
INVAR-10, Run: 001, F, 0, 0, 12, 27, 32, 22, 54
INVAR-10, Run: 002, F, 0, 12, 0, 3, 3, 10, 13
INVAR-10, Run: 003, F, 0, 0, 12, 29, 28, 24, 52
INVAR-10, Run: 004, F, 0, 0, 12, 49, 23, 44, 67
INVAR-10, Run: 005, F, 0, 0, 12, 23, 22, 18, 40
INVAR-10, Run: 006, F, 0, 0, 12, 22, 22, 17, 39
INVAR-10, Run: 007, F, 0, 0, 12, 21, 36, 16, 52
INVAR-10, Run: 008, F, 0, 0, 12, 10, 11, 5, 16
INVAR-10, Run: 009, F, 0, 0, 12, 37, 43, 32, 75
INVAR-10, Run: 010, F, 0, 0, 12, 16, 30, 11, 41
INVAR-10, Run: 011, F, 0, 0, 12, 46, 38, 41, 79
INVAR-10, Run: 012, F, 0, 12, 0, 2, 2, 9, 11
INVAR-10, Run: 013, F, 0, 12, 0, 12, 0, 19, 19
INVAR-10, Run: 014, F, 0, 12, 0, 2, 2, 9, 11
INVAR-10, Run: 015, F, 0, 0, 12, 12, 20, 7, 27
INVAR-10, Run: 016, F, 0, 12, 0, 17, 22, 24, 46
INVAR-10, Run: 017, F, 0, 12, 0, 7, 1, 14, 15
INVAR-10, Run: 018, F, 0, 12, 0, 31, 18, 38, 56
INVAR-10, Run: 019, F, 0, 0, 12, 9, 10, 4, 14
INVAR-10, Run: 020, F, 0, 0, 12, 15, 57, 10, 67
INVAR-10, Run: 021, F, 0, 12, 0, 5, 3, 12, 15
INVAR-10, Run: 022, F, 0, 12, 0, 5, 1, 12, 13
INVAR-10, Run: 023, F, 0, 0, 12, 13, 32, 8, 40
INVAR-10, Run: 024, F, 0, 12, 0, 11, 4, 18, 22
INVAR-10, Run: 025, F, 0, 0, 12, 16, 21, 11, 32
INVAR-10, Run: 026, F, 0, 0, 12, 9, 26, 4, 30
INVAR-10, Run: 027, F, 0, 0, 12, 7, 59, 2, 61
INVAR-10, Run: 028, F, 0, 0, 12, 9, 28, 4, 32
INVAR-10, Run: 029, F, 0, 0, 12, 6, 6, 1, 7
INVAR-10, Run: 030, F, 0, 12, 0, 8, 7, 15, 22
INVAR-10, Run: 031, F, 0, 12, 0, 21, 20, 28, 48
INVAR-10, Run: 032, F, 0, 0, 12, 9, 26, 4, 30
INVAR-10, Run: 033, F, 0, 0, 12, 20, 19, 15, 34
INVAR-10, Run: 034, F, 0, 12, 0, 21, 6, 28, 34
INVAR-10, Run: 035, F, 0, 12, 0, 5, 3, 12, 15
INVAR-10, Run: 036, F, 0, 12, 0, 7, 3, 14, 17
