Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, Y, PE, CE, CO, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 081, P, 0, 0, 0, 0, 0, 5, 49, 1, 0, 0, 9, 0, 18, 49, 3, 3, 0, 9, 7, 1, 9, 9, 18, 28, 14
INVAR-1, Run: 082, P, 0, 0, 0, 0, 0, 16, 38, 1, 0, 0, 9, 0, 18, 38, 11, 11, 0, 9, 6, 2, 9, 9, 18, 134, 67
INVAR-1, Run: 083, P, 0, 0, 0, 0, 0, 7, 47, 1, 0, 0, 9, 0, 18, 47, 4, 4, 0, 9, 7, 1, 9, 9, 18, 32, 16
INVAR-1, Run: 084, P, 0, 0, 0, 0, 0, 3, 51, 1, 0, 0, 9, 0, 18, 51, 10, 10, 0, 9, 5, 3, 9, 9, 18, 42, 21
INVAR-1, Run: 085, P, 0, 0, 0, 0, 0, 5, 49, 1, 0, 0, 9, 0, 18, 49, 10, 10, 0, 9, 6, 2, 9, 9, 18, 30, 15
INVAR-1, Run: 086, P, 0, 0, 0, 0, 0, 17, 37, 1, 0, 0, 9, 0, 18, 37, 7, 7, 0, 9, 5, 3, 9, 9, 18, 82, 41
INVAR-1, Run: 087, P, 0, 0, 0, 0, 0, 10, 46, 1, 2, 0, 8, 0, 18, 44, 8, 6, 0, 9, 6, 2, 8, 9, 18, 48, 24
INVAR-1, Run: 088, P, 0, 0, 0, 0, 0, 24, 30, 1, 0, 0, 9, 0, 18, 30, 6, 6, 0, 9, 4, 4, 9, 9, 18, 146, 73
INVAR-1, Run: 089, P, 0, 0, 0, 0, 0, 7, 47, 1, 0, 0, 9, 0, 18, 47, 1, 1, 0, 9, 8, 0, 9, 9, 18, 44, 22
INVAR-1, Run: 090, P, 0, 0, 0, 0, 0, 7, 47, 1, 0, 0, 9, 0, 18, 47, 8, 8, 0, 9, 4, 4, 9, 9, 18, 36, 18
INVAR-1, Run: 091, P, 0, 0, 0, 0, 0, 2, 52, 1, 0, 0, 9, 0, 18, 52, 8, 8, 0, 9, 5, 3, 9, 9, 18, 30, 15
INVAR-1, Run: 092, P, 0, 0, 0, 0, 0, 2, 52, 1, 0, 0, 9, 0, 18, 52, 5, 5, 0, 9, 6, 2, 9, 9, 18, 38, 19
INVAR-1, Run: 093, P, 0, 0, 0, 0, 0, 21, 33, 1, 0, 0, 9, 0, 18, 33, 4, 4, 0, 9, 7, 1, 9, 9, 18, 10, 5
INVAR-1, Run: 094, P, 0, 0, 0, 0, 0, 4, 50, 1, 0, 0, 9, 0, 18, 50, 11, 11, 0, 9, 5, 3, 9, 9, 18, 18, 9
INVAR-1, Run: 095, P, 0, 0, 0, 0, 0, 10, 44, 1, 0, 0, 9, 0, 18, 44, 2, 2, 0, 9, 7, 1, 9, 9, 18, 36, 18
INVAR-1, Run: 096, P, 0, 0, 0, 0, 0, 7, 47, 1, 0, 0, 9, 0, 18, 47, 7, 7, 0, 9, 5, 3, 9, 9, 18, 36, 18
INVAR-1, Run: 097, P, 0, 0, 0, 0, 0, 15, 39, 1, 0, 0, 9, 0, 18, 39, 6, 6, 0, 9, 5, 3, 9, 9, 18, 44, 22
INVAR-1, Run: 098, P, 0, 0, 0, 0, 0, 6, 48, 1, 0, 0, 9, 0, 18, 48, 5, 5, 0, 9, 4, 4, 9, 9, 18, 26, 13
INVAR-1, Run: 099, P, 0, 0, 0, 0, 0, 14, 40, 1, 0, 0, 9, 0, 18, 40, 6, 6, 0, 9, 5, 3, 9, 9, 18, 96, 48
INVAR-1, Run: 100, P, 0, 0, 0, 0, 0, 1, 53, 1, 0, 0, 9, 0, 18, 53, 4, 4, 0, 9, 7, 1, 9, 9, 18, 42, 21
INVAR-10, Run: 001, P, 0, 0, 0, 0, 0, 2, 598, 1, 0, 0, 100, 0, 200, 598, 55, 55, 0, 100, 64, 35, 100, 100, 200, 644, 322
INVAR-10, Run: 002, P, 0, 0, 0, 0, 0, 51, 549, 1, 0, 0, 100, 0, 200, 549, 66, 66, 0, 100, 54, 45, 100, 100, 200, 640, 320
INVAR-10, Run: 003, P, 0, 0, 0, 0, 0, 66, 536, 1, 2, 0, 99, 0, 200, 534, 56, 54, 0, 100, 63, 36, 99, 100, 200, 690, 345
INVAR-10, Run: 004, P, 0, 0, 0, 0, 0, 17, 585, 1, 2, 0, 99, 0, 200, 583, 56, 54, 0, 100, 69, 30, 99, 100, 200, 616, 308
INVAR-10, Run: 005, P, 0, 0, 0, 0, 0, 34, 568, 1, 2, 0, 99, 0, 200, 566, 61, 59, 0, 100, 59, 40, 99, 100, 200, 574, 287
INVAR-10, Run: 006, P, 0, 0, 0, 0, 0, 53, 547, 1, 0, 0, 100, 0, 200, 547, 77, 77, 0, 100, 59, 40, 100, 100, 200, 568, 284
