Input Number, Run_Number, Result@ 1000, A, B, H, C, T4, T6, Y, L4, L1, L5, T1, T2, T3, T5, R, U, L2, D, L3
1, Run: 053, P, 10, 0, 0, 0, 0, 1, 100, 0, 0, 0, 2, 0, 0, 0, 1, 6, 0, 47, 0
1, Run: 054, P, 0, 10, 0, 0, 3, 1, 103, 0, 0, 0, 2, 1, 0, 0, 1, 6, 0, 43, 0
1, Run: 055, P, 0, 10, 0, 0, 1, 0, 108, 0, 0, 0, 1, 1, 0, 0, 1, 6, 0, 47, 0
1, Run: 056, P, 0, 0, 0, 10, 1, 0, 106, 0, 0, 0, 1, 1, 0, 1, 1, 6, 0, 46, 0
1, Run: 057, P, 0, 10, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 49, 0
1, Run: 058, P, 0, 10, 0, 0, 1, 1, 107, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 47, 0
1, Run: 059, P, 0, 10, 0, 0, 0, 0, 106, 0, 0, 0, 1, 0, 1, 0, 1, 6, 0, 48, 0
1, Run: 060, P, 0, 10, 0, 0, 0, 0, 103, 0, 0, 0, 2, 0, 1, 0, 1, 6, 0, 47, 0
1, Run: 061, P, 0, 0, 0, 10, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
1, Run: 062, P, 10, 0, 0, 0, 1, 0, 100, 0, 0, 0, 2, 2, 0, 1, 1, 6, 0, 44, 0
1, Run: 063, P, 0, 10, 0, 0, 1, 1, 104, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 47, 0
1, Run: 064, P, 0, 10, 0, 0, 0, 1, 106, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 48, 0
1, Run: 065, P, 0, 10, 0, 0, 1, 0, 106, 0, 0, 0, 0, 1, 0, 1, 1, 6, 0, 47, 0
1, Run: 066, P, 0, 0, 0, 10, 0, 2, 105, 0, 0, 0, 1, 1, 0, 1, 1, 6, 0, 45, 0
1, Run: 067, P, 0, 10, 0, 0, 0, 0, 106, 0, 0, 0, 1, 0, 0, 0, 1, 6, 0, 49, 0
1, Run: 068, P, 0, 10, 0, 0, 0, 1, 105, 0, 0, 0, 1, 0, 1, 1, 1, 6, 0, 46, 0
1, Run: 069, P, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 0, 1, 0, 1, 1, 6, 0, 48, 0
1, Run: 070, P, 0, 10, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
1, Run: 071, P, 0, 10, 0, 0, 0, 2, 104, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 47, 0
1, Run: 072, P, 0, 10, 0, 0, 0, 0, 109, 0, 0, 0, 1, 0, 0, 0, 1, 6, 0, 49, 0
1, Run: 073, P, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 49, 0
