Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B
INVAR-10, Run: 078, P, 6, 0, 0, 0, 0, 0, 0, 397, 694, 1, 0
INVAR-10, Run: 079, P, 8, 0, 0, 0, 0, 0, 0, 396, 692, 1, 0
INVAR-10, Run: 080, F, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0
INVAR-10, Run: 081, P, 74, 0, 0, 0, 0, 0, 0, 363, 626, 1, 0
INVAR-10, Run: 082, P, 52, 0, 0, 0, 0, 0, 0, 374, 648, 1, 0
INVAR-10, Run: 083, P, 112, 0, 0, 0, 0, 0, 0, 344, 588, 1, 0
INVAR-10, Run: 084, P, 44, 0, 0, 0, 0, 0, 0, 378, 656, 1, 0
INVAR-10, Run: 085, P, 46, 0, 0, 0, 0, 0, 0, 377, 654, 1, 0
INVAR-10, Run: 086, P, 126, 0, 0, 0, 0, 0, 0, 337, 574, 1, 0
INVAR-10, Run: 087, P, 76, 0, 0, 0, 0, 0, 0, 362, 624, 1, 0
INVAR-10, Run: 088, P, 12, 0, 0, 0, 0, 0, 0, 394, 688, 1, 0
INVAR-10, Run: 089, P, 26, 0, 0, 0, 0, 0, 0, 387, 674, 1, 0
INVAR-10, Run: 090, P, 8, 0, 0, 0, 0, 0, 0, 396, 692, 1, 0
INVAR-10, Run: 091, P, 52, 0, 0, 0, 0, 0, 0, 374, 648, 1, 0
INVAR-10, Run: 092, P, 92, 0, 0, 0, 0, 0, 0, 354, 608, 1, 0
INVAR-10, Run: 093, P, 46, 0, 0, 0, 0, 0, 0, 377, 654, 1, 0
INVAR-10, Run: 094, P, 76, 0, 0, 0, 0, 0, 0, 362, 624, 1, 0
INVAR-10, Run: 095, P, 88, 0, 0, 0, 0, 0, 0, 356, 612, 1, 0
INVAR-10, Run: 096, P, 30, 0, 0, 0, 0, 0, 0, 385, 670, 1, 0
INVAR-10, Run: 097, P, 78, 0, 0, 0, 0, 0, 0, 361, 622, 1, 0
INVAR-10, Run: 098, P, 24, 0, 0, 0, 0, 0, 0, 388, 676, 1, 0
INVAR-10, Run: 099, P, 96, 0, 0, 0, 0, 0, 0, 352, 604, 1, 0
INVAR-10, Run: 100, P, 38, 0, 0, 0, 0, 0, 0, 381, 662, 1, 0
INVAR-2, Run: 001, F, 4, 0, 0, 0, 0, 0, 0, 110, 192, 1, 0
INVAR-2, Run: 002, P, 44, 0, 0, 0, 0, 0, 0, 90, 152, 1, 0
INVAR-2, Run: 003, P, 42, 0, 0, 0, 0, 0, 0, 91, 154, 1, 0
INVAR-2, Run: 004, P, 22, 0, 0, 0, 0, 0, 0, 101, 174, 1, 0
INVAR-2, Run: 005, P, 10, 0, 0, 0, 0, 0, 0, 107, 186, 1, 0
INVAR-2, Run: 006, P, 8, 0, 0, 0, 0, 0, 0, 108, 188, 1, 0
INVAR-2, Run: 007, P, 60, 0, 0, 0, 0, 0, 0, 82, 136, 1, 0
