Input Number, Run_Number, Result@ 100, X, Y, Z
INVAR-10, Run: 047, P, 91, 0, 50
INVAR-10, Run: 048, P, 82, 0, 50
INVAR-10, Run: 049, P, 99, 0, 50
INVAR-10, Run: 050, P, 111, 0, 50
INVAR-10, Run: 051, P, 78, 0, 50
INVAR-10, Run: 052, P, 111, 0, 50
INVAR-10, Run: 053, P, 96, 0, 50
INVAR-10, Run: 054, P, 97, 0, 50
INVAR-10, Run: 055, P, 89, 0, 50
INVAR-10, Run: 056, P, 114, 0, 50
INVAR-10, Run: 057, P, 100, 0, 50
INVAR-10, Run: 058, P, 98, 0, 50
INVAR-10, Run: 059, P, 90, 0, 50
INVAR-10, Run: 060, P, 78, 0, 50
INVAR-10, Run: 061, P, 79, 0, 50
INVAR-10, Run: 062, P, 87, 0, 50
INVAR-10, Run: 063, P, 92, 0, 50
INVAR-10, Run: 064, P, 81, 0, 50
INVAR-10, Run: 065, P, 89, 0, 50
INVAR-10, Run: 066, P, 79, 0, 50
INVAR-10, Run: 067, P, 92, 0, 50
INVAR-10, Run: 068, P, 93, 0, 50
INVAR-10, Run: 069, P, 106, 0, 50
INVAR-10, Run: 070, P, 97, 0, 50
INVAR-10, Run: 071, P, 97, 0, 50
INVAR-10, Run: 072, P, 91, 0, 50
INVAR-10, Run: 073, P, 90, 0, 50
INVAR-10, Run: 074, P, 112, 0, 50
INVAR-10, Run: 075, P, 89, 0, 50
INVAR-10, Run: 076, P, 101, 0, 50
INVAR-10, Run: 077, P, 95, 0, 50
INVAR-10, Run: 078, P, 98, 0, 50
INVAR-10, Run: 079, P, 99, 0, 50
INVAR-10, Run: 080, P, 85, 0, 50
INVAR-10, Run: 081, P, 94, 0, 50
INVAR-10, Run: 082, P, 91, 0, 50
INVAR-10, Run: 083, P, 103, 0, 50
INVAR-10, Run: 084, P, 79, 0, 50
INVAR-10, Run: 085, P, 80, 0, 50
INVAR-10, Run: 086, P, 80, 0, 50
INVAR-10, Run: 087, P, 82, 0, 50
INVAR-10, Run: 088, P, 89, 0, 50
INVAR-10, Run: 089, P, 96, 0, 50
INVAR-10, Run: 090, P, 101, 0, 50
INVAR-10, Run: 091, P, 93, 0, 50
INVAR-10, Run: 092, P, 84, 0, 50
INVAR-10, Run: 093, P, 90, 0, 50
INVAR-10, Run: 094, P, 105, 0, 50
INVAR-10, Run: 095, P, 94, 0, 50
INVAR-10, Run: 096, P, 97, 0, 50
INVAR-10, Run: 097, P, 96, 0, 50
INVAR-10, Run: 098, P, 92, 0, 50
INVAR-10, Run: 099, P, 107, 0, 50
INVAR-10, Run: 100, P, 92, 0, 50
INVAR-11, Run: 001, P, 48, 0, 100
INVAR-11, Run: 002, P, 60, 0, 100
