Input Number, Run_Number, Result@ 100, X1, H, PO, CE, Y, D, CO, PE, A, M, B
10, Run: 053, F, 200, 10, 10, 26, 26, 1200, 0, 7, 0, 0, 0
10, Run: 054, F, 200, 11, 7, 29, 29, 1233, 0, 5, 0, 0, 0
10, Run: 055, F, 200, 13, 7, 36, 36, 1216, 0, 6, 0, 0, 0
10, Run: 056, F, 200, 8, 10, 30, 30, 1228, 0, 7, 0, 0, 0
10, Run: 057, F, 200, 11, 9, 21, 21, 1207, 0, 9, 0, 0, 0
10, Run: 058, F, 200, 8, 8, 39, 39, 1226, 0, 7, 0, 0, 0
10, Run: 059, F, 200, 11, 9, 31, 31, 1205, 0, 7, 0, 0, 0
10, Run: 060, F, 200, 12, 6, 29, 29, 1223, 0, 6, 0, 0, 0
10, Run: 061, F, 200, 22, 14, 37, 37, 1197, 0, 10, 0, 0, 0
10, Run: 062, F, 200, 10, 10, 28, 28, 1235, 0, 8, 0, 0, 0
10, Run: 063, F, 200, 6, 14, 14, 14, 1213, 0, 4, 0, 0, 0
10, Run: 064, F, 200, 12, 12, 24, 24, 1203, 0, 6, 0, 0, 0
10, Run: 065, F, 200, 9, 9, 26, 26, 1213, 0, 7, 0, 0, 0
10, Run: 066, F, 200, 10, 10, 33, 33, 1204, 0, 7, 0, 0, 0
10, Run: 067, F, 200, 10, 10, 31, 31, 1207, 0, 6, 0, 0, 0
10, Run: 068, F, 200, 8, 8, 37, 37, 1164, 0, 7, 0, 0, 0
10, Run: 069, F, 200, 10, 8, 27, 27, 1174, 0, 7, 0, 0, 0
10, Run: 070, F, 200, 10, 6, 47, 47, 1208, 0, 9, 0, 0, 0
10, Run: 071, F, 200, 11, 9, 24, 24, 1229, 0, 5, 0, 0, 0
10, Run: 072, F, 200, 10, 6, 34, 34, 1186, 0, 7, 0, 0, 0
10, Run: 073, F, 200, 11, 13, 28, 28, 1197, 0, 7, 0, 0, 0
10, Run: 074, F, 200, 13, 11, 28, 28, 1207, 0, 5, 0, 0, 0
10, Run: 075, F, 200, 15, 7, 37, 37, 1194, 0, 8, 0, 0, 0
10, Run: 076, F, 200, 11, 13, 21, 21, 1207, 0, 7, 0, 0, 0
10, Run: 077, F, 200, 16, 12, 30, 30, 1211, 0, 10, 0, 0, 0
10, Run: 078, F, 200, 7, 11, 25, 25, 1202, 0, 6, 0, 0, 0
10, Run: 079, F, 200, 8, 10, 24, 24, 1205, 0, 4, 0, 0, 0
10, Run: 080, F, 200, 9, 9, 29, 29, 1218, 0, 6, 0, 0, 0
10, Run: 081, F, 200, 9, 11, 22, 22, 1186, 0, 6, 0, 0, 0
10, Run: 082, F, 200, 12, 12, 25, 25, 1237, 0, 8, 0, 0, 0
10, Run: 083, F, 200, 7, 7, 39, 39, 1182, 0, 10, 0, 0, 0
10, Run: 084, F, 200, 8, 10, 23, 23, 1203, 0, 6, 0, 0, 0
10, Run: 085, F, 200, 8, 8, 31, 31, 1190, 0, 7, 0, 0, 0
10, Run: 086, F, 200, 10, 8, 38, 38, 1179, 0, 10, 0, 0, 0
10, Run: 087, F, 200, 7, 9, 31, 31, 1224, 0, 6, 0, 0, 0
10, Run: 088, F, 200, 10, 6, 47, 47, 1164, 0, 11, 0, 0, 0
10, Run: 089, F, 200, 9, 7, 41, 41, 1180, 0, 6, 0, 0, 0
