Input Number, Run_Number, Result@ 100, PO, E, F, X1, A, B, C, D, CO, Y, PE, CE, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-3, Run: 007, F, 0, 102, 0, 0, 0, 0, 0, 13, 459, 459, 0, 0, 20, 164, 2835, 44, 44, 2376, 72, 41, 31, 82, 92, 164, 4028, 2024
INVAR-3, Run: 008, F, 0, 100, 0, 0, 0, 0, 0, 474, 0, 0, 1, 0, 18, 164, 3129, 48, 48, 3129, 73, 47, 25, 82, 91, 164, 3278, 1648
INVAR-3, Run: 009, F, 0, 94, 0, 0, 0, 0, 0, 74, 406, 406, 0, 0, 12, 164, 2688, 55, 55, 2282, 76, 53, 23, 82, 88, 164, 3734, 1873
INVAR-3, Run: 010, F, 0, 98, 0, 0, 0, 0, 0, 23, 453, 453, 0, 0, 16, 164, 2934, 57, 57, 2481, 74, 54, 20, 82, 90, 164, 2814, 1415
INVAR-3, Run: 011, F, 0, 104, 0, 0, 0, 0, 0, 6, 464, 464, 0, 0, 22, 164, 3489, 49, 49, 3025, 71, 40, 31, 82, 93, 164, 3064, 1543
INVAR-3, Run: 012, F, 0, 102, 0, 0, 0, 0, 0, 472, 0, 0, 1, 0, 20, 164, 2149, 40, 40, 2149, 72, 44, 27, 82, 92, 164, 2990, 1505
INVAR-3, Run: 013, F, 0, 96, 0, 0, 0, 0, 0, 97, 381, 381, 0, 0, 14, 164, 2990, 42, 42, 2609, 75, 47, 28, 82, 89, 164, 4782, 2398
INVAR-3, Run: 014, F, 0, 98, 0, 0, 0, 0, 0, 476, 0, 0, 1, 0, 16, 164, 2739, 61, 61, 2739, 74, 41, 32, 82, 90, 164, 2776, 1396
INVAR-3, Run: 015, F, 0, 96, 0, 0, 0, 0, 0, 213, 265, 265, 0, 0, 14, 164, 3136, 56, 56, 2871, 75, 54, 21, 82, 89, 164, 4084, 2049
INVAR-3, Run: 016, F, 0, 104, 0, 0, 0, 0, 0, 444, 26, 26, 0, 0, 22, 164, 3136, 33, 33, 3110, 71, 45, 26, 82, 93, 164, 4180, 2101
INVAR-3, Run: 017, F, 0, 102, 0, 0, 0, 0, 0, 267, 205, 205, 0, 0, 20, 164, 2765, 57, 57, 2560, 72, 46, 26, 82, 92, 164, 5588, 2804
INVAR-3, Run: 018, F, 0, 100, 0, 0, 0, 0, 0, 20, 454, 454, 0, 0, 18, 164, 2846, 45, 45, 2392, 73, 47, 26, 82, 91, 164, 3452, 1735
INVAR-3, Run: 019, F, 0, 96, 0, 0, 0, 0, 0, 478, 0, 0, 1, 0, 14, 164, 3136, 49, 49, 3136, 75, 50, 24, 82, 89, 164, 4166, 2090
INVAR-3, Run: 020, F, 0, 102, 0, 0, 0, 0, 0, 27, 445, 445, 0, 0, 20, 164, 2813, 44, 44, 2368, 72, 37, 35, 82, 92, 164, 2524, 1272
INVAR-3, Run: 021, F, 0, 102, 0, 0, 0, 0, 0, 145, 327, 327, 0, 0, 20, 164, 3607, 40, 40, 3280, 72, 44, 28, 82, 92, 164, 4376, 2198
INVAR-3, Run: 022, F, 0, 95, 0, 0, 0, 0, 0, 478, 0, 2, 1, 2, 14, 164, 3237, 68, 66, 3237, 75, 40, 34, 81, 89, 164, 3886, 1950
INVAR-3, Run: 023, F, 0, 104, 0, 0, 0, 0, 0, 97, 373, 373, 0, 0, 22, 164, 2902, 48, 48, 2529, 71, 46, 25, 82, 93, 164, 3296, 1659
INVAR-3, Run: 024, F, 0, 96, 0, 0, 0, 0, 0, 478, 0, 0, 1, 0, 14, 164, 2309, 54, 54, 2309, 75, 46, 28, 82, 89, 164, 4528, 2271
INVAR-3, Run: 025, F, 0, 93, 0, 0, 0, 0, 0, 480, 0, 2, 1, 2, 12, 164, 2894, 70, 68, 2894, 76, 47, 28, 81, 88, 164, 4890, 2451
INVAR-3, Run: 026, F, 0, 100, 0, 0, 0, 0, 0, 395, 79, 79, 0, 0, 18, 164, 2512, 55, 55, 2433, 73, 47, 26, 82, 91, 164, 3160, 1589
INVAR-3, Run: 027, F, 0, 102, 0, 0, 0, 0, 0, 85, 387, 387, 0, 0, 20, 164, 3362, 68, 68, 2975, 72, 45, 27, 82, 92, 164, 2864, 1442
INVAR-3, Run: 028, F, 0, 92, 0, 0, 0, 0, 0, 482, 0, 0, 1, 0, 10, 164, 2057, 56, 56, 2057, 77, 47, 29, 82, 87, 164, 4348, 2179
INVAR-3, Run: 029, F, 0, 98, 0, 0, 0, 0, 0, 362, 114, 114, 0, 0, 16, 164, 2454, 45, 45, 2340, 74, 45, 29, 82, 90, 164, 3820, 1918
INVAR-3, Run: 030, F, 0, 92, 0, 0, 0, 0, 0, 482, 0, 0, 1, 0, 10, 164, 2655, 41, 41, 2655, 77, 47, 29, 82, 87, 164, 3954, 1982
INVAR-3, Run: 031, F, 0, 102, 0, 0, 0, 0, 0, 56, 416, 416, 0, 0, 20, 164, 2964, 44, 44, 2548, 72, 46, 26, 82, 92, 164, 4412, 2216
