Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 044, F, 30, 3004, 0, 0, 0, 0, 0, 24, 0, 1, 24, 0, 3034, 18, 110, 11, 41, 80, 9, 5, 3, 24, 9, 18, 42, 21
INVAR-1, Run: 045, F, 32, 3044, 0, 0, 0, 0, 0, 22, 0, 1, 25, 0, 3076, 18, 84, 6, 38, 52, 9, 5, 3, 25, 9, 18, 88, 44
INVAR-1, Run: 046, F, 54, 5168, 0, 0, 0, 0, 0, 0, 0, 1, 36, 0, 5222, 18, 92, 5, 59, 38, 9, 4, 4, 36, 9, 18, 50, 25
INVAR-1, Run: 047, F, 10, 953, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0, 963, 18, 78, 8, 18, 68, 9, 5, 3, 14, 9, 18, 96, 48
INVAR-1, Run: 048, F, 14, 1401, 0, 0, 0, 0, 0, 40, 0, 1, 16, 0, 1415, 18, 57, 3, 17, 43, 9, 5, 3, 16, 9, 18, 74, 37
INVAR-1, Run: 049, F, 46, 4307, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0, 4353, 18, 97, 4, 50, 51, 9, 6, 2, 32, 9, 18, 110, 55
INVAR-1, Run: 050, F, 8, 798, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0, 806, 18, 45, 6, 14, 37, 9, 1, 7, 13, 9, 18, 150, 75
INVAR-1, Run: 051, F, 10, 980, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0, 990, 18, 87, 11, 21, 77, 9, 7, 1, 14, 9, 18, 82, 41
INVAR-1, Run: 052, F, 10, 961, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0, 971, 18, 88, 16, 26, 78, 9, 6, 2, 14, 9, 18, 100, 50
INVAR-1, Run: 053, F, 14, 1376, 0, 0, 0, 0, 0, 40, 0, 1, 16, 0, 1390, 18, 55, 3, 17, 41, 9, 6, 2, 16, 9, 18, 106, 53
INVAR-1, Run: 054, F, 12, 1198, 0, 0, 0, 0, 0, 42, 0, 1, 15, 0, 1210, 18, 122, 9, 21, 110, 9, 4, 4, 15, 9, 18, 270, 135
INVAR-1, Run: 055, F, 8, 788, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0, 796, 18, 35, 9, 17, 27, 9, 5, 3, 13, 9, 18, 58, 29
INVAR-1, Run: 056, F, 40, 3873, 0, 0, 0, 0, 0, 14, 0, 1, 29, 0, 3913, 18, 66, 5, 45, 26, 9, 4, 4, 29, 9, 18, 46, 23
INVAR-1, Run: 057, F, 14, 1297, 0, 0, 0, 0, 0, 40, 0, 1, 16, 0, 1311, 18, 72, 6, 20, 58, 9, 4, 4, 16, 9, 18, 88, 44
INVAR-1, Run: 058, F, 24, 2285, 0, 0, 0, 0, 0, 30, 0, 1, 21, 0, 2309, 18, 64, 6, 30, 40, 9, 4, 4, 21, 9, 18, 92, 46
INVAR-1, Run: 059, F, 26, 2548, 0, 0, 0, 0, 0, 28, 0, 1, 22, 0, 2574, 18, 78, 5, 31, 52, 9, 6, 2, 22, 9, 18, 88, 44
INVAR-1, Run: 060, F, 54, 5308, 0, 0, 0, 0, 0, 0, 0, 1, 36, 0, 5362, 18, 90, 6, 60, 36, 9, 8, 0, 36, 9, 18, 28, 14
INVAR-1, Run: 061, F, 30, 2975, 0, 0, 0, 0, 0, 24, 0, 1, 24, 0, 3005, 18, 55, 11, 41, 25, 9, 3, 5, 24, 9, 18, 132, 66
INVAR-1, Run: 062, F, 10, 1013, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0, 1023, 18, 85, 14, 24, 75, 9, 5, 3, 14, 9, 18, 86, 43
INVAR-1, Run: 063, F, 42, 4241, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0, 4283, 18, 104, 12, 54, 62, 9, 4, 4, 30, 9, 18, 94, 47
INVAR-1, Run: 064, F, 10, 1005, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0, 1015, 18, 40, 5, 15, 30, 9, 4, 4, 14, 9, 18, 84, 42
INVAR-1, Run: 065, F, 50, 4772, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0, 4822, 18, 136, 16, 66, 86, 9, 6, 2, 34, 9, 18, 88, 44
INVAR-1, Run: 066, F, 16, 1525, 0, 0, 0, 0, 0, 38, 0, 1, 17, 0, 1541, 18, 43, 4, 20, 27, 9, 6, 2, 17, 9, 18, 36, 18
INVAR-1, Run: 067, F, 4, 385, 0, 0, 0, 0, 0, 50, 0, 1, 11, 0, 389, 18, 48, 5, 9, 44, 9, 4, 4, 11, 9, 18, 268, 134
INVAR-1, Run: 068, F, 54, 5298, 0, 0, 0, 0, 0, 0, 0, 1, 36, 0, 5352, 18, 136, 10, 64, 82, 9, 8, 0, 36, 9, 18, 58, 29
INVAR-1, Run: 069, F, 46, 4348, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0, 4394, 18, 93, 9, 55, 47, 9, 7, 1, 32, 9, 18, 22, 11
INVAR-1, Run: 070, F, 44, 4268, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0, 4312, 18, 147, 8, 52, 103, 9, 7, 1, 31, 9, 18, 114, 57
INVAR-1, Run: 071, F, 44, 4193, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0, 4237, 18, 100, 6, 50, 56, 9, 5, 3, 31, 9, 18, 56, 28
INVAR-1, Run: 072, F, 12, 1222, 0, 0, 0, 0, 0, 42, 0, 1, 15, 0, 1234, 18, 93, 10, 22, 81, 9, 4, 4, 15, 9, 18, 48, 24
INVAR-1, Run: 073, F, 8, 753, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0, 761, 18, 75, 6, 14, 67, 9, 5, 3, 13, 9, 18, 170, 85
INVAR-1, Run: 074, F, 26, 2527, 0, 0, 0, 0, 0, 28, 0, 1, 22, 0, 2553, 18, 89, 8, 34, 63, 9, 5, 3, 22, 9, 18, 188, 94
INVAR-1, Run: 075, F, 52, 4955, 0, 0, 0, 0, 0, 2, 0, 1, 35, 0, 5007, 18, 116, 2, 54, 64, 9, 5, 3, 35, 9, 18, 46, 23
INVAR-1, Run: 076, F, 30, 3096, 0, 0, 0, 0, 0, 24, 0, 1, 24, 0, 3126, 18, 73, 11, 41, 43, 9, 5, 3, 24, 9, 18, 26, 13
INVAR-1, Run: 077, F, 4, 346, 0, 0, 0, 0, 0, 50, 0, 1, 11, 0, 350, 18, 52, 7, 11, 48, 9, 3, 5, 11, 9, 18, 114, 57
INVAR-1, Run: 078, F, 46, 4418, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0, 4464, 18, 95, 5, 51, 49, 9, 3, 5, 32, 9, 18, 138, 69
INVAR-1, Run: 079, F, 38, 3782, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0, 3820, 18, 98, 19, 57, 60, 9, 7, 1, 28, 9, 18, 88, 44
INVAR-1, Run: 080, F, 38, 3732, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0, 3770, 18, 104, 10, 48, 66, 9, 7, 1, 28, 9, 18, 142, 71
INVAR-1, Run: 081, F, 32, 3170, 0, 0, 0, 0, 0, 22, 0, 1, 25, 0, 3202, 18, 81, 4, 36, 49, 9, 5, 3, 25, 9, 18, 50, 25
INVAR-1, Run: 082, F, 44, 4192, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0, 4236, 18, 83, 9, 53, 39, 9, 5, 3, 31, 9, 18, 34, 17
INVAR-1, Run: 083, F, 50, 4904, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0, 4954, 18, 98, 10, 60, 48, 9, 6, 2, 34, 9, 18, 44, 22
INVAR-1, Run: 084, F, 18, 1670, 0, 0, 0, 0, 0, 36, 0, 1, 18, 0, 1688, 18, 99, 10, 28, 81, 9, 7, 1, 18, 9, 18, 64, 32
INVAR-1, Run: 085, F, 50, 4795, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0, 4845, 18, 119, 7, 57, 69, 9, 7, 1, 34, 9, 18, 72, 36
INVAR-1, Run: 086, F, 8, 764, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0, 772, 18, 31, 5, 13, 23, 9, 2, 6, 13, 9, 18, 128, 64
INVAR-1, Run: 087, F, 16, 1640, 0, 0, 0, 0, 0, 38, 0, 1, 17, 0, 1656, 18, 100, 13, 29, 84, 9, 4, 4, 17, 9, 18, 208, 104
INVAR-1, Run: 088, F, 52, 4977, 0, 0, 0, 0, 0, 2, 0, 1, 35, 0, 5029, 18, 155, 12, 64, 103, 9, 5, 3, 35, 9, 18, 74, 37
INVAR-1, Run: 089, F, 44, 4213, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0, 4257, 18, 141, 8, 52, 97, 9, 4, 4, 31, 9, 18, 146, 73
INVAR-1, Run: 090, F, 48, 4618, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0, 4666, 18, 83, 4, 52, 35, 9, 5, 3, 33, 9, 18, 102, 51
INVAR-1, Run: 091, F, 6, 614, 0, 0, 0, 0, 0, 48, 0, 1, 12, 0, 620, 18, 92, 8, 14, 86, 9, 3, 5, 12, 9, 18, 40, 20
INVAR-1, Run: 092, F, 42, 4043, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0, 4085, 18, 76, 3, 45, 34, 9, 5, 3, 30, 9, 18, 108, 54
INVAR-1, Run: 093, F, 6, 571, 0, 0, 0, 0, 0, 48, 0, 1, 12, 0, 577, 18, 53, 7, 13, 47, 9, 6, 2, 12, 9, 18, 146, 73
INVAR-1, Run: 094, F, 2, 181, 0, 0, 0, 0, 0, 52, 0, 1, 10, 0, 183, 18, 55, 17, 19, 53, 9, 3, 5, 10, 9, 18, 256, 128
INVAR-1, Run: 095, F, 20, 1913, 0, 0, 0, 0, 0, 34, 0, 1, 19, 0, 1933, 18, 68, 8, 28, 48, 9, 5, 3, 19, 9, 18, 36, 18
INVAR-1, Run: 096, F, 36, 3415, 0, 0, 0, 0, 0, 18, 0, 1, 27, 0, 3451, 18, 78, 8, 44, 42, 9, 6, 2, 27, 9, 18, 66, 33
INVAR-1, Run: 097, F, 44, 4117, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0, 4161, 18, 70, 4, 48, 26, 9, 7, 1, 31, 9, 18, 70, 35
INVAR-1, Run: 098, F, 32, 2978, 0, 0, 0, 0, 0, 22, 0, 1, 25, 0, 3010, 18, 101, 9, 41, 69, 9, 6, 2, 25, 9, 18, 74, 37
INVAR-1, Run: 099, F, 42, 3985, 0, 0, 0, 0, 0, 12, 0, 1, 30, 0, 4027, 18, 108, 15, 57, 66, 9, 4, 4, 30, 9, 18, 106, 53
INVAR-1, Run: 100, F, 48, 4543, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0, 4591, 18, 109, 6, 54, 61, 9, 3, 5, 33, 9, 18, 62, 31
INVAR-10, Run: 001, F, 504, 47842, 0, 0, 0, 0, 0, 96, 0, 1, 352, 0, 48346, 200, 3712, 86, 590, 3208, 100, 52, 47, 352, 100, 200, 3778, 1889
INVAR-10, Run: 002, F, 570, 53946, 0, 0, 0, 0, 0, 30, 0, 1, 385, 0, 54516, 200, 4151, 97, 667, 3581, 100, 59, 40, 385, 100, 200, 4126, 2063
INVAR-10, Run: 003, F, 384, 36494, 0, 0, 0, 0, 0, 216, 0, 1, 292, 0, 36878, 200, 3908, 90, 474, 3524, 100, 70, 29, 292, 100, 200, 4262, 2131
INVAR-10, Run: 004, F, 316, 30440, 0, 0, 0, 0, 0, 284, 0, 1, 258, 0, 30756, 200, 3530, 113, 429, 3214, 100, 58, 41, 258, 100, 200, 3552, 1776
INVAR-10, Run: 005, F, 574, 53949, 0, 0, 0, 0, 0, 26, 0, 1, 387, 0, 54523, 200, 3840, 70, 644, 3266, 100, 61, 38, 387, 100, 200, 4236, 2118
INVAR-10, Run: 006, F, 594, 55750, 0, 0, 0, 0, 0, 6, 0, 1, 397, 0, 56344, 200, 4231, 109, 703, 3637, 100, 60, 39, 397, 100, 200, 3834, 1917
INVAR-10, Run: 007, F, 582, 54749, 0, 0, 0, 0, 0, 18, 0, 1, 391, 0, 55331, 200, 4202, 78, 660, 3620, 100, 61, 38, 391, 100, 200, 3358, 1679
INVAR-10, Run: 008, F, 592, 56862, 0, 0, 0, 0, 0, 8, 0, 1, 396, 0, 57454, 200, 3050, 99, 691, 2458, 100, 63, 36, 396, 100, 200, 3042, 1521
INVAR-10, Run: 009, F, 586, 56180, 0, 0, 0, 0, 0, 14, 0, 1, 393, 0, 56766, 200, 3262, 106, 692, 2676, 100, 54, 45, 393, 100, 200, 3670, 1835
INVAR-10, Run: 010, F, 386, 36997, 0, 0, 0, 0, 0, 214, 0, 1, 293, 0, 37383, 200, 3600, 81, 467, 3214, 100, 61, 38, 293, 100, 200, 4586, 2293
INVAR-10, Run: 011, F, 592, 56126, 0, 0, 0, 0, 0, 8, 0, 1, 396, 0, 56718, 200, 4018, 88, 680, 3426, 100, 57, 42, 396, 100, 200, 3952, 1976
