Input Number, Run_Number, Result@ 100, PO, H, PE, X1, M, CE, Y, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 059, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 31, 85, 6, 5, 6, 12, 18, 27, 43, 85
INVAR-1, Run: 060, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 21, 79, 5, 10, 2, 13, 18, 27, 34, 79
INVAR-1, Run: 061, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 31, 111, 5, 5, 7, 13, 18, 27, 44, 111
INVAR-1, Run: 062, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 8, 84, 7, 6, 4, 11, 18, 27, 19, 84
INVAR-1, Run: 063, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 20, 93, 6, 5, 6, 12, 18, 27, 32, 93
INVAR-1, Run: 064, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 28, 106, 6, 5, 6, 12, 18, 27, 40, 106
INVAR-1, Run: 065, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 30, 99, 7, 5, 5, 11, 18, 27, 41, 99
INVAR-1, Run: 066, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 35, 125, 7, 7, 3, 11, 18, 27, 46, 125
INVAR-1, Run: 067, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 33, 92, 6, 6, 5, 12, 18, 27, 45, 92
INVAR-1, Run: 068, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 18, 93, 5, 7, 5, 13, 18, 27, 31, 93
INVAR-1, Run: 069, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 28, 56, 6, 1, 10, 12, 18, 27, 40, 56
INVAR-1, Run: 070, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 34, 80, 6, 4, 7, 12, 18, 27, 46, 80
INVAR-1, Run: 071, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 9, 83, 6, 9, 2, 12, 18, 27, 21, 83
INVAR-1, Run: 072, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 41, 162, 6, 5, 6, 12, 18, 27, 53, 162
INVAR-1, Run: 073, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 46, 197, 7, 4, 6, 11, 18, 27, 57, 197
