Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 058, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 4, 28, 9, 5, 3, 9, 9, 13, 13, 28
INVAR-1, Run: 059, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 3, 0, 9, 5, 3, 9, 9, 13, 12, 0
INVAR-1, Run: 060, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 8, 1, 9, 5, 3, 9, 9, 13, 17, 1
INVAR-1, Run: 061, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 7, 8, 9, 7, 1, 9, 9, 13, 16, 8
INVAR-1, Run: 062, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 9, 9, 9, 6, 2, 9, 9, 13, 18, 9
INVAR-1, Run: 063, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 10, 8, 9, 6, 2, 9, 9, 13, 19, 8
INVAR-1, Run: 064, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 6, 29, 9, 5, 3, 9, 9, 13, 15, 29
INVAR-1, Run: 065, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 12, 9, 9, 6, 2, 9, 9, 13, 21, 9
INVAR-1, Run: 066, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 12, 34, 9, 7, 1, 9, 9, 13, 21, 34
INVAR-1, Run: 067, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 13, 11, 9, 6, 2, 9, 9, 13, 22, 11
INVAR-1, Run: 068, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 5, 5, 9, 7, 1, 9, 9, 13, 14, 5
INVAR-1, Run: 069, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 8, 14, 9, 7, 1, 9, 9, 13, 17, 14
