Input Number, Run_Number, Result@ 1000, A, B, H, C, L5, T2, T5, L4, L1, Y, T1, T3, T4, T6, R, U, L2, D, L3
INVAR-1, Run: 019, P, 0, 10, 0, 0, 0, 2, 0, 0, 0, 73, 1, 0, 0, 0, 1, 6, 0, 101, 0
INVAR-1, Run: 020, P, 0, 10, 0, 0, 0, 3, 0, 0, 0, 70, 2, 2, 3, 1, 1, 6, 0, 99, 0
INVAR-1, Run: 021, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 67, 3, 2, 2, 3, 1, 6, 0, 104, 0
INVAR-1, Run: 022, P, 0, 10, 0, 0, 0, 1, 3, 0, 0, 77, 0, 1, 2, 1, 1, 6, 0, 88, 0
INVAR-1, Run: 023, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 79, 2, 2, 1, 1, 1, 6, 0, 84, 0
INVAR-1, Run: 024, P, 0, 10, 0, 0, 0, 3, 0, 0, 0, 72, 0, 1, 0, 4, 1, 6, 0, 98, 0
INVAR-1, Run: 025, P, 0, 0, 0, 10, 0, 1, 0, 0, 0, 82, 3, 0, 3, 0, 1, 6, 0, 79, 0
INVAR-1, Run: 026, P, 0, 10, 0, 0, 0, 3, 1, 0, 0, 86, 1, 1, 1, 2, 1, 6, 0, 69, 0
INVAR-1, Run: 027, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 83, 0, 1, 0, 2, 1, 6, 0, 81, 0
INVAR-1, Run: 028, P, 0, 10, 0, 0, 0, 3, 0, 0, 0, 80, 1, 0, 0, 0, 1, 6, 0, 86, 0
INVAR-1, Run: 029, P, 0, 10, 0, 0, 0, 2, 1, 0, 0, 76, 0, 0, 4, 1, 1, 6, 0, 90, 0
INVAR-1, Run: 030, P, 0, 10, 0, 0, 0, 3, 3, 0, 0, 57, 0, 0, 2, 1, 1, 6, 0, 127, 0
INVAR-1, Run: 031, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 75, 0, 2, 0, 1, 1, 6, 0, 96, 0
INVAR-1, Run: 032, P, 10, 0, 0, 0, 0, 1, 3, 0, 0, 78, 3, 1, 2, 4, 1, 6, 0, 80, 0
