Input Number, Run_Number, Result@ 100, CO, D, A, X1, H, M, PO, CE, Y, PE, B
6, Run: 039, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 040, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 041, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 042, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 043, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 044, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 045, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 046, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 047, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 048, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 049, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 050, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 051, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 052, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 053, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 054, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 055, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 056, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 057, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 058, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 059, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 060, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 061, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 062, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 063, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 064, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 065, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 066, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 067, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 068, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 069, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 070, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 071, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 072, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 073, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 074, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 075, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 076, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 077, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 078, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 079, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 080, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 081, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 082, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 083, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 084, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 085, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 086, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 087, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 088, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 089, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 090, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 091, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 092, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 093, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 094, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 095, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 096, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 097, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 098, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 099, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
6, Run: 100, F, 526, 0, 0, 0, 1, 0, 1, 0, 613, 0, 1
