Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, U, Y, T1, T2, T3, T4, T5, T6, R, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-3, Run: 071, P, 1000, 0, 0, 0, 1, 84, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 11, 0, 2, 30410, 30510, 30610, 30410, 31, 6, 0, 0, 0, 0, 0, 0, 0, 4964, 0, 0, 0, 0, 0, 0, 226, 40, 8, 0, 4727, 184
INVAR-3, Run: 072, P, 1000, 0, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 41379, 41479, 41579, 41379, 23, 6, 0, 0, 0, 0, 0, 0, 0, 4837, 0, 0, 0, 0, 0, 0, 194, 29, 6, 0, 4643, 165
INVAR-3, Run: 073, P, 1000, 0, 0, 0, 0, 0, 0, 1, 100, 3, 1, 1, 0, 1, 0, 1, 0, 44, 0, 21751, 21851, 21951, 21751, 28, 5, 0, 48834, 48276, 47781, 47282, 46795, 557, 4778, 494, 499, 486, 477, 46318, 46274, 367, 133, 105, 100, 4411, 234
INVAR-3, Run: 074, P, 0, 1000, 0, 0, 1, 86, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 11, 0, 2, 7282, 6382, 6482, 7282, 32, 6, 1, 3, 0, 0, 0, 0, 3, 3477, 0, 0, 0, 0, 0, 0, 170, 40, 7, 1, 3296, 128
INVAR-3, Run: 075, P, 1000, 0, 0, 0, 0, 0, 0, 1, 100, 1, 1, 0, 2, 0, 0, 1, 0, 46, 0, 4144, 4244, 4344, 4144, 40, 5, 2, 49118, 48597, 48135, 47609, 47135, 520, 3712, 462, 524, 474, 489, 46646, 46600, 376, 147, 107, 102, 3336, 229
INVAR-3, Run: 076, P, 0, 0, 0, 1000, 3, 63, 4, 0, 0, 50, 0, 0, 0, 0, 0, 1, 23, 0, 7, 79897, 79997, 79097, 79897, 32, 6, 0, 0, 0, 0, 0, 0, 0, 5510, 0, 0, 0, 0, 0, 0, 266, 45, 10, 0, 5221, 214
INVAR-3, Run: 077, P, 1000, 0, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 19696, 19796, 19896, 19696, 36, 6, 1, 1, 0, 0, 0, 0, 1, 4235, 0, 0, 0, 0, 0, 0, 232, 43, 7, 1, 4003, 189
INVAR-3, Run: 078, P, 0, 0, 0, 1000, 0, 79, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 12, 0, 9, 4014, 4114, 3214, 4014, 39, 6, 1, 21, 2, 0, 0, 0, 19, 3586, 2, 0, 0, 0, 0, 0, 260, 46, 7, 1, 3314, 205
INVAR-3, Run: 079, P, 0, 0, 0, 1000, 0, 92, 0, 0, 1, 22, 14, 5, 6, 0, 2, 1, 5, 1, 2, 35729, 35829, 34929, 35729, 25, 6, 1, 24642, 12271, 6121, 3131, 1590, 12357, 4903, 6145, 2984, 1541, 807, 781, 780, 233, 33, 8, 2, 4665, 198
INVAR-3, Run: 080, P, 0, 1000, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 35563, 34663, 34763, 35563, 20, 6, 0, 0, 0, 0, 0, 0, 0, 4841, 0, 0, 0, 0, 0, 0, 209, 26, 6, 0, 4632, 183
INVAR-3, Run: 081, P, 0, 0, 0, 1000, 0, 0, 0, 1, 100, 0, 0, 0, 2, 0, 1, 1, 0, 47, 0, 4984, 5084, 4184, 4984, 38, 5, 1, 49053, 48559, 48082, 47611, 47128, 494, 3629, 477, 469, 483, 489, 46638, 46591, 325, 144, 106, 101, 3304, 181
INVAR-3, Run: 082, P, 1000, 0, 0, 0, 0, 97, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 0, 30261, 30361, 30461, 30261, 14, 6, 0, 0, 0, 0, 0, 0, 0, 4395, 0, 0, 0, 0, 0, 0, 159, 20, 6, 0, 4233, 139
INVAR-3, Run: 083, P, 1000, 0, 0, 0, 3, 69, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 22, 0, 4, 117266, 117366, 117466, 117266, 27, 6, 3, 19, 7, 0, 0, 0, 12, 5900, 7, 0, 0, 0, 0, 0, 253, 41, 11, 3, 5625, 208
INVAR-3, Run: 084, P, 0, 0, 0, 1000, 0, 91, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 9, 0, 0, 7351, 7451, 6551, 7351, 37, 6, 2, 14, 1, 0, 0, 0, 13, 3945, 1, 0, 0, 0, 0, 0, 280, 45, 8, 2, 3656, 235
INVAR-3, Run: 085, P, 1000, 0, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8459, 8559, 8659, 8459, 32, 6, 1, 4, 0, 0, 0, 0, 4, 3857, 0, 0, 0, 0, 0, 0, 220, 39, 7, 1, 3637, 181
INVAR-3, Run: 086, P, 0, 1000, 0, 0, 0, 0, 0, 1, 100, 0, 0, 1, 1, 1, 0, 1, 0, 47, 0, 124907, 124007, 124107, 124907, 21, 5, 0, 48818, 48321, 47815, 47351, 46845, 497, 5770, 505, 463, 505, 448, 46397, 46350, 281, 126, 105, 100, 5489, 155
INVAR-3, Run: 087, P, 1000, 0, 0, 0, 0, 98, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0, 14046, 14146, 14246, 14046, 26, 6, 1, 2, 0, 0, 0, 0, 2, 4324, 0, 0, 0, 0, 0, 0, 199, 33, 7, 1, 4123, 166
INVAR-3, Run: 088, P, 0, 0, 0, 1000, 0, 0, 0, 1, 100, 0, 1, 1, 0, 0, 1, 1, 0, 47, 0, 4041, 4141, 3241, 4041, 39, 5, 0, 49454, 48940, 48435, 47905, 47390, 513, 3373, 504, 530, 515, 476, 46913, 46866, 309, 144, 105, 100, 3064, 165
