Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_H1, predator_ccdB, predator_Q1a, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532
INVAR-1, Run: 025, P, 1, 0, 0, 1, 0, 1, 108, 0, 106, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 026, P, 1, 1, 0, 2, 0, 1, 96, 0, 93, 0, 0, 1, 0, 1, 2, 0, 0, 2, 1, 2, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 027, P, 1, 1, 0, 0, 1, 1, 101, 0, 50, 0, 0, 1, 0, 1, 3, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 028, P, 1, 0, 0, 1, 1, 1, 94, 0, 40, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 029, P, 1, 1, 0, 3, 5, 1, 99, 0, 15, 0, 0, 2, 0, 1, 2, 0, 0, 3, 1, 1, 1, 0, 0, 0, 0, 2, 1
INVAR-1, Run: 030, P, 1, 2, 0, 0, 0, 1, 100, 0, 88, 0, 0, 2, 0, 1, 3, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 031, P, 1, 1, 0, 1, 2, 1, 101, 0, 44, 0, 0, 1, 1, 1, 3, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 032, P, 1, 0, 0, 0, 0, 1, 105, 0, 79, 0, 0, 2, 0, 1, 2, 0, 0, 1, 1, 1, 0, 5, 1, 0, 0, 0, 1
INVAR-1, Run: 033, P, 1, 0, 0, 1, 1, 1, 123, 0, 53, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 2, 1
INVAR-1, Run: 034, P, 1, 0, 0, 1, 1, 1, 98, 0, 37, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 1, 3, 2, 1, 0, 0, 1, 1
INVAR-1, Run: 035, P, 1, 1, 0, 0, 1, 1, 112, 0, 57, 0, 1, 3, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 036, P, 1, 0, 0, 0, 0, 1, 103, 0, 63, 0, 0, 1, 0, 1, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 1
INVAR-1, Run: 037, P, 1, 3, 0, 1, 0, 1, 97, 0, 81, 0, 0, 1, 0, 1, 2, 0, 0, 2, 1, 3, 2, 4, 0, 0, 0, 1, 1
INVAR-1, Run: 038, P, 1, 0, 0, 0, 0, 1, 74, 0, 53, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 039, P, 1, 1, 0, 1, 0, 1, 104, 0, 116, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 2, 2, 0, 0, 2, 1
INVAR-1, Run: 040, P, 1, 0, 0, 1, 2, 1, 99, 0, 41, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 3, 1, 0, 0, 0, 0, 1, 1
INVAR-1, Run: 041, P, 1, 0, 1, 2, 1, 1, 93, 0, 66, 0, 0, 0, 0, 1, 1, 0, 0, 3, 1, 2, 0, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 042, P, 1, 1, 0, 1, 0, 1, 106, 0, 85, 0, 0, 0, 0, 1, 3, 0, 0, 3, 1, 1, 3, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 043, P, 1, 1, 1, 1, 0, 1, 87, 0, 62, 0, 0, 1, 0, 0, 3, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 044, P, 1, 0, 0, 1, 0, 1, 115, 0, 89, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 045, P, 1, 2, 0, 0, 0, 1, 92, 0, 77, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 4, 2, 1, 4, 0, 0, 1, 1
INVAR-1, Run: 046, P, 1, 1, 0, 2, 2, 1, 82, 0, 53, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 1, 1
INVAR-1, Run: 047, P, 1, 1, 0, 1, 0, 1, 105, 0, 90, 0, 0, 1, 0, 0, 3, 0, 1, 4, 1, 2, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 048, P, 1, 1, 1, 0, 0, 1, 89, 0, 78, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 049, P, 1, 1, 0, 0, 2, 1, 95, 0, 34, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 2, 0, 0, 0, 0, 1
INVAR-1, Run: 050, P, 1, 1, 0, 2, 1, 1, 106, 0, 62, 0, 0, 1, 0, 1, 1, 0, 0, 3, 1, 1, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 051, P, 1, 0, 0, 1, 2, 1, 98, 0, 38, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1
INVAR-1, Run: 052, P, 1, 0, 1, 1, 1, 1, 102, 0, 46, 0, 0, 0, 0, 1, 2, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 053, P, 1, 1, 1, 0, 0, 1, 103, 0, 93, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 054, P, 1, 0, 0, 1, 1, 1, 90, 0, 68, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 055, P, 1, 0, 0, 1, 4, 1, 102, 0, 26, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 2, 2, 1, 0, 0, 1, 1
INVAR-1, Run: 056, P, 1, 0, 0, 2, 1, 1, 107, 0, 51, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 057, P, 1, 0, 0, 1, 1, 1, 96, 0, 38, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 3, 1
INVAR-1, Run: 058, P, 1, 2, 0, 1, 1, 1, 98, 0, 58, 0, 2, 1, 1, 0, 1, 0, 1, 1, 1, 2, 3, 3, 4, 0, 0, 4, 1
INVAR-1, Run: 059, P, 1, 1, 0, 0, 1, 1, 106, 0, 54, 0, 0, 2, 0, 1, 2, 0, 0, 3, 1, 1, 0, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 060, P, 1, 0, 1, 2, 2, 1, 86, 0, 33, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 3, 2, 0, 0, 0, 0, 2, 0
INVAR-1, Run: 061, P, 1, 1, 0, 1, 0, 1, 103, 0, 85, 0, 1, 0, 1, 1, 2, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 062, P, 1, 0, 0, 0, 0, 1, 97, 0, 95, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 063, P, 1, 0, 0, 1, 0, 1, 100, 0, 104, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 064, P, 1, 2, 0, 1, 1, 1, 99, 0, 41, 0, 1, 0, 0, 1, 1, 0, 0, 2, 1, 3, 1, 0, 1, 0, 0, 0, 1
INVAR-1, Run: 065, P, 1, 0, 0, 0, 0, 1, 87, 0, 88, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 066, P, 1, 2, 0, 0, 0, 1, 118, 0, 105, 0, 0, 1, 0, 1, 1, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 067, P, 1, 1, 0, 2, 1, 1, 102, 0, 49, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 068, P, 1, 2, 0, 0, 0, 1, 88, 0, 54, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1
INVAR-1, Run: 069, P, 1, 1, 0, 1, 0, 1, 111, 0, 101, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 3, 3, 0, 1, 0, 0, 0, 1
INVAR-1, Run: 070, P, 1, 1, 1, 1, 2, 1, 103, 0, 45, 0, 1, 2, 0, 1, 2, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 071, P, 1, 2, 0, 0, 0, 1, 91, 0, 85, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 072, P, 1, 0, 0, 2, 1, 1, 103, 0, 53, 0, 0, 0, 0, 1, 2, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 1, 1
INVAR-1, Run: 073, P, 1, 1, 0, 0, 0, 1, 100, 0, 108, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 074, P, 1, 0, 0, 2, 1, 1, 80, 0, 34, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 075, P, 1, 3, 0, 3, 1, 1, 107, 0, 41, 0, 1, 4, 0, 1, 1, 0, 0, 0, 1, 2, 6, 4, 1, 0, 0, 1, 1
INVAR-1, Run: 076, P, 1, 3, 0, 1, 3, 1, 88, 0, 17, 0, 0, 3, 0, 1, 0, 0, 0, 1, 1, 3, 2, 1, 1, 0, 0, 1, 1
INVAR-1, Run: 077, P, 1, 0, 0, 1, 0, 1, 98, 0, 74, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 078, P, 1, 2, 1, 0, 0, 1, 105, 0, 53, 1, 1, 1, 2, 1, 1, 0, 0, 3, 1, 4, 2, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 079, P, 1, 0, 1, 1, 4, 1, 83, 0, 11, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 080, P, 1, 0, 0, 2, 0, 1, 98, 0, 88, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1
INVAR-1, Run: 081, P, 1, 0, 0, 1, 0, 1, 107, 0, 114, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 082, P, 1, 1, 1, 1, 0, 1, 99, 0, 111, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 083, P, 1, 1, 0, 0, 0, 1, 108, 0, 64, 0, 0, 3, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 084, P, 1, 0, 0, 2, 1, 1, 88, 0, 41, 0, 1, 3, 2, 1, 1, 0, 0, 1, 1, 0, 1, 0, 2, 0, 0, 1, 1
INVAR-1, Run: 085, P, 1, 1, 0, 1, 1, 1, 95, 0, 85, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0, 1
INVAR-1, Run: 086, P, 1, 0, 0, 2, 0, 1, 91, 0, 43, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 3, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 087, P, 1, 0, 0, 1, 0, 1, 95, 0, 72, 0, 2, 0, 4, 1, 0, 0, 0, 0, 1, 3, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 088, P, 1, 1, 0, 1, 0, 1, 93, 0, 37, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 089, P, 1, 2, 0, 1, 2, 1, 97, 0, 39, 0, 0, 2, 0, 1, 2, 0, 0, 2, 1, 1, 0, 2, 2, 0, 0, 0, 1
INVAR-1, Run: 090, P, 1, 2, 0, 0, 0, 1, 88, 0, 87, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 091, P, 1, 3, 1, 0, 1, 1, 88, 0, 38, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 1, 3, 2, 1, 0, 0, 4, 0
INVAR-1, Run: 092, P, 1, 1, 0, 1, 3, 1, 108, 0, 21, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 093, P, 1, 2, 0, 0, 0, 1, 105, 0, 47, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 094, P, 1, 4, 1, 0, 0, 1, 100, 0, 97, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 4, 5, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 095, P, 1, 2, 0, 0, 2, 1, 107, 0, 37, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 0, 1
INVAR-1, Run: 096, P, 1, 0, 0, 2, 3, 1, 97, 0, 31, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1
INVAR-1, Run: 097, P, 1, 2, 1, 2, 1, 1, 89, 0, 85, 0, 0, 5, 0, 1, 0, 0, 0, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 098, P, 1, 0, 0, 0, 1, 1, 98, 0, 35, 0, 1, 3, 0, 1, 3, 0, 0, 4, 1, 2, 0, 1, 0, 0, 0, 0, 1
INVAR-1, Run: 099, P, 1, 1, 1, 0, 3, 1, 82, 0, 21, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 3, 2, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 100, P, 1, 0, 0, 2, 3, 1, 94, 0, 23, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 3, 2, 1, 0, 0, 0, 1
