Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-10, Run: 041, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 874, 10100, 100, 57, 42, 100, 200, 974, 10100
INVAR-10, Run: 042, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 848, 9931, 100, 63, 36, 100, 200, 948, 9931
INVAR-10, Run: 043, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 746, 10635, 100, 62, 37, 100, 200, 846, 10635
INVAR-10, Run: 044, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 834, 9536, 100, 60, 39, 100, 200, 934, 9536
INVAR-10, Run: 045, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 780, 11145, 100, 74, 25, 100, 200, 880, 11145
INVAR-10, Run: 046, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 771, 7105, 100, 60, 39, 100, 200, 871, 7105
INVAR-10, Run: 047, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 789, 9137, 100, 63, 36, 100, 200, 889, 9137
INVAR-10, Run: 048, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 989, 9198, 100, 62, 37, 100, 200, 1089, 9198
INVAR-10, Run: 049, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 873, 10776, 100, 63, 36, 100, 200, 973, 10776
INVAR-10, Run: 050, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 760, 9366, 100, 63, 36, 100, 200, 860, 9366
INVAR-10, Run: 051, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 796, 10446, 100, 63, 36, 100, 200, 896, 10446
INVAR-10, Run: 052, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 755, 9311, 100, 60, 39, 100, 200, 855, 9311
INVAR-10, Run: 053, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 838, 9229, 100, 63, 36, 100, 200, 938, 9229
INVAR-10, Run: 054, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 773, 9670, 100, 53, 46, 100, 200, 873, 9670
INVAR-10, Run: 055, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 786, 9261, 100, 58, 41, 100, 200, 886, 9261
INVAR-10, Run: 056, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 861, 10511, 100, 58, 41, 100, 200, 961, 10511
INVAR-10, Run: 057, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 910, 9947, 100, 62, 37, 100, 200, 1010, 9947
INVAR-10, Run: 058, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 1076, 10525, 100, 68, 31, 100, 200, 1176, 10525
INVAR-10, Run: 059, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 748, 8715, 100, 44, 55, 100, 200, 848, 8715
INVAR-10, Run: 060, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 931, 10970, 100, 60, 39, 100, 200, 1031, 10970
INVAR-10, Run: 061, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 712, 9043, 100, 66, 33, 100, 200, 812, 9043
INVAR-10, Run: 062, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 763, 9426, 100, 68, 31, 100, 200, 863, 9426
INVAR-10, Run: 063, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 727, 11739, 100, 73, 26, 100, 200, 827, 11739
INVAR-10, Run: 064, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 820, 10358, 100, 65, 34, 100, 200, 920, 10358
INVAR-10, Run: 065, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 880, 10097, 100, 58, 41, 100, 200, 980, 10097
INVAR-10, Run: 066, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 815, 8256, 100, 54, 45, 100, 200, 915, 8256
INVAR-10, Run: 067, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 1140, 12257, 100, 59, 40, 100, 200, 1240, 12257
INVAR-10, Run: 068, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 718, 8408, 100, 58, 41, 100, 200, 818, 8408
INVAR-10, Run: 069, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 1099, 11499, 100, 48, 51, 100, 200, 1199, 11499
INVAR-10, Run: 070, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 955, 8550, 100, 67, 32, 100, 200, 1055, 8550
INVAR-10, Run: 071, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 746, 9186, 100, 53, 46, 100, 200, 846, 9186
INVAR-10, Run: 072, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 1200, 600, 200, 954, 9972, 100, 72, 27, 100, 200, 1054, 9972
