Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_H1, predator_ccdB, predator_Q1a, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 055, P, 1, 0, 0, 0, 0, 1, 87, 0, 74, 0, 0, 0, 1, 1, 1, 0, 0, 2, 1, 3, 1, 1, 0, 0, 0, 0, 1, 100, 3, 90, 99, 99, 87, 4, 4861, 2949, 7, 9, 100, 8, 1838, 3, 17, 102, 78, 0, 0, 0, 77, 120, 67, 65, 104, 101, 82, 81, 68, 51, 36, 0, 119, 0, 18, 0, 16, 0, 0, 18, 18, 111, 9, 87, 9, 9
INVAR-1, Run: 056, P, 1, 1, 0, 1, 0, 1, 98, 0, 93, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 99, 27, 103, 103, 103, 98, 2, 4631, 2671, 7, 52, 98, 51, 1867, 3, 18, 73, 106, 8, 8, 6, 112, 118, 101, 101, 102, 101, 116, 114, 85, 39, 40, 8, 116, 8, 21, 2, 46, 2, 2, 19, 19, 80, 7, 77, 33, 33
INVAR-1, Run: 057, P, 1, 1, 0, 1, 2, 1, 101, 0, 23, 0, 0, 4, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 98, 7, 102, 89, 87, 101, 5, 5085, 2854, 6, 11, 97, 11, 2208, 1, 24, 76, 101, 0, 0, 0, 101, 95, 102, 102, 86, 85, 86, 85, 71, 48, 45, 0, 91, 0, 21, 0, 23, 0, 0, 24, 24, 82, 6, 96, 11, 11
INVAR-1, Run: 058, P, 1, 0, 1, 0, 0, 1, 108, 0, 102, 0, 0, 1, 1, 1, 0, 0, 0, 6, 1, 1, 1, 0, 0, 0, 0, 0, 0, 102, 17, 102, 105, 105, 108, 0, 5782, 3249, 4, 30, 102, 28, 2431, 2, 29, 105, 111, 0, 0, 0, 111, 98, 96, 90, 99, 98, 85, 84, 102, 72, 64, 2, 95, 2, 33, 2, 30, 2, 2, 31, 31, 112, 7, 85, 20, 19
INVAR-1, Run: 059, P, 1, 1, 0, 1, 2, 1, 99, 0, 31, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 82, 8, 105, 87, 85, 99, 2, 5002, 3162, 10, 18, 81, 18, 1809, 4, 26, 80, 90, 3, 3, 5, 95, 89, 109, 109, 92, 92, 95, 94, 90, 57, 54, 4, 87, 4, 26, 4, 33, 4, 4, 27, 27, 98, 18, 98, 11, 11
INVAR-1, Run: 060, P, 1, 3, 0, 0, 0, 1, 98, 0, 82, 0, 0, 3, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 88, 11, 95, 107, 107, 98, 3, 4624, 2747, 6, 29, 85, 29, 1795, 1, 44, 67, 79, 1, 1, 5, 82, 93, 82, 82, 100, 100, 110, 110, 132, 87, 107, 3, 90, 3, 62, 2, 45, 2, 2, 44, 44, 75, 8, 84, 11, 11
INVAR-1, Run: 061, P, 1, 2, 0, 1, 0, 1, 113, 0, 81, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 99, 40, 113, 120, 120, 113, 3, 5706, 3665, 8, 27, 97, 27, 1960, 1, 22, 106, 99, 0, 0, 0, 97, 111, 94, 94, 92, 92, 58, 57, 70, 41, 42, 1, 111, 1, 20, 4, 29, 4, 4, 22, 22, 115, 9, 74, 36, 36
INVAR-1, Run: 062, P, 1, 0, 0, 0, 2, 1, 84, 0, 32, 0, 3, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 91, 16, 101, 108, 106, 84, 5, 4141, 2381, 9, 19, 91, 19, 1728, 2, 24, 53, 99, 0, 0, 0, 99, 88, 88, 88, 95, 94, 82, 81, 81, 51, 50, 0, 87, 0, 22, 2, 29, 2, 2, 28, 27, 59, 6, 85, 15, 15
INVAR-1, Run: 063, P, 1, 0, 0, 0, 2, 1, 108, 0, 30, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 104, 3, 124, 123, 121, 108, 8, 5287, 2911, 15, 16, 104, 16, 2346, 3, 23, 99, 96, 3, 3, 3, 98, 124, 75, 74, 87, 86, 68, 67, 69, 43, 37, 2, 124, 2, 14, 4, 26, 4, 4, 23, 23, 108, 9, 121, 8, 8
INVAR-1, Run: 064, P, 1, 0, 1, 1, 1, 1, 109, 0, 64, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 118, 8, 90, 85, 84, 109, 2, 5905, 4048, 6, 36, 118, 35, 1793, 1, 39, 91, 85, 1, 1, 0, 83, 110, 82, 82, 105, 103, 90, 90, 120, 74, 73, 4, 109, 4, 32, 3, 46, 3, 3, 41, 40, 96, 5, 83, 16, 15
INVAR-1, Run: 065, P, 1, 0, 0, 1, 0, 1, 107, 0, 125, 0, 1, 2, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 106, 24, 81, 85, 85, 107, 2, 5073, 3193, 13, 26, 106, 26, 1755, 4, 27, 102, 98, 16, 16, 16, 113, 134, 136, 134, 96, 96, 83, 83, 94, 66, 56, 10, 132, 10, 27, 7, 28, 7, 7, 29, 28, 114, 12, 58, 29, 29
INVAR-1, Run: 066, P, 1, 4, 0, 0, 2, 1, 93, 0, 26, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 3, 0, 1, 0, 0, 1, 1, 106, 16, 104, 108, 106, 93, 2, 5290, 2865, 7, 30, 102, 30, 2399, 3, 18, 83, 97, 0, 0, 0, 97, 94, 78, 78, 93, 92, 71, 68, 76, 50, 40, 0, 93, 0, 20, 2, 26, 2, 2, 19, 18, 93, 10, 88, 26, 26
INVAR-1, Run: 067, P, 1, 0, 1, 1, 3, 1, 95, 0, 18, 0, 1, 0, 1, 1, 0, 0, 0, 2, 1, 1, 2, 2, 0, 0, 0, 1, 0, 112, 25, 95, 99, 96, 95, 4, 4942, 2903, 8, 24, 112, 22, 2021, 1, 24, 113, 87, 12, 12, 9, 96, 124, 101, 99, 86, 85, 93, 91, 106, 68, 49, 17, 122, 17, 21, 3, 36, 3, 3, 28, 27, 128, 15, 71, 28, 27
INVAR-1, Run: 068, P, 1, 1, 0, 1, 5, 1, 110, 0, 13, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 101, 8, 124, 141, 136, 110, 2, 5469, 2711, 9, 21, 100, 21, 2745, 4, 26, 90, 86, 3, 3, 5, 91, 83, 101, 100, 91, 91, 81, 81, 86, 49, 60, 2, 83, 2, 33, 3, 37, 3, 3, 27, 27, 99, 9, 117, 12, 12
INVAR-1, Run: 069, P, 1, 0, 0, 0, 3, 1, 100, 0, 29, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 99, 17, 106, 105, 102, 100, 3, 5217, 2839, 8, 27, 99, 27, 2349, 2, 30, 85, 76, 10, 10, 12, 87, 89, 58, 58, 93, 93, 96, 96, 107, 76, 73, 1, 88, 1, 43, 3, 31, 3, 3, 30, 30, 89, 4, 89, 18, 18
INVAR-1, Run: 070, P, 1, 0, 1, 1, 0, 1, 101, 0, 80, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 0, 4, 0, 0, 0, 3, 0, 112, 29, 109, 96, 96, 101, 3, 5055, 3286, 7, 43, 112, 40, 1689, 2, 33, 94, 93, 1, 1, 0, 93, 101, 88, 88, 108, 107, 108, 108, 129, 90, 72, 1, 98, 1, 33, 2, 35, 2, 2, 39, 36, 96, 2, 81, 24, 23
INVAR-1, Run: 071, P, 1, 2, 0, 3, 2, 1, 116, 0, 31, 0, 0, 0, 0, 1, 2, 0, 0, 3, 1, 2, 3, 1, 0, 0, 0, 0, 1, 100, 12, 113, 131, 129, 116, 2, 5250, 2786, 6, 11, 98, 11, 2433, 1, 30, 99, 100, 9, 9, 7, 105, 97, 102, 99, 98, 96, 74, 71, 81, 43, 50, 7, 97, 7, 20, 3, 37, 3, 3, 30, 30, 105, 6, 104, 10, 10
INVAR-1, Run: 072, P, 1, 1, 0, 3, 5, 1, 99, 0, 29, 0, 1, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 96, 16, 94, 78, 73, 99, 3, 5157, 3310, 8, 20, 95, 20, 1818, 3, 26, 84, 102, 5, 5, 7, 109, 74, 136, 134, 91, 91, 113, 113, 91, 49, 49, 4, 74, 4, 22, 2, 42, 2, 2, 27, 27, 89, 5, 81, 25, 25
INVAR-1, Run: 073, P, 1, 3, 0, 0, 1, 1, 88, 0, 54, 0, 0, 2, 0, 1, 2, 0, 0, 0, 1, 3, 1, 8, 2, 0, 0, 3, 1, 97, 33, 89, 97, 96, 88, 9, 4785, 3197, 11, 53, 94, 53, 1534, 2, 36, 90, 92, 0, 0, 0, 90, 131, 94, 94, 108, 105, 84, 83, 116, 65, 81, 0, 129, 0, 40, 0, 43, 0, 0, 39, 36, 96, 6, 56, 35, 35
INVAR-1, Run: 074, P, 1, 0, 1, 0, 0, 1, 102, 0, 78, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 98, 1, 96, 104, 104, 102, 1, 4750, 3047, 2, 5, 98, 4, 1625, 0, 20, 98, 110, 2, 2, 3, 112, 94, 140, 138, 103, 102, 90, 89, 82, 42, 44, 2, 93, 2, 23, 1, 40, 1, 1, 21, 21, 105, 7, 95, 2, 1
INVAR-1, Run: 075, P, 1, 0, 0, 0, 0, 1, 83, 0, 55, 0, 0, 0, 0, 1, 2, 0, 0, 2, 1, 2, 4, 0, 0, 0, 0, 0, 1, 109, 9, 99, 93, 93, 83, 0, 4159, 2500, 6, 25, 109, 25, 1604, 2, 41, 93, 102, 5, 5, 2, 102, 89, 95, 93, 95, 93, 112, 108, 106, 57, 86, 7, 89, 7, 45, 4, 49, 4, 4, 41, 41, 98, 5, 90, 7, 7
INVAR-1, Run: 076, P, 1, 0, 0, 0, 0, 1, 121, 0, 78, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0, 1, 82, 5, 101, 87, 87, 121, 3, 6099, 3379, 5, 10, 82, 10, 2642, 0, 32, 76, 112, 6, 6, 2, 114, 91, 121, 121, 103, 102, 113, 112, 112, 59, 60, 4, 91, 4, 28, 2, 51, 2, 2, 32, 32, 79, 3, 96, 3, 3
INVAR-1, Run: 077, P, 1, 0, 0, 1, 0, 1, 98, 0, 58, 0, 2, 2, 0, 1, 2, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 1, 81, 0, 110, 118, 118, 98, 7, 4351, 2185, 15, 12, 81, 12, 2108, 3, 13, 92, 90, 9, 9, 6, 94, 73, 108, 106, 101, 100, 82, 81, 78, 40, 39, 7, 71, 7, 24, 5, 38, 5, 5, 15, 15, 95, 3, 111, 3, 3
INVAR-1, Run: 078, P, 1, 1, 0, 3, 2, 1, 116, 0, 43, 0, 0, 2, 1, 1, 3, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 90, 10, 87, 109, 107, 116, 1, 5353, 3200, 5, 23, 89, 22, 2110, 2, 24, 83, 105, 2, 2, 4, 106, 103, 90, 87, 78, 77, 83, 83, 80, 50, 44, 2, 100, 2, 19, 2, 30, 2, 2, 25, 25, 92, 9, 80, 18, 18
INVAR-1, Run: 079, P, 1, 1, 1, 0, 0, 1, 100, 0, 83, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 88, 11, 118, 98, 98, 100, 1, 5631, 3495, 3, 11, 87, 10, 2053, 2, 15, 75, 101, 0, 0, 0, 101, 102, 98, 98, 108, 108, 134, 134, 108, 65, 39, 0, 100, 0, 21, 0, 43, 0, 0, 18, 18, 84, 9, 107, 7, 6
INVAR-1, Run: 080, P, 1, 2, 0, 0, 0, 1, 121, 0, 93, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 1, 1, 87, 16, 84, 63, 63, 121, 6, 6096, 4554, 13, 22, 85, 22, 1449, 4, 23, 79, 92, 2, 2, 4, 96, 83, 86, 86, 91, 90, 100, 98, 87, 39, 58, 3, 82, 3, 33, 3, 48, 3, 3, 24, 23, 86, 7, 68, 15, 15
INVAR-1, Run: 081, P, 1, 2, 0, 1, 0, 1, 113, 0, 46, 0, 1, 3, 0, 1, 3, 0, 0, 7, 1, 2, 1, 0, 0, 0, 0, 1, 1, 102, 20, 84, 104, 104, 113, 5, 5325, 3421, 15, 45, 100, 45, 1858, 6, 40, 107, 109, 0, 0, 0, 106, 112, 120, 113, 114, 112, 107, 106, 127, 83, 79, 1, 109, 1, 37, 4, 44, 4, 4, 42, 41, 112, 5, 65, 25, 25
INVAR-1, Run: 082, P, 1, 0, 0, 1, 0, 1, 92, 0, 79, 0, 0, 1, 0, 1, 2, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 88, 29, 96, 103, 103, 92, 2, 4517, 2273, 8, 31, 88, 31, 2165, 2, 27, 112, 108, 0, 0, 0, 106, 94, 125, 123, 92, 92, 99, 98, 102, 52, 42, 3, 93, 3, 15, 4, 50, 4, 4, 27, 27, 118, 6, 68, 33, 33
INVAR-1, Run: 083, P, 1, 0, 0, 0, 0, 1, 105, 0, 110, 0, 1, 0, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 106, 5, 87, 74, 74, 105, 9, 5131, 3715, 21, 17, 106, 17, 1306, 5, 21, 88, 99, 6, 6, 6, 103, 77, 113, 111, 108, 108, 84, 84, 86, 50, 41, 5, 77, 5, 19, 7, 36, 7, 7, 22, 22, 113, 25, 82, 12, 12
INVAR-1, Run: 084, P, 1, 3, 0, 1, 0, 1, 104, 0, 75, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 96, 37, 98, 86, 86, 104, 4, 5136, 3536, 6, 38, 93, 37, 1525, 0, 50, 95, 79, 0, 0, 0, 78, 83, 72, 71, 99, 99, 84, 84, 100, 64, 92, 0, 81, 0, 41, 2, 36, 2, 2, 51, 51, 100, 5, 62, 23, 23
INVAR-1, Run: 085, P, 1, 0, 0, 0, 2, 1, 92, 0, 30, 0, 1, 1, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 1, 113, 12, 94, 101, 99, 92, 2, 4929, 2930, 6, 20, 113, 20, 1969, 4, 28, 97, 84, 0, 0, 0, 83, 107, 68, 66, 104, 103, 95, 95, 100, 71, 54, 0, 106, 0, 24, 0, 29, 0, 0, 29, 29, 101, 4, 82, 14, 14
INVAR-1, Run: 086, P, 1, 2, 0, 0, 0, 1, 97, 0, 71, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 101, 19, 103, 122, 122, 97, 3, 5096, 2622, 14, 36, 99, 36, 2403, 6, 43, 95, 81, 2, 2, 4, 85, 108, 79, 79, 104, 104, 85, 85, 106, 88, 70, 7, 107, 7, 26, 5, 18, 5, 5, 44, 43, 105, 10, 84, 16, 16
INVAR-1, Run: 087, P, 1, 2, 1, 1, 1, 1, 88, 0, 42, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 107, 33, 96, 103, 102, 88, 1, 4051, 2393, 5, 51, 105, 50, 1616, 1, 45, 76, 103, 2, 2, 2, 104, 112, 101, 101, 116, 116, 136, 136, 142, 90, 103, 1, 110, 1, 57, 3, 52, 3, 3, 46, 46, 85, 9, 64, 37, 36
INVAR-1, Run: 088, P, 1, 1, 0, 1, 1, 1, 97, 0, 53, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 94, 6, 98, 105, 104, 97, 1, 4941, 2856, 4, 11, 93, 11, 2032, 1, 17, 82, 92, 0, 0, 0, 91, 89, 89, 87, 104, 103, 78, 78, 79, 54, 37, 0, 89, 0, 20, 2, 25, 2, 2, 17, 17, 90, 8, 93, 8, 8
INVAR-1, Run: 089, P, 1, 1, 0, 1, 0, 1, 88, 0, 67, 0, 0, 3, 0, 1, 1, 0, 0, 2, 1, 2, 1, 3, 1, 0, 0, 3, 1, 115, 16, 89, 82, 82, 88, 8, 4050, 2415, 15, 20, 114, 20, 1568, 3, 23, 94, 101, 4, 4, 6, 106, 107, 111, 109, 104, 102, 111, 110, 112, 61, 62, 5, 104, 5, 35, 4, 48, 4, 4, 26, 23, 107, 13, 74, 17, 17
INVAR-1, Run: 090, P, 1, 4, 0, 0, 0, 1, 94, 0, 89, 0, 0, 3, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 104, 42, 99, 115, 115, 94, 3, 4812, 2623, 11, 39, 100, 38, 2100, 6, 20, 92, 85, 1, 1, 2, 87, 101, 99, 99, 80, 80, 73, 73, 90, 51, 40, 2, 97, 2, 19, 2, 39, 2, 2, 21, 21, 98, 6, 57, 42, 42
INVAR-1, Run: 091, P, 1, 1, 0, 1, 1, 1, 95, 0, 56, 0, 0, 1, 0, 1, 1, 0, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 1, 113, 8, 100, 110, 109, 95, 2, 4195, 2345, 2, 17, 112, 17, 1794, 0, 19, 81, 109, 0, 0, 0, 108, 81, 95, 93, 104, 103, 93, 92, 84, 56, 43, 0, 80, 0, 24, 0, 27, 0, 0, 19, 19, 87, 6, 93, 7, 7
INVAR-1, Run: 092, P, 1, 0, 0, 1, 2, 1, 100, 0, 33, 0, 0, 0, 0, 1, 3, 0, 0, 5, 1, 1, 1, 0, 0, 0, 0, 0, 1, 96, 16, 112, 90, 88, 100, 3, 4980, 2878, 15, 19, 96, 19, 2069, 7, 17, 78, 122, 1, 1, 0, 119, 110, 115, 110, 89, 88, 88, 87, 86, 42, 41, 2, 110, 2, 24, 5, 44, 5, 5, 17, 17, 88, 10, 97, 15, 15
INVAR-1, Run: 093, P, 1, 2, 0, 1, 0, 1, 99, 0, 98, 0, 1, 3, 0, 1, 1, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 1, 122, 11, 77, 66, 66, 99, 10, 4987, 3418, 16, 21, 120, 21, 1471, 4, 18, 155, 104, 0, 0, 0, 103, 152, 92, 90, 96, 94, 82, 82, 58, 39, 40, 0, 149, 0, 21, 2, 19, 2, 2, 19, 19, 162, 7, 67, 16, 16
INVAR-1, Run: 094, P, 1, 1, 1, 1, 0, 1, 112, 0, 89, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 5, 4, 4, 2, 0, 0, 1, 0, 90, 9, 86, 88, 88, 112, 1, 5403, 3477, 3, 16, 89, 13, 1837, 0, 26, 89, 92, 1, 1, 1, 92, 80, 102, 102, 108, 103, 90, 86, 87, 62, 62, 3, 77, 3, 30, 2, 21, 2, 2, 30, 29, 94, 5, 78, 13, 12
INVAR-1, Run: 095, P, 1, 0, 1, 2, 0, 1, 117, 0, 116, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 2, 3, 0, 0, 0, 0, 0, 0, 103, 16, 113, 79, 79, 117, 3, 5781, 3834, 7, 33, 103, 32, 1831, 2, 34, 89, 91, 0, 0, 0, 91, 97, 95, 95, 91, 89, 96, 93, 105, 67, 53, 0, 94, 0, 18, 2, 38, 2, 2, 35, 35, 94, 5, 99, 18, 17
INVAR-1, Run: 096, P, 1, 0, 0, 1, 1, 1, 91, 0, 41, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 1, 119, 43, 115, 130, 129, 91, 5, 4799, 2736, 10, 48, 119, 48, 2022, 2, 32, 109, 95, 4, 3, 1, 95, 143, 95, 94, 97, 95, 94, 92, 112, 70, 68, 3, 142, 2, 35, 2, 41, 3, 3, 33, 33, 118, 9, 73, 22, 22
INVAR-1, Run: 097, P, 1, 1, 0, 3, 1, 1, 99, 0, 80, 0, 0, 0, 0, 1, 2, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 1, 1, 105, 20, 86, 66, 65, 99, 2, 5237, 3311, 10, 41, 104, 41, 1846, 4, 38, 102, 90, 0, 0, 0, 88, 116, 74, 73, 90, 89, 104, 104, 103, 79, 74, 0, 116, 0, 35, 4, 22, 4, 4, 39, 38, 116, 14, 69, 27, 27
INVAR-1, Run: 098, P, 1, 2, 1, 1, 0, 1, 97, 0, 99, 0, 0, 0, 1, 1, 3, 0, 0, 0, 1, 2, 1, 1, 1, 0, 0, 0, 0, 107, 7, 95, 81, 81, 97, 2, 5003, 3202, 12, 16, 105, 14, 1702, 6, 26, 102, 97, 2, 2, 3, 97, 107, 110, 110, 87, 85, 84, 83, 84, 40, 54, 1, 105, 1, 25, 4, 43, 4, 4, 28, 28, 115, 13, 89, 15, 14
INVAR-1, Run: 099, P, 1, 0, 0, 1, 6, 1, 98, 0, 21, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 91, 24, 86, 82, 76, 98, 1, 5258, 3627, 2, 21, 91, 21, 1610, 0, 20, 89, 110, 0, 0, 0, 109, 90, 93, 92, 118, 117, 88, 88, 82, 48, 38, 0, 89, 0, 18, 1, 33, 1, 1, 20, 20, 96, 7, 63, 32, 32
INVAR-1, Run: 100, P, 1, 1, 0, 1, 1, 1, 114, 0, 50, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 111, 22, 105, 113, 112, 114, 0, 5621, 2952, 4, 30, 110, 30, 2619, 2, 26, 72, 108, 0, 0, 0, 108, 107, 123, 123, 105, 105, 111, 111, 97, 51, 59, 0, 107, 0, 33, 2, 46, 2, 2, 26, 26, 78, 6, 84, 26, 26
