Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B
INVAR-1, Run: 028, P, 227, 0, 0, 0, 0, 0, 118, 0, 1, 54, 0
INVAR-1, Run: 029, P, 199, 4, 0, 0, 0, 0, 102, 0, 1, 54, 0
INVAR-1, Run: 030, P, 193, 0, 0, 0, 0, 0, 101, 0, 1, 54, 0
INVAR-1, Run: 031, P, 209, 0, 0, 0, 0, 0, 109, 0, 1, 54, 0
INVAR-1, Run: 032, P, 204, 1, 0, 0, 0, 0, 106, 0, 1, 54, 0
INVAR-1, Run: 033, P, 219, 0, 0, 0, 0, 0, 114, 0, 1, 54, 0
INVAR-1, Run: 034, P, 203, 0, 0, 0, 0, 0, 106, 0, 1, 54, 0
INVAR-1, Run: 035, P, 210, 1, 0, 0, 0, 0, 109, 0, 1, 54, 0
INVAR-1, Run: 036, P, 207, 0, 0, 0, 0, 0, 108, 0, 1, 54, 0
INVAR-1, Run: 037, P, 232, 1, 0, 0, 0, 0, 120, 0, 1, 54, 0
INVAR-1, Run: 038, P, 182, 1, 0, 0, 0, 0, 95, 0, 1, 54, 0
INVAR-1, Run: 039, P, 207, 2, 0, 0, 0, 0, 107, 0, 1, 54, 0
INVAR-1, Run: 040, P, 219, 0, 0, 0, 0, 0, 114, 0, 1, 54, 0
INVAR-1, Run: 041, P, 192, 1, 0, 0, 0, 0, 100, 0, 1, 54, 0
INVAR-1, Run: 042, P, 186, 1, 0, 0, 0, 0, 97, 0, 1, 54, 0
INVAR-1, Run: 043, P, 217, 0, 0, 0, 0, 0, 113, 0, 1, 54, 0
INVAR-1, Run: 044, P, 216, 1, 0, 0, 0, 0, 112, 0, 1, 54, 0
INVAR-1, Run: 045, P, 190, 1, 0, 0, 0, 0, 99, 0, 1, 54, 0
INVAR-1, Run: 046, P, 193, 2, 0, 0, 0, 0, 100, 0, 1, 54, 0
INVAR-1, Run: 047, P, 146, 1, 0, 0, 0, 0, 77, 0, 1, 54, 0
INVAR-1, Run: 048, P, 230, 3, 0, 0, 0, 0, 118, 0, 1, 54, 0
INVAR-1, Run: 049, P, 194, 1, 0, 0, 0, 0, 101, 0, 1, 54, 0
INVAR-1, Run: 050, P, 192, 3, 0, 0, 0, 0, 99, 0, 1, 54, 0
INVAR-1, Run: 051, P, 205, 2, 0, 0, 0, 0, 106, 0, 1, 54, 0
INVAR-1, Run: 052, P, 186, 5, 0, 0, 0, 0, 95, 0, 1, 54, 0
INVAR-1, Run: 053, P, 215, 2, 0, 0, 0, 0, 111, 0, 1, 54, 0
INVAR-1, Run: 054, P, 201, 0, 0, 0, 0, 0, 105, 0, 1, 54, 0
INVAR-1, Run: 055, P, 226, 1, 0, 0, 0, 0, 117, 0, 1, 54, 0
INVAR-1, Run: 056, P, 183, 2, 0, 0, 0, 0, 95, 0, 1, 54, 0
INVAR-1, Run: 057, P, 175, 2, 0, 0, 0, 0, 91, 0, 1, 54, 0
INVAR-1, Run: 058, P, 197, 0, 0, 0, 0, 0, 103, 0, 1, 54, 0
INVAR-1, Run: 059, P, 217, 0, 0, 0, 0, 0, 113, 0, 1, 54, 0
INVAR-1, Run: 060, P, 220, 1, 0, 0, 0, 0, 114, 0, 1, 54, 0
INVAR-1, Run: 061, P, 208, 1, 0, 0, 0, 0, 108, 0, 1, 54, 0
INVAR-1, Run: 062, P, 240, 3, 0, 0, 0, 0, 123, 0, 1, 54, 0
INVAR-1, Run: 063, P, 205, 0, 0, 0, 0, 0, 107, 0, 1, 54, 0
INVAR-1, Run: 064, P, 197, 2, 0, 0, 0, 0, 102, 0, 1, 54, 0
INVAR-1, Run: 065, P, 205, 0, 0, 0, 0, 0, 107, 0, 1, 54, 0
