Input Number, Run_Number, Result@ 100, predator_g532, prey_Q2a, H1, prey_Q1b, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_H2, prey_H1, H2, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 054, P, 0, 1, 0, 1, 1, 4, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 104, 0, 0, 0, 0, 103, 103, 95, 95, 64, 27, 100, 27, 0, 37, 33, 36, 76, 30, 30, 27, 102, 82, 118, 117, 111, 110, 133, 133, 109, 69, 59, 34, 80, 34, 26, 28, 38, 27, 28, 33, 33, 99, 61, 0, 0, 0
INVAR-1, Run: 055, P, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 102, 0, 0, 0, 0, 112, 112, 97, 97, 70, 21, 102, 21, 0, 36, 26, 36, 97, 14, 14, 9, 105, 96, 107, 107, 96, 96, 96, 97, 93, 68, 60, 23, 95, 23, 34, 32, 24, 33, 33, 26, 26, 111, 73, 0, 0, 0
INVAR-1, Run: 056, P, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 2, 4, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 107, 0, 1, 1, 1, 109, 107, 96, 92, 83, 36, 106, 36, 0, 45, 31, 49, 42, 44, 44, 50, 92, 109, 109, 109, 105, 105, 120, 121, 118, 75, 72, 47, 107, 47, 41, 38, 42, 38, 38, 31, 31, 130, 81, 1, 0, 0
INVAR-1, Run: 057, P, 0, 0, 0, 4, 1, 2, 0, 0, 0, 1, 2, 2, 2, 1, 0, 0, 0, 1, 4, 0, 0, 2, 1, 3, 0, 0, 0, 1, 95, 0, 4, 3, 3, 98, 96, 90, 87, 48, 9, 93, 9, 1, 22, 24, 27, 103, 13, 13, 19, 118, 81, 121, 119, 110, 107, 112, 109, 104, 52, 41, 25, 81, 25, 17, 26, 51, 25, 26, 24, 24, 85, 56, 4, 0, 0
INVAR-1, Run: 058, P, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 101, 0, 15, 32, 32, 114, 114, 155, 139, 81, 23, 101, 23, 15, 38, 28, 63, 83, 26, 25, 23, 105, 114, 97, 96, 108, 108, 95, 95, 102, 62, 57, 20, 112, 19, 29, 40, 39, 42, 42, 28, 28, 135, 72, 15, 0, 0
INVAR-1, Run: 059, P, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 86, 0, 5, 7, 7, 104, 102, 94, 92, 28, 23, 86, 23, 1, 13, 31, 14, 101, 21, 20, 10, 111, 71, 130, 129, 97, 97, 95, 94, 99, 56, 64, 13, 70, 11, 33, 12, 42, 15, 15, 31, 31, 65, 50, 5, 0, 0
INVAR-1, Run: 060, P, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 3, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 108, 0, 3, 2, 2, 116, 115, 128, 125, 61, 26, 107, 25, 0, 29, 28, 48, 91, 28, 28, 21, 112, 100, 94, 93, 98, 97, 97, 97, 106, 53, 51, 26, 98, 26, 21, 33, 51, 32, 33, 29, 29, 96, 48, 3, 0, 0
INVAR-1, Run: 061, P, 0, 2, 0, 2, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 106, 0, 3, 5, 5, 94, 92, 68, 67, 85, 28, 106, 28, 0, 40, 41, 35, 71, 35, 35, 39, 109, 109, 101, 101, 97, 96, 99, 97, 114, 70, 72, 52, 108, 51, 31, 45, 41, 45, 46, 41, 41, 126, 91, 3, 0, 0
INVAR-1, Run: 062, P, 0, 2, 0, 1, 1, 3, 0, 0, 0, 1, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 1, 99, 0, 3, 6, 6, 103, 101, 118, 117, 51, 19, 96, 19, 1, 26, 29, 37, 82, 8, 7, 9, 91, 94, 86, 86, 134, 132, 123, 122, 124, 70, 63, 16, 92, 15, 33, 24, 51, 24, 25, 29, 29, 108, 71, 3, 0, 0
INVAR-1, Run: 063, P, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 2, 1, 0, 1, 1, 94, 0, 1, 2, 2, 79, 77, 91, 89, 64, 4, 94, 4, 0, 27, 29, 23, 95, 10, 10, 12, 106, 93, 93, 93, 107, 105, 90, 89, 91, 65, 51, 22, 93, 21, 20, 37, 24, 37, 38, 30, 29, 87, 64, 1, 0, 0
INVAR-1, Run: 064, P, 0, 2, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 97, 0, 6, 7, 7, 93, 92, 106, 104, 47, 23, 96, 23, 2, 22, 40, 23, 87, 36, 36, 24, 110, 93, 117, 117, 98, 97, 115, 116, 102, 53, 74, 53, 93, 53, 34, 26, 46, 25, 26, 40, 40, 93, 69, 6, 0, 0
INVAR-1, Run: 065, P, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 99, 0, 8, 6, 6, 83, 83, 87, 83, 65, 6, 99, 6, 4, 34, 18, 34, 84, 7, 7, 13, 97, 94, 109, 109, 93, 93, 83, 84, 78, 47, 43, 12, 94, 12, 24, 32, 29, 31, 32, 18, 18, 94, 60, 8, 0, 0
INVAR-1, Run: 066, P, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 1, 2, 0, 0, 5, 1, 0, 3, 0, 0, 1, 110, 0, 4, 6, 6, 115, 114, 136, 129, 57, 27, 109, 27, 6, 27, 36, 60, 75, 24, 24, 23, 96, 110, 91, 86, 110, 110, 104, 104, 115, 85, 71, 37, 110, 37, 30, 30, 29, 30, 30, 38, 38, 115, 55, 4, 0, 0
INVAR-1, Run: 067, P, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 1, 2, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 98, 0, 3, 3, 3, 123, 122, 124, 120, 50, 9, 96, 9, 2, 25, 18, 30, 85, 14, 14, 17, 101, 103, 99, 98, 102, 102, 84, 85, 80, 51, 35, 14, 103, 14, 17, 24, 28, 24, 24, 18, 18, 99, 68, 3, 0, 0
INVAR-1, Run: 068, P, 0, 1, 0, 2, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3, 1, 1, 1, 1, 91, 0, 3, 6, 6, 94, 94, 88, 86, 52, 23, 90, 23, 1, 30, 20, 24, 95, 15, 15, 16, 111, 98, 125, 124, 98, 95, 84, 83, 88, 48, 47, 19, 98, 19, 25, 22, 38, 22, 23, 21, 20, 90, 66, 3, 0, 0
INVAR-1, Run: 069, P, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 3, 0, 1, 0, 1, 89, 0, 3, 3, 3, 106, 105, 117, 115, 50, 12, 89, 12, 2, 29, 36, 35, 75, 9, 9, 8, 83, 76, 69, 69, 108, 105, 94, 93, 120, 82, 65, 12, 76, 12, 29, 20, 36, 20, 21, 36, 36, 81, 46, 3, 0, 0
INVAR-1, Run: 070, P, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 5, 1, 3, 0, 0, 1, 1, 105, 0, 4, 6, 6, 102, 102, 102, 100, 50, 39, 105, 38, 1, 9, 29, 46, 75, 18, 18, 12, 86, 107, 74, 69, 89, 86, 96, 95, 93, 67, 64, 25, 105, 25, 33, 41, 24, 40, 41, 31, 30, 106, 60, 4, 0, 0
INVAR-1, Run: 071, P, 0, 4, 0, 4, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 2, 2, 0, 0, 0, 3, 1, 0, 1, 2, 1, 0, 0, 1, 95, 0, 3, 1, 1, 93, 91, 90, 88, 53, 31, 95, 31, 1, 26, 29, 45, 91, 12, 11, 10, 101, 115, 129, 129, 98, 96, 100, 93, 102, 58, 54, 18, 113, 14, 22, 24, 39, 27, 28, 31, 31, 102, 57, 3, 0, 0
INVAR-1, Run: 072, P, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 99, 0, 1, 0, 0, 83, 83, 92, 90, 82, 36, 99, 35, 0, 38, 28, 39, 79, 35, 34, 24, 102, 122, 86, 85, 96, 96, 100, 100, 101, 57, 60, 37, 121, 36, 31, 43, 42, 43, 44, 29, 29, 108, 69, 1, 0, 0
INVAR-1, Run: 073, P, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 4, 3, 2, 0, 0, 4, 2, 1, 5, 1, 0, 1, 1, 1, 0, 0, 0, 1, 90, 0, 0, 0, 0, 106, 102, 95, 92, 65, 29, 89, 27, 0, 36, 32, 17, 83, 19, 19, 16, 94, 79, 93, 92, 103, 102, 91, 90, 116, 78, 64, 22, 73, 21, 30, 28, 37, 29, 29, 34, 34, 79, 60, 0, 0, 0
INVAR-1, Run: 074, P, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 1, 3, 2, 0, 1, 5, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 92, 0, 6, 2, 2, 90, 89, 94, 91, 62, 24, 90, 24, 0, 36, 27, 30, 109, 11, 11, 18, 126, 75, 100, 100, 87, 87, 91, 92, 85, 50, 58, 17, 70, 17, 30, 26, 34, 26, 26, 28, 28, 76, 44, 6, 0, 0
INVAR-1, Run: 075, P, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 2, 3, 1, 0, 0, 0, 1, 0, 2, 0, 1, 2, 1, 1, 0, 1, 0, 1, 103, 0, 1, 1, 1, 92, 90, 129, 126, 45, 57, 102, 56, 0, 27, 42, 41, 83, 7, 6, 11, 92, 116, 80, 78, 105, 104, 103, 101, 117, 82, 76, 17, 115, 16, 33, 17, 34, 18, 19, 43, 43, 110, 68, 1, 0, 0
INVAR-1, Run: 076, P, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 1, 102, 0, 2, 1, 1, 99, 98, 106, 106, 64, 25, 102, 25, 0, 30, 40, 43, 108, 27, 27, 16, 123, 103, 97, 97, 98, 96, 87, 85, 78, 46, 71, 36, 103, 35, 31, 34, 31, 34, 35, 40, 40, 118, 75, 2, 0, 0
INVAR-1, Run: 077, P, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 5, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 99, 0, 3, 2, 2, 103, 102, 87, 86, 53, 23, 97, 23, 0, 31, 39, 25, 102, 15, 15, 5, 106, 84, 116, 115, 106, 105, 109, 109, 128, 81, 92, 10, 79, 10, 53, 22, 45, 22, 23, 39, 39, 89, 64, 3, 0, 0
INVAR-1, Run: 078, P, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 3, 1, 0, 1, 3, 1, 3, 1, 0, 0, 1, 1, 0, 0, 1, 1, 99, 0, 8, 6, 6, 102, 102, 100, 95, 65, 29, 99, 26, 5, 30, 32, 36, 100, 8, 8, 4, 101, 88, 115, 115, 103, 102, 96, 95, 100, 75, 64, 12, 84, 11, 28, 34, 24, 34, 35, 36, 35, 92, 53, 8, 0, 0
INVAR-1, Run: 079, P, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 3, 1, 0, 0, 1, 0, 1, 95, 0, 8, 11, 11, 83, 82, 99, 96, 56, 27, 95, 27, 2, 23, 22, 32, 119, 14, 14, 10, 128, 98, 112, 109, 103, 103, 100, 101, 92, 44, 38, 22, 97, 22, 16, 31, 47, 32, 32, 22, 22, 96, 63, 8, 0, 0
INVAR-1, Run: 080, P, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 89, 0, 7, 3, 3, 113, 112, 122, 121, 59, 21, 88, 21, 0, 34, 26, 43, 101, 3, 3, 5, 106, 87, 113, 113, 94, 93, 104, 105, 106, 56, 46, 8, 83, 8, 20, 24, 49, 25, 26, 26, 26, 101, 58, 7, 0, 0
INVAR-1, Run: 081, P, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 97, 0, 1, 0, 0, 92, 92, 91, 90, 37, 33, 96, 33, 0, 21, 39, 33, 91, 6, 6, 8, 98, 97, 98, 97, 103, 102, 113, 114, 116, 71, 70, 15, 96, 15, 30, 17, 44, 16, 17, 40, 40, 83, 50, 1, 0, 0
INVAR-1, Run: 082, P, 0, 0, 0, 3, 1, 3, 0, 0, 0, 1, 1, 2, 0, 0, 1, 1, 0, 0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 1, 105, 0, 12, 16, 16, 104, 103, 116, 110, 64, 17, 102, 17, 4, 28, 20, 49, 93, 23, 22, 16, 109, 103, 106, 104, 90, 90, 94, 90, 89, 49, 43, 56, 102, 54, 22, 35, 39, 36, 37, 21, 21, 100, 51, 12, 0, 0
INVAR-1, Run: 083, P, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 92, 0, 0, 0, 0, 112, 111, 100, 100, 65, 19, 91, 19, 0, 31, 21, 21, 88, 21, 21, 29, 117, 86, 152, 152, 93, 91, 101, 99, 94, 43, 45, 45, 83, 45, 24, 34, 50, 34, 35, 21, 21, 94, 73, 0, 0, 0
INVAR-1, Run: 084, P, 0, 0, 2, 3, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 118, 0, 1, 2, 2, 101, 99, 112, 110, 61, 53, 118, 53, 0, 34, 27, 51, 92, 12, 12, 10, 101, 147, 96, 96, 100, 99, 107, 105, 99, 63, 50, 34, 145, 34, 23, 26, 35, 27, 26, 27, 27, 125, 74, 1, 0, 0
INVAR-1, Run: 085, P, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 3, 0, 0, 1, 1, 0, 1, 1, 0, 1, 102, 0, 6, 5, 5, 120, 120, 148, 145, 77, 8, 102, 8, 3, 33, 19, 57, 67, 38, 38, 28, 92, 93, 129, 128, 114, 114, 127, 128, 114, 63, 54, 79, 92, 79, 34, 42, 50, 44, 43, 19, 19, 128, 70, 6, 0, 0
INVAR-1, Run: 086, P, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 4, 5, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 1, 1, 3, 1, 88, 0, 7, 13, 13, 88, 84, 81, 74, 52, 17, 86, 17, 2, 27, 33, 16, 83, 19, 19, 18, 99, 91, 95, 95, 98, 98, 108, 109, 88, 62, 67, 29, 91, 29, 30, 24, 25, 24, 25, 36, 33, 71, 55, 7, 0, 0
INVAR-1, Run: 087, P, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 100, 0, 4, 3, 3, 107, 106, 105, 105, 60, 28, 100, 27, 0, 27, 23, 37, 68, 24, 24, 23, 90, 86, 92, 92, 110, 109, 91, 90, 99, 56, 55, 25, 85, 24, 30, 33, 42, 33, 34, 25, 25, 93, 56, 4, 0, 0
INVAR-1, Run: 088, P, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 2, 0, 3, 1, 1, 0, 0, 0, 2, 1, 2, 0, 3, 0, 1, 113, 0, 8, 7, 7, 90, 89, 92, 88, 98, 42, 112, 41, 3, 48, 45, 32, 97, 19, 19, 8, 105, 120, 109, 107, 94, 92, 94, 95, 100, 70, 78, 26, 116, 26, 32, 46, 28, 48, 49, 46, 46, 121, 88, 8, 0, 0
INVAR-1, Run: 089, P, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 1, 1, 90, 0, 7, 15, 15, 100, 97, 85, 84, 67, 28, 90, 28, 1, 35, 36, 35, 71, 21, 20, 23, 92, 94, 100, 99, 101, 100, 90, 90, 108, 65, 69, 28, 94, 27, 31, 31, 41, 32, 32, 38, 37, 104, 69, 7, 0, 0
INVAR-1, Run: 090, P, 0, 2, 1, 2, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 4, 1, 2, 1, 1, 102, 0, 2, 3, 3, 82, 81, 89, 89, 66, 29, 101, 29, 0, 36, 45, 40, 82, 34, 33, 44, 124, 111, 105, 105, 91, 87, 113, 110, 119, 69, 86, 30, 110, 28, 39, 26, 47, 30, 30, 46, 45, 119, 78, 2, 0, 0
INVAR-1, Run: 091, P, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 4, 1, 2, 0, 0, 0, 1, 103, 0, 5, 5, 5, 118, 118, 83, 82, 92, 24, 103, 24, 1, 43, 26, 35, 95, 12, 12, 13, 107, 105, 104, 100, 95, 93, 91, 91, 91, 57, 59, 11, 105, 11, 33, 50, 33, 49, 50, 26, 26, 106, 71, 5, 0, 0
INVAR-1, Run: 092, P, 0, 0, 2, 1, 1, 1, 0, 0, 0, 1, 2, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 101, 0, 2, 0, 0, 103, 101, 107, 105, 50, 29, 100, 29, 0, 21, 31, 39, 81, 15, 15, 15, 95, 95, 125, 124, 107, 106, 84, 84, 121, 59, 61, 21, 94, 21, 29, 27, 61, 29, 28, 31, 31, 89, 49, 2, 0, 0
INVAR-1, Run: 093, P, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 4, 1, 0, 0, 0, 1, 1, 88, 0, 8, 10, 10, 96, 96, 70, 63, 69, 10, 87, 10, 7, 31, 17, 18, 94, 26, 26, 33, 127, 81, 119, 115, 107, 107, 103, 103, 93, 55, 47, 47, 79, 47, 29, 38, 37, 38, 38, 18, 17, 93, 74, 8, 0, 0
INVAR-1, Run: 094, P, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 1, 3, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 98, 0, 6, 6, 6, 101, 99, 84, 83, 67, 26, 96, 26, 0, 29, 22, 35, 63, 30, 30, 31, 94, 103, 73, 73, 98, 98, 97, 98, 76, 46, 54, 33, 103, 33, 32, 36, 29, 36, 37, 22, 22, 110, 72, 6, 0, 0
INVAR-1, Run: 095, P, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 1, 0, 1, 1, 1, 104, 0, 2, 6, 6, 73, 73, 76, 73, 76, 19, 104, 19, 3, 40, 20, 26, 60, 36, 35, 24, 82, 80, 89, 88, 90, 89, 91, 91, 82, 59, 41, 40, 80, 39, 20, 35, 22, 36, 37, 21, 20, 108, 82, 2, 0, 0
INVAR-1, Run: 096, P, 0, 1, 0, 2, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 3, 0, 1, 1, 1, 1, 1, 0, 0, 1, 114, 0, 2, 3, 3, 100, 100, 102, 101, 68, 33, 113, 32, 1, 39, 27, 60, 85, 24, 23, 18, 100, 134, 122, 121, 96, 95, 95, 93, 100, 55, 56, 46, 132, 45, 27, 29, 43, 29, 30, 28, 28, 126, 65, 2, 0, 0
INVAR-1, Run: 097, P, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 110, 0, 0, 0, 0, 72, 72, 90, 89, 55, 19, 109, 19, 0, 34, 31, 18, 83, 13, 13, 9, 92, 105, 105, 105, 107, 106, 133, 134, 124, 69, 55, 18, 104, 18, 23, 21, 54, 21, 22, 32, 32, 78, 60, 0, 0, 0
INVAR-1, Run: 098, P, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 92, 0, 1, 0, 0, 112, 110, 130, 129, 60, 36, 91, 36, 0, 37, 43, 34, 73, 19, 19, 23, 95, 73, 112, 111, 108, 108, 112, 113, 113, 59, 80, 25, 73, 25, 36, 24, 53, 23, 24, 44, 44, 86, 51, 1, 0, 0
INVAR-1, Run: 099, P, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 101, 0, 4, 2, 2, 101, 101, 93, 91, 64, 18, 100, 17, 0, 36, 19, 45, 100, 6, 6, 7, 107, 124, 104, 104, 85, 84, 85, 85, 91, 48, 46, 8, 121, 8, 26, 29, 42, 28, 29, 20, 20, 104, 58, 4, 0, 0
INVAR-1, Run: 100, P, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 1, 0, 0, 0, 3, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 1, 1, 83, 0, 4, 3, 3, 103, 101, 87, 86, 59, 14, 81, 14, 0, 31, 26, 34, 79, 34, 33, 32, 110, 83, 93, 91, 88, 88, 98, 98, 87, 58, 46, 40, 80, 39, 19, 28, 28, 28, 29, 27, 26, 87, 53, 4, 0, 0
