Input Number, Run_Number, Result@ 100, predator_g532, prey_Q2a, H1, prey_Q1b, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_H2, prey_H1, H2, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 015, P, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 0, 2, 1, 1, 1, 1, 1, 1, 117, 0, 5, 0, 0, 102, 102, 111, 111, 62, 34, 116, 32, 0, 29, 27, 44, 61, 22, 22, 21, 81, 116, 63, 61, 103, 102, 91, 91, 99, 79, 62, 23, 114, 23, 30, 33, 19, 33, 34, 31, 30, 119, 75, 5, 0, 0
INVAR-1, Run: 016, P, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 1, 4, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 1, 89, 4, 7, 5, 5, 90, 89, 85, 81, 57, 29, 89, 29, 0, 27, 32, 29, 95, 16, 16, 11, 104, 88, 84, 84, 104, 103, 108, 108, 98, 68, 67, 29, 88, 29, 34, 31, 27, 30, 31, 33, 33, 86, 57, 3, 2, 2
INVAR-1, Run: 017, P, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 3, 0, 0, 0, 0, 2, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 1, 97, 0, 2, 0, 0, 87, 86, 96, 93, 32, 30, 96, 28, 0, 15, 26, 37, 66, 12, 11, 20, 84, 93, 58, 57, 96, 96, 103, 102, 86, 67, 77, 26, 91, 25, 49, 17, 18, 17, 18, 28, 28, 77, 40, 2, 0, 0
INVAR-1, Run: 018, P, 0, 4, 0, 0, 1, 3, 0, 0, 0, 1, 2, 2, 0, 0, 0, 2, 0, 1, 2, 0, 0, 3, 1, 2, 2, 0, 0, 1, 105, 0, 3, 3, 3, 108, 106, 113, 108, 48, 10, 102, 10, 3, 30, 18, 38, 110, 1, 1, 0, 108, 98, 114, 111, 96, 94, 77, 78, 79, 45, 38, 3, 96, 3, 18, 19, 29, 18, 19, 18, 18, 98, 60, 3, 0, 0
INVAR-1, Run: 019, P, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 2, 1, 1, 3, 1, 3, 0, 0, 0, 1, 95, 0, 8, 11, 11, 93, 92, 90, 83, 72, 26, 94, 26, 6, 34, 27, 30, 84, 16, 15, 18, 100, 119, 113, 110, 123, 120, 119, 118, 109, 71, 63, 25, 118, 23, 36, 35, 36, 37, 37, 27, 27, 104, 73, 8, 0, 0
INVAR-1, Run: 020, P, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 3, 1, 0, 0, 0, 0, 1, 97, 0, 2, 1, 1, 115, 114, 110, 108, 36, 19, 96, 19, 2, 18, 14, 32, 90, 14, 14, 11, 100, 93, 97, 94, 100, 100, 93, 93, 78, 46, 33, 15, 93, 14, 18, 18, 31, 18, 19, 15, 15, 85, 53, 2, 0, 0
INVAR-1, Run: 021, P, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 110, 0, 6, 5, 5, 88, 87, 80, 79, 79, 27, 110, 27, 1, 34, 20, 37, 86, 37, 36, 40, 126, 112, 130, 130, 99, 98, 82, 82, 107, 56, 51, 53, 112, 52, 30, 44, 50, 44, 45, 21, 21, 104, 66, 6, 0, 0
INVAR-1, Run: 022, P, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 86, 0, 9, 10, 10, 82, 81, 76, 73, 57, 23, 85, 23, 2, 33, 32, 26, 82, 5, 5, 11, 93, 73, 76, 76, 91, 90, 90, 91, 79, 60, 61, 15, 73, 15, 29, 25, 18, 24, 25, 32, 32, 86, 60, 9, 0, 0
INVAR-1, Run: 023, P, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 113, 0, 1, 1, 1, 98, 98, 76, 73, 56, 29, 112, 29, 1, 30, 31, 20, 93, 18, 18, 15, 108, 106, 114, 114, 100, 100, 100, 101, 97, 53, 51, 27, 105, 27, 20, 27, 43, 26, 27, 31, 31, 93, 73, 1, 0, 0
INVAR-1, Run: 024, P, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 2, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 97, 0, 4, 3, 3, 97, 95, 104, 101, 47, 18, 96, 18, 0, 21, 30, 35, 81, 17, 17, 21, 101, 94, 94, 94, 99, 98, 80, 81, 80, 53, 69, 24, 94, 24, 39, 26, 26, 26, 26, 30, 30, 92, 57, 4, 0, 0
