Input Number, Run_Number, Result@ 100, X2, Y
In32, Run: 023, E, 50, 0
In32, Run: 024, E, 50, 0
In32, Run: 025, E, 50, 0
In32, Run: 026, E, 50, 0
In32, Run: 027, E, 50, 0
In32, Run: 028, E, 50, 0
In32, Run: 029, E, 50, 0
In32, Run: 030, E, 50, 0
In32, Run: 031, E, 50, 0
In32, Run: 032, E, 50, 0
In32, Run: 033, E, 50, 0
In32, Run: 034, E, 50, 0
In32, Run: 035, E, 50, 0
In32, Run: 036, E, 50, 0
In32, Run: 037, E, 50, 0
In32, Run: 038, E, 50, 0
In32, Run: 039, E, 50, 0
In32, Run: 040, E, 50, 0
In32, Run: 041, E, 50, 0
In32, Run: 042, E, 50, 0
In32, Run: 043, E, 50, 0
In32, Run: 044, E, 50, 0
In32, Run: 045, E, 50, 0
In32, Run: 046, E, 50, 0
In32, Run: 047, E, 50, 0
In32, Run: 048, E, 50, 0
In32, Run: 049, E, 50, 0
In32, Run: 050, E, 50, 0
In32, Run: 051, E, 50, 0
In32, Run: 052, E, 50, 0
In32, Run: 053, E, 50, 0
In32, Run: 054, E, 50, 0
In32, Run: 055, E, 50, 0
In32, Run: 056, E, 50, 0
In32, Run: 057, E, 50, 0
In32, Run: 058, E, 50, 0
In32, Run: 059, E, 50, 0
In32, Run: 060, E, 50, 0
In32, Run: 061, E, 50, 0
In32, Run: 062, E, 50, 0
In32, Run: 063, E, 50, 0
In32, Run: 064, E, 50, 0
In32, Run: 065, E, 50, 0
In32, Run: 066, E, 50, 0
In32, Run: 067, E, 50, 0
In32, Run: 068, E, 50, 0
In32, Run: 069, E, 50, 0
In32, Run: 070, E, 50, 0
In32, Run: 071, E, 50, 0
In32, Run: 072, E, 50, 0
In32, Run: 073, E, 50, 0
In32, Run: 074, E, 50, 0
In32, Run: 075, E, 50, 0
In32, Run: 076, E, 50, 0
In32, Run: 077, E, 50, 0
In32, Run: 078, E, 50, 0
In32, Run: 079, E, 50, 0
In32, Run: 080, E, 50, 0
