Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, R, U, L2, T6, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 026, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 1, 1, 47, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 104, 62, 245, 49566, 49053, 48573, 48030, 513, 853, 479, 542, 47983, 0, 0, 0, 660, 511, 407, 345, 193, 149
INVAR-1, Run: 027, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 1, 2, 1, 46, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 51, 32, 92, 49267, 48746, 48245, 47787, 520, 520, 499, 457, 47741, 0, 0, 0, 378, 275, 224, 192, 142, 103
INVAR-1, Run: 028, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 117, 66, 75, 49592, 49096, 48565, 48098, 496, 942, 530, 467, 48049, 0, 0, 0, 577, 358, 241, 175, 365, 219
INVAR-1, Run: 029, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 104, 53, 90, 49467, 48931, 48454, 47977, 536, 712, 477, 476, 47928, 0, 0, 0, 486, 347, 243, 190, 226, 139
INVAR-1, Run: 030, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 0, 1, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 137, 77, 151, 49632, 49112, 48609, 48122, 520, 1025, 503, 486, 48074, 0, 0, 0, 670, 465, 328, 251, 355, 205
INVAR-1, Run: 031, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 44, 19, 35, 49294, 48770, 48284, 47828, 524, 427, 486, 456, 47778, 0, 0, 0, 288, 198, 154, 135, 139, 90
INVAR-1, Run: 032, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 10, 1, 2, 10, 83, 51, 89, 49573, 49074, 48562, 48047, 499, 751, 512, 514, 47998, 0, 0, 0, 500, 323, 240, 189, 251, 177
INVAR-1, Run: 033, E, 0, 0, 0, 10, 0, 0, 0, 100, 1, 0, 0, 0, 49, 1, 6, 0, 0, 0, 0, 15, 16, 7, 15, 112, 65, 107, 49827, 49332, 48796, 48316, 495, 932, 536, 480, 48267, 0, 0, 0, 583, 384, 272, 207, 349, 199
INVAR-1, Run: 034, E, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 49552, 49075, 48573, 48103, 477, 100, 502, 470, 48053, 0, 0, 0, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 035, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 2, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 64, 41, 44, 49614, 49128, 48622, 48116, 486, 637, 504, 506, 48068, 0, 0, 0, 390, 249, 185, 144, 247, 141
INVAR-1, Run: 036, E, 0, 10, 0, 0, 0, 0, 0, 100, 2, 0, 0, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 70, 46, 66, 49566, 49080, 48561, 48075, 486, 546, 519, 486, 48027, 0, 0, 0, 379, 282, 212, 166, 167, 97
INVAR-1, Run: 037, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 1, 1, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 95, 81, 117, 49409, 48907, 48425, 47926, 501, 840, 481, 499, 47878, 0, 0, 0, 556, 393, 298, 217, 284, 163
INVAR-1, Run: 038, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 2, 0, 1, 47, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 85, 45, 79, 49650, 49104, 48575, 48071, 544, 710, 529, 503, 48024, 0, 0, 0, 449, 309, 224, 179, 261, 140
INVAR-1, Run: 039, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 1, 0, 0, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 91, 69, 101, 49542, 49052, 48574, 48080, 489, 790, 478, 494, 48031, 0, 0, 0, 526, 361, 270, 201, 264, 165
INVAR-1, Run: 040, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 115, 62, 76, 49557, 49025, 48480, 47992, 532, 997, 545, 487, 47943, 0, 0, 0, 584, 353, 238, 176, 413, 231
INVAR-1, Run: 041, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 100, 60, 113, 49077, 48574, 48032, 47581, 503, 669, 542, 451, 47531, 0, 0, 0, 495, 373, 273, 213, 174, 122
INVAR-1, Run: 042, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 1, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 59, 37, 57, 49534, 49032, 48516, 48028, 502, 556, 515, 488, 47980, 0, 0, 0, 374, 253, 194, 157, 182, 121
INVAR-1, Run: 043, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 0, 0, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 57, 25, 30, 49476, 48957, 48460, 48005, 519, 560, 497, 455, 47956, 0, 0, 0, 335, 212, 155, 130, 225, 123
INVAR-1, Run: 044, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 3, 0, 0, 47, 1, 6, 0, 0, 0, 0, 10, 1, 2, 10, 154, 78, 158, 49577, 49097, 48591, 48103, 477, 1081, 506, 488, 48056, 0, 0, 0, 698, 490, 336, 258, 383, 208
INVAR-1, Run: 045, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 58, 31, 41, 49136, 48611, 48141, 47665, 525, 403, 470, 476, 47615, 0, 0, 0, 291, 230, 172, 141, 112, 61
INVAR-1, Run: 046, E, 0, 10, 0, 0, 0, 0, 0, 100, 2, 1, 1, 0, 46, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 105, 60, 78, 49314, 48805, 48301, 47836, 508, 871, 503, 465, 47790, 0, 0, 0, 537, 343, 238, 178, 334, 194
INVAR-1, Run: 047, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 1, 2, 47, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 121, 76, 147, 49908, 49386, 48887, 48402, 522, 920, 498, 483, 48355, 0, 0, 0, 614, 444, 323, 247, 306, 170
INVAR-1, Run: 048, E, 0, 0, 0, 10, 0, 0, 0, 100, 0, 2, 0, 2, 46, 1, 6, 0, 0, 0, 0, 8, 9, 0, 8, 77, 56, 182, 49787, 49293, 48771, 48216, 492, 718, 522, 553, 48170, 0, 0, 0, 532, 415, 338, 282, 186, 117
INVAR-1, Run: 049, E, 0, 0, 0, 10, 0, 0, 0, 100, 0, 0, 1, 0, 49, 1, 6, 0, 0, 0, 0, 8, 9, 0, 8, 85, 55, 122, 49051, 48534, 48072, 47587, 517, 774, 461, 485, 47538, 0, 0, 0, 510, 362, 277, 222, 264, 148
INVAR-1, Run: 050, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 63, 31, 42, 49368, 48851, 48349, 47880, 517, 531, 501, 469, 47831, 0, 0, 0, 343, 236, 173, 142, 188, 107
INVAR-1, Run: 051, E, 0, 10, 0, 0, 0, 0, 0, 100, 2, 1, 0, 0, 47, 1, 6, 0, 0, 0, 0, 10, 1, 2, 10, 84, 36, 42, 49556, 49064, 48529, 48046, 491, 707, 535, 483, 47999, 0, 0, 0, 414, 262, 178, 142, 293, 152
INVAR-1, Run: 052, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 0, 0, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 77, 45, 154, 49579, 49111, 48543, 48011, 468, 745, 568, 532, 47962, 0, 0, 0, 528, 376, 299, 254, 217, 152
INVAR-1, Run: 053, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 1, 0, 0, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 64, 45, 103, 49469, 48974, 48505, 48009, 494, 585, 469, 496, 47960, 0, 0, 0, 411, 312, 248, 203, 174, 99
INVAR-1, Run: 054, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 1, 2, 0, 47, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 74, 42, 107, 49614, 49113, 48611, 48133, 500, 669, 500, 478, 48086, 0, 0, 0, 436, 323, 249, 207, 233, 113
INVAR-1, Run: 055, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 1, 0, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 71, 47, 102, 49518, 49014, 48523, 48020, 503, 566, 491, 503, 47972, 0, 0, 0, 399, 320, 249, 202, 167, 79
INVAR-1, Run: 056, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 1, 0, 0, 49, 1, 6, 0, 0, 0, 0, 10, 1, 2, 10, 85, 42, 80, 49534, 49027, 48524, 48021, 506, 723, 503, 503, 47972, 0, 0, 0, 456, 307, 222, 180, 267, 149
INVAR-1, Run: 057, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 1, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 67, 41, 79, 49552, 49029, 48572, 48090, 523, 599, 456, 482, 48042, 0, 0, 0, 409, 287, 220, 179, 190, 122
INVAR-1, Run: 058, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 1, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 61, 37, 64, 49378, 48868, 48374, 47864, 510, 516, 493, 510, 47816, 0, 0, 0, 364, 262, 201, 164, 152, 102
INVAR-1, Run: 059, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 1, 0, 1, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 104, 50, 95, 49376, 48865, 48332, 47843, 510, 831, 533, 488, 47795, 0, 0, 0, 530, 349, 245, 195, 301, 181
INVAR-1, Run: 060, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 2, 0, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 45, 32, 51, 49761, 49260, 48726, 48247, 499, 407, 534, 479, 48199, 0, 0, 0, 305, 228, 183, 151, 102, 77
INVAR-1, Run: 061, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 1, 1, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 65, 55, 80, 49296, 48775, 48298, 47810, 521, 569, 476, 487, 47762, 0, 0, 0, 417, 300, 235, 180, 152, 117
INVAR-1, Run: 062, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 93, 58, 93, 49665, 49149, 48662, 48187, 516, 745, 487, 475, 48137, 0, 0, 0, 496, 344, 251, 193, 249, 152
INVAR-1, Run: 063, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 1, 1, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 123, 52, 175, 49571, 49047, 48539, 48069, 524, 936, 507, 469, 48021, 0, 0, 0, 650, 450, 327, 275, 286, 200
INVAR-1, Run: 064, E, 0, 0, 0, 10, 0, 0, 0, 100, 0, 1, 0, 1, 48, 1, 6, 0, 0, 0, 0, 8, 9, 0, 8, 76, 37, 56, 49418, 48948, 48445, 47980, 469, 576, 503, 464, 47932, 0, 0, 0, 381, 269, 193, 156, 195, 112
INVAR-1, Run: 065, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 90, 44, 53, 49737, 49188, 48700, 48202, 549, 560, 487, 498, 48153, 0, 0, 0, 389, 287, 197, 153, 171, 102
INVAR-1, Run: 066, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 0, 1, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 45, 43, 37, 49388, 48882, 48401, 47922, 506, 461, 481, 478, 47874, 0, 0, 0, 310, 225, 180, 137, 151, 85
INVAR-1, Run: 067, E, 10, 0, 0, 0, 0, 0, 0, 100, 0, 1, 0, 0, 49, 1, 6, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 49581, 49094, 48611, 48101, 486, 100, 483, 510, 48052, 0, 0, 0, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 068, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 1, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 19, 16, 17, 49417, 48919, 48425, 47934, 498, 315, 493, 491, 47886, 0, 0, 0, 204, 152, 133, 117, 111, 52
INVAR-1, Run: 069, E, 0, 10, 0, 0, 0, 0, 0, 100, 2, 1, 0, 1, 46, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 120, 62, 94, 49495, 48976, 48479, 48018, 518, 969, 497, 460, 47972, 0, 0, 0, 577, 376, 256, 194, 392, 201
INVAR-1, Run: 070, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 64, 35, 38, 49366, 48868, 48368, 47889, 498, 611, 500, 479, 47839, 0, 0, 0, 359, 237, 173, 138, 252, 122
INVAR-1, Run: 071, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 63, 48, 59, 49437, 48958, 48450, 47971, 479, 582, 508, 479, 47921, 0, 0, 0, 393, 270, 207, 159, 189, 123
INVAR-1, Run: 072, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 1, 1, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 62, 57, 83, 49215, 48705, 48203, 47754, 510, 548, 501, 448, 47706, 0, 0, 0, 408, 302, 240, 183, 140, 106
INVAR-1, Run: 073, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 1, 0, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 58, 25, 25, 49533, 49068, 48586, 48112, 464, 433, 482, 474, 48064, 0, 0, 0, 290, 208, 150, 125, 143, 82
INVAR-1, Run: 074, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 63, 33, 81, 49597, 49045, 48553, 48062, 552, 567, 492, 490, 48013, 0, 0, 0, 375, 277, 214, 181, 192, 98
INVAR-1, Run: 075, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 25, 19, 44, 49492, 48990, 48508, 48044, 502, 271, 482, 464, 47994, 0, 0, 0, 230, 188, 163, 144, 41, 42
INVAR-1, Run: 076, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 1, 1, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 99, 66, 145, 49363, 48859, 48377, 47858, 504, 802, 481, 518, 47810, 0, 0, 0, 560, 410, 311, 245, 242, 150
INVAR-1, Run: 077, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 1, 1, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 47, 21, 32, 49529, 49030, 48578, 48088, 499, 451, 451, 489, 48040, 0, 0, 0, 294, 200, 153, 132, 157, 94
INVAR-1, Run: 078, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 65, 47, 83, 49138, 48659, 48174, 47672, 479, 628, 485, 502, 47622, 0, 0, 0, 418, 295, 230, 183, 210, 123
INVAR-1, Run: 079, E, 0, 0, 0, 10, 0, 0, 0, 100, 1, 1, 0, 0, 48, 1, 6, 0, 0, 0, 0, 8, 9, 0, 8, 58, 23, 23, 49607, 49076, 48600, 48089, 530, 441, 476, 511, 48041, 0, 0, 0, 304, 204, 146, 123, 137, 100
INVAR-1, Run: 080, E, 10, 0, 0, 0, 0, 0, 0, 100, 0, 1, 0, 1, 48, 1, 6, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 49510, 49066, 48628, 48123, 443, 100, 438, 504, 48075, 0, 0, 0, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 081, E, 0, 0, 0, 10, 0, 0, 0, 100, 0, 0, 1, 0, 49, 1, 6, 0, 0, 0, 0, 8, 9, 0, 8, 61, 45, 59, 49467, 48992, 48481, 47980, 475, 683, 510, 501, 47931, 0, 0, 0, 414, 265, 204, 159, 269, 149
INVAR-1, Run: 082, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 2, 0, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 62, 37, 63, 49809, 49335, 48840, 48361, 472, 489, 495, 479, 48313, 0, 0, 0, 343, 262, 200, 163, 146, 81
INVAR-1, Run: 083, E, 0, 10, 0, 0, 0, 0, 0, 100, 2, 0, 2, 0, 46, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 107, 58, 142, 49458, 48976, 48444, 47923, 482, 880, 530, 521, 47877, 0, 0, 0, 610, 407, 300, 242, 270, 203
INVAR-1, Run: 084, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 50, 20, 21, 49439, 48980, 48489, 48007, 459, 454, 490, 482, 47958, 0, 0, 0, 280, 191, 141, 121, 174, 89
INVAR-1, Run: 085, E, 10, 0, 0, 0, 0, 0, 0, 100, 1, 1, 0, 0, 48, 1, 6, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 49183, 48699, 48221, 47713, 483, 100, 478, 508, 47665, 0, 0, 0, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 086, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 1, 1, 1, 46, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 58, 35, 64, 50002, 49492, 49010, 48552, 509, 488, 481, 457, 48506, 0, 0, 0, 341, 257, 199, 164, 147, 84
INVAR-1, Run: 087, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 59, 54, 55, 49829, 49320, 48808, 48332, 509, 543, 512, 475, 48283, 0, 0, 0, 385, 268, 209, 155, 158, 117
INVAR-1, Run: 088, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 1, 1, 0, 47, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 96, 69, 138, 49831, 49295, 48789, 48277, 535, 972, 505, 512, 48230, 0, 0, 0, 594, 403, 307, 238, 378, 191
INVAR-1, Run: 089, E, 10, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 8, 9, 10, 8, 86, 57, 96, 49676, 49166, 48669, 48141, 510, 796, 497, 528, 48091, 0, 0, 0, 526, 339, 253, 196, 270, 187
INVAR-1, Run: 090, E, 0, 0, 0, 10, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 9, 10, 1, 9, 82, 71, 159, 49612, 49151, 48644, 48142, 461, 680, 507, 501, 48093, 0, 0, 0, 529, 412, 330, 259, 151, 117
INVAR-1, Run: 091, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 68, 29, 61, 49589, 49065, 48581, 48089, 524, 531, 484, 492, 48039, 0, 0, 0, 354, 258, 190, 161, 177, 96
INVAR-1, Run: 092, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 1, 0, 0, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 72, 42, 70, 49734, 49212, 48710, 48187, 521, 614, 502, 523, 48138, 0, 0, 0, 415, 284, 212, 170, 199, 131
INVAR-1, Run: 093, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 0, 0, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 46, 27, 32, 50167, 49672, 49206, 48668, 495, 467, 466, 538, 48619, 0, 0, 0, 298, 205, 159, 132, 169, 93
INVAR-1, Run: 094, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 57, 35, 44, 49465, 48977, 48460, 47974, 488, 490, 517, 485, 47925, 0, 0, 0, 327, 236, 179, 144, 163, 91
INVAR-1, Run: 095, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 94, 50, 120, 49606, 49111, 48645, 48184, 495, 687, 466, 461, 48134, 0, 0, 0, 492, 364, 270, 220, 195, 128
INVAR-1, Run: 096, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 91, 56, 105, 49313, 48787, 48267, 47797, 526, 675, 520, 470, 47747, 0, 0, 0, 498, 352, 261, 205, 177, 146
INVAR-1, Run: 097, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 2, 0, 0, 47, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 73, 36, 80, 49404, 48883, 48417, 47879, 519, 539, 466, 538, 47832, 0, 0, 0, 375, 289, 216, 180, 164, 86
INVAR-1, Run: 098, E, 0, 0, 0, 10, 0, 0, 0, 100, 1, 0, 0, 0, 49, 1, 6, 0, 0, 0, 0, 8, 9, 0, 8, 67, 36, 74, 49351, 48852, 48369, 47808, 499, 587, 483, 561, 47759, 0, 0, 0, 389, 277, 210, 174, 198, 112
INVAR-1, Run: 099, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 1, 0, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 51, 33, 69, 49529, 49055, 48530, 48052, 473, 437, 525, 478, 48004, 0, 0, 0, 318, 253, 202, 169, 119, 65
INVAR-1, Run: 100, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 79, 62, 111, 49334, 48810, 48293, 47783, 524, 713, 517, 510, 47733, 0, 0, 0, 513, 352, 273, 211, 200, 161
INVAR-2, Run: 001, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 1, 0, 49, 1, 6, 0, 0, 0, 0, 94, 4, 14, 94, 70, 50, 79, 49495, 48990, 48485, 47953, 505, 1427, 504, 532, 47904, 0, 0, 0, 504, 299, 229, 179, 923, 205
INVAR-2, Run: 002, E, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 1465, 1475, 1385, 1465, 151, 69, 68, 49781, 49254, 48750, 48290, 527, 4430, 504, 460, 48240, 0, 0, 0, 822, 388, 237, 168, 3608, 434
INVAR-2, Run: 003, E, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 1, 1, 48, 1, 6, 0, 0, 0, 0, 92, 102, 112, 92, 96, 37, 122, 49702, 49188, 48692, 48186, 514, 1731, 495, 505, 48138, 0, 0, 0, 603, 355, 259, 222, 1128, 248
INVAR-2, Run: 004, E, 100, 0, 0, 0, 0, 0, 0, 100, 0, 1, 1, 0, 48, 1, 6, 0, 0, 0, 0, 459, 469, 479, 459, 85, 39, 31, 49088, 48558, 48087, 47560, 529, 2644, 470, 527, 47512, 0, 0, 0, 549, 255, 170, 131, 2095, 294
INVAR-2, Run: 005, E, 0, 0, 0, 100, 0, 0, 0, 100, 1, 0, 0, 1, 48, 1, 6, 0, 0, 0, 0, 99, 109, 19, 99, 118, 64, 153, 49527, 49035, 48525, 48010, 492, 1693, 510, 514, 47962, 0, 0, 0, 701, 435, 317, 253, 992, 266
INVAR-2, Run: 006, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 90, 0, 10, 90, 131, 84, 190, 49434, 48930, 48411, 47946, 504, 1766, 519, 465, 47896, 0, 0, 0, 790, 505, 374, 290, 976, 285
INVAR-2, Run: 007, E, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 200, 210, 120, 200, 100, 49, 36, 49105, 48573, 48090, 47598, 532, 2775, 483, 492, 47548, 0, 0, 0, 685, 285, 185, 136, 2090, 400
INVAR-2, Run: 008, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 313, 223, 233, 313, 122, 75, 89, 49348, 48807, 48335, 47833, 541, 2590, 472, 501, 47784, 0, 0, 0, 683, 386, 264, 189, 1907, 297
INVAR-2, Run: 009, E, 100, 0, 0, 0, 0, 0, 0, 100, 0, 1, 0, 0, 49, 1, 6, 0, 0, 0, 0, 449, 459, 469, 449, 116, 70, 156, 49187, 48710, 48213, 47710, 476, 2925, 497, 503, 47661, 0, 0, 0, 757, 442, 326, 256, 2168, 315
INVAR-2, Run: 010, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 840, 750, 760, 840, 97, 31, 24, 49319, 48822, 48328, 47818, 497, 3050, 494, 509, 47769, 0, 0, 0, 545, 252, 155, 124, 2505, 293
INVAR-2, Run: 011, E, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 96, 106, 116, 96, 77, 32, 66, 49304, 48806, 48354, 47869, 498, 1619, 452, 484, 47820, 0, 0, 0, 503, 275, 198, 166, 1116, 228
INVAR-2, Run: 012, E, 0, 0, 0, 100, 0, 0, 0, 100, 0, 2, 1, 0, 47, 1, 6, 0, 0, 0, 0, 553, 563, 473, 553, 84, 38, 45, 49087, 48604, 48126, 47650, 481, 2985, 477, 476, 47603, 0, 0, 0, 553, 267, 183, 145, 2432, 286
INVAR-2, Run: 013, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 417, 327, 337, 417, 128, 63, 95, 49336, 48782, 48283, 47766, 554, 2819, 499, 517, 47716, 0, 0, 0, 750, 386, 258, 195, 2069, 364
INVAR-2, Run: 014, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 1, 1, 0, 48, 1, 6, 0, 0, 0, 0, 93, 3, 13, 93, 100, 49, 57, 49641, 49119, 48640, 48105, 521, 1633, 478, 535, 48057, 0, 0, 0, 522, 306, 206, 157, 1111, 216
INVAR-2, Run: 015, E, 0, 0, 0, 100, 0, 0, 0, 100, 2, 2, 0, 1, 45, 1, 6, 0, 0, 0, 0, 90, 100, 10, 90, 67, 24, 30, 49400, 48914, 48408, 47942, 484, 1548, 506, 465, 47897, 0, 0, 0, 467, 221, 154, 130, 1081, 246
